Selected (1),artist_name,track_name,track_id,Selected (2),Selected,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,empty_field,The Paths Of The Dead,6nTeQGE4xXarl892zLDSuq,No,No,119610,36,0.619,0.0607,382213,0.148,0.942,E,0.105,-21.983,Minor,0.0384,60.144,03/4,0.0343,Classical
No,empty_field,Intermission* - Instrumental,4TyCnstYu6LGrjka5WW6ft,No,No,107474,26,0.909,0.263,88693,0.114,0.426,G,0.336,-16.946,Major,0.0392,53.969,05/4,0.15,Classical
No,empty_field,"Rimsky Korsakov: Scheherazade, Op. 35: II. The Story of the Kalender Prince (Opening)",5fi2bhWaJMj7I3DmoQAF0x,No,No,24840,38,0.974,0.176,233067,0.0317,0.718,B,0.353,-24.978,Minor,0.0448,145.834,03/4,0.0387,Classical
No,empty_field,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",3LUv3LsFPaU6fiFdds8O5c,No,No,166437,32,0.975,0.467,,0.169,0.243,A,0.0571,-16.437,Minor,0.0491,112.867,04/4,0.473,Classical
No,empty_field,"Sleeping Beauty: Valse, Act I, No. 7",45vlODqHQXuL5bIlhCj0Ua,No,No,72697,30,0.947,0.235,,0.115,0.891,A#,0.335,-17.849,Major,0.0343,91.241,01/4,0.314,Classical
No,empty_field,"Franck / Arr. Kenner: Mass in A Major, Op. 12, FWV 61: V. Panis Angelicus",4IGVwhevPXhdGIvmfH9OST,No,No,25164,50,0.979,0.19,262367,0.0399,0.504,G,0.0912,-26.843,Major,0.0461,83.33,04/4,0.102,Classical
No,empty_field,"Requiem, Op. 48: III. Offertoire",3WW63E8a8JLIAHMiatELLb,No,No,198990,36,0.967,0.0884,443360,0.025,0.517,D,0.086,-30.84,Major,0.0453,77.899,04/4,0.0361,Classical
No,empty_field,"Mattinata, Op. 5",78QR3Wp35dqAhFEc2qAGjE,No,No,71265,37,0.919,0.37,117600,0.257,0.000957,E,0.274,-15.982,Major,0.0418,71.521,03/4,0.216,Classical
No,empty_field,"Piano Concerto No. 14 in E-Flat Major, K. 449: II. Andantino (Live)",2KdT8BSu7sViL2G5vQiWB6,No,No,118683,0,0.989,0.274,,0.0363,0.922,A#,0.286,-25.909,Major,0.0355,80.816,04/4,0.107,Classical
No,empty_field,"Adagio & Rondo in C Minor, K. 617: Adagio - Allegretto",3seqZSBT8ZMijMY9sZd26M,No,No,89015,0,0.988,0.239,,0.0507,0.951,C,0.102,-25.351,Minor,0.0526,71.638,04/4,0.141,Classical
No,empty_field,"Piano Trio No. 7 in B-Flat Major, Op. 97 ""Archduke"": III. Andante cantabile ma pero con moto",3t3CpReqAorp7aHnmQlKRl,No,No,73390,0,0.98,0.154,844893,0.0468,0.427,D,0.139,-27.463,Major,0.0424,85.241,04/4,0.0783,Classical
No,empty_field,String Quartet No.2 in D: 3. Notturno,1DOK4imxjjUaPWxUQUqHL1,No,No,96146,42,0.916,0.169,491706,0.0913,0.454,A,0.174,-22.681,Major,0.0499,86.565,04/4,0.124,Classical
No,empty_field,"Flute Sonata in D Minor, TWV 42:d10: I. Allegro",4gv9eyEf7cXViNTBXS2g5C,No,No,197165,7,0.872,0.416,156000,0.477,0.00259,C#,0.117,-15.716,Minor,0.0377,113.891,04/4,0.897,Classical
No,empty_field,"Symphony No. 9 in D Minor, Op. 125 - ""Choral"": 4g. Allegro ma non tanto - Live",54MfpKIghljr13BWsJcBlf,No,No,153656,31,0.99,0.224,148720,0.27,0.00469,D,0.301,-15.215,Major,0.0439,,01/4,0.176,Classical
No,empty_field,"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009: Prélude",51cd3bzVmLAjlnsSZn4ecW,No,No,62814,34,0.983,0.344,198853,0.172,0.828,B,0.16,-21.778,Minor,0.0459,96.526,04/4,0.315,Classical
No,empty_field,Impossible Things,2YeQXd9dU7HmWtrUHCU6ba,No,No,195667,33,0.251,0.258,431733,0.726,0.762,E,0.342,-6.891,Minor,0.0467,66.689,04/4,0.232,Classical
No,empty_field,"Songs without Words for Piano, Book 2, op.30: No.6: Venetian Gondolera Song (""Venezianisches Gondellied"")",7wfvl1kiZJNvhx6HNTyefX,No,No,66114,28,0.994,0.353,169123,0.0128,0.91,A,0.0753,-29.942,Major,0.0474,72.008,03/4,0.202,Classical
No,empty_field,"Romeo and Juliet, Op. 64 (Excerpts): Act III, Scene 1, No. 39: Farewell before the Parting",0UtBjb4YUMbbtIKNXUeCLx,No,No,156221,22,0.91,0.107,297587,0.0331,0.69,C,0.166,-30.047,Major,0.0389,82.977,04/4,0.0389,Classical
No,empty_field,Ponce: Balada Mexicana,454I78HEySdcHE8fcVabTb,No,No,101223,46,0.992,0.257,418547,0.0755,0.882,A,0.0765,-22.485,Major,0.037,170.322,04/4,0.0803,Classical
No,empty_field,"Piano Sonata No. 27 in E Minor, Op. 90: 1. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck",0L5tCfWfJ8rTwr1EWlHyWc,No,No,36501,33,0.993,0.417,,0.0345,0.909,E,0.174,-22.027,Minor,0.0454,73.751,04/4,0.0508,Classical
No,empty_field,My Little Princess Sleeping,0jPLBur1qXRfj3pbuJSX03,No,No,185189,27,0.989,0.446,162449,0.161,0.868,C#,0.107,-18.71,Major,0.0491,137.963,04/4,0.569,Classical
No,empty_field,"Chant élégiaque, Op. 24",3xBbHATb8VAvFCptPfR1MT,No,No,194479,35,0.987,0.203,400226,0.0732,0.818,F,0.0909,-20.942,Major,0.041,91.63,04/4,0.0357,Classical
No,empty_field,"Concerto for Harpsichord, Strings, and Continuo No.1 in D minor, BWV 1052: 1. Allegro (Transcr. for Mandolin and Orchestra by Avi Avital)",2jxqu3v4AZAhUNvdAbDGet,No,No,142345,30,0.867,0.572,442760,0.322,0.509,D,0.345,-17.48,Minor,0.0338,107.557,04/4,0.551,Classical
No,empty_field,An Idea,4l6ihCh890a6gETXgAQaRG,No,No,136511,28,0.994,0.294,158520,0.00785,0.956,E,0.0929,-29.64,Minor,0.0668,70.958,03/4,0.173,Classical
No,empty_field,"Les contes d'Hoffmann, Act I: Hein! vous! (Live)",33nU1Wdh8LKm8pMf96CTeg,No,No,212998,0,0.963,0.384,,0.0986,,B,0.857,-27.941,Minor,0.134,89.506,03/4,0.351,Classical
No,empty_field,The River (Dubstep),7x9L7ZytdIgL3e4pobRsJZ,No,No,68543,36,0.0847,0.499,175641,0.591,1.03e-06,B,0.263,-8.093,Minor,0.0363,73.999,04/4,0.493,Classical
No,empty_field,"2 Swedish Folk-Melodies, Op. 27: No. 1 Allt under himmelens faste: Adagio",3RJXIte2IV8xArJYKD5qrf,No,No,54543,35,0.843,0.12,190800,0.0774,0.905,E,0.137,-23.304,Minor,0.0362,92.315,04/4,0.0391,Classical
No,empty_field,"Rusalka, Op. 114, B. 203, Act II: Jářku, klouče milé (Live)",2uBhGx3m5iJrtsql8Qk00j,No,No,44424,0,0.972,0.403,258507,0.142,0.000363,F,0.252,-21.097,Major,0.0562,118.707,04/4,0.18,Classical
No,empty_field,When You Know Why You're Happy,4liGjmhCupa7RP9JaQELYx,No,No,217303,39,0.812,0.477,298028,0.271,0.678,E,0.0828,-12.21,Major,0.0331,117.314,04/4,0.0401,Classical
No,empty_field,"Rigoletto / Act 3: ""La donna è mobile"" - Edit",1I2zGAaEQWCayTZ4aMaQ9G,No,No,147075,42,0.962,0.371,140827,0.218,8.62e-06,F#,0.0839,-13.076,Major,0.0403,117.824,05/4,0.413,Classical
No,empty_field,"Nocturne No.1 in B flat minor, Op.9 No.1",6mpAOrpdrq5mJTGo8nrvSO,No,No,182936,50,0.98,0.321,332155,0.00989,0.917,C#,0.0845,-28.28,Major,0.0378,65.721,04/4,0.0381,Classical
No,empty_field,Elgar: Salut d'amour,4E9UishzbBdrCmoZsRwWqv,No,No,187650,44,0.905,0.151,162392,0.0563,0.00413,E,0.0831,-26.47,Major,0.0623,,03/4,0.109,Classical
No,empty_field,"Beethoven: Symphony No. 3 in E-Flat Major Op. 55, 'Eroica': II. Marcia funebre - Adagio assai",33RbJxk2FZd0DUvZnyiao3,No,No,184415,37,0.949,0.0971,,0.0226,0.301,C,0.0987,-23.673,Minor,0.0462,74.125,04/4,0.0364,Classical
No,empty_field,"Schwanengesang, D. 957 (Arr. T. Thorpe for Horn & Piano): No. 4, Ständchen",6Xo9osN1HErsEJoqwj4eDg,No,No,84674,48,0.995,0.32,219347,0.0247,0.894,D,0.0729,-20.183,Major,0.0382,,04/4,0.148,Classical
No,empty_field,"Nocturne in E-Flat Major, Op. 9, No.2",7kxp5dqWUFZbQrWwoIMP5c,No,No,197205,54,0.992,0.309,232240,0.0472,0.866,D#,0.0979,-25.497,Major,0.041,72.915,03/4,0.0693,Classical
No,empty_field,"Symphony No.9 In E Minor, Op.95, B.178 - ""From The New World"": 4. Allegro con fuoco",3jeI2F4R1JzfYlG8VV7fqK,No,No,136865,48,0.881,0.221,708267,0.125,0.832,E,0.103,-18.754,Minor,0.0358,139.564,04/4,0.115,Classical
No,empty_field,"Nocturnes, Op. 15: No. 1 in F Major",0YGQ3hZcRLC5YX7o0hdmHg,No,No,29842,31,0.994,0.437,259493,0.0461,0.891,F,0.0628,-22.695,Major,0.0353,67.267,04/4,0.0753,Classical
No,empty_field,"Sonata No. 1 in F Minor, Op. 2 No. 1: IV. Prestissimo",7a3YBK0s48V0N2LxpeNrQT,No,No,208017,30,0.993,0.312,322160,0.153,0.89,F,0.106,-20.604,Minor,0.0329,99.733,04/4,0.149,Classical
No,empty_field,"Prélude No.25 in C sharp minor, Op.45",5NhqdHEGfM78WWnJARI0iM,No,No,113869,43,0.994,0.315,338933,0.0096,0.959,A,0.0829,-31.019,Major,0.0422,67.362,03/4,0.104,Classical
No,empty_field,Act II: Sugarplum Fairy,5pwtgaHiAETMegGfoN2vkp,No,No,68561,46,0.734,0.296,132107,0.0383,0.711,E,0.133,-31.888,Minor,0.0337,124.621,04/4,0.168,Classical
No,empty_field,"Moderen (The Mother), Op. 41, FS 94: Tagen letter (The Fog is lifting)",65n4DkUhKUO4tECIabKwy1,No,No,163314,38,0.985,0.28,134413,0.0292,0.951,C,0.125,-26.544,Major,0.0514,109.711,03/4,0.121,Classical
No,empty_field,"Symphony No.9 in E Minor, Op.95, B. 178 ""From The New World"": 4. Allegro con fuoco",4IiI9lpobMyEbhV5VstNs7,No,No,198083,38,0.9,0.241,,0.165,0.811,E,0.092,-15.626,Minor,0.0346,139.821,04/4,0.118,Classical
No,empty_field,"Symphony No. 48, Op. 355 ""Vision of Andromeda"": II. Fugue: Allegro",7IYV3GN411W65phaX3XP6Q,No,No,129270,33,0.62,0.304,191067,0.403,0.917,A,0.0825,-19.946,Minor,0.0656,124.544,05/4,0.883,Classical
No,empty_field,The Curse of Feanor - Remastered 2007,6CBTV1qJCMsg2nVxWbQ5tw,No,No,170628,38,0.00206,0.463,,0.985,0.0463,B,0.311,-5.542,Major,0.116,,04/4,0.112,Classical
No,empty_field,"Nocturne in F Minor, Op. 55 No. 1",0q90594hk25yo0xZmBTqCd,No,No,52051,44,0.994,0.307,277840,0.0455,0.928,F,0.0795,-23.641,Minor,0.0353,81.206,04/4,0.124,Classical
No,empty_field,"Concerto for 2 Violins in A Minor, Op. 3, No. 8, RV 522",38Xe3EIdBXJkv3dU0oRXos,No,No,82368,41,0.912,0.393,590067,0.144,0.222,D,0.322,-19.841,Minor,0.0449,117.474,04/4,0.145,Classical
No,empty_field,"Piano Concerto No. 4, Op. 130, ""Aurora Borealis"": III. Fading away in the bright night of spring",2M81tYu664SKBx9G68t4ia,No,No,140775,26,0.961,0.175,570933,0.0553,0.681,G,0.076,-21.924,Major,0.0332,,04/4,0.0356,Classical
No,empty_field,Hymn of Promise,0j42gIS2iF6ilmp3B5D8o3,No,No,32644,28,0.97,0.309,158560,0.0976,,F,0.0604,-16.259,Major,0.0496,176.302,01/4,0.439,Classical
No,empty_field,Suite bergamasque: III. Clair de lune,7dgDMIoDFTvJzmj8dZvLkt,No,No,96290,28,0.995,0.423,348000,0.0183,0.921,C#,0.0779,-26.285,Major,0.0515,132.13,05/4,0.0463,Classical
No,empty_field,III. Menuetto,41IShViF79gmulEkIHAjcb,No,No,78486,0,0.967,0.309,181347,0.0662,0.0518,G#,0.125,-24.138,Minor,0.0387,53.192,04/4,0.347,Classical
No,empty_field,Rhapsody on Moldavian Themes Op. 47 No. 3,4jEWz9M7NjBeZ3x0L1J89N,No,No,174351,29,0.887,0.294,,0.149,0.0362,F,0.0686,-18.557,Major,0.045,82.696,04/4,0.086,Classical
No,empty_field,Carmina Burana: IV. Primo vere: Omnia sol temperat (All Things are Warmed by the Sun),56h3v9zaotemQ0NB21dlkg,No,No,186788,34,0.905,0.23,141333,0.00765,,G,0.521,-40.654,Minor,0.0488,86.299,03/4,0.185,Classical
No,empty_field,A Way a Lone,5XPz4A2oZajws5JeNtIdJe,No,No,99584,24,0.865,0.132,703093,0.0558,0.0356,C#,0.0969,-27.304,Major,0.0514,77.867,03/4,0.0363,Classical
No,empty_field,Riding Horses,5CZJiCR6hh4yiJ5Qzui4W0,No,No,203044,39,0.958,0.462,,0.0592,0.918,D,0.103,-23.432,Major,0.0505,114.155,03/4,0.0822,Classical
No,empty_field,I. Allegro,0GX3igA23J42onO5WEWFMk,No,No,215366,0,0.873,0.439,238653,0.133,0.0208,C,0.0744,-15.869,Major,0.0445,115.719,04/4,0.477,Classical
No,empty_field,"Die Zauberflöte, K. 620, Act II: Ein Mädchen oder Weibchen wünscht Papageno sich! (Live)",0Xg68XXMRWzKQvD5S6BFvI,No,No,125802,0,0.939,0.397,243160,0.0628,,F,0.892,-25.461,Major,0.0722,134.44,04/4,0.349,Classical
No,empty_field,"Waltz No. 2 in C-Sharp Minor, Op. 64",4NRm9G74hT0UHKYw8NjZXs,No,No,99172,30,0.992,0.267,208600,0.031,0.904,C#,0.0875,-30.784,Minor,0.0407,81.907,04/4,0.112,Classical
No,empty_field,The Sleeping Beauty Ballet: No. 25: Variation II: The Bluebird and Princess Florine,2GV039LpIeFtgTKKIZPrf0,No,No,107720,29,0.95,0.618,47827,0.0754,0.964,F,0.125,-26.527,Major,0.0627,129.886,04/4,0.691,Classical
No,empty_field,"Seid umschlungen Millionen (Be United Millions), Op. 443 (RV 443)",0rZT4l6WE4dIvfxRv2CIn0,No,No,176892,34,0.969,0.345,203587,0.0626,0.773,G,0.147,-19.285,Major,0.0309,92.35,04/4,0.416,Classical
No,empty_field,"An der schönen blauen Donau, Walzer, Op. 314",1PySNm0y4MSIfPhQ8iMHbH,No,No,65779,40,0.964,0.255,598787,0.14,0.82,D,0.92,-17.682,Major,0.0398,90.898,03/4,0.12,Classical
No,empty_field,"Die Geschöpfe des Prometheus, Op. 43: Overture (Live)",0OdyTV8ds1lqstZNnSs7iB,No,No,42422,0,0.875,0.313,,0.141,0.751,C,0.948,-22.164,Major,0.0687,139.007,04/4,0.34,Classical
No,empty_field,"Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",2O8gSQ9z52tZSLJnuzjkcG,No,No,90973,10,0.981,0.0666,,0.041,0.878,E,0.111,-26.064,Minor,0.0518,67.073,04/4,0.0397,Classical
No,empty_field,"'Widmung,' Liebeslied From Myrthen Op. 25 No. 1",2UE4m8egf0aREmOi47sDOk,No,No,71014,36,0.995,0.352,213440,0.0824,0.901,G#,0.102,-17.412,Major,0.0325,91.737,03/4,0.105,Classical
No,empty_field,"Children's Corner, L. 113: 6. Golliwogg's Cakewalk",5X3012Ox7FlfpxsiTHuy0o,No,No,187432,35,0.995,0.444,167493,0.0653,0.944,G#,0.128,-22.349,Major,0.0591,72.526,04/4,0.284,Classical
No,empty_field,The Origins of Time,0rgBKaOjmQBK0XIMlikVvP,No,No,127473,37,0.92,0.138,141441,0.0279,0.917,C,0.212,-27.182,Major,0.0414,75.565,05/4,0.0357,Classical
No,empty_field,A Troll-hoard,2m4AKjV0OBfSft7YYh8y5x,No,No,183445,29,0.307,0.109,159809,0.272,0.939,A,0.19,-19.234,Minor,0.0409,,04/4,0.0386,Classical
No,empty_field,"Via Crucis, S. 53: Station VI. Sancta Veronica",4g0Wf7LI9Tkc2bguydczrK,No,No,35715,14,0.994,0.283,,0.0177,0.0493,A,0.0757,-27.056,Minor,0.0444,122.051,03/4,0.0618,Classical
No,empty_field,"Preludes, Op. 28: No. 1 in C Major (Agitato)",3eBBbAEBQdr6tkUUd8gyuQ,No,No,211526,26,0.994,0.246,50347,0.0755,0.923,C,0.108,-26.202,Major,0.0352,95.693,03/4,0.407,Classical
No,empty_field,"Symphony No. 4 in F Major, ""Die Rettung der Andromeda durch Perseus"" (The Rescuing of Andromeda by Perseus): III. Larghetto",5EcTHBNB5GUHh66dExVIGC,No,No,87017,44,0.979,0.109,436360,0.063,0.856,F,0.11,-25.706,Minor,0.0473,172.481,03/4,0.0364,Classical
No,empty_field,Zapateado caribe (Version for Solo Guitar),6vlkoGjAN7LeMLhCyTy1mG,No,No,154198,0,0.989,0.325,177267,0.0839,0.866,D,0.0783,-30.202,Major,0.0424,111.501,04/4,0.432,Classical
No,empty_field,"String Quartet No. 13, Op. 130: V. Cavatina. Adagio molto espressivo",79HTe42PihWUUq4BDjcuCq,No,No,35057,35,0.956,0.156,,0.0533,0.847,D#,0.111,-27.999,Major,0.048,84.329,03/4,0.0383,Classical
No,empty_field,Les bergers: Ouverture,6dOix5iJEObsOs9fO18QCA,No,No,165305,29,0.916,0.265,279933,0.117,0.492,G,0.07,-19.087,Major,0.0428,,04/4,0.251,Classical
No,empty_field,Concerto for two violins BWV 1043 in D Minor: Concerto for two violins BWV 1043 in D Minor: II. Largo ma non tanto,4nqxQU97VmHhn3e6a3CUWZ,No,No,190990,42,0.679,0.11,440480,0.0594,6.7e-06,E,0.11,-19.474,Major,0.0384,,03/4,0.0951,Classical
No,empty_field,"Symphonic Etudes for Piano, Op. 13: Étude X. Con energia sempre",55thQhbQyfmoHBhKSSimao,No,No,48131,12,0.995,0.471,75253,0.447,0.871,C#,0.145,-14.077,Minor,0.0423,105.608,04/4,0.929,Classical
No,empty_field,Alive - Pt. II,5xffNGklhMCSAEAoGxNNoo,No,No,190806,35,8.18e-05,0.446,,0.895,0.000225,G,0.357,-7.009,Minor,0.0639,129.98,04/4,0.215,Classical
No,empty_field,Never Cursed,5BXjoLBmRSivBNCK2jmx8r,No,No,152701,37,0.963,0.144,225293,0.19,0.605,A#,0.104,-16.283,Minor,0.0418,70.883,05/4,0.0323,Classical
No,empty_field,King for a Day,6IE47jpPeatF2Iay7GZtEc,No,No,52878,48,0.00112,0.608,273520,0.922,0.000212,F#,0.312,-5.524,Minor,0.0501,104.99,04/4,0.78,Classical
No,empty_field,"Cello Sonata No. 2 in D Major, Op. 58, MWV Q32: II. Allegretto scherzando",1S9j6hXnb771Xxg75wvNUZ,No,No,75722,25,0.989,0.316,307760,0.058,0.887,B,0.106,-23.956,Minor,0.0368,81.657,04/4,0.322,Classical
No,empty_field,"Nocturne, Op. posth. in C-Sharp Minor: Lento",29BNsVqLbazFsYyhyaZPfE,No,No,135677,62,0.992,0.272,,0.00397,0.9,C#,0.0763,-31.601,Minor,0.0475,72.059,04/4,0.19,Classical
No,empty_field,"Symphony No.5 in E flat, Op.82: 3. Allegro molto",3UCuvKslDRJdGZzRNtVc8w,No,No,36342,48,0.867,0.115,481600,0.149,0.886,G#,0.12,-20.464,Major,0.0418,66.517,04/4,0.0979,Classical
No,empty_field,Placeless,3H8tPWrAh8sn8p1gd3Yrv8,No,No,82013,18,0.986,0.302,194707,0.121,5.97e-06,E,0.0955,-15.163,Minor,0.0451,,03/4,0.0798,Classical
No,empty_field,"Piano Sonata No. 30 in E Major, Op. 109: IIIa. Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo",7ahSkRJouFINMWokIywAwG,No,No,162489,0,0.996,0.488,125562,0.0017,0.958,E,0.0787,-38.405,Major,0.0602,140.76,03/4,0.176,Classical
No,empty_field,"Balamb Garden ~ Ami (From ""Final Fantasy VIII"")",7iiULg8Kmbnh1vWbh9rnBA,No,No,169909,38,0.965,0.167,331147,0.115,0.75,A,0.108,-18.283,Minor,0.0385,85.792,04/4,0.0398,Classical
No,empty_field,The Chosen Ones,33mVCMiqQrUW6WDz85uCYH,No,No,217134,57,0.0123,0.563,302533,0.734,,G,0.102,-6.207,Minor,0.038,115.983,04/4,0.231,Classical
No,empty_field,Spring Forward: I. Reawakening,0zO6pCuJwjhIv8mtEMK5Ri,No,No,66304,0,0.977,0.346,416421,0.142,0.361,F,0.0878,-17.094,Major,0.0372,104.685,03/4,0.231,Classical
No,empty_field,"愛の夢 第3番: Liebestraum No.3 in A flat, S.541 No.3",4SN5Kkig8iJ8vdwsOoP7IO,No,No,166707,26,0.991,0.318,308000,0.129,0.878,G#,0.0907,-19.925,Major,0.0424,110.405,05/4,0.035,Classical
No,empty_field,Sonata in C major (fragment) - Violin Version,7ARveOiD31w2Nq0n5FsSf8,No,No,150640,13,0.987,0.268,,0.221,0.855,C,0.0799,-11.074,Major,0.0612,179.731,04/4,0.44,Classical
No,empty_field,3. Clair de lune,4mPuO1Hku0VKvZev3fbljL,No,No,33904,43,0.987,0.235,,0.00674,0.845,C#,0.0719,-32.343,Major,0.0504,56.64,04/4,0.0393,Classical
No,empty_field,Uptown,0P2W7PZIqa47sIYMGAvfD5,No,No,209944,35,0.00124,0.553,139500,0.668,0.311,G,0.0911,-7.015,Major,0.0386,119.934,04/4,0.614,Classical
No,empty_field,The Passing Of Théoden,58lTbZKr7XkkR4zEpoLhYH,No,No,31308,40,0.977,0.107,,0.0102,0.994,D,0.0951,-32.462,Minor,0.0505,80.901,04/4,0.0321,Classical
No,empty_field,Symphony No.5 In C Sharp Minor: 4. Adagietto (Sehr langsam),7FPSIZP73vAGNUK06yYXF7,No,No,93332,53,0.839,0.074,659000,0.0114,0.883,F,0.122,-32.866,Major,0.0438,79.556,01/4,0.0339,Classical
No,empty_field,"The Planets, Op. 32: 5. Saturn, the Bringer of Old Age",7cMmzfQmsA37J3cxktlanr,No,No,199426,24,0.939,0.0639,590750,0.0196,0.862,C,0.342,-22.549,Major,0.0375,73.032,03/4,0.0309,Classical
No,empty_field,Inside The Winter Storm,2uBYmCLnvhUEAblMTtp1sO,No,No,163520,29,8.12e-05,0.215,491533,0.965,0.00493,C,0.0541,-3.748,Minor,0.156,199.908,04/4,0.186,Classical
No,empty_field,"Art of the Fugue, BWV 1080: Contrapunctus XIII a 3, ""Rectus""",7IWTIkiWGWNQyYfOLdMrGD,No,No,52982,28,0.962,0.53,139507,0.103,0.802,D,0.118,-25.144,Minor,0.051,132.422,04/4,0.669,Classical
No,empty_field,"Grabmusik, K. 42: VIII. Jesu, wahrer Gottessohn (Live)",2mTB4pyWrY02jKjJ1zWTUC,No,No,38382,14,0.926,0.263,358400,0.265,3.56e-05,C,0.131,-21.024,Major,0.0355,101.552,03/4,0.297,Classical
No,empty_field,"Quatour à cordes No. 1, Op. 5: II. Intime, contenu",0xjaZhU9TfBqyvpuzOF8Lz,No,No,66608,23,0.947,0.179,315080,0.0145,0.00257,G,0.0585,-28,Major,0.0475,,04/4,0.0383,Classical
No,empty_field,Miserere - Live At Night Of The Proms,07N3Zecc4vUmcWtCj2B4mj,No,No,214316,33,0.614,0.252,,0.643,0.000693,D,0.987,-6.413,Major,0.0401,80.236,03/4,0.23,Classical
No,empty_field,Villanelles (feat Chris Thile),2GoOioZVtOF1iMYfnzkreg,No,No,217531,36,0.928,0.557,187130,0.303,0.0228,G,0.238,-13.723,Major,0.0341,122.259,04/4,0.525,Classical
No,empty_field,"Mass in C Minor, K.427 ""Grosse Messe"": Qui tollis",5KbBGUpIZd6gVFUU8tqYiQ,No,No,50599,48,0.981,0.258,242427,0.209,0.635,G,0.114,-18.558,Major,0.0405,56.329,04/4,0.0388,Classical
No,empty_field,"Requiem, K. 626: Kyrie",2HDacpEddhWjYTcADPIEQL,No,No,212438,39,0.933,0.195,,0.276,0.823,A,0.108,-20.918,Minor,0.0382,84.238,04/4,0.306,Classical
No,empty_field,"Rinaldo, HWV 7a, Act III (Ed. G. Sechi): Marcia [Live]",6SPINsQn68w9HCV6gAK9Ve,No,No,63238,4,0.923,0.647,36906,0.26,0.745,C#,0.13,-15.901,Major,0.0487,109.202,04/4,0.81,Classical
No,empty_field,"The Nutcracker, Op.71 : No. 10 The Magic Castle on the Mountain of Sweets",6yvFEvuyXW7f3WDZezvNaF,No,No,172043,25,0.953,0.147,256080,0.176,0.866,E,0.108,-23.026,Major,0.0376,75.349,03/4,0.112,Classical
No,empty_field,"Symphony No. 9 in D Minor, Op. 125 - ""Choral"": 4b. Allegro assai - Live",3xINh6YqkLfucEtjoa4x7D,No,No,39182,33,0.966,0.197,,0.0604,0.95,D,0.277,-19.014,Major,0.034,138.839,04/4,0.241,Classical
No,empty_field,千と千尋の神隠し組曲(IV. ふたたび),7efL8Jm6ZJFfJNAANmRVwj,No,No,110837,35,0.972,0.224,142867,0.201,0.902,F,0.15,-9.759,Major,0.0298,,03/4,0.121,Classical
