Selected,artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,Godsmack,"Good Times, Bad Times",2htH7r8oqqEwp3BB6oh2cU,127586,45,2.32e-05,0.51,,0.751,3.72e-05,G#,0.219,-5.823,Major,0.0573,94.359,04-Apr,0.661,Alternative
No,Big K.R.I.T.,Outer Space,3K7FlLRiFXSW7vNab4ksds,92557,52,0.401,0.864,180649,0.729,1.02e-05,B,0.0974,-6.368,Minor,0.151,81.049,04-Apr,0.512,Alternative
No,The Goo Goo Dolls,Slide,3JLJ0n5ZFd8oOwvQv7LUEt,20022,68,0.00483,0.395,212067,0.843,,G#,0.0404,-4.476,Major,0.0374,112.423,04-Apr,0.481,Alternative
No,Tierra Whack,Fruit Salad,1j1hg5y7ShzgpQJgiZ8PP0,50043,54,0.503,0.832,,0.793,0.00108,F#,0.0901,-5.023,Major,0.0392,,04-Apr,0.919,Alternative
No,Linkin Park,Good Goodbye (feat. Pusha T and Stormzy),4d7GbB5RQckWmvgj9Q1fQa,71186,64,0.106,0.697,211413,0.84,,A,0.748,-4.602,Minor,0.054,128.034,04-Apr,0.452,Alternative
No,Queens of the Stone Age,Go With The Flow,5TidpShGz6Jxsbx8fzKDlC,208773,54,0.0115,0.248,187120,0.991,0.0462,E,0.834,-3.835,Minor,0.103,159.37,04-Apr,0.398,Alternative
No,Passion,Build My Life - Live,0mCiprdmwZlTcV1ZWAq8ZP,141663,52,0.221,0.323,459467,0.467,,G,0.115,-7.282,Major,0.0334,139.505,04-Apr,0.0625,Alternative
No,Nao,Drive and Disconnect,0dWcJNcGr8iMOlb3FAarVq,118539,54,0.244,0.818,210173,0.745,0.0588,G,0.135,-8.172,Minor,0.0898,116.011,04-Apr,0.534,Alternative
No,Hinder,Better Than Me,0PNZmCDa0hR0TVC3lrPNqd,180938,58,0.206,0.452,,0.675,1.27e-06,D,0.172,-5.172,Minor,0.0305,139.87,04-Apr,0.23,Alternative
No,empty_field,"The Ground Walks, with Time in a Box",6wxDu7ISgm5nppPMea4W7D,169868,46,0.0102,0.65,370387,0.957,0.0125,A,0.193,-3.4,Minor,0.0439,128.009,04-Apr,0.877,Alternative
No,The Strokes,Tap Out,6aNbyKEgohr6XsqjABhxLq,112238,52,0.0176,0.737,222360,0.745,0.381,A,0.306,-5.944,Major,0.0351,115.989,04-Apr,0.629,Alternative
No,for KING & COUNTRY,God Only Knows (Timbaland Remix),2kDlcjouMC8uoSSotXzjI9,114216,56,0.208,0.7,,0.487,,B,0.11,-5.437,Minor,0.0486,143.964,04-Apr,0.363,Alternative
No,Red Hot Chili Peppers,Sick Love,66aoMO408FA4pLR2xWVH3f,163282,62,0.183,0.591,221440,0.794,,E,0.292,-5.935,Minor,0.069,147.974,04-Apr,0.875,Alternative
No,for KING & COUNTRY,joy. (R3HAB Remix),29PUVUdlptjXTPWxD8Dyau,112950,54,0.0917,0.75,171500,0.81,1.59e-05,C,0.111,-4.607,Minor,0.0572,120.038,04-Apr,0.48,Alternative
No,Brent Faiyaz,Burn One (Interlude),6lCa8pjIU9n3nVI0r62EdM,71073,47,0.79,0.693,108562,0.278,,D#,0.366,-11.715,Minor,0.114,85.076,03-Apr,0.862,Alternative
No,Red Hot Chili Peppers,Out In L.A. - 2002 Digital Remaster,0RYyJZxgtwVrveWbRzcTAO,46645,49,0.0123,0.772,120667,0.888,,D,0.12,-6.273,Major,0.118,,04-Apr,0.706,Alternative
No,Flyleaf,Cassie,3wNwZDKaugh5Y7kxUzewRV,87906,41,0.00136,0.386,178520,0.963,1.31e-06,D,0.558,-4.501,Major,0.368,168.082,04-Apr,0.282,Alternative
No,Lolo Zouaï,Caffeine,48HnDNZKYUIHJbXyH8hnhj,52263,55,0.576,0.746,159733,0.657,0.000592,C#,0.235,-5.965,Minor,0.0898,155.955,04-Apr,0.545,Alternative
No,Peter Bjorn and John,Second Chance,21fXrzSxu2y51Yqf57QycI,124814,41,0.0204,0.587,252853,0.965,0.00296,G,0.097,-1.542,Major,0.0885,132.826,04-Apr,0.771,Alternative
No,empty_field,I Couldn't Be More In Love,69Q7fm5kz5RkpT5CoyObOl,32779,57,0.424,0.555,231992,0.428,3.35e-06,D#,0.0981,-7.087,Major,0.0286,121.188,04-Apr,0.199,Alternative
No,Jamila Woods,Holy,4OkPamOn5GofkOQu64Z4eR,206233,48,0.793,0.534,192401,0.404,3.23e-06,A,0.18,-8.141,Major,0.0758,171.761,04-Apr,0.654,Alternative
No,Mom Jeans.,Scott Pilgrim V. My Gpa,1r8ZvD3V2RaTyRapB1dbn7,107346,49,0.0721,0.296,239598,0.494,0.0507,F#,0.108,-10.49,Major,0.037,163.669,03-Apr,0.175,Alternative
No,Nickelback,Shakin' Hands,5fmlDo6kEFk1qMXK4Kp2Hg,72200,54,0.000654,0.649,219840,0.958,9.45e-05,C,0.319,-2.999,Major,0.0509,138.039,04-Apr,0.845,Alternative
No,Steve Lacy,Playground,4OdfdGARFZjG1qXWrt1hIO,116701,57,0.113,0.482,213798,0.788,0.00437,G,0.344,-6.309,Major,0.0425,,04-Apr,0.854,Alternative
No,P.O.D.,Youth of the Nation,7eaQBSn7jDUEGiCvRdwaoi,138057,67,0.00834,0.563,256240,0.86,0.0106,G#,0.39,-7.533,Major,0.0621,97.867,04-Apr,0.517,Alternative
No,Passion,Behold The Lamb - Acoustic,6TYPoBrn53njY2C0WwdmA1,196986,46,0.717,0.452,303870,0.42,,C,0.0946,-7.51,Major,0.0258,74.977,04-Apr,0.203,Alternative
No,empty_field,"Skin And Bones - Live at the Pantages Theatre, Los Angeles, CA - August 2006",2S01104ghxxnoSCzGXCPdZ,105502,49,0.0246,0.564,240960,0.513,0.00508,D,0.86,-8.659,Minor,0.0276,,04-Apr,0.202,Alternative
No,Joji,I Don't Wanna Waste My Time,4QoFwqgLw1CtoeSv6N80mU,205414,63,0.765,0.287,164430,0.234,0.0636,E,0.123,-17.86,Major,0.0672,74.454,04-Apr,0.121,Alternative
No,BJ The Chicago Kid,Turnin' Me Up,1y4wfSe5L3afercd7sYE1K,211153,65,0.0406,0.734,269173,0.776,0.193,D,0.0547,-4.193,Major,0.0826,,04-Apr,0.843,Alternative
No,Raveena,Mama,6gJhXogJiEETVQ0V4wyj79,37362,43,0.627,0.594,,0.421,0.0193,B,0.079,-9.699,Major,0.0741,72.992,04-Apr,0.287,Alternative
No,Moods,Bucket List,5cBDitPtOB6usalQ5LbqgM,162354,55,0.389,0.702,133375,0.186,0.625,B,0.0972,-13.187,Major,0.0567,90.032,04-Apr,0.1,Alternative
No,empty_field,Technology,3VOORXMd8S5qS8ZWN0mZHm,205340,47,0.011,0.668,216533,0.747,1.27e-06,A#,0.0645,-4.474,Minor,0.144,116.842,04-Apr,0.828,Alternative
No,empty_field,Keep Away,73bva6qBjtCQd9MtwgRlLa,60827,51,7.68e-05,0.313,290067,0.904,0.00519,G,0.0993,-5.185,Major,0.0806,,04-Apr,0.543,Alternative
No,empty_field,Top of the World,4cWCLgbEPbXMODsYR4mEIO,87587,52,0.00105,0.484,162052,0.983,,F#,0.208,-3.904,Major,0.0779,74.015,04-Apr,0.723,Alternative
No,RKCB,Know Love,6YG0BHew5vBjqMcRVeF0pV,100520,49,0.0543,0.67,242830,0.572,0.00294,D,0.188,-9.29,Minor,0.0732,106.016,04-Apr,0.209,Alternative
No,Emotional Oranges,Built That Way,0NG094Nd0Qr6sREeFDsps0,165750,57,0.236,0.704,,0.643,1.56e-05,C#,0.0665,-7.237,Minor,0.0859,92.026,04-Apr,0.721,Alternative
No,empty_field,Helicopter,14WEDRu0DJYCirZu72hYsV,178527,54,0.000139,0.47,,0.952,0.00283,B,0.386,-3.641,Minor,0.134,170.058,04-Apr,0.398,Alternative
No,Hollywood Undead,Undead,50ftdk9sc3dGqy6OzOYV9W,171914,62,0.0146,0.511,265053,0.937,,D,0.304,-5.116,Minor,0.115,163.141,04-Apr,0.484,Alternative
No,Dead Man Winter,Destroyer,39OsanyhSbUZIYjPPNeeO6,117726,46,0.00549,0.511,184868,0.813,0.00207,C,0.0969,-6.78,Major,0.0357,,04-Apr,0.826,Alternative
No,Tierra Whack,Waze,4bTKSawbCwHnkYoXB440AP,33941,47,0.662,0.815,60000,0.219,,B,0.106,-12.898,Minor,0.512,119.977,05-Apr,0.162,Alternative
No,Amon Amarth,Fafner's Gold,3Ts1xBEZBVIO6YpedhDy6h,133057,45,0.0045,0.415,,0.948,0.0982,G#,0.0889,-6.35,Major,0.0879,179.724,04-Apr,0.162,Alternative
No,Badflower,Daddy,391cjBOeOMyPTZZl0yUAiF,33215,43,0.0134,0.657,252467,0.717,8.22e-06,G#,0.145,-5.871,Minor,0.0387,120.035,04-Apr,0.728,Alternative
No,empty_field,Wikipedia,4GTycfPBRIIKqLuL8mCIuV,56613,45,0.391,0.771,199970,0.462,5.72e-06,B,0.267,-8.717,Minor,0.128,145.908,04-Apr,0.875,Alternative
No,Col3trane,Penelope,3e9R23BvUPW7gbPfboiDIx,98184,55,0.104,0.551,,0.391,,E,0.173,-9.486,Major,0.4,87.993,04-Apr,0.353,Alternative
No,Rend Collective,My Lighthouse,5KmqU0dRRcrcTQGxAdudGF,196051,56,0.0326,0.545,,0.805,,C,0.781,-5.792,Major,0.0491,110.008,04-Apr,0.727,Alternative
No,Ministry,Just One Fix,6t7lMFHSifu9j8NPMNCv9T,166668,46,1.42e-05,0.539,310293,0.982,0.462,C,0.371,-4.495,Major,0.0592,132.984,04-Apr,0.145,Alternative
No,Chad Kroeger,Hero (feat. Josey Scott),6Pp0cu0y4lOyRd04L3e9lS,65113,58,0.00216,0.427,200480,0.843,,E,0.179,-4.54,Major,0.0364,147.387,03-Apr,0.304,Alternative
No,Lecrae,Blessings,4vSS638PylahDcE3IWp4Rb,91828,52,0.00373,0.753,,0.609,,C,0.347,-4.381,Major,0.117,140.304,04-Apr,0.439,Alternative
No,Foo Fighters,Congregation,01RbsjW5FmljeVje00TjT1,202133,52,5.61e-05,0.405,311907,0.91,2.63e-05,D,0.0652,-5.441,Major,0.0428,151.915,04-Apr,0.575,Alternative
No,Air,The Vagabond,0yUYxPdVRKEOvu0HEu9f7h,210714,48,0.23,0.608,337533,0.514,0.226,G#,0.052,-4.782,Major,0.0451,139.647,04-Apr,0.313,Alternative
No,empty_field,Wonderful - Remastered,2ketlej3bAKtetsazG94rV,93475,40,0.00513,0.471,,0.868,7.23e-06,G,0.22,-4.227,Major,0.0564,186.67,04-Apr,0.552,Alternative
No,empty_field,Pure Morning,179rPtwrY4cNCMWOVfHxSp,196279,56,0.0372,0.387,254760,0.898,4.04e-05,G#,0.11,-6.835,Major,0.0675,,04-Apr,0.202,Alternative
No,Clipse,Grindin',2LRTsa2jsdflVRlUxkXb5e,190180,53,0.122,0.592,264760,0.77,1.22e-06,C#,0.103,-3.402,Major,0.318,191.692,04-Apr,0.361,Alternative
No,Korn,Divine,2YdFQVCQMgYqBA5Hk3ptJw,54363,46,0.00865,0.455,170373,0.958,1.49e-05,A,0.137,-5.91,Major,0.143,123.888,04-Apr,0.419,Alternative
No,Zacari,Don't Trip,1L5EwOaOMlEUCKh2QX7wn5,140637,51,0.0808,0.696,,0.638,0.000779,F#,0.0799,-6.342,Major,0.063,,04-Apr,0.331,Alternative
No,Sum 41,Motivation,2ww4JXJolWV7DmC5PFfZyu,164736,51,0.000756,0.506,169960,0.899,,E,0.0646,-6.311,Major,0.138,168.376,04-Apr,0.817,Alternative
No,Mahalia,Sober,1htwAGu3X0tnYExM440goH,117541,61,0.34,0.657,266288,0.7,0.000106,A#,0.0992,-4.911,Minor,0.382,,04-Apr,0.61,Alternative
No,empty_field,Everything Comes Alive,3F57PtOdqRpD6euFYqtKXX,60795,43,0.182,0.683,201733,0.828,,G#,0.101,-5.479,Major,0.0471,97.006,04-Apr,0.539,Alternative
No,empty_field,Must Have Done Something Right,2o660Ri2wTg7Rv6cKbFBCe,71882,46,0.0166,0.563,199867,0.959,,C#,0.13,-3.036,Major,0.0421,,04-Apr,0.81,Alternative
No,empty_field,Naive,7LD0GJ3eEqyPlXqjz27NcV,95960,54,0.716,0.64,213250,0.582,0.00117,C#,0.328,-9.529,Major,0.041,100.024,04-Apr,0.085,Alternative
No,Earl Sweatshirt,Inside,6VjumxWNZjOqRQodsor7cf,134163,45,0.162,0.701,,0.557,,A,0.153,-9.889,Minor,0.312,142.028,04-Apr,0.371,Alternative
No,empty_field,Gone Sovereign,5klBtea1QPwtmnlE3eZkuj,57365,48,0.000134,0.521,243267,0.992,0.027,F#,0.122,-4.203,Major,0.144,136.023,04-Apr,0.166,Alternative
No,The Front Bottoms,The Feud,6A3oO0FUsBBD0fYZVFbUbn,208470,39,0.00716,0.259,194821,0.971,,B,0.393,-4.804,Major,0.0989,121.561,04-Apr,0.708,Alternative
No,Billy Lemos,Wait,0YlqJkfuox9LpJ5uW3NPM8,21806,47,0.752,0.49,,0.344,0.019,G,0.14,-10.674,Major,0.0826,115.087,04-Apr,0.374,Alternative
No,The Raconteurs,Bored and Razed,1pYkT0eYkd0XOokTgrwCJc,41813,54,0.000439,0.32,215498,0.947,0.00945,D,0.113,-6.958,Major,0.334,164.867,04-Apr,0.0753,Alternative
No,Mac Ayres,Easy,6zSYZr4hWlgbTQJ0o2fuvZ,91012,69,0.373,0.722,314358,0.282,0.00557,F,0.147,-7.484,Major,0.106,91.367,04-Apr,0.217,Alternative
No,Chevelle,Mexican Sun,3ofkEmGpqIZt9dPZwRLMDz,143622,38,5.24e-05,0.278,255987,0.979,,D,0.153,-2.755,Major,0.136,,03-Apr,0.194,Alternative
No,empty_field,Everything To Everyone,4bxI9ChxEjVVqtFZmWRrR4,71931,47,0.0919,0.646,200267,0.945,1.53e-05,C,0.0599,-5.689,Major,0.0473,100.027,04-Apr,0.796,Alternative
No,Phil Wickham,Song In My Soul (feat. Hollyn),0rTV5WefWd1J3OwIheTzxM,43263,42,0.131,0.276,231400,0.522,,G,0.126,-6.018,Major,0.0483,77.055,04-Apr,0.279,Alternative
No,BLESSED,Memoirs of the Melancholy,6giYNaycmjkbf7UmZ6RGtL,38953,47,0.0655,0.743,,0.553,0.000755,G,0.106,-9.12,Minor,0.0299,89.989,04-Apr,0.391,Alternative
No,Rammstein,MANN GEGEN MANN,1tndktY8ZFXapGYIeHUGR2,79329,46,0.00083,0.446,230560,0.866,0.26,G#,0.0692,-5.247,Major,0.0779,166.066,04-Apr,0.554,Alternative
No,Three Days Grace,Me Against You,4LJeVkecWOtz2KtqDEJWrc,189212,48,0.000269,0.614,209027,0.826,1.62e-06,G,0.0989,-7.395,Minor,0.0514,111.997,04-Apr,0.431,Alternative
No,empty_field,La femme d'argent,2LIh4uzqq9cXMPzzmcToHl,105892,47,0.436,0.516,,0.737,0.678,F#,0.392,-8.189,Minor,0.0362,79.852,04-Apr,0.547,Alternative
No,Korn,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),0HrrWZIJ7hR7C0JmDZ2uvN,26987,59,0.000456,0.519,190707,0.892,0.000525,B,0.572,-5.285,Minor,0.113,174.027,04-Apr,0.559,Alternative
No,Rayana Jay,If You Won’t,0FOkZNxEZfzwqDLHhurPoD,116541,45,0.139,0.581,,0.619,0.000793,F#,0.0768,-8.122,Minor,0.216,,05-Apr,0.573,Alternative
No,Emotional Oranges,Corners Of My Mind,165NAtd2DRPKNQ6EVY0VG9,37223,53,0.416,0.677,212867,0.594,0.0372,C,0.141,-8.081,Minor,0.0338,117.032,04-Apr,0.212,Alternative
No,Two Door Cinema Club,Sun,5AeTjkSI1P8GUY7wkuQNt3,107973,57,0.00927,0.65,187720,0.528,0.000419,E,0.111,-5.642,Minor,0.0288,96.967,04-Apr,0.595,Alternative
No,Hot Chip,Spell,3R1okxz8z4nGb4vlzT7UKT,47643,51,0.0648,0.719,378493,0.489,9.85e-05,C,0.0624,-9.037,Minor,0.0406,122.01,04-Apr,0.762,Alternative
No,empty_field,I Need Some Sleep,6xRAt6Ui9UoB0ATXyf1pM5,77090,57,0.869,0.664,148187,0.307,0.458,C,0.107,-10.14,Major,0.0325,128.029,04-Apr,0.193,Alternative
No,A Tribe Called Quest,Steve Biko (Stir It Up),7vQtcOcC5YrRhdXXrTPMr4,138190,48,0.0109,0.853,191533,0.494,0.000884,A#,0.205,-10.911,Minor,0.201,95.284,04-Apr,0.341,Alternative
No,empty_field,Mulholland,0O9pRLDAodTXGsfP7ZjS4H,36806,47,0.556,0.46,190541,0.512,0.472,C#,0.148,-12.602,Major,0.0514,110.688,04-Apr,0.266,Alternative
No,empty_field,Come Over,7aU88CeEVXqVmzz2XpnCzB,138980,57,0.0968,0.529,,0.598,0.171,G#,0.189,-7.951,Major,0.187,,04-Apr,0.691,Alternative
No,Bishop Briggs,Baby,4wwqHo2gtdTLBWtnrx7XIu,78190,53,0.00475,0.66,194000,0.592,,F#,0.273,-5.568,Minor,0.0376,139.984,04-Apr,0.206,Alternative
No,A Perfect Circle,Vanishing,5JYc0PhZOvSU6VavFyT9iF,89001,42,0.00158,0.633,291467,0.583,0.359,G#,0.117,-11.771,Minor,0.0311,119.838,04-Apr,0.162,Alternative
No,Slipknot,Custer,0j00zu3FKBWSu1Hyt2Ivcj,206487,58,0.00174,0.407,254467,0.98,0.000112,G,0.119,-1.58,Major,0.107,131.066,04-Apr,0.537,Alternative
No,Rage Against The Machine,Snakecharmer,5OFtx7xsDriV5Q8qq8fzhL,79642,44,0.00732,0.553,235400,0.883,0.0488,G,0.0599,-7.302,Major,0.0618,136.711,04-Apr,0.463,Alternative
No,Kaiser Chiefs,Ruby,5Ft4VNqy14Lv8xR8RRNCz5,33878,56,0.00604,0.443,,0.934,6.66e-06,F,0.0779,-3.398,Minor,0.0501,93.43,04-Apr,0.401,Alternative
No,Queens of the Stone Age,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",0p5Bv16XNo5B7AdeKD0H0F,139934,46,0.0255,0.471,192573,0.862,0.0268,C,0.131,-6.81,Minor,0.11,159.823,04-Apr,0.601,Alternative
No,empty_field,This Could Change Everything,2c7juiCpLJ8Vj8ibRwqUEw,165080,43,0.0138,0.598,,0.8,,F,0.0579,-5.687,Minor,0.0382,95.03,04-Apr,0.679,Alternative
No,KAYTRANADA,LEAVE ME ALONE,16LZtAsJhnyta6i2zmVCZL,30517,49,0.122,0.792,277960,0.478,0.00157,F#,0.519,-10.626,Major,0.434,119.979,04-Apr,0.134,Alternative
No,empty_field,Give Me A Sign,20dP2DaMHIAmwWAbp7peSr,118879,54,0.000472,0.223,257693,0.851,,F#,0.0743,-3.6,Major,0.0579,,04-Apr,0.435,Alternative
No,Earshot,Get Away,5H3B1WtZYGmyOYOXgQltKU,198257,40,0.000975,0.284,272107,0.852,0.00625,C#,0.581,-5.135,Major,0.18,,05-Apr,0.473,Alternative
No,Young the Giant,I Got,3jNUkyd8X4vKrhHd19Mcqh,196686,46,0.00764,0.377,,0.903,9.74e-05,G#,0.109,-6.423,Major,0.0739,195.909,03-Apr,0.353,Alternative
No,Deftones,Knife Prty,2btMA0oVvDOTK3PVYq70xZ,187469,51,0.00025,0.295,,0.883,0.0234,C,0.137,-3.897,Minor,0.0446,74.483,03-Apr,0.118,Alternative
No,Danger Doom,Benzi Box,1VoQMagOKVuVGZjGrNnmyJ,193861,48,0.0654,0.894,180093,0.458,0.0192,D,0.107,-8.594,Major,0.0507,97.015,04-Apr,0.679,Alternative
No,Matthew West,Forgiveness,4IHGdJXh3JPSmAFx18N4cl,158145,41,0.00737,0.407,267347,0.669,1.12e-05,C,0.135,-5.166,Major,0.0337,,04-Apr,0.197,Alternative
No,Earl Sweatshirt,20 Wave Caps,4YGiEc9FW1CRPgcjq1TDml,29205,46,0.0582,0.498,132373,0.748,,G#,0.281,-7.218,Major,0.434,77.601,04-Apr,0.426,Alternative
No,Mike Shinoda,Promises I Can't Keep,55V2beHUE0a5Z8LJtocYiF,113061,45,0.0076,0.617,202520,0.648,1.69e-05,G,0.0405,-7.593,Major,0.0301,135.02,04-Apr,0.467,Alternative
No,Warren Zevon,Keep Me in Your Heart,2P61EK6DMGyVyssLWS4fKy,124779,51,0.832,0.427,,0.393,1.54e-06,G,0.0932,-9.142,Major,0.0418,177.429,04-Apr,0.244,Alternative
No,The Neighbourhood,Ferrari,4n1G95lYBm9jtPI7UrWrPI,159605,50,0.00235,0.442,184173,0.652,1.06e-06,B,0.5,-8.636,Minor,0.0405,,04-Apr,0.18,Alternative
No,empty_field,Army of Me,0yaX9B73Wfk87ljABIdcU3,73864,48,0.00786,0.462,234333,0.677,7.15e-05,F#,0.226,-9.262,Major,0.0327,172.192,04-Apr,0.468,Alternative
No,Francesca Battistelli,He Knows My Name,0mE22UPAPbwQaTmxMOlpaH,90198,53,0.00107,0.5,207173,0.836,4.03e-05,F#,0.197,-6.165,Major,0.0454,90.011,04-Apr,0.41,Alternative
No,Theory of a Deadman,Hurricane,24Y1HxvYn5CBA7H0de26Ll,171449,45,0.00967,0.401,257453,0.876,,F,0.397,-4.644,Major,0.0604,132.147,04-Apr,0.385,Alternative
No,empty_field,Let Me Go,01XX7rQxH7NO1R3p7pJjLe,160656,44,0.0512,0.773,,0.641,0.000365,A,0.0791,-8.049,Major,0.0456,109.141,04-Apr,0.944,Alternative
No,Korn,Faget,65bqvmCL6EpVr83ZDC40Qe,96459,49,0.0224,0.473,349507,0.844,2.82e-05,A,0.147,-6.5,Major,0.095,88.431,04-Apr,0.44,Alternative
No,I AM THEY,My Feet Are on the Rock,0WVCw4DuZ5GliVNUyyNmS2,65844,50,0.00171,0.612,183707,0.83,,C,0.125,-4.361,Major,0.0464,103.84,04-Apr,0.525,Alternative
No,Megadeth,Hangar 18 - Remastered 2004,6qmeWDjGnxbSetbJSJAO4f,184815,58,5.87e-05,0.248,311200,0.988,0.84,D,0.323,-3.74,Major,0.144,115.298,04-Apr,0.149,Alternative
No,Lecrae,Facts,2Kf9fwIOwZwd6Aw7OxfkF0,124446,43,0.0702,0.601,241573,0.75,,G,0.554,-6.585,Major,0.42,180.043,04-Apr,0.655,Alternative
No,empty_field,Something I Can Never Have,7CopJCaFaOsTrNpZanANip,49521,41,0.815,0.501,354933,0.131,6.12e-05,F,0.111,-16.824,Major,0.0302,108.051,04-Apr,0.0391,Alternative
No,Yeek,I'm Trying,0LsVa1Hal7ZJe9oJ5RdxHi,172521,48,0.541,0.804,,0.429,0.00106,C#,0.103,-6.712,Major,0.0714,96.957,04-Apr,0.768,Alternative
No,empty_field,Going Home,3eIzChv8AqByBiRwxDMFxN,162084,50,0.00746,0.619,198480,0.848,,D,0.126,-3.822,Major,0.0269,90.002,04-Apr,0.543,Alternative
No,empty_field,Monster,1YLJVmuzeM2YSUkCCaTNUB,204297,71,0.0431,0.64,178013,0.957,,G#,0.0789,-2.336,Major,0.0741,134.992,04-Apr,0.692,Alternative
No,Escape the Fate,One For the Money,4KRkanYEoxAEBY5HDtYGU6,35811,60,0.000328,0.525,199950,0.964,5.5e-06,F,0.0527,-3.451,Minor,0.0571,90.013,04-Apr,0.385,Alternative
No,empty_field,Shake,6HHmmFTXewcI25nRAbiQRJ,167667,52,0.0124,0.751,188238,0.533,0.653,A,0.178,-6.505,Minor,0.317,,04-Apr,0.447,Alternative
No,Korn,It's On!,6xGLN4dZ4M6ZpLUSgCFfbP,209436,50,0.00074,0.447,,0.795,0.0237,B,0.0992,-6.855,Minor,0.109,90.975,04-Apr,0.229,Alternative
No,Lecrae,Always Knew,0k5PuYlqXIjZGRhwOqHVol,182523,43,0.058,0.462,214613,0.827,,F,0.0699,-5.107,Minor,0.525,65.839,03-Apr,0.508,Alternative
No,empty_field,Pulse,0KqHJXm4Z42fELkW83ZW0r,168197,43,0.0649,0.442,191660,0.929,,C,0.094,-3.671,Major,0.216,173.81,04-Apr,0.624,Alternative
No,Blindside,Pitiful,5e74nm3S2nEUDgilQLEidW,135864,41,0.000817,0.54,192213,0.959,,G#,0.376,-3.775,Major,0.0452,131.83,04-Apr,0.499,Alternative
No,Ro James,Permission,42et6fnHCw1HIPSrdPprMl,20164,53,0.195,0.663,,0.481,6.7e-05,F#,0.0836,-4.121,Minor,0.0545,,04-Apr,0.306,Alternative
No,Queens of the Stone Age,Mexicola,5HnxL39pSgVVQMLP7WnSfv,110603,46,0.00359,0.437,295632,0.895,0.123,C,0.0755,-4.64,Major,0.0304,109.113,04-Apr,0.468,Alternative
No,anders,December (feat. Luca),2slVcV5wR4r8XLfpXrJTTh,157983,54,0.319,0.735,182264,0.329,1.26e-05,A,0.111,-12.309,Minor,0.0359,91.004,04-Apr,0.335,Alternative
