Selected,artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,LCD Soundsystem,"New York, I Love You but You're Bringing Me Down",12RbVnPlFmOK1OUpfvnB3Z,24445,54,0.474,0.39,335480,0.37,0.00013,G,0.115,-8.288,Minor,0.0457,176.526,03-Apr,0.0909,Alternative
No,empty_field,Make You Feel,1z8VQNzZ8mETuKjW1szX1A,119805,59,0.787,0.7,220800,0.43,0.000476,C#,0.129,-8.437,Minor,0.0399,,04-Apr,0.103,Alternative
No,The Story So Far,Framework,0JL62s3HOx8rf2qTv7EG8J,86271,41,1.81e-05,0.394,188383,0.983,3.67e-05,G#,0.135,-3.246,Major,0.0893,83.472,04-Apr,0.384,Alternative
No,3 Doors Down,Loser,79PaeaCZXyeu2C5XeSBzIv,161849,54,0.0108,0.499,264800,0.88,2.76e-05,F#,0.226,-6.424,Minor,0.0654,147.899,04-Apr,0.39,Alternative
No,Celldweller,Shapeshifter - feat. Styles Of Beyond,62M9yafZsSRzlsphzeJPGo,113109,51,0.00268,0.622,217226,0.956,0.0,F#,0.394,-3.658,Major,0.133,115.963,04-Apr,0.557,Alternative
No,Eels,Novocaine For The Soul,5g0hXvfKYYZrEdnoCn1QQc,215680,51,0.0127,0.393,187720,0.765,0.0272,F#,0.0875,-7.739,Major,0.0649,,04-Apr,0.349,Alternative
No,empty_field,Make It Work,0lIhU5NRZBSGlATPih9Ggf,67595,47,0.00275,0.75,224373,0.643,0.00283,E,0.146,-7.43,Major,0.0533,107.017,04-Apr,0.343,Alternative
No,Two Door Cinema Club,"Eat That Up, Its Good for You",0joEI17CmvhOJtHNyvVdrR,185973,47,0.00267,0.501,225427,0.879,0.00267,F,0.335,-5.364,Major,0.0529,154.921,04-Apr,0.539,Alternative
No,empty_field,Razorblade,6cX5lonuELhQO4074CD8fC,198110,49,0.00201,0.394,208133,0.859,0.233,A,0.1,-3.851,Major,0.0409,136.075,05-Apr,0.511,Alternative
No,Stone Sour,Fabuless,3axYnsivcOlmlKa72yrRl3,154059,51,0.00301,0.429,240707,0.995,9.46e-05,C#,0.321,-4.353,Minor,0.139,158.355,04-Apr,0.183,Alternative
No,grandson,Stigmata,4TuIzt1CgFXVquZp0p9nxi,40104,56,0.000248,0.469,217459,0.862,0.000322,E,0.0661,-6.48,Minor,0.109,87.048,04-Apr,0.322,Alternative
No,Slipknot,Psychosocial,3HNNPwscZF2UUiVM5FQFsw,187916,68,0.00252,0.576,283400,0.989,0.0032,D,0.0243,-1.909,Major,0.112,135.093,04-Apr,0.352,Alternative
No,MIKESCHAIR,All I Can Do (Thank You),5Rrjvj9IZytjmpd3l5uv8G,101719,42,0.0206,0.532,218707,0.825,4.5e-06,G,0.307,-4.901,Major,0.0294,,04-Apr,0.66,Alternative
No,Jason Isbell and the 400 Unit,Cumberland Gap,46oaBO2EfDbVns6gEg0kr8,96580,44,0.000354,0.272,204402,0.908,0.0362,B,0.18,-7.928,Minor,0.103,,04-Apr,0.38,Alternative
No,Pearl Jam,Even Flow,1zWZvrk13cL8Sl3VLeG57F,165568,72,0.00178,0.394,292581,0.944,4.54e-06,A#,0.298,-6.506,Minor,0.0761,105.338,04-Apr,0.265,Alternative
No,311,Beautiful Disaster,0aZMH9orRjGqwzKvzg4MTR,178347,58,0.000387,0.576,238400,0.738,0.00131,B,0.13,-8.122,Major,0.0353,,04-Apr,0.675,Alternative
No,empty_field,Bad Ones (feat. Tegan and Sara),4lmQv59m2uX1OhnHuQskh2,69073,52,0.00693,0.769,276983,0.511,0.0885,B,0.223,-8.357,Major,0.0402,104.003,04-Apr,0.0399,Alternative
No,Mike Shinoda,About You (feat. blackbear),55YsnzdFe3aoRRCTUZgpJF,163860,50,0.626,0.649,206182,0.564,1.41e-05,C,0.142,-6.85,Minor,0.101,135.738,04-Apr,0.555,Alternative
No,UMI,Frequently,0GeZdNeIsnsaA3Ae2ffGzc,43760,48,0.859,0.543,144588,0.461,0.0,G,0.738,-10.379,Minor,0.223,88.703,04-Apr,0.289,Alternative
No,Majid Jordan,Not Ashamed,4eVikDUCG2zumfejHQxGbe,126677,42,0.00142,0.766,240000,0.408,0.000998,C,0.115,-10.724,Major,0.0839,,04-Apr,0.15,Alternative
No,Knxwledge,kometostai.aintreallynootherwaytoputitro,1wAP8mzhxm3P3Kd8Uieyxl,29326,44,0.399,0.576,73898,0.636,0.0513,E,0.23,-8.688,Major,0.0755,78.244,04-Apr,0.438,Alternative
No,Godsmack,FML,2wvMC5EyaaYQwBfiwwY2xE,203403,42,0.000297,0.496,218547,0.955,0.0,D,0.0807,-4.321,Major,0.093,134.695,04-Apr,0.148,Alternative
No,Rise Against,House On Fire,03gNt9LmzZOZcnjKFKrFMl,198735,55,0.00155,0.427,194507,0.95,0.0,B,0.459,-2.187,Major,0.0886,169.006,04-Apr,0.592,Alternative
No,Five Finger Death Punch,Bloody,6EPRKhUOdiFSQwGBRBbvsZ,51355,48,0.00993,0.502,229404,0.975,0.0,F#,0.874,-5.59,Major,0.133,170.017,04-Apr,0.491,Alternative
No,Jamie Grace,Do Life Big,2OgICOmdAFjOc2wyf98Ign,140988,40,0.00808,0.638,185200,0.861,0.0,F,0.0594,-3.162,Major,0.045,,04-Apr,0.931,Alternative
No,Weathers,Dirty Money,5itdJlvt8gXNp1ZvK7qbml,95999,42,0.437,0.622,-1,0.876,1.22e-05,C,0.119,-3.801,Major,0.0343,87.989,04-Apr,0.552,Alternative
No,Jamila Woods,GIOVANNI,3yrmCi6eBmYPPOxDdrOTQB,114244,43,0.00437,0.509,288683,0.761,0.000594,C#,0.219,-5.129,Minor,0.283,80.825,04-Apr,0.596,Alternative
No,Nicole C. Mullen,Redeemer,3wUAFiguLczA83r1scrQFm,91670,43,0.263,0.512,-1,0.455,5.45e-06,G,0.157,-4.551,Major,0.0249,106.006,04-Apr,0.135,Alternative
No,Electric Guest,Waves,2ySyV2K8WnOqsQ0CfBNdnx,134355,43,0.0283,0.764,186107,0.837,6.36e-05,A#,0.0983,-4.702,Minor,0.0361,,04-Apr,0.863,Alternative
No,Hollywood Undead,War Child,5TvFfDlVoUWZvfqrhTJzD7,170956,51,0.0228,0.719,238600,0.915,2.54e-06,F,0.0763,-3.547,Minor,0.127,122.999,04-Apr,0.647,Alternative
No,Creed,My Own Prison,1DndHckdH9m5rp6gYP086b,145145,58,0.0277,0.505,298800,0.778,0.00275,A#,0.115,-4.778,Major,0.0398,140.493,04-Apr,0.284,Alternative
No,The Afters,Broken Hallelujah,1MTanOR2Kts7au3HtM0nez,201037,49,0.131,0.534,271787,0.755,0.0,D,0.0888,-4.476,Major,0.0385,119.951,04-Apr,0.324,Alternative
No,empty_field,She Don't Use Jelly,32i73Q4w4R5HRy9h9vDRiZ,126160,55,0.207,0.33,-1,0.556,4.39e-05,G,0.315,-11.494,Major,0.0796,173.828,04-Apr,0.506,Alternative
No,Foo Fighters,Big Me,6sSQ3VO0XNK5APus7sIkwh,90597,57,0.442,0.579,132840,0.708,0.0,C,0.11,-10.419,Major,0.0374,130.97,04-Apr,0.846,Alternative
No,empty_field,DRIVE ME CRAZY,3XhmzBl2ZLlki3yhIaIhfw,28997,49,0.00676,0.479,277787,0.667,0.000118,C#,0.157,-7.653,Major,0.379,147.486,04-Apr,0.274,Alternative
No,empty_field,Southern Girl,6AqefKncZtURSbrLFCyKQY,206892,40,0.0539,0.562,220867,0.626,0.00161,A,0.121,-7.016,Minor,0.0244,97.979,04-Apr,0.382,Alternative
No,Mon Laferte,Caderas Blancas,1LJ8VBs4v5PK2nmVELWgVJ,127960,61,0.244,0.652,225400,0.834,9.25e-06,G#,0.122,-6.072,Minor,0.112,94.999,04-Apr,0.643,Alternative
No,Coheed and Cambria,The Running Free,6fnIitWMKHnRnMLxSb0MYW,199341,42,0.0183,0.476,252947,0.948,0.0,B,0.11,-4.343,Minor,0.117,169.974,04-Apr,0.623,Alternative
No,Wilco,I Am Trying to Break Your Heart,5bKP0HAlVAzKVqBR3ZjFE6,165255,47,0.317,0.467,-1,0.536,0.0119,E,0.123,-10.906,Major,0.0268,85.958,04-Apr,0.429,Alternative
No,Coheed and Cambria,Delirium Trigger,1FlxqJmoZWS2q1uRlyZVur,151078,41,0.000361,0.243,287560,0.667,0.00666,D,0.075,-6.068,Minor,0.0498,,04-Apr,0.165,Alternative
No,Ari Lennox,Grampa,3HtCaD8SkNbjy3TrEcS4Km,183356,44,0.365,0.828,232288,0.58,0.000325,G#,0.0558,-8.395,Major,0.0551,105.464,04-Apr,0.801,Alternative
No,Queens of the Stone Age,Go With The Flow,5TidpShGz6Jxsbx8fzKDlC,208773,54,0.0115,0.248,187120,0.991,0.0462,E,0.834,-3.835,Minor,0.103,159.37,04-Apr,0.398,Alternative
No,Smash Into Pieces,Animal,78mehkHd1WUDxhcLXkbrLb,31470,45,0.00207,0.502,184453,0.9,0.0,E,0.198,-3.936,Minor,0.0491,135.079,04-Apr,0.763,Alternative
No,Puddle Of Mudd,Blurry,5X13b4CYce5Y6NYPfmYsXr,36943,63,0.01,0.44,304000,0.929,0.0,D#,0.142,-4.494,Minor,0.0525,157.49,04-Apr,0.495,Alternative
No,Welshly Arms,Never Meant to Be,6HsajBqapfID97K6IWFR5R,174082,48,0.00917,0.476,175800,0.849,0.0,G,0.0952,-5.031,Minor,0.0499,123.23,04-Apr,0.439,Alternative
No,HELLYEAH,Oh My God,5TPGNQ5YIuc9ssbY0MCTtW,158406,53,0.000368,0.315,252689,0.975,0.0,F#,0.248,-2.912,Minor,0.198,,03-Apr,0.35,Alternative
No,Flyleaf,Fire Fire,3TgMcrV32NUKjEG2ujn9eh,108558,43,0.00396,0.418,181907,0.915,0.00236,E,0.132,-4.465,Minor,0.0441,174.059,04-Apr,0.339,Alternative
No,Megadeth,Angry Again,7pOWWGpUc3T05IXfymgIP3,179463,48,2.39e-05,0.689,227973,0.719,0.679,D#,0.314,-8.643,Minor,0.0304,127.982,04-Apr,0.959,Alternative
No,Earl Sweatshirt,Pre,0VgfLOKCpBsBWsosjfWv9R,41552,46,0.149,0.668,172493,0.577,0.00111,A,0.182,-6.984,Major,0.0634,,04-Apr,0.557,Alternative
No,Three Days Grace,Human Race,0qTwJ1NWkEBrKs11tfJWLA,67824,54,0.0565,0.261,249280,0.849,1.84e-06,A#,0.242,-5.146,Major,0.0591,142.791,04-Apr,0.23,Alternative
No,Aaron Lewis,Granddaddy's Gun,7hYNiRuL7FvsWVBuE3JkYA,114398,51,0.105,0.556,223907,0.758,0.0,F#,0.124,-4.751,Major,0.0278,145.046,04-Apr,0.357,Alternative
No,Breaking Benjamin,Rain,4jy4fbtdSpC5Hr4uXLEQCV,128422,48,0.578,0.614,205240,0.299,0.0,C,0.103,-9.792,Major,0.0279,124.846,04-Apr,0.397,Alternative
No,Trivium,Dying in Your Arms,03tLGhJaQhJkPdxzS54cwv,171704,48,2.55e-05,0.446,173160,0.933,9.67e-05,A,0.085,-3.605,Minor,0.0537,159.961,04-Apr,0.753,Alternative
No,Disturbed,Land of Confusion,3cjF2OFRmip8spwZYQRKxP,211927,61,4.44e-05,0.553,287067,0.991,0.0695,G#,0.179,-3.703,Major,0.0925,,04-Apr,0.324,Alternative
No,empty_field,Make It Up As I Go (feat. K.Flay),6eOcTp8RIP7nJOhGIEJKtV,195616,53,0.126,0.538,-1,0.728,0.0221,C#,0.161,-7.21,Minor,0.293,188.003,04-Apr,0.576,Alternative
No,empty_field,Decks Dark,55RUp308pgoV1T7yUGjw6D,41427,55,0.668,0.56,281011,0.5,0.833,D,0.117,-10.829,Minor,0.0272,139.174,04-Apr,0.249,Alternative
No,Natalia Lafourcade,Soledad y el Mar (feat. Los Macorinos),7MDCN64g4Ui1y7TSDn0cky,197455,55,0.896,0.726,214547,0.177,2.14e-06,C#,0.116,-14.824,Minor,0.0353,92.934,04-Apr,0.618,Alternative
No,Parkway Drive,Wishing Wells,64nxQiLpJoXmKoFCGxMML7,90813,52,0.00272,0.402,-1,0.975,0.00912,C,0.326,-4.499,Major,0.14,,04-Apr,0.23,Alternative
No,Anthem Lights,One Republic Mash-Up,5CqmSwn8D1DuleBV1fOiCG,119864,46,0.656,0.359,157974,0.444,0.0,D#,0.163,-5.963,Major,0.0318,124.682,04-Apr,0.29,Alternative
No,empty_field,Still In Love,3X78B3edtu8CRH9Tl6jhO5,136811,39,0.00723,0.434,276240,0.813,0.000844,F,0.218,-6.295,Major,0.0538,148.081,04-Apr,0.151,Alternative
No,MISSIO,Can I Exist,5LgX72OtKKijUcRFwqtPkp,115883,45,0.497,0.428,-1,0.487,0.332,F,0.111,-7.747,Major,0.0331,119.925,04-Apr,0.137,Alternative
No,Puscifer,Grand Canyon,5rtC7NRTlX3oTmWZEE45j9,140262,43,0.126,0.503,357658,0.506,0.225,D,0.115,-9.183,Major,0.029,82.994,04-Apr,0.106,Alternative
No,empty_field,Crave You,4ZuZmPpELWgs0OYNgzSpGm,186333,57,0.0976,0.921,234787,0.48,0.0,C#,0.0768,-9.2,Minor,0.0823,120.043,04-Apr,0.317,Alternative
No,Soul Asylum,Somebody to Shove,5DESvl3uwQxvVoiFnDmv3m,45238,45,0.00336,0.434,194733,0.909,0.0,G,0.324,-6.381,Major,0.0886,162.235,04-Apr,0.356,Alternative
No,empty_field,Southern Gothic,6H4IX21JUQ87XjaQKaGHmy,188684,36,0.277,0.654,235400,0.683,0.0,A,0.205,-4.069,Minor,0.0337,124.889,04-Apr,0.449,Alternative
No,Madvillain,The Illest Villains,6tSzBTVkALyELZjNhlTTqy,78195,43,0.546,0.402,115360,0.817,0.00889,A#,0.426,-9.215,Minor,0.307,97.267,04-Apr,0.334,Alternative
No,DaniLeigh,Be Yourself,0MQygdHirl8XZjivCTfzJf,70492,48,0.127,0.781,149773,0.366,0.000787,C#,0.102,-9.067,Minor,0.27,125.07,04-Apr,0.321,Alternative
No,Dominic Fike,Westcoast Collective,5keCzFUjzC1PJ9IeN8mumO,47693,58,0.542,0.682,107280,0.571,0.00757,C#,0.339,-7.169,Minor,0.0271,,04-Apr,0.539,Alternative
No,The Wonder Years,Passing Through A Screen Door,1XTGyfJeMiZXrZ1W3NolcB,113990,48,0.000517,0.451,-1,0.923,2.75e-05,G#,0.648,-5.303,Major,0.103,111.361,04-Apr,0.318,Alternative
No,Sturgill Simpson,Life Ain't Fair and the World Is Mean,2b9hxUjHlJj83VCnhBQBEV,175189,47,0.142,0.637,126467,0.821,0.0349,B,0.261,-5.065,Minor,0.0342,104.34,04-Apr,0.734,Alternative
No,Jakob Ogawa,You Might Be Sleeping,2Ag6FZjxfu3raD2EgmPfYq,96234,56,0.719,0.587,147093,0.561,0.342,G,0.168,-9.249,Major,0.0264,,04-Apr,0.511,Alternative
No,Birds Of Tokyo,Plans,4sM7v7wyRAuV6ZTO2dvnCA,63852,44,0.0539,0.61,218880,0.601,1.03e-05,A#,0.327,-9.396,Major,0.0269,,03-Apr,0.273,Alternative
No,Anthem Lights,Isn't She Lovely,26gQQcCHXQ5zRRtCsqyowf,211822,47,0.83,0.419,-1,0.302,0.0,F,0.273,-7.347,Major,0.0282,90.151,03-Apr,0.358,Alternative
No,Audioslave,Doesn't Remind Me,09CqF6VVL6G7NwkCj3M2lU,70057,61,0.117,0.439,255000,0.779,1.17e-06,A,0.0982,-3.469,Major,0.0367,99.429,04-Apr,0.225,Alternative
No,Weezer,Stand By Me,5xjG7nV5ncQAHkuifsz4v3,153837,51,0.0513,0.717,180920,0.708,0.0,G#,0.0929,-4.575,Major,0.0369,119.138,04-Apr,0.758,Alternative
No,Joji,I Don't Wanna Waste My Time,4QoFwqgLw1CtoeSv6N80mU,205414,63,0.765,0.287,164430,0.234,0.0636,E,0.123,-17.86,Major,0.0672,74.454,04-Apr,0.121,Alternative
No,A Perfect Circle,Delicious,18ZOH3KKu5Elt5ysocFyX4,213495,44,0.000129,0.316,229507,0.833,0.0809,E,0.638,-2.748,Major,0.0703,,03-Apr,0.186,Alternative
No,Slipknot,Left Behind,7dveZsk7FG3K9uHCpUOh5A,72488,59,7.03e-05,0.229,241467,0.994,0.00548,F#,0.318,-3.431,Major,0.22,156.623,04-Apr,0.115,Alternative
No,empty_field,In Christ Alone,69rA7B3UCUX9sJcKewiDZn,51299,39,0.166,0.572,267040,0.526,0.0322,D,0.101,-8.123,Major,0.0254,134.061,03-Apr,0.359,Alternative
No,Slipknot,Liberate,1ExpEXUOW2KzpfV0v8iWUp,147835,56,0.000779,0.334,-1,0.99,0.0,C#,0.0744,-3.961,Major,0.187,145.162,04-Apr,0.395,Alternative
No,León Larregui,Locos,2am8thLDsLI6TpooMVYepk,201700,68,0.062,0.724,177600,0.652,0.000283,A#,0.0922,-6.433,Major,0.0341,112.021,04-Apr,0.956,Alternative
No,Kaiit,Miss Shiney,5D2cwGMuVEXa7x4Ib36SfI,128882,55,0.409,0.749,192000,0.566,0.0,C#,0.0918,-7.793,Major,0.268,72.008,05-Apr,0.795,Alternative
No,Pearl Jam,Deep,1OHoBC4icbuNhpSxP400sv,34302,47,0.000179,0.284,258186,0.882,0.000491,E,0.0979,-6.42,Minor,0.0616,82.226,03-Apr,0.25,Alternative
No,Summer Walker,Grave,536L9C0N7vhYdibCJx3cI2,43750,55,0.0504,0.653,185172,0.468,7.9e-05,C#,0.372,-12.101,Major,0.0572,96.931,04-Apr,0.199,Alternative
No,Chevelle,Piñata,4ND1gy7gwlM7slgnFemhdK,117391,38,1.85e-05,0.447,233987,0.842,0.0036,F,0.0878,-4.958,Major,0.035,113.863,04-Apr,0.316,Alternative
No,Bad Wolves,Better The Devil,0WCNusVftXNjWa4lNxPuES,153403,45,2.83e-05,0.511,182186,0.97,0.704,G,0.116,-3.955,Major,0.0624,136.003,04-Apr,0.233,Alternative
No,empty_field,Chewing Gum,11r9a6kIzPImS2s8EYYrdT,154257,56,0.144,0.622,263870,0.515,0.0165,G#,0.194,-7.959,Minor,0.145,,04-Apr,0.217,Alternative
No,Incubus,Absolution Calling,3vaONhSGEscyYeYoGpMLW4,128066,43,0.000839,0.506,277533,0.923,1.01e-05,A,0.119,-3.478,Major,0.0428,105.047,04-Apr,0.315,Alternative
No,Unspoken,Just Give Me Jesus,1B9KhZZDtgudejvc2SQkZv,152994,49,0.0177,0.502,207893,0.66,0.0,C,0.346,-7.154,Minor,0.0475,89.594,04-Apr,0.353,Alternative
No,DRAMA,Walk Away,52iyhfd6jgU2wYB8QIYs6t,21485,49,0.15,0.827,258599,0.477,0.214,F#,0.112,-6.861,Minor,0.0456,118.966,04-Apr,0.29,Alternative
No,Young the Giant,Mind Over Matter,6aX2tVpEww9ZQm3n3nzvPH,81780,57,0.000501,0.466,244693,0.763,0.0,C,0.0973,-4.448,Major,0.0318,154.914,04-Apr,0.293,Alternative
No,Aaron Lewis,Tangled Up In You,5jkddWoYx3FUBA6UQ88DTq,114838,46,0.547,0.383,268880,0.424,0.000524,C#,0.0866,-6.16,Major,0.0261,163.573,04-Apr,0.177,Alternative
No,Radiohead,Exit Music (For a Film),5GtsSRQkDTAVtvtOSzw4WL,85401,61,0.229,0.293,267187,0.276,0.119,G,0.167,-11.353,Major,0.0351,,04-Apr,0.196,Alternative
No,Adelitas Way,What It Takes,5vcdrFr1IoedMYhpaCGSFw,64923,52,0.00144,0.516,189150,0.877,0.0,G#,0.094,-4.358,Major,0.0755,174.173,04-Apr,0.625,Alternative
No,Madvillain,Sickfit,6q3fkCIdOZiOOrWKekK8nz,122799,44,0.00831,0.639,81880,0.957,0.855,D,0.203,-7.864,Minor,0.386,95.033,04-Apr,0.188,Alternative
No,Lukas Nelson and Promise of the Real,Find Yourself,2HsjJJL4DhPCzMlnaGv7ap,55841,49,0.271,0.784,-1,0.384,0.00193,G#,0.0687,-9.295,Major,0.0536,133.149,04-Apr,0.837,Alternative
No,Nickelback,S.E.X.,4jB50ob99zcvvPfToRvyzr,23035,54,3.53e-05,0.55,233840,0.914,0.322,G#,0.0894,-2.831,Major,0.0425,134.958,04-Apr,0.825,Alternative
No,Nothing More,Friendly Fire,7Ai3kiSt97li9WBU9CJJng,107691,38,0.000175,0.396,223000,0.938,1.07e-05,G#,0.646,-4.977,Major,0.124,161.929,03-Apr,0.314,Alternative
No,empty_field,Dream Small,7gvaV9ujfFmtOLSnJYDkqx,106139,53,0.0711,0.654,206627,0.815,2.53e-06,G,0.133,-5.524,Major,0.0377,120.048,04-Apr,0.301,Alternative
No,Three Days Grace,Are You Ready,2JB7PvDV0R3Vwbq0iy1WPe,193062,48,7.16e-06,0.502,165760,0.892,6.47e-06,G,0.109,-5.456,Major,0.0397,105.035,04-Apr,0.391,Alternative
No,Weezer,Africa,6fzFnDk9wJiwZCXGuV9xmJ,204674,64,0.205,0.534,-1,0.784,0.00579,G#,0.106,-3.59,Major,0.0339,92.147,04-Apr,0.6,Alternative
No,empty_field,Dust,3ZfhGtJlFsKs8TcIBcVopf,126458,45,0.0462,0.656,278145,0.522,9.07e-05,D#,0.0886,-9.897,Minor,0.0484,99.998,04-Apr,0.428,Alternative
No,Kid Rock,Flyin' High (feat. Zac Brown),3Ue79QtEfx0xECmXb28LeK,199385,41,0.146,0.517,242880,0.771,1.97e-06,D,0.111,-3.899,Major,0.0384,,04-Apr,0.85,Alternative
No,Nickelback,Follow You Home,0HBvEjoX56Ms9quzgKPi4l,62249,43,1.04e-05,0.568,260333,0.932,0.101,C,0.0664,-3.671,Major,0.0522,,04-Apr,0.668,Alternative
No,Skillet,Salvation,6xAwatCMi2wdhwo9wlJxew,58086,48,0.049,0.479,225400,0.941,0.0,C#,0.0291,-3.453,Minor,0.0652,158.031,04-Apr,0.554,Alternative
No,empty_field,The Remedy,4voEoczU7Ijborps9XF1n3,50771,48,0.031,0.468,367192,0.759,0.0418,B,0.171,-8.148,Minor,0.0313,180.028,05-Apr,0.66,Alternative
No,Pearl Jam,Go,08Kj0lvbsqAxzeUOBYZRL6,123613,49,7.31e-06,0.474,193093,0.848,0.0795,C#,0.0715,-8.201,Major,0.0572,139.978,04-Apr,0.441,Alternative
No,empty_field,Nervous Breakdown,7HCZWKJmHITV7Pt5YTQDcL,133215,48,0.524,0.401,-1,0.907,0.0,B,0.48,-11.422,Minor,0.0679,90.302,04-Apr,0.317,Alternative
No,Clutch,Electric Worry,4tPL9PeVZY4c0jUPtSD5nx,121257,48,0.0171,0.377,314747,0.813,0.114,C,0.323,-4.231,Major,0.0448,165.012,04-Apr,0.265,Alternative
No,The Naked And Famous,Young Blood,6rvzXO4pZk1CgZPbc6maBd,97842,63,5.63e-05,0.579,246600,0.865,0.000221,F#,0.649,-4.692,Major,0.0302,104.99,04-Apr,0.358,Alternative
No,Sanctus Real,Commitment,4wem6F8eTSgASjyrJKzGui,135332,49,0.00208,0.421,216991,0.733,0.0,C,0.128,-5.259,Major,0.0338,,04-Apr,0.438,Alternative
No,Stone Temple Pilots,Big Bang Baby,6wJqtdE4wC9TXOLgCNBVde,124984,46,0.00814,0.506,202813,0.964,0.0159,E,0.304,-3.881,Minor,0.0398,122.785,04-Apr,0.696,Alternative
No,Volbeat,Leviathan,0tw8xyxRkm2CBnakylI8km,102608,64,0.00347,0.545,275933,0.86,0.000344,A,0.0884,-4.053,Major,0.0383,90.004,04-Apr,0.5,Alternative
No,AFI,Dancing Through Sunday,6tble8E1fhOspUFyG3gL7D,138604,43,0.00391,0.533,-1,0.972,0.0,D#,0.276,-2.885,Minor,0.0816,114.161,04-Apr,0.609,Alternative
