Selected,track_id,artist_name,track_name,RF_genres,instance_id,actual_genre,pre_dictated_genre
No,0BwlKd6hBcKpcErG5G8K9w,Aloe Blacc,Make Way,Alternative,35568,R&B,R&B
No,65krgqLiZqW12PZAUQ9l2x,Alter Bridge,Open Your Eyes,Alternative,182641,Alternative,Alternative
No,62VWmsNoDmqT0Mj9oHHFVh,Amber Run,Fickle Game,Alternative,102658,Folk,Folk
No,7bB7fngxpJZ3yj8Rjj3Idt,Ana Popovic,Lives That Don't Exist,Alternative,158635,Blues,Blues
No,65qgNF6eh2hNYZRIl4lkCe,Anders Osborne,Alone (Unplugged),Alternative,65352,Blues,Blues
No,5BoOzegGrg5XFRR8UBDtkF,Anderson East,All On My Mind - Single Version,Alternative,64124,Blues,Folk
No,3JyDlAIvSTxK37tpgWRKTD,Anderson East,Girlfriend,Alternative,131394,Folk,Folk
No,2O5B5BGAqUZ1TmMgGxZWBW,Andrew Bird,Sisyphus,Alternative,21147,Folk,Folk
No,4iTyf5pLZMOR8YrEZgSopo,Andy Grammer,Fine By Me,Alternative,76543,Pop,Pop
No,3V8sM5OOG6YfDuDLa2IIYJ,Angra,Nova Era,Alternative,208844,Classical,Alternative
No,79fjK41trDftrAvBBXZ2Sn,Anne Murray,Could I Have This Dance,Alternative,195124,Folk,Folk
No,2fb7dWrEsTKuPWohoaQHa5,Arcade Fire,Neighborhood #3 (Power Out),Alternative,106202,Alternative,Alternative
No,0icIWbpAmJnubNP2AUkOvo,Archspire,Human Murmuration,Alternative,134540,Jazz,Jazz
No,2b8u8DU7gryR3h7SmHTEet,Art Blakey,Along Came Betty,Alternative,101426,Jazz,Jazz
No,3Y4t9Qapk6adS3Tptgm8XI,As I Lay Dying,Through Struggle,Alternative,33289,Alternative,Alternative
No,0P6TTXbSLGrSoTNMz5kvB7,As I Lay Dying,A Greater Foundation,Alternative,118547,Alternative,Alternative
No,5Zvp0QO5e9cGhYHywdrfyQ,Atlantic Starr,Am I Dreaming,Alternative,80964,R&B,R&B
No,3Dh10QBwBWVQAMJNNhLRq4,Atmosphere,Trying To Find A Balance,Alternative,126664,Alternative,Hip-Hop
No,3k4SxB91guEeAYgrl3PIx0,Atreyu,Doomsday,Alternative,160160,Alternative,Alternative
No,7MzKYpIU3wozsFJDOmI8Es,Audioslave,Shadow on the Sun,Alternative,46523,Alternative,Alternative
No,7yNK27ZTpHew0c55VvIJgm,August Alsina,Be Love,Alternative,185206,R&B,R&B
No,7HkvcMU5FnUPXo2DThrq0T,Austin French,Freedom Hymn,Alternative,177312,Pop,Alternative
No,22u2I9KeYcXY5hbZWO4kLq,Ava Max,Sweet but Psycho - Morgan Page Remix,Alternative,105728,Pop,Pop
No,5SkkVlUE82yDDK1DwjnDnp,Avantasia,"The Piper at the Gates of Dawn (feat. Ronnie Atkins, Jorn Lande, Eric Martin, Bob Catley & Geoff Tate)",Alternative,95939,Classical,Classical
No,2oa53bhiNPCz2CGh26AYxi,Avantasia,Neverland,Alternative,24829,Classical,Classical
No,1K1crBguLyQD6VVQFojuIC,Avatar,Hail The Apocalypse,Alternative,85073,Alternative,Alternative
No,4F2E4hvQyxMRz9TpXYSwJX,Avenged Sevenfold,Coming Home,Alternative,175151,Alternative,Alternative
No,2V8OJ8i3WBh4Los9wG6OKQ,Avenged Sevenfold,Gunslinger,Alternative,120336,Alternative,Alternative
No,312TtvwVwVPfou8NofTQiL,Avenged Sevenfold,Walk - Studio Version,Alternative,74730,Alternative,Alternative
No,5U1OcBfP61WcT2yTpXKx72,Avenged Sevenfold,Brompton Cocktail,Alternative,188013,Alternative,Alternative
No,7E6iObqRWYyzoZdgPOgdvi,Avenged Sevenfold,Critical Acclaim,Alternative,34644,Alternative,Alternative
No,16vNQhg2y5RDkkNaQExLTL,Axel Flovent,Quiet Eyes,Alternative,196313,Folk,Folk
No,0RYFxC02cmB1oteUW6EvN3,Axian,Flourish,Alternative,206358,Jazz,Jazz
No,0ewK5oKOtaMnSjpzB2jFUC,B.o.B,Don't Let Me Fall,Alternative,152199,R&B,R&B
No,1lom6GRrjqzOu26y1x6b71,BANNERS,Shine A Light,Alternative,131449,Folk,Pop
No,1vVNlXi8gf8tZ7OhnEs4VE,BROCKHAMPTON,LIQUID,Alternative,43781,Hip-Hop,Pop
No,5mvKuE9Lf9ARVXVXA32kK9,Bad Company,Can't Get Enough - Remastered Version,Alternative,183516,Blues,Blues
No,6VVd4kRfzBsZqFbvEAjloh,Bad Company,Feel Like Makin' Love - Remastered Version,Alternative,185449,Folk,Blues
No,4RZ7Lwj1bivN1payIeOKXp,Badfinger,Day After Day - Remastered 2010,Alternative,179948,Folk,Folk
No,6MKlZH8AYBXuMpfLWaKFMi,Band of Horses,Monsters,Alternative,59995,Folk,Folk
No,2qIZ47teQnHZrNdi8h6Tah,Band of Horses,Casual Party,Alternative,164046,Folk,Folk
No,35jVid0Qi789ypoem4KMrs,Barns Courtney,Sinners,Alternative,65680,Alternative,Alternative
No,1qjl8UJtWTHrk4SFpwftSN,Bas,Matches,Alternative,76343,Hip-Hop,Hip-Hop
No,0CIGZEXjZ8L52lOrqUljJt,Beck,The New Pollution,Alternative,201740,Alternative,Folk
No,3iyZRwIGmyXvdZMoxOlur7,Beck,Super Cool (feat. Robyn & The Lonely Island),Alternative,170953,Alternative,Folk
No,2ZvVKaRZzeEdmTrpTrhEvR,Ben Kweller,Wasted & Ready,Alternative,201381,Folk,Blues
No,3GCcZQQdYLa99zfcsJWYHl,Beta Radio,Our Remains,Alternative,55579,Pop,Pop
No,3ZDfOBgvyRCCH6P78xxv3l,Beyoncé,Speechless,Alternative,27647,R&B,R&B
No,4ixM94fG7GJopbyW2UKxl7,Beyoncé,Partition,Alternative,111350,Pop,R&B
No,1XioqMHgm4ANsxg4yaYKge,Big Daddy Weave,The Only Name (Yours Will Be),Alternative,190599,Alternative,Alternative
No,35ByQ3uLTbLVt8i92NDJHp,Big Sean,10 2 10,Alternative,169721,R&B,R&B
No,0j01xYLnun6ek2b03bGF0H,Black Rebel Motorcycle Club,Love Burns,Alternative,38375,Blues,Blues
No,3GZI0xp6o9PbDllN4yNjdU,Black Rebel Motorcycle Club,Stop,Alternative,53767,Blues,Blues
No,7tV3fI99dJKjr8AmPJx99w,Black Stone Cherry,Stay,Alternative,139091,Alternative,Alternative
No,3hkLROM5W44eR912KNFrjJ,Black Stone Cherry,Lonely Train,Alternative,106179,Alternative,Alternative
No,5pKnINLwR5U5StHQAgsFib,Black Veil Brides,Rebel Love Song,Alternative,98708,Alternative,Alternative
No,42rrPJg1u7rX7Rx52taVVn,Black Veil Brides,Goodbye Agony,Alternative,162210,Alternative,Alternative
No,1IQ0OUITCwn5bc8xhv5g3v,Blood Orange,It Is What It Is,Alternative,119678,R&B,R&B
No,4EkL0olFX5NktxAEiV86pH,Bloodhound Gang,I Hope You Die,Alternative,20114,Alternative,Alternative
No,0K3Dem9aRwRG9DVo0W2T3o,Blu & Exile,Good Morning Neighbor,Alternative,191855,Jazz,Jazz
No,1sAfDJ6r7UJSs6tzgylrJL,Blues Saraceno,Mercy Train,Alternative,67683,Classical,Blues
No,6silqAexSOSvvCkpjW0xkT,BluntOne,Third World,Alternative,50673,Jazz,Jazz
No,7Ke2pX91o8sYw220ZY0whv,Bob Seger,Her Strut,Alternative,139016,Folk,Folk
No,6EIVLz5xM1xE29r0OmIkWt,Bobby Brown,On Our Own,Alternative,147131,R&B,R&B
No,1GNgTQX6UVOBLrpDHU5IQ2,Bobby V.,"Slow Down - 12"" Version",Alternative,92326,R&B,R&B
No,48NOZRemjwadg6Dwc343hJ,Bombay Bicycle Club,Shuffle,Alternative,196587,Alternative,Folk
No,5FLKJYb3pmdbO3AX38bJG1,Boney James,Honestly,Alternative,93489,Jazz,Jazz
No,121MhNcSUE4p1ZIHzj75FW,Bonobo,Surface,Alternative,66843,Jazz,Jazz
No,3l85zI3lk3vnFVy5RjEF7F,Boy & Bear,Southern Sun,Alternative,184078,Folk,Folk
No,2TSKdGwBUpo0wK0l3JnVyi,Brasstracks,Snowdaze,Alternative,182521,R&B,R&B
No,2tAi9Q38ZdJnNk2ZgZ9ZOr,Braxton Cook,"Never Thought (Quickly, Quickly Remix)",Alternative,188758,R&B,R&B
No,6rz0dTA0PdhXImFV5EjM0w,Breaking Benjamin,Without You,Alternative,123272,Alternative,Alternative
No,0DgWa8oXi3wn3Q67MaHRdw,Brennan Savage,Reflection,Alternative,130666,Hip-Hop,Hip-Hop
No,7JNxaa1S1SixiuoAsQTLZW,Brent Faiyaz,Why'z it so hard,Alternative,125641,Alternative,Alternative
No,3EjmNhVqZ4FjK8ZyVKWKM6,Brent Faiyaz,Target On My Chest,Alternative,163213,Alternative,Alternative
No,1gJOqXpRjz9GeEEwQpcujK,Britney Spears,The Hook Up,Alternative,54151,R&B,R&B
No,0croVY19mnuq07RKfbSPfO,Bryce Fox,Coldhearted,Alternative,196853,Alternative,Alternative
No,3hAGmPnGix8RTb1vy5qZcb,Bush,The Chemicals Between Us,Alternative,210262,Alternative,Alternative
No,7uQw7EfbHczai43X2eFxqW,CYNE,Arrow Of God,Alternative,110639,Jazz,Jazz
No,0io65H4aIAIOIiPn6Bim5U,Cage The Elephant,Punchin' Bag,Alternative,128328,Blues,Blues
No,39xaGZ9mbU8Coujwffsio6,Cage The Elephant,Spiderhead - Unpeeled,Alternative,75515,Blues,Blues
No,2yMJK2pBK9JKeXHONDJk2I,Cage The Elephant,Too Late To Say Goodbye - Unpeeled,Alternative,210129,Blues,Blues
No,7sCQbcrVlIKoIjOpR3Oj5N,Cage The Elephant,Golden Brown - Unpeeled,Alternative,182236,Blues,Blues
No,1qb38ovGv4fTZ1DR0mRfmn,Caligula's Horse,Marigold,Alternative,77561,Jazz,Alternative
No,614NVFo5csQqRnryl4jXs2,Canned Heat,On The Road Again - Remastered,Alternative,55626,Blues,Blues
No,6RRJma3F9OQjN3fwKEGuqS,Carrie Underwood,Dirty Laundry,Alternative,199955,Pop,Pop
No,1IV8T9xWxJc0tSEFJit25F,Cartel De Santa,Es de Ley,Alternative,213227,Hip-Hop,Hip-Hop
No,4y7cfMwBHeUsn0LIAgva08,Casting Crowns,Praise You In This Storm,Alternative,200867,Alternative,Alternative
No,4aX4Oycsk1fhHIee1zqsDe,Casting Crowns,Courageous,Alternative,115683,Alternative,Alternative
No,3VqCUJv72SIoDMd6ZT29fS,Cautious Clay,Blood Type,Alternative,59724,Alternative,Folk
No,62M9yafZsSRzlsphzeJPGo,Celldweller,Shapeshifter - feat. Styles Of Beyond,Alternative,113109,Alternative,Alternative
No,2r0lAM25q5tJE1H4SesviY,Charli XCX,ILY2,Alternative,166865,R&B,R&B
No,79CfK2gMGf0svanec6LJOj,Charlie Wilson,I Wanna Be Your Man,Alternative,186165,R&B,R&B
No,7eQPnyqmDRvsDkjms12vI9,Che Ecru,Lonely,Alternative,38341,R&B,R&B
No,6JRzJifHgthhFHfeSUSk65,Cher Lloyd,With Ur Love,Alternative,43453,R&B,Pop
No,4ND1gy7gwlM7slgnFemhdK,Chevelle,Piñata,Alternative,117391,Alternative,Alternative
No,1fRaznZsAB2i63TtmYv2Hc,Chevelle,Closure,Alternative,174456,Alternative,Alternative
No,5czLJ1CxsIBVmANtbZn8mw,Choker,Suzuki Peaches,Alternative,216209,R&B,R&B
No,21wOSmPAIfOcM0Uv2oJi9P,Choker,Kiko,Alternative,72003,R&B,R&B
No,3JD3Mtjo7c05NZNDCPXh37,Chris Brown,Ya Man Ain't Me,Alternative,108923,R&B,R&B
No,00WCkoUTyeBr5jTo21sGvr,Chris Brown,She Ain't You,Alternative,68854,R&B,R&B
No,0KbPGoZfbrbsqncQcW9IQy,Chris Rea,On the Beach,Alternative,150273,Blues,Blues
No,4VStxMJtqEXVh6r5xKK1l4,Chris Smither,No Love Today,Alternative,72300,Blues,Blues
No,7jLvQbNLLkDGRfB7xZdGok,Chris Tomlin,Whom Shall I Fear (God Of Angel Armies),Alternative,105196,Alternative,Alternative
No,7IBW0OlIPNcep5PbV9EZUL,Chris Webby,Passport,Alternative,61239,Hip-Hop,Hip-Hop
No,2dwvxOHnQjndZLowIR6PiS,Chris Webby,Twist Again (La La La),Alternative,71064,Hip-Hop,Hip-Hop
No,62C2xp8hnoWhTfklORPbOm,Christina Aguilera,The Beautiful People - Burlesque Original Motion Picture Soundtrack,Alternative,147707,R&B,Pop
No,0PzTzlXfiOq0sK8PCYiwsb,Christina Aguilera,Not Myself Tonight,Alternative,31407,R&B,Pop
No,1actWEWUpfubbpixw8SZxn,City Harbor,Somebody Tell Them,Alternative,176669,Alternative,Alternative
No,2FWVoAwG4rvd8qpL5mbAtf,City Morgue,Gravehop187,Alternative,202736,Hip-Hop,Hip-Hop
No,06cUybZMETs4i3yQO1f7p3,Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth,Alternative,179065,Alternative,Alternative
No,5T8W6usTdhIWhoETre8PuM,Clutch,X-Ray Visions,Alternative,135517,Blues,Blues
No,4tPL9PeVZY4c0jUPtSD5nx,Clutch,Electric Worry,Alternative,121257,Alternative,Blues
No,49NIshcNGeLTIN4WL6jY6S,Coal Chamber,Loco,Alternative,96196,Alternative,Alternative
No,39pAejlRtfubA42tGfHLFT,Coasts,You Could Have Been The One,Alternative,30137,Folk,Folk
No,4HwQUYEHODAq2nr6ea2O7s,CocoRosie,Werewolf,Alternative,213657,Folk,Folk
No,6fnIitWMKHnRnMLxSb0MYW,Coheed and Cambria,The Running Free,Alternative,199341,Alternative,Alternative
No,2cLOhJv1hQQRLBf3eVJOHV,Coheed and Cambria,A Favor House Atlantic,Alternative,82124,Alternative,Alternative
No,7hfi4ZTfV7akmGINh6qYCF,Coheed and Cambria,Welcome Home,Alternative,64367,Alternative,Alternative
No,2CfnZN21kII6hqLArqm2zB,Coheed and Cambria,Three Evils (Embodied in Love and Shadow),Alternative,110765,Alternative,Alternative
No,1FlxqJmoZWS2q1uRlyZVur,Coheed and Cambria,Delirium Trigger,Alternative,151078,Alternative,Alternative
No,1aykpQ3QYytGydJxP7qyVn,Cold War Kids,Can We Hang On ?,Alternative,20713,Folk,Folk
No,4d0dY3ZeMdoYrD5YmdFvWZ,Collective Soul,Heavy,Alternative,24143,Alternative,Alternative
No,5EugXICXL06waHgP4iTI58,Courtney Barnett,Need A Little Time,Alternative,68652,Folk,Folk
No,1DndHckdH9m5rp6gYP086b,Creed,My Own Prison,Alternative,145145,Alternative,Alternative
No,7xKjdvYaJ1tvwNXRTAZs78,"Crosby, Stills & Nash",Love the One You're With,Alternative,109728,Folk,Blues
No,5FhMXgnvmwpDo7lCXSfOJ8,Crossfade,So Far Away,Alternative,198225,Alternative,Alternative
No,1TzmDiFZCXpCiW4wv1nLm6,Cult To Follow,Murder Melody,Alternative,152823,Alternative,Alternative
No,7xTY3rJMgj0nh6OOPHgsLw,Cymande,Bird - Bonus Track,Alternative,120520,Jazz,Jazz
No,4ztx0lpE5Vx3yg7FereOtS,Daddy Yankee,La Despedida,Alternative,60615,Pop,Hip-Hop
No,5S2jKY9o6wAI8uIJEmCW2d,Daddy Yankee,Pasarela,Alternative,136182,Hip-Hop,Hip-Hop
No,4ouTswFw6HyGUeTsotJr93,Dan Auerbach,Waiting on a Song,Alternative,68259,Folk,Blues
No,5qnYglSEqrPFXrrnyzIci2,Danger Doom,Space Hos,Alternative,200816,Alternative,Alternative
No,2AknZixHH262yq00xcHXKa,Danzig,Twist Of Cain,Alternative,148156,Alternative,Alternative
No,5qOAIBSLC62Fq5QsTz7f73,Darlingside,1979,Alternative,29748,Folk,Folk
No,5klu8niS7EQm1EqjlsSBSm,Daughtry,Waiting for Superman,Alternative,112069,Alternative,Alternative
No,6K9C0hk2QVGtHZvUehNFNl,David Lee Roth,Just Like Paradise,Alternative,177643,Classical,Classical
No,2KX2JoisGgrs9QlCVbSlCC,David Nail,Whatever She's Got,Alternative,112199,Pop,Pop
No,7LfbjUcovlM4PgvYjePhXM,Days Of The New,The Down Town,Alternative,26811,Alternative,Alternative
No,1W6txMoK3kxBkc5IttrwiA,Dead by April,Losing You,Alternative,126050,Alternative,Alternative
No,7GW2dqJ13S3UutqzSuvzlR,Deap Vally,Baby I Call Hell,Alternative,111192,Blues,Blues
No,4gT3mNJA8lnlkYFqGZ8IA2,Death Cab for Cutie,Autumn Love,Alternative,173118,Folk,Folk
No,4A2LfnduSTsE8u0ecYROxE,Death Cab for Cutie,Bixby Canyon Bridge,Alternative,200354,Folk,Folk
No,1UMKRcqs7kFf6wDVo0HaSI,Death From Above 1979,Trainwreck 1979 - Moulder Mix with in/out fades,Alternative,61905,Alternative,Blues
No,09jtIFItoNKnC86zlzBZ29,Death Grips,The Fever (Aye Aye),Alternative,79764,Alternative,Hip-Hop
No,2btMA0oVvDOTK3PVYq70xZ,Deftones,Knife Prty,Alternative,187469,Alternative,Alternative
No,6MNtx2I1QaELzsLDaxAchs,Derez De’Shon,She Wanna Down,Alternative,153219,R&B,R&B
No,3xzAbYFelfFdMUC9St64ga,Des Rocs,HVY MTL DRMR,Alternative,157304,Alternative,Alternative
No,0sqE6XPi9VAaWl5NxDyMQK,Devin Townsend,Hyperdrive,Alternative,41485,Jazz,Jazz
No,73YofZuIMmCeWVpfhetgCO,Devvon Terrell,She A Dub,Alternative,199966,R&B,Alternative
No,59v6RP6Pg7cIAklNIRgQN7,Die Antwoord,Fatty Boom Boom,Alternative,40576,Hip-Hop,Alternative
No,4fs51wRnDJo4XrRdk6h0GD,Dionysus,Anima Mundi,Alternative,139977,Classical,Classical
No,6fVCBBlHif6zfqXAEHKJy8,Diplo,Get It Right,Alternative,195765,Pop,Pop
No,3LlN0koSj1GH4W6sER5OCa,Disturbed,The Animal,Alternative,59674,Alternative,Alternative
No,6Tkd8gyuZdTgJXZzAfgQ7r,Disturbed,The Game,Alternative,213883,Alternative,Alternative
No,1lIcdDpGlc2mO2LYA0f5KM,Disturbed,The Light,Alternative,115464,Alternative,Alternative
No,3tizoN5b5Pc03cCC76wsQC,Don Omar,Zumba,Alternative,181487,Hip-Hop,Hip-Hop
No,30oJZl8PSucwE0CjhK9x7R,Dorothy,Pretty When You’re High,Alternative,174129,Blues,Blues
No,5ant9DxVqWJKNPPU7SJT4c,Dorothy,Flawless,Alternative,203800,Blues,Blues
No,6pYJi0OknP5m5iZ3Tu01ux,Downplay,Hated You from Hello,Alternative,149353,Alternative,Alternative
No,6wvEQaHAz2FA6ismjpx5xR,Dr. Dog,Abandoned Mansion,Alternative,40162,Alternative,Folk
No,6Vq4UZSEaU0vjqguXd5TMV,DragonForce,Once In A Lifetime,Alternative,97871,Classical,Classical
No,0CNJyQiyzYxbsuMGTQlria,DragonForce,Ring of Fire,Alternative,26283,Classical,Classical
No,5zPaLPbKwa7cg5P2ESV0dp,Drake,Over,Alternative,169085,Pop,Pop
No,5A0NEY8GOCB3ErRSRPpY72,Drake,"Two Birds, One Stone",Alternative,152310,Hip-Hop,Pop
No,1emdMnglWKwMS8XitagHzT,Drake Bell,I Found A Way,Alternative,185535,Pop,Pop
No,2Yf0HjCklkx54C4wQzhvzH,Dynamic Duo,Life Is Good,Alternative,194239,R&B,R&B
No,33KdjUuILigAedfZLLvyQQ,Eagles,Doolin-Dalton - Eagles 2013 Remaster,Alternative,91759,Folk,Folk
No,3h1lCerwzRRPklmwxoxukQ,Eagles,Pretty Maids All in a Row - Eagles 2013 Remaster,Alternative,210350,Folk,Folk
No,5Ss6DqCldgTmIo6BekVOJT,Eagles Of Death Metal,It's So Easy,Alternative,180520,Blues,Blues
No,6obLxQguokK0CKqH9Avzso,Eagles Of Death Metal,Save A Prayer,Alternative,48618,Blues,Blues
No,5PToV0rcWxhiElVbfntRxo,Earl Sweatshirt,AM // Radio,Alternative,39327,Hip-Hop,Alternative
No,2FK7fxjzQEXD7Z32HSF0Hl,Earl Sweatshirt,Whoa,Alternative,177369,Hip-Hop,Alternative
No,5g0hXvfKYYZrEdnoCn1QQc,Eels,Novocaine For The Soul,Alternative,215680,Alternative,Alternative
No,2ySyV2K8WnOqsQ0CfBNdnx,Electric Guest,Waves,Alternative,134355,Alternative,Alternative
No,2ZkVZXxtvykazsebpgTUtG,Ella Fitzgerald,"Take The ""A"" Train",Alternative,127412,Jazz,Blues
No,6PnmrzPJXoDBj5NKUCnC8e,Ellie Goulding,Army,Alternative,76359,R&B,R&B
No,4pYslbeGg1G5VJDa8mbcPf,Elvenking,Elvenlegions,Alternative,22782,Classical,Classical
No,4LkLfPYc3yjOta7Gk8FDRB,Elvenking,Pagan Revolution,Alternative,160984,Classical,Classical
No,7C0svPk3n06HImj1TA4Ppv,Elvenking,Draugen's Maelstrom,Alternative,139479,Classical,Classical
No,4i76vmvahz5a4MhinU59sI,Empire Cast,Trapped (feat. Jussie Smollett & Yazz),Alternative,34655,R&B,R&B
No,10SUWedx0zohs8M3OJpnA7,Empire of the Sun,High And Low,Alternative,166441,Alternative,Alternative
No,0uPMYeSIEiOSSxqTBJ17qL,Empress Of,Water Water,Alternative,198881,R&B,R&B
No,3bhKvGRSi9gR3iNGz7tqr8,Eric B. & Rakim,I Ain't No Joke,Alternative,138944,Hip-Hop,Hip-Hop
No,5EUynP2gPggAlXYZl1C4SU,Escape the Fate,Reverse the Curse,Alternative,108176,Alternative,Alternative
No,4KRkanYEoxAEBY5HDtYGU6,Escape the Fate,One For the Money,Alternative,35811,Alternative,Alternative
No,26xwTXECBdPWbLlUsxX8nV,Evanescence,Whisper,Alternative,171046,Alternative,Alternative
No,2Nh2cMryoXl7BrZoIeN2Pr,Evanescence,All That I Am Living For,Alternative,67243,Alternative,Alternative
No,0XFe2jECCu10a8qyMa5Oa2,Evans Blue,Destroy The Obvious,Alternative,128028,Alternative,Alternative
No,4EzK1Fz1WokLMU3SzvicY1,FKA twigs,Video Girl,Alternative,42967,R&B,R&B
No,6Bz1keXFp55VilaXJi2cqr,Faith Evans,Can't Believe (feat. Carl Thomas),Alternative,102452,R&B,Hip-Hop
No,7BSMSvK0WxrDeI98bswYa8,Father John Misty,"I Love You, Honeybear",Alternative,100345,Folk,Folk
No,0zQWt61gK7ZlRuS9rvGbnK,Father John Misty,Hollywood Forever Cemetery Sings,Alternative,80379,Folk,Folk
No,6I2Sf9ZV1Xia4Wk86bDIHK,Feqadu Amde-mesqel,Asmarina (My Asmara),Alternative,72755,Jazz,Jazz
No,0XmrQ2JG1DkgzvKOwNxYVf,Fetty Wap,Westside (feat. Snoop Dogg),Alternative,76911,Hip-Hop,Hip-Hop
No,2MeYsitFbcxoNVCO31Vjmz,Fifth Harmony,No Way,Alternative,165862,R&B,R&B
No,1qYnUcEXUrnqByOoywA8u8,First Aid Kit,Wolf (Bonus Track),Alternative,48172,Folk,Folk
No,3yM53DMMIioxVy7Pha1hD0,Five Finger Death Punch,Blue on Black,Alternative,134602,Alternative,Alternative
No,7qvxFz3JodM0A7xEM7k3YD,Five Finger Death Punch,Cold,Alternative,164347,Alternative,Alternative
No,62pBDLxqYI1GDEkQy1A3ER,Five Finger Death Punch,White Knuckles,Alternative,195141,Alternative,Alternative
No,6m9BZNDG2WbqnaIbaGJ3Mo,Five Finger Death Punch,Wrecking Ball,Alternative,81792,Alternative,Alternative
No,0O5brqyThK4RkcbhGGwJZU,Fleet Foxes,Crack-Up,Alternative,96592,Folk,Folk
No,0fAbfDiuQiUwV7FUcFfRGY,Florence + The Machine,Queen Of Peace,Alternative,54993,Folk,Folk
No,3K4ywyPCdpF9evoL7Z3z1b,Florence + The Machine,Lover To Lover,Alternative,158558,Alternative,Folk
No,0hsbqx7SHOrCpmPaYJ4Qwv,Florida Georgia Line,Cruise,Alternative,33626,Pop,Pop
No,6L5iIu9C2s1bkLlmuRfyVy,Florida Georgia Line,People Are Different,Alternative,115586,Pop,Pop
No,3TgMcrV32NUKjEG2ujn9eh,Flyleaf,Fire Fire,Alternative,108558,Alternative,Alternative
No,7GWZgd7002U8nkjtNdnW4s,Foo Fighters,Bridge Burning,Alternative,175067,Alternative,Alternative
No,0s39srtdNSrRz6bRMkOrp3,Foo Fighters,Let It Die,Alternative,150680,Alternative,Alternative
No,5jdPCCoV11Sf7IlmkD8t5Z,Foo Fighters,The Sky Is A Neighborhood,Alternative,204298,Alternative,Alternative
No,22gXAKnTEaMIBUDOQWgxJI,Four Tops,"River Deep, Mountain High - Single Version",Alternative,133212,Folk,Folk
No,23oxJmDc1V9uLUSmN2LIvx,Four Year Strong,"Heroes Get Remembered, Legends Never Die",Alternative,32720,Alternative,Alternative
No,18WrQK5FPIQkOWc5fTtlG4,Fozzy,Painless,Alternative,37398,Alternative,Alternative
