artist_name,genre_summary,genre_mode
Aquilo,"Folk,Pop",Folk
Ar'mon & Trey,"Pop,R&B",R&B
Aram Khachaturian,Classical,Classical
Aranda,Alternative,Alternative
Arcade Fire,"Alternative,Folk",Alternative
Arcangelo Corelli,Classical,Classical
Arch Echo,Jazz,Jazz
Arch Enemy,Alternative,Alternative
Archie Bell & The Drells,Blues,Blues
Archie Shepp,Jazz,Jazz
Archspire,Jazz,Jazz
Arctic Lake,Folk,Folk
Aretha Franklin,"Blues,Jazz",Blues
Argonaut & Wasp,Alternative,Alternative
Ari Lennox,"Alternative,R&B",Alternative
Ariana Grande,Pop,Pop
Ariel Camacho y Los Plebes Del Rancho,Pop,Pop
Ariel Pink,"Alternative,Folk",Folk
Arima Ederra,R&B,R&B
Arin Ray,"Alternative,R&B",R&B
Arizona Zervas,"Hip-Hop,Pop",Hip-Hop
Arj Barker,Comedy,Comedy
Arleen Auger,Opera,Opera
Arlo Guthrie,Folk,Folk
Arlo Parks,"Alternative,R&B",R&B
Arne Domnérus,Jazz,Jazz
Arnold Bax,Classical,Classical
Arnold Schoenberg,Classical,Classical
Aron Burton,Blues,Blues
AronChupa,Pop,Pop
Arrested Youth,Alternative,Alternative
Arrigo Boito,Opera,Opera
Art Blakey,Jazz,Jazz
Art Blakey & The Jazz Messengers,Jazz,Jazz
Art Feynman,Jazz,Jazz
Art Garfunkel,Folk,Folk
Art Of Dying,Alternative,Alternative
Art Pepper,Jazz,Jazz
Art Tatum,Jazz,Jazz
Artemis Quartet,Classical,Classical
Arthur Conley,Blues,Blues
Arthur Grumiaux,Classical,Classical
Arthur Lourié,Classical,Classical
Arthur Lyman,Jazz,Jazz
Arthur Rubinstein,Classical,Classical
Arthur Verocai,Jazz,Jazz
Artie Lange,Comedy,Comedy
Artie Shaw,Jazz,Jazz
Artifacts,"Alternative,Jazz",Alternative
Arturo Márquez,Classical,Classical
Arturo Sandoval,Jazz,Jazz
Arvo Pärt,Classical,Classical
As I Lay Dying,Alternative,Alternative
Ash Grunwald,Blues,Blues
Ash Walker,Jazz,Jazz
Ashanti,"Hip-Hop,Pop,R&B",R&B
Ashes Remain,Alternative,Alternative
Ashley Tisdale,Pop,Pop
Asiahn,"Alternative,R&B",R&B
Asian Doll,R&B,R&B
Astor Piazzolla,Classical,Classical
Astrid S,Pop,Pop
Astrud Gilberto,Jazz,Jazz
Aterciopelados,Alternative,Alternative
Atlanta Rhythm Section,"Blues,Folk",Blues
Atlantic Five Jazz Band,Jazz,Jazz
Atlantic Starr,R&B,R&B
Atlas Genius,Pop,Pop
Atmosphere,"Alternative,Hip-Hop",Hip-Hop
Atomic Kitten,Pop,Pop
Atreyu,Alternative,Alternative
Audio Adrenaline,Alternative,Alternative
Audioslave,Alternative,Alternative
Aug-08,R&B,R&B
August Alsina,"Hip-Hop,Pop,R&B",R&B
Austin Burke,Pop,Pop
Austin French,Pop,Pop
Austin Mahone,Pop,Pop
Ava Max,Pop,Pop
Avail Hollywood,Blues,Blues
Avant,"Hip-Hop,Pop,R&B",Hip-Hop
Avantasia,Classical,Classical
Avatar,Alternative,Alternative
Avenged Sevenfold,Alternative,Alternative
Aventura,"Hip-Hop,Pop",Hip-Hop
Average White Band,Jazz,Jazz
Avery Wilson,R&B,R&B
Avicii,Pop,Pop
Avril Lavigne,Pop,Pop
Awon,Jazz,Jazz
Axel Flovent,Folk,Folk
Axian,Jazz,Jazz
Axwell /\ Ingrosso,Pop,Pop
Ayelle,"Alternative,R&B",Alternative
Aynsley Lister,Blues,Blues
Ayreon,Classical,Classical
Azealia Banks,"Hip-Hop,R&B",Hip-Hop
Aziz Ansari,Comedy,Comedy
Azizi Gibson,Hip-Hop,Hip-Hop
Azymuth,Jazz,Jazz
B Smyth,R&B,R&B
B-Side,Jazz,Jazz
B.B. King,"Blues,Jazz",Blues
B.o.B,"Hip-Hop,Pop,R&B",R&B
B0nds,Jazz,Jazz
B2K,"Hip-Hop,Pop,R&B",R&B
BADBADNOTGOOD,"Hip-Hop,Jazz",Jazz
BANKS,"Alternative,R&B",R&B
BANNERS,"Folk,Pop",Folk
BAYNK,Alternative,Alternative
BEXEY,Hip-Hop,Hip-Hop
BIGBANG,Pop,Pop
BJ The Chicago Kid,"Alternative,Hip-Hop,R&B",Alternative
BLACKPINK,Pop,Pop
BLAISE MOORE,R&B,R&B
BLESSED,Alternative,Alternative
BONES,Hip-Hop,Hip-Hop
BRIDGE,"Alternative,R&B",R&B
BROCKHAMPTON,"Hip-Hop,Pop",Hip-Hop
BTS,Pop,Pop
BWB,Jazz,Jazz
Baaba Maal,"Blues,Pop",Blues
Baby Bash,"Hip-Hop,Pop,R&B",R&B
Baby Boy Da Prince,Hip-Hop,Hip-Hop
Babyface,R&B,R&B
Bachman-Turner Overdrive,"Blues,Folk",Blues
Bacilos,Pop,Pop
Backstreet Boys,Pop,Pop
Bad Brains,Alternative,Alternative
Bad Company,"Blues,Folk",Blues
Bad Meets Evil,"Hip-Hop,Pop",Hip-Hop
Bad Wolves,Alternative,Alternative
Badfinger,"Blues,Folk",Blues
Badflower,Alternative,Alternative
Badshah,Hip-Hop,Hip-Hop
Baeza,R&B,R&B
Bahamas,"Folk,Pop",Folk
Bajka,Jazz,Jazz
Bakar,Alternative,Alternative
Baltazar Benítez,Classical,Classical
Bananarama,Pop,Pop
Band Of Skulls,"Blues,Alternative",Blues
Band of Horses,Folk,Folk
Band of Rascals,Blues,Blues
Banda Los Recoditos,Pop,Pop
Banda Los Sebastianes,Pop,Pop
Bando Jonez,R&B,R&B
Barbara Bonney,Opera,Opera
Barbara Hendricks,Opera,Opera
Barbara Jean,Jazz,Jazz
Barbara Lewis,Blues,Blues
Barbara Lynn,Blues,Blues
Barefoot Surrender,Folk,Folk
BarlowGirl,Alternative,Alternative
Barns Courtney,Alternative,Alternative
Baro,R&B,R&B
Baron Vaughn,Comedy,Comedy
Baroness,Alternative,Alternative
Bas,"Hip-Hop,Pop",Hip-Hop
Basement,Alternative,Alternative
Basement Jaxx,Alternative,Alternative
Basia,Jazz,Jazz
Bass Santana,Hip-Hop,Hip-Hop
Bassjackers,Pop,Pop
Bastien Keb,Jazz,Jazz
Bastille,Pop,Pop
Baths,Folk,Folk
Battle Beast,Classical,Classical
Battleme,Alternative,Alternative
Bay City Rollers,Pop,Pop
Bay Faction,Alternative,Alternative
Bazanji,"Hip-Hop,Pop",Hip-Hop
Bazzi,Pop,Pop
BbyMutha,R&B,R&B
Bea Miller,Pop,Pop
Beach House,"Folk,Pop",Folk
Beanie Sigel,Hip-Hop,Hip-Hop
Beans & Fatback,Blues,Blues
Bear's Den,Folk,Folk
Beastie Boys,"Alternative,Hip-Hop",Hip-Hop
Bebe,Alternative,Alternative
Bebe Rexha,Pop,Pop
Bebo Valdés,Jazz,Jazz
Beck,"Alternative,Folk,Pop",Folk
"Beck, Bogert, Appice",Blues,Blues
Becky Donohue,Comedy,Comedy
Becky G,Pop,Pop
Bedouine,Folk,Folk
Bedřich Smetana,Classical,Classical
Beirut,"Folk,Pop",Folk
Belinda Carlisle,Pop,Pop
Bell Biv DeVoe,"Hip-Hop,Pop",Hip-Hop
Belle & Sebastian,"Alternative,Folk",Folk
Belleruche,Jazz,Jazz
Bellhound Choir,Blues,Blues
Belly,"Alternative,Hip-Hop,Pop",Hip-Hop
Ben Abraham,Folk,Folk
Ben Bailey,Comedy,Comedy
Ben E. King,Pop,Pop
Ben Folds,Folk,Folk
Ben Folds Five,Folk,Folk
Ben Frost,Jazz,Jazz
Ben Howard,"Folk,Pop",Folk
Ben Kweller,Folk,Folk
Ben Lee,Alternative,Alternative
Ben Rector,Pop,Pop
Ben Tankard,Jazz,Jazz
Ben Webster,Jazz,Jazz
Benjamin Booker,Blues,Blues
Benjamin Britten,Classical,Classical
Benjamin Francis Leftwich,Folk,Folk
Benny,Alternative,Alternative
Benny Benni,Hip-Hop,Hip-Hop
Benny Goodman,Jazz,Jazz
Benny Goodman Sextet,Jazz,Jazz
Benny Hill,Comedy,Comedy
Benny Sings,Jazz,Jazz
Benny The Butcher,"Alternative,Hip-Hop",Alternative
Bent,Jazz,Jazz
Beny Moré,Jazz,Jazz
Beret,Hip-Hop,Hip-Hop
Berhana,"Alternative,R&B",Alternative
"Bernard ""Pretty"" Purdie",Jazz,Jazz
Bernard Allison,Blues,Blues
Bernard Cribbins,Comedy,Comedy
Bernard Fanning,Alternative,Alternative
Bernard Wright,Jazz,Jazz
Bernardo Pasquini,Opera,Opera
Berner,Hip-Hop,Hip-Hop
Bessie Smith,Blues,Blues
Best Coast,Folk,Folk
Beta Radio,"Folk,Pop",Folk
Beth Hart,Blues,Blues
Beth Orton,Folk,Folk
Better Oblivion Community Center,"Folk,Pop",Folk
Better Than Ezra,"Alternative,Pop",Alternative
Betty Carter,Jazz,Jazz
Betty Harris,Blues,Blues
Betty Who,Pop,Pop
Between The Buried And Me,Jazz,Jazz
Beyoncé,"Pop,R&B",R&B
Bhad Bhabie,Pop,Pop
Bibi Bourelly,Alternative,Alternative
Bibio,"Folk,Pop",Folk
Big Bad Voodoo Daddy,Jazz,Jazz
Big Bill Broonzy,Blues,Blues
Big Boi,Hip-Hop,Hip-Hop
Big Brother & The Holding Company,"Blues,Folk",Blues
Big Daddy Kane,Hip-Hop,Hip-Hop
Big Daddy Weave,Alternative,Alternative
Big Jay McNeely,"Blues,Jazz",Blues
Big Jay Oakerson,Comedy,Comedy
Big Joe Williams,Blues,Blues
Big John Patton,Jazz,Jazz
Big K.R.I.T.,"Alternative,Hip-Hop",Alternative
Big L,Hip-Hop,Hip-Hop
Big Mama Thornton,Blues,Blues
Big Maybelle,Blues,Blues
Big Pun,"Hip-Hop,Pop",Hip-Hop
Big Red Machine,"Folk,Pop",Folk
Big Sean,"Hip-Hop,Pop,R&B",R&B
Big Spring,Alternative,Alternative
Big Thief,"Folk,Pop",Folk
Big Time Rush,Pop,Pop
Big Tymers,Hip-Hop,Hip-Hop
Big Words,R&B,R&B
Bigg Robb,Blues,Blues
Biig Piig,Alternative,Alternative
Bilal,R&B,R&B
Bill Burr,Comedy,Comedy
Bill Callahan,Folk,Folk
Bill Charlap,Jazz,Jazz
Bill Charlap Trio,Jazz,Jazz
Bill Engvall,Comedy,Comedy
Bill Evans,Jazz,Jazz
Bill Evans Trio,Jazz,Jazz
Bill Frisell,Jazz,Jazz
Bill Hicks,Comedy,Comedy
Bill Squire,Comedy,Comedy
Billie Eilish,Pop,Pop
Billie Holiday,"Blues,Jazz",Blues
Billie Marten,"Folk,Pop",Folk
Billy Bragg,"Alternative,Folk",Folk
Billy Cobham,Jazz,Jazz
Billy Connolly,Comedy,Comedy
Billy Davis,R&B,R&B
Billy Eckstine,Jazz,Jazz
Billy Idol,Pop,Pop
Billy Joe Shaver,Folk,Folk
Billy Joel,Folk,Folk
Billy Lemos,"Alternative,R&B",R&B
Billy Lockett,Folk,Folk
Billy Raffoul,Folk,Folk
Billy Soul Bonds,Blues,Blues
Billy Stewart,Blues,Blues
Billy Talent,Alternative,Alternative
Biosphere,Jazz,Jazz
Birdman,Hip-Hop,Hip-Hop
Birds Of Tokyo,Alternative,Alternative
Birdtalker,Folk,Folk
Birdy,Pop,Pop
Birgit Nilsson,Opera,Opera
Birocratic,Jazz,Jazz
Biréli Lagrène,Jazz,Jazz
Bishop Briggs,"Alternative,Pop",Alternative
Bishop Nehru,Alternative,Alternative
Biz Markie,Hip-Hop,Hip-Hop
Björk,"Alternative,Folk",Alternative
Blac Youngsta,"Hip-Hop,Pop",Hip-Hop
Black Country Communion,Blues,Blues
Black Diamond Heavies,Blues,Blues
Black Flag,Alternative,Alternative
Black Grapefruit,Alternative,Alternative
Black Joe Lewis & The Honeybears,Blues,Blues
Black Label Society,Alternative,Alternative
Black Lips,Blues,Blues
Black Moon,"Alternative,Hip-Hop",Alternative
Black Mountain,Blues,Blues
Black Oak Arkansas,Blues,Blues
Black Pistol Fire,"Blues,Alternative",Blues
Black Rebel Motorcycle Club,"Blues,Alternative",Blues
Black Rob,Hip-Hop,Hip-Hop
Black Star,"Alternative,Hip-Hop",Alternative
Black Stone Cherry,Alternative,Alternative
Black Veil Brides,"Alternative,Pop",Alternative
Blackalicious,"Alternative,Hip-Hop",Hip-Hop
Blackfoot,Blues,Blues
Blackfoot Gypsies,Blues,Blues
Blackstreet,R&B,R&B
Blaggards,Folk,Folk
Blake Aaron,Jazz,Jazz
Blake Mills,Folk,Folk
Blanco White,Folk,Folk
Blaze Foley,Folk,Folk
Bleachers,Pop,Pop
Blind Boy Fuller,Blues,Blues
Blind Faith,"Blues,Folk",Blues
Blind Guardian,Classical,Classical
Blind Lemon Jefferson,Blues,Blues
Blind Melon,"Alternative,Pop",Alternative
Blind Pilot,"Folk,Pop",Folk
Blind Willie Johnson,"Blues,Folk",Blues
Blind Willie McTell,"Blues,Folk",Blues
Blindside,Alternative,Alternative
Bliss n Eso,Hip-Hop,Hip-Hop
Blitzen Trapper,"Alternative,Folk",Alternative
Bloc Party,Alternative,Alternative
BlocBoy JB,"Hip-Hop,Pop",Hip-Hop
Block B,R&B,R&B
Blockhead,Jazz,Jazz
Blodwyn Pig,Blues,Blues
Blonde Redhead,Pop,Pop
Blondie,Pop,Pop
Blood Orange,"Alternative,R&B",R&B
"Blood, Sweat & Tears",Blues,Blues
Bloodbound,Classical,Classical
Bloodhound Gang,Alternative,Alternative
Blossom Dearie,Jazz,Jazz
Blu,"Alternative,Hip-Hop",Alternative
