Selected,instance_id,track_name,track_id,Selected (1),popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name
No,81,Kush - Main,3kNVYo6BJE9AENxzokM9YC,No,64.0,0.000763,0.4970,235120.0,0.872,8.94e-05,G,0.1710,-6.166,Major,0.1150,126.785,05-Apr,0.3830,empty_field
No,84,Red Hot Moon,5OCiyq7gAZ88nY1iWFf4Ke,No,51.0,0.0316,0.5590,,0.955,,C,0.1230,-2.490,Major,0.1810,164.606,04-Apr,0.8020,empty_field
No,89,Birthmark,3US6iSyLP2uS07gjjU2ZkG,No,40.0,0.381,0.6790,263253.0,0.821,,G,0.4670,-5.115,Major,0.1340,81.947,04-Apr,0.4060,empty_field
No,90,Carnival of the Animals: XIII. Le Cygne (The Swan),2NRUU0gP1d8Yif8CpsCW8l,No,43.0,0.978,0.1900,190133.0,0.0144,0.193,A,0.0646,-35.651,Minor,0.0443,59.176,04-Apr,0.0542,empty_field
No,91,No Way No (En Vivo),53hX9LyPxYjzSWoO1exhxS,No,54.0,0.272,0.6510,244853.0,0.688,0.000126,G,0.9280,-7.161,Minor,0.1260,153.852,04-Apr,0.6420,empty_field
No,97,Promised Land,4iTSGS8Cqjw30SNyuGI92V,No,24.0,0.0045,0.5870,215333.0,0.942,,A#,0.1090,-3.014,Major,0.0657,127.990,04-Apr,0.8340,empty_field
No,99,Movin' and a'Groovin',1EAvc2OvDwoftyy5hVtlTz,No,42.0,0.639,0.6580,154733.0,0.679,,A#,0.5150,-6.919,Major,0.0562,118.154,04-Apr,0.7400,empty_field
No,105,Heartbeat Song,0ZoLRktgWRzfHIYaTdHxZ5,No,67.0,0.0137,0.4900,,0.798,,F#,0.0627,-3.660,Major,0.0489,149.109,04-Apr,0.4790,empty_field
No,120,One,138Kyvy2Zuafe3gt7fyaD4,No,48.0,0.834,0.5730,,0.391,2.07e-05,A,0.0675,-10.368,Major,0.0392,106.688,04-Apr,0.1610,empty_field
No,135,"Laudate pueri Dominum, RV 600: Sit nomen Domini benedictum",6MDLO5bi8mGexqSwF9KmpH,No,40.0,0.994,0.3480,167093.0,0.00888,1.13e-05,D,0.0997,-29.350,Major,0.0552,110.081,04-Apr,0.0549,empty_field
No,139,"It's On Us (Benefiting the ""It's On Us"" Campaign)",57JKgPzcF9uyKHKVvbznR1,No,57.0,0.0636,0.4930,207671.0,0.718,,A,0.0800,-4.634,Major,0.0399,88.050,04-Apr,0.3280,empty_field
No,140,"My Dad, My Mom, And Even Once",65HKXd61Lp2HffCrPzz7cs,No,24.0,0.792,0.6370,385531.0,0.665,,C#,0.6710,-10.790,Major,0.9400,86.700,04-Apr,0.4630,empty_field
No,141,Detroit,7kQZZSlxhDES9KugTuKMXo,No,44.0,0.137,0.7100,229558.0,0.474,0.914,F,0.0849,-11.111,Major,0.0372,101.990,03-Apr,0.4110,empty_field
No,150,Impressions - Take 1,2U0zvszh4nKG92Q8TVnnhT,No,34.0,0.186,0.3330,,0.634,,C,0.3440,-8.182,Major,0.0450,81.123,03-Apr,0.6660,empty_field
No,154,Sex Poll Continued,3N1ehpBowLYFrgKTPFKWOd,No,11.0,0.825,0.4370,390473.0,0.619,,B,0.7680,-11.566,Minor,0.9500,59.946,04-Apr,0.4120,empty_field
No,158,Inhale Exhale (feat. Protoje),0wISLDGkCW5a0K4GhnKsyE,No,55.0,0.00397,0.7750,187710.0,0.824,,B,0.0509,-2.558,Minor,0.0470,,04-Apr,0.6830,empty_field
No,160,Tiny Raindrop,31yeukBk5aAtzOoayBHsvg,No,43.0,2.77e-05,0.5120,213747.0,0.951,1.56e-05,E,0.2520,-4.245,Minor,0.0661,110.172,04-Apr,0.1450,empty_field
No,162,Not Nice,20uYctRQi9MykqTU3CTr4x,No,69.0,0.0253,0.5980,202661.0,0.496,0.00132,C,0.1200,-9.309,Major,0.0804,,04-Apr,0.7250,empty_field
No,163,False Calls,4m9e0blkF37EDkXIXKfYD9,No,45.0,0.283,0.6580,223460.0,0.404,0.695,C#,0.1110,-9.652,Major,0.0410,,04-Apr,0.4070,empty_field
No,168,Worth It,4llIZen1Cn4mi3DJm2Lqlz,No,46.0,0.439,0.4520,185653.0,0.32,,C,0.1940,-10.879,Major,0.1400,83.446,05-Apr,0.3350,empty_field
No,187,"Cello Concerto In B Minor, Op.104, B.191: 3. Finale (Allegro moderato)",1iyMfyCRzkcW3x7CGEckgY,No,26.0,0.951,0.2720,743187.0,0.181,0.892,B,0.0896,-18.044,Minor,0.0402,113.575,04-Apr,0.1140,empty_field
No,188,Ride On,4ppbfpi2yXebgY8grXtZZi,No,37.0,0.172,0.7620,210094.0,0.612,,D,0.1170,-5.375,Major,0.0602,80.073,04-Apr,0.4580,empty_field
No,189,El Murguero - Original Version,3snc9m6T0b0TuxtSEsmP4U,No,46.0,0.00741,0.5440,321173.0,0.742,,A,0.3460,-7.730,Major,0.0802,,04-Apr,0.6690,empty_field
No,190,I Heard It Through The Grapevine,1C1piyIxKi9mOXjcvGlplD,No,32.0,0.599,0.6380,,0.463,0.412,A#,0.1270,-6.415,Minor,0.0722,131.211,04-Apr,0.6050,empty_field
No,207,Said Nobody,7lL2lMWNtzOcf5HnEudNgn,No,51.0,0.25,0.6560,184333.0,0.81,,G,0.3210,-4.178,Major,0.0298,86.991,04-Apr,0.7960,empty_field
No,211,Cuernú,4K7xBwmMlHs7ugxxnGHOiY,No,33.0,0.337,0.5860,334000.0,0.493,0.0667,C#,0.1090,-10.627,Minor,0.3490,,04-Apr,0.1210,empty_field
No,223,Women's Movement,7v3qGVvKf986nhPIkPsRbR,No,40.0,0.842,0.5360,171853.0,0.823,,C#,0.8160,-6.609,Major,0.9310,,04-Apr,0.4740,empty_field
No,224,Pick up the Phone,3kIw3BB7GQXPUTX0jKsKyl,No,43.0,0.146,0.6260,163654.0,0.46,0.00053,A,0.1080,-10.905,Minor,0.0629,177.889,04-Apr,0.0561,empty_field
No,237,Capable,44ut2KJnt0HQMnUaMlDv9W,No,50.0,0.175,0.4130,257173.0,0.603,0.000864,C,0.1010,-6.786,Major,0.0371,172.204,04-Apr,0.2250,empty_field
No,240,Hell Of A Night,2uZwyxrg6VPvlVsvclIfel,No,63.0,0.377,0.6520,,0.836,,D,0.1380,-7.179,Minor,0.1530,123.946,04-Apr,0.1620,empty_field
No,242,OKAY (feat. Future),0Pv6bmLtWfVnB2vMajNDcc,No,56.0,0.035,0.7930,,0.775,,F,0.1250,-2.354,Minor,0.0714,146.032,04-Apr,0.2320,empty_field
No,246,Pony,6KfMfx9hOx78KGJ9aDDf2s,No,60.0,0.102,0.9200,204573.0,0.622,,A,0.3500,-6.388,Major,0.2460,119.962,04-Apr,0.8150,empty_field
No,247,Rock & Roll Soul,40VK8FwEZKE6pAUxWE5RuO,No,30.0,0.00647,0.5400,209560.0,0.759,0.0443,B,0.0975,-6.490,Minor,0.0374,121.260,04-Apr,0.7090,empty_field
No,252,Last Tango In Paris,0xd6sCsl02xnR1ZZCSUCFW,No,30.0,0.00321,0.8110,350320.0,0.657,0.48,A#,0.0225,-8.630,Minor,0.0384,94.985,04-Apr,0.8330,empty_field
No,254,Você Me Encantou Demais - Ao Vivo,2ZoOmCSgj0ypVAmGd1ve4y,No,62.0,0.0733,0.7270,211373.0,0.56,5.17e-05,F#,0.7340,-7.539,Minor,0.0428,87.973,04-Apr,0.4410,empty_field
No,259,"Das Rheingold, WWV 86A / Erste Szene: ""Der Welt Erbe gewänn' ich zu eigen durch dich?""",0MsrWnxQZxPAcov7c74sSo,No,9.0,0.932,0.3490,103040.0,0.383,0.00547,C#,0.3150,-15.419,Major,0.0451,86.711,01-Apr,0.1440,empty_field
No,269,Wham,2D1hlMwWWXpkc3CZJ5U351,No,34.0,3.23e-06,0.2750,144600.0,0.958,0.959,C#,0.3150,-9.171,Major,0.0408,99.993,04-Apr,0.7270,empty_field
No,273,The Purge,3pAwh9JxSJxWyUy3BUBPb4,No,55.0,0.0299,0.6630,168673.0,0.848,1.23e-06,C#,0.1450,-4.030,Major,0.0955,120.977,04-Apr,0.3260,empty_field
No,275,Meme God,6113aOfHIC0vbZVDZ6PpRV,No,51.0,0.218,0.6410,100229.0,0.772,,G,0.4490,-3.058,Minor,0.1610,,04-Apr,0.6930,empty_field
No,278,Eye 2 Eye,4RP8kbm07CDD6v5IKMqkbh,No,38.0,0.106,0.8360,188671.0,0.417,3.78e-05,G,0.6110,-11.088,Major,0.0533,123.998,04-Apr,0.1720,empty_field
No,292,Outlaw Classics,4xMmjrefx4NlEOHfGu3EQf,No,47.0,0.148,0.7100,191025.0,0.605,,D,0.0890,-7.163,Major,0.2250,82.994,04-Apr,0.3290,empty_field
No,300,"Swan Lake, Op. 20, TH 12, Act I ""Terrace in Front of the Palace of Prince Siegfried"": Act I The terrace in front of the palace of Prince Siegfried: No. 4. Pas de trois: I. Intrada",6Hn9Uc1mMNfqChXU3txNke,No,35.0,0.938,0.0822,139667.0,0.0215,0.737,A#,0.1390,-32.241,Major,0.0412,81.369,03-Apr,0.0563,empty_field
No,302,Dancehall Queen (feat. Chevelle Franklyn),24PWKmemCvqfyVXODhoKHW,No,46.0,0.00288,0.8370,204413.0,0.859,,A#,0.1120,-6.027,Minor,0.0786,,04-Apr,0.6320,empty_field
No,307,Jumpin on a Jet,3Pbko3Yov08FFYVOBeUb9u,No,78.0,0.0571,0.8240,137134.0,0.595,3.7e-06,B,0.0876,-6.346,Major,0.0910,140.039,04-Apr,0.1570,empty_field
No,311,"String Quartet No. 19 in C Major, K. 465 - ""Dissonances"": String Quartet No. 19 in C Major, K. 465 - ""Dissonances"": I. Adagio - Allegro - Extended Version",6mXwoyzrpb4T5Iveoo4k5G,No,38.0,0.941,0.2620,827533.0,0.169,0.501,C,0.0655,-15.455,Major,0.0424,74.087,04-Apr,0.2930,empty_field
No,314,Chucuchá - Live,0Nn4H46gZGsc5agUTWcaiY,No,25.0,0.163,0.7220,226427.0,0.897,0.000611,A,0.9660,-7.100,Minor,0.1010,142.008,04-Apr,0.8320,empty_field
No,316,Who Am I?,5qaLfqAUiqvsoL0l4T05Yx,No,53.0,0.117,0.6260,197490.0,0.392,0.00035,B,0.1200,-9.092,Minor,0.1060,177.891,03-Apr,0.4720,empty_field
No,321,A Change Is Gonna Come,0xlb1LwjMuutK6sXoj6joQ,No,44.0,0.656,0.6610,215040.0,0.311,0.134,A#,0.1090,-7.848,Major,0.0280,137.407,03-Apr,0.1480,empty_field
No,329,"Nocturnes, Op. 55: No. 2 in E flat major. Lento sostenuto",0EDM6J5Z4au6l7e4LUJ3Zb,No,32.0,0.995,0.2760,341667.0,0.0154,0.877,D#,0.1020,-28.380,Major,0.0456,71.041,03-Apr,0.0687,empty_field
No,330,Over The Rainbow,40iqc94M52SdqnifRSqRWh,No,52.0,0.901,0.2910,,0.17,0.0338,G#,0.1130,-14.442,Major,0.0284,92.675,04-Apr,0.1170,empty_field
No,331,Les Fleurs,2eB3HOUlbGvOH3nbx5jvk0,No,48.0,0.767,0.4370,196682.0,0.525,4.16e-05,G#,0.2500,-8.074,Major,0.0497,152.469,04-Apr,0.4780,empty_field
No,333,Sound System,3Xcta4IssVl1u70OO6xe6R,No,57.0,0.35,0.5690,134027.0,0.954,0.000265,D,0.0768,-4.820,Major,0.1260,91.205,04-Apr,0.5740,empty_field
No,335,Still Cold / Pathway Private,1URteFizvgk7MxpNiUWpdP,No,69.0,0.278,0.7620,271404.0,0.41,3.43e-05,G#,0.1570,-11.979,Major,0.0551,100.047,04-Apr,0.0813,empty_field
No,336,Su Su Su,5fPZ5rlUHzHfNY0Eda4T8o,No,23.0,0.097,0.8500,135253.0,0.572,3.98e-05,F#,0.0653,-10.574,Major,0.0454,136.463,04-Apr,0.9670,empty_field
No,354,Chezidom (Dominicana),3uhWhjIOhuL2sNbN0dy8lS,No,36.0,0.0367,0.8140,273773.0,0.518,,F#,0.0561,-11.945,Major,0.4420,105.244,04-Apr,0.8140,empty_field
No,363,Interlude: No Limits,0gDOV0WAgfSEb423I3MV93,No,49.0,0.944,0.4830,39707.0,0.376,0.0579,F#,0.1210,-13.222,Major,0.3220,95.643,04-Apr,0.8870,empty_field
No,368,Your Mama Should've Named You Whiskey,2hmrTlC0t5Izl3V8ISdg8b,No,36.0,0.0763,0.3970,224200.0,0.652,2.68e-05,C#,0.1000,-5.054,Major,0.0408,199.806,04-Apr,0.2190,empty_field
No,370,"Little Fugue in G minor, BWV 578",3kfqDRYtythdiK2ldX9ND4,No,27.0,0.982,0.2660,213187.0,0.187,0.911,G,0.1110,-18.948,Minor,0.0514,164.434,04-Apr,0.3950,empty_field
No,375,Man Of Me,4eVkn18rN4GguUWOsR6Use,No,34.0,0.0232,0.6120,207373.0,0.763,1.06e-05,B,0.0900,-9.009,Minor,0.0366,116.116,04-Apr,0.6650,empty_field
No,390,S T R E T C H,2dtitppHZmA0MxLZ3Giq3o,No,50.0,0.597,0.6690,192444.0,0.699,3.09e-05,C#,0.2000,-6.882,Minor,0.0582,92.006,04-Apr,0.3680,empty_field
No,396,"Idomeneo, TrV 262, Act I (After W.A. Mozart): Overture [Live]",4hrlyhH5MLAT2Oqe6FdLgM,No,5.0,0.963,0.3690,237893.0,0.0809,0.425,A,0.1590,-23.606,Major,0.0411,85.517,04-Apr,0.2150,empty_field
No,401,Déjà vu,1xSbrJK5n4NCgjoUaLDDai,No,38.0,0.804,0.6060,,0.615,,G#,0.0760,-8.856,Minor,0.2380,124.486,04-Apr,0.4680,empty_field
No,407,Uoeno - Remix,2AZnaJ9MLerdNPS1BmmzZD,No,57.0,0.232,0.8150,229460.0,0.451,,A#,0.1700,-8.977,Minor,0.1950,,04-Apr,0.4100,empty_field
No,408,"Jiminy Christmas, Consarnit, John Brown It and Holy Fuck",53PkA8aXiwH4ppa0V0iO7o,No,14.0,0.911,0.6020,48019.0,0.226,,D#,0.6980,-17.676,Major,0.8790,80.533,04-Apr,0.5550,empty_field
No,411,No Disturb Sign,0kDpFPQgQYeZ7t04Quiwkn,No,33.0,0.062,0.7660,266933.0,0.752,0.000176,G#,0.1100,-7.231,Major,0.0856,153.115,04-Apr,0.9470,empty_field
No,415,The Duke - Live,1nO2NjuFkGaAWcMdJ1pNrp,No,35.0,0.854,0.5940,389560.0,0.315,0.792,C,0.9850,-15.984,Major,0.0433,127.878,04-Apr,0.4320,empty_field
No,417,Song For You,3UudxYPhchnmjoeHiC6BJe,No,49.0,0.872,0.5010,257160.0,0.104,0.00298,E,0.1160,-25.111,Major,0.0355,154.798,04-Apr,0.3020,empty_field
No,418,ポーランドの歌 作品74 悲しい河,1ti4sGtRkZXIZsD3tT801m,No,30.0,0.995,0.3140,,0.0147,0.647,F#,0.0741,-29.794,Minor,0.0529,59.305,03-Apr,0.1250,empty_field
No,420,Vengan Donde Mi,6GbWNeR3P9MTCmSyPVHgb1,No,30.0,0.239,0.8160,263560.0,0.534,2.92e-05,D,0.2580,-7.303,Major,0.1350,,04-Apr,0.7300,empty_field
No,423,One Thing to Live,5pqUPgEQI0jbNk3ZJx75HL,No,30.0,0.0132,0.3680,140107.0,0.558,1.16e-06,E,0.3550,-8.097,Major,0.0407,103.138,04-Apr,0.0869,empty_field
No,427,All Year,74SiMxFuGC4SYuIGRBIIcZ,No,57.0,0.189,0.5410,209579.0,0.55,0.000728,F,0.1100,-8.051,Minor,0.0949,155.767,04-Apr,0.2530,empty_field
No,431,"Quintettino Op.30 No.6, G.324: 4. Passacalle",4ulix0RIyXmuNLgwPaz46S,No,39.0,0.974,0.3810,,0.0542,0.811,G,0.1340,-28.454,Major,0.0493,154.678,03-Apr,0.2660,empty_field
No,443,Cannons,0WgLpgUdThEpA5L5K0SKq7,No,51.0,0.631,0.5310,224773.0,0.719,0.922,C#,0.1300,-5.063,Major,0.0296,,04-Apr,0.1790,empty_field
No,446,No Role Modelz - Live,7xqeIdLJSf3bgmZ7vUvHrE,No,53.0,0.0847,0.6300,356187.0,0.695,1.15e-06,A#,0.7700,-7.666,Minor,0.3180,,04-Apr,0.1630,empty_field
No,455,Soul Crash,5vnAu12wplLvx1XH01PwRH,No,23.0,0.29,0.7300,183693.0,0.749,0.85,E,0.6360,-7.682,Major,0.0327,118.911,04-Apr,0.9660,empty_field
No,459,Hard Road To Travel,0vOSZ7hAUxocDU7qPh0VCo,No,26.0,0.168,0.7840,157773.0,0.385,,C,0.1930,-15.771,Major,0.1550,169.179,04-Apr,0.9150,empty_field
No,461,No Pare,0yKuaVL19baKVpuGQodkmL,No,64.0,0.0236,0.6900,,0.695,3.18e-06,A#,0.1200,-6.557,Minor,0.0542,171.985,04-Apr,0.6440,empty_field
No,491,Mr. Tambourine Man,7nzjDpRplOudLiOeQAGyR8,No,62.0,0.513,0.4560,149467.0,0.47,3.76e-05,D,0.4440,-9.564,Major,0.0294,120.336,04-Apr,0.6390,empty_field
No,492,"God Rest Ye Merry, Gentlemen",4Q6M302cTvI0rqDAVGopAY,No,36.0,0.846,0.5170,88160.0,0.338,,B,0.0938,-11.745,Minor,0.0277,94.879,04-Apr,0.8260,empty_field
No,493,Black Roses - Full Band Version,2DNFZvo38nXhe38CUyZucr,No,42.0,0.813,0.5820,222000.0,0.426,0.000153,E,0.3210,-8.497,Major,0.0268,81.988,04-Apr,0.3310,empty_field
No,498,Aida: Ei si turba...,4HsoK4no1qR8mBiy6nEVFn,No,15.0,0.961,0.2910,,0.267,0.0674,E,0.3560,-17.939,Major,0.0749,85.267,03-Apr,0.2080,empty_field
No,504,Live It Up - Official Song 2018 FIFA World Cup Russia,5cbPbxwkTCFvlcqPjO3TEL,No,71.0,0.00573,0.5820,207977.0,0.944,1.27e-06,D,0.5470,-0.928,Minor,0.1850,143.970,04-Apr,0.8000,empty_field
No,509,Cry No More,6f7peEI0vwZmJHauz6iS3n,No,34.0,0.187,0.5350,,0.616,0.00137,C#,0.1040,-6.323,Major,0.0399,203.586,04-Apr,0.6820,empty_field
No,510,One Shot,4nS1sut0R2mgmFitKIShVe,No,48.0,0.21,0.7580,,0.704,,D,0.2500,-5.179,Major,0.0400,129.996,04-Apr,0.1730,empty_field
No,511,We Ride,2rWV6VGaETa96jLW3XywV9,No,63.0,0.00175,0.3940,236680.0,0.744,,F,0.3080,-5.465,Minor,0.2760,78.696,04-Apr,0.7720,empty_field
No,518,Young and Able,2tiSyOuikoqJMsI6R6tAEf,No,52.0,0.788,0.6710,,0.504,,F,0.1100,-10.827,Major,0.0383,144.215,04-Apr,0.6710,empty_field
No,523,"Motet O qui coeli terraeque serenitas for Soprano, Strings and Continuo, RV 631 / III. Aria: Rosa quae moritur (Largo)",5QPachkZsP2xHp52FIoX0d,No,37.0,0.935,0.3440,323400.0,0.0121,0.0888,B,0.1190,-26.420,Minor,0.0462,,03-Apr,0.0464,empty_field
No,547,Senseless - Remix,3GfZdJBB1cAbjSEIj3kraY,No,68.0,0.122,0.5440,173438.0,0.621,,C#,0.1010,-4.557,Major,0.1390,101.337,04-Apr,0.7470,empty_field
No,549,Back On The Wagon,73URX96PE74KPnE9ogX2ib,No,50.0,0.115,0.5040,213813.0,0.7,,F,0.1360,-6.136,Major,0.0297,147.980,04-Apr,0.4420,empty_field
No,556,Lesson Learned (feat. John Mayer),0WzIwOq9e3T031ERG3oaQF,No,58.0,0.476,0.6810,253680.0,0.461,3.48e-06,A,0.3420,-8.557,Major,0.0525,121.907,04-Apr,0.4530,empty_field
No,568,Rosie O'donnell,5Mw9bXG1dLNhbjofkVS2oR,No,26.0,0.804,0.5720,,0.816,,A,0.8990,-9.388,Major,0.7800,121.184,03-Apr,0.3770,empty_field
No,569,Everybody,1hTDkP80nFhCeyawRpUyAk,No,50.0,0.00513,0.6130,200720.0,0.916,4.3e-05,G#,0.2280,-3.490,Major,0.0753,122.068,04-Apr,0.5270,empty_field
No,570,Don’t Play This Song,3xXrF1nomzDLLMngfZNmKw,No,51.0,0.896,0.6250,,0.628,0.0079,E,0.3420,-7.719,Minor,0.0435,,04-Apr,0.4860,empty_field
No,573,Raising Our Kids,3LdrBbLqxasAdJQCvWkHU7,No,33.0,0.875,0.4060,280400.0,0.988,4.6e-06,G,0.7170,-6.025,Major,0.9220,,04-Apr,0.0350,empty_field
No,583,11 Hours - Branchez Remix,751gBcu62kORDelX7FV0mM,No,67.0,0.626,0.6870,,0.352,0.000151,G#,0.1330,-8.229,Major,0.0759,,04-Apr,0.1550,empty_field
No,585,Hello Hooray,5tzYHmkrSRsz9LXwz2MDq2,No,34.0,0.0218,0.3280,258600.0,0.497,0.00519,C,0.4870,-12.033,Major,0.0286,94.567,04-Apr,0.2650,empty_field
No,589,Letter To Hermione,2LIsbhb2reGAtpztMLTR4Y,No,37.0,0.352,0.5350,291840.0,0.543,0.273,F,0.1090,-11.662,Major,0.0562,97.116,04-Apr,0.4320,empty_field
No,590,"L'amico Fritz / Act 2: ""Suzel, buon di""",4xiFdVztzHi9msYRXo1CpJ,No,25.0,0.979,0.3070,,0.179,0.000287,A,0.3430,-16.500,Major,0.0438,,05-Apr,0.0624,empty_field
No,593,King of Dixie,2kt06ZsD735FYBZO8yAAQs,No,43.0,0.0164,0.5940,186389.0,0.846,,F#,0.4150,-11.053,Minor,0.1490,161.957,04-Apr,0.3310,empty_field
No,598,Addicted To Love,6sleEAnBH0sZMe0pOQNidG,No,65.0,0.361,0.7020,363640.0,0.59,3.91e-06,D,0.0512,-12.760,Major,0.0302,111.570,04-Apr,0.9730,empty_field
No,601,An Infinite Regression,2vgZSXt1KmekJICQbNZH4H,No,41.0,0.000123,0.4040,205853.0,0.903,0.812,D,0.1380,-6.237,Major,0.1080,131.768,05-Apr,0.3520,empty_field
No,602,The Only Heirs,7s8cu8O2pWcXtHoIMzFKeq,No,48.0,0.0956,0.4930,222440.0,0.665,0.000833,F,0.1910,-4.805,Minor,0.0567,145.014,04-Apr,0.5090,empty_field
No,610,Apretaito al Pickup,67VL4PbAGx7saJO4gPz9wO,No,30.0,0.0184,0.8700,215120.0,0.882,,F#,0.1940,-5.094,Minor,0.1800,116.026,04-Apr,0.9030,empty_field
No,629,Confessions Part II - Confessions Special Edition Version,4ihVN9xqrZvN0dlnrbFoxa,No,68.0,0.0586,0.8450,211200.0,0.467,,C#,0.0694,-7.674,Major,0.1380,138.007,04-Apr,0.7020,empty_field
No,633,Smoke Session,602rnDrA59nfIEcX5Qrlcx,No,24.0,0.0068,0.6280,257611.0,0.737,1.16e-05,F#,0.3660,-6.144,Minor,0.0280,119.970,04-Apr,0.6070,empty_field
No,641,"Dinorah, '(Le) pardon de Ploërmel' (1987 - Remaster): Ombre légère (Shadow Song)",0wNbV27FPIuGXBdhMtSPzs,No,5.0,0.98,0.3240,,0.0709,0.333,G#,0.0864,-17.139,Major,0.0663,66.860,03-Apr,0.1970,empty_field
No,650,Proud,4zoY4Ggag0t0w2EFoxECGu,No,48.0,0.0293,0.6030,297025.0,0.733,0.00103,E,0.1980,-6.529,Minor,0.0264,,04-Apr,0.7970,empty_field
No,651,Searching,0gCuylm4xZ1c7K22OCKN4w,No,40.0,0.0695,0.5970,,0.695,0.00484,A,0.4580,-8.867,Major,0.0296,115.327,04-Apr,0.8050,empty_field
No,654,"Paganini: 24 Caprices, Op. 1: No. 5 in A Minor",0X6Rm8uycLJIcBmlrVsOfx,No,38.0,0.97,0.3600,189942.0,0.198,0.926,A,0.0632,-23.452,Minor,0.0442,150.066,04-Apr,0.6280,empty_field
No,656,Downpour,3RRdmSE4Vytb60hakTWNb3,No,40.0,0.707,0.5630,194813.0,0.216,0.000666,G,0.1090,-12.172,Major,0.0312,,03-Apr,0.2040,empty_field
No,657,Broken-Hearted Girl,3PMsgFdVtCeTgjzE8X9TTs,No,63.0,0.503,0.3360,277627.0,0.424,,F,0.2730,-7.203,Major,0.0353,82.149,04-Apr,0.1590,empty_field
No,659,God Hates Us,3Xf0CYPBQw1HZZ60uiXx0c,No,52.0,0.000321,0.4530,319187.0,0.959,0.14,C,0.1320,-6.121,Minor,0.1190,139.997,04-Apr,0.2040,empty_field
No,661,I Am Your Flag,5m8hrt4m5M8OS8cxTBbqfm,No,17.0,0.112,0.5590,173827.0,0.821,0.000784,D,0.0608,-10.735,Minor,0.0512,166.058,04-Apr,0.9380,empty_field
No,665,The Great Pixley Train Robbery,5qunFIwUTYXDCvlaFHKg9k,No,53.0,0.164,0.5770,,0.643,0.00258,C,0.1290,-8.544,Major,0.0239,97.230,04-Apr,0.7890,empty_field
No,666,What Yo Life Like,2W1wZG52PIlXihmHnNXE1G,No,48.0,0.206,0.8900,180091.0,0.569,,C#,0.2420,-5.505,Major,0.3280,,04-Apr,0.4640,empty_field
No,668,Don't Think Twice,037DAJ2ClglNQbEvXpGav4,No,25.0,0.0567,0.8800,182627.0,0.606,2.56e-06,C,0.1910,-3.984,Major,0.0480,129.964,04-Apr,0.6370,empty_field
No,669,"Come On, Illinois",1qzlwbV6SwHYOR3mhu6ZEd,No,41.0,0.00479,0.4520,201853.0,0.528,1.67e-05,G#,0.1100,-6.099,Major,0.0269,81.443,04-Apr,0.1960,empty_field
No,676,"Carmen, WD 31, Act I: C'est bien là (Live)",3SPuBNFQuKxx1xVdkswOdB,No,17.0,0.935,0.3680,78373.0,0.0774,,A,0.2660,-30.869,Major,0.0995,136.784,04-Apr,0.2980,empty_field
