genre - Concatenate,artist_name,genre - Mode
Jazz,Adam Baldych,Jazz
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Adam Ferrara,Comedy
Blues,Adam Gussow,Blues
Pop,Adam Hambrick,Pop
Pop,Adam Hicks,Pop
Comedy,Adam Hunter,Comedy
Alternative Alternative Alternative Alternative,Adam Jensen,Alternative
Pop Pop,Adam Lambert,Pop
Jazz Jazz,Adam Rafferty,Jazz
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Adam Sandler,Comedy
Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,Adele,Pop
Alternative Alternative Alternative,Adelitas Way,Alternative
R&B R&B,Adina Howard,R&B
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Adolphe Adam,Opera
Hip-Hop,Adrian Eagle,Hip-Hop
R&B R&B,Adrian Marcel,R&B
Folk,Adrian Von Ziegler,Folk
Folk Folk Folk Folk,Adrianne Lenker,Folk
Pop Pop,Adriel Favela,Pop
Folk Folk,Adult Mom,Folk
R&B R&B,Ady Suleiman,R&B
Pop,Aer,Pop
Alternative R&B R&B,Aeris Roves,R&B
Alternative Alternative Hip-Hop Hip-Hop Hip-Hop Hip-Hop,Aesop Rock,Hip-Hop
Hip-Hop Pop,Afro B,Hip-Hop
Hip-Hop,Afroman,Hip-Hop
R&B R&B R&B R&B,After 7,R&B
Jazz,Afterlife,Jazz
Alternative Alternative Alternative Alternative R&B R&B R&B R&B,Aftertheparty,Alternative
Folk,Against All Authority,Folk
Hip-Hop,Against All Logic,Hip-Hop
Folk Folk Folk Folk,Against Me!,Folk
Opera,Agnes Baltsa,Opera
Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical,Agustín Barrios Mangoré,Classical
Hip-Hop,Aha Gazelle,Hip-Hop
Jazz Jazz Jazz Jazz Jazz,Ahmad Jamal,Jazz
Jazz Jazz Jazz,Ahmad Jamal Trio,Jazz
Jazz Jazz Jazz Jazz Jazz,Aim,Jazz
Folk,Aimee Mann,Folk
Alternative,Air,Alternative
Alternative,Airways,Alternative
Folk Pop,Aisha Badru,Folk
Pop,Aitana,Pop
Jazz Jazz Jazz Jazz Jazz Jazz Jazz,Ajmw,Jazz
Classical,Akihiko Matsumoto,Classical
Classical,Akira Ifukube,Classical
Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical,Akira Kosemura,Classical
Pop Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,Akon,R&B
Jazz,Akua Naru,Jazz
R&B R&B R&B,Al B. Sure!,R&B
Classical,Al Di Meola,Classical
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues,Al Green,Blues
Jazz,Al Hirt,Jazz
Alternative,Al James,Alternative
Jazz Jazz Jazz Jazz Jazz,Al Jarreau,Jazz
Blues,Al Kooper,Blues
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Al Madrigal,Comedy
Folk Folk,Al Stewart,Folk
Folk Folk Folk Folk Folk Pop Pop,Alabama Shakes,Folk
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Alan Saldaña,Comedy
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Folk Folk Folk Folk,Alanis Morissette,Alternative
Blues,Alastair Greene,Blues
Classical Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Alban Berg,Opera
Jazz,Albert Ayler,Jazz
Blues Blues Blues Blues Blues,Albert Collins,Blues
Blues Blues Blues Blues Blues Blues,Albert Cummings,Blues
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues,"Albert Hammond, Jr.",Blues
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues,Albert King,Blues
Alternative,Alberta Cross,Alternative
Classical,Alcatrazz,Classical
Jazz,Aldo Romano,Jazz
Pop,Aldo Trujillo,Pop
Folk,Aldous Harding,Folk
Pop Pop Pop Pop Pop Pop,Alec Benjamin,Pop
Folk,Alejandro Escovedo,Folk
Pop Pop,Alejandro Fernandez,Pop
Pop,Alejandro Sanz,Pop
Alternative Alternative Alternative,Aleks Syntek,Alternative
Folk,Alela Diane,Folk
Hip-Hop,Aleman,Hip-Hop
Opera Opera Opera,Alessandro De Marchi,Opera
Classical Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Alessandro Scarlatti,Opera
Pop Pop Pop Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,Alessia Cara,R&B
Pop Pop Pop,Alesso,Pop
Folk Folk,Alestorm,Folk
Jazz,Alex Bugnon,Jazz
Alternative Alternative,Alex Cameron,Alternative
Blues,Alex Chilton,Blues
Alternative,Alex Clare,Alternative
Alternative,Alex Ebert,Alternative
Alternative R&B,Alex Isley,Alternative
Hip-Hop Hip-Hop,Alex Wiley,Hip-Hop
Classical Classical Classical Classical Classical Classical,Alexander Borodin,Classical
Classical Classical Classical Classical Classical Classical Classical,Alexander Scriabin,Classical
Pop,Alexandra Stan,Pop
Folk Folk Folk Pop,Alexi Murdoch,Folk
Classical,Alexis Weissenberg,Classical
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop,Alexis y Fido,Hip-Hop
R&B R&B R&B R&B R&B,Alextbh,R&B
Jazz Jazz Jazz Jazz Jazz,Alfa Mist,Jazz
Classical Classical Classical,Alfred Brendel,Classical
Classical,Alfred Schnittke,Classical
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Alfredo Catalani,Opera
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Alfredo Kraus,Opera
Pop Pop Pop,Alfredo Olivas,Pop
Jazz,AlgoRythmik,Jazz
Classical,Ali Akbar Khan,Classical
Blues Blues Blues,Ali Farka Touré,Blues
Hip-Hop Hip-Hop Hip-Hop Hip-Hop,Ali Gatie,Hip-Hop
Comedy Comedy,Ali LeRoi,Comedy
Jazz Jazz Jazz Jazz,Alice Coltrane,Jazz
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues,Alice Cooper,Blues
Jazz,Alice Francis,Jazz
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,Alice In Chains,Alternative
Alternative,Alice Pisano,Alternative
Jazz Jazz,Alice Russell,Jazz
Pop Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,Alicia Keys,R&B
Alternative Pop,Alien Ant Farm,Alternative
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Pop Pop Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,Alina Baraz,R&B
Folk,Aliocha,Folk
Classical,Alisa Weilerstein,Classical
Classical,Alison Balsom,Classical
Folk Folk Folk,Alison Krauss,Folk
Folk,Alison Krauss & Union Station,Folk
Jazz,All That Jazz,Jazz
Alternative Alternative Alternative Alternative Alternative Alternative Alternative,All That Remains,Alternative
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues,All Them Witches,Blues
Pop Pop Pop Pop Pop Pop,All Time Low,Pop
R&B R&B,All-4-One,R&B
Folk Folk Folk,Allah-Las,Folk
Hip-Hop,Allan Kingdom,Hip-Hop
Blues Blues Blues Blues Blues Blues Blues Blues Blues,Allen Toussaint,Blues
Folk Folk,Allman Brown,Folk
R&B R&B R&B R&B R&B,Aloe Blacc,R&B
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Alonzo Bodden,Comedy
Pop Pop,Alta Consigna,Pop
Folk,Altan,Folk
Alternative Alternative Alternative Alternative Alternative Alternative Alternative,Alter Bridge,Alternative
R&B R&B R&B R&B R&B,AlunaGeorge,R&B
Pop Pop,Alvaro Soler,Pop
Blues,Alvin Lee,Blues
Blues,Alvin Youngblood Hart,Blues
Folk Folk Folk Folk Folk Folk,Alvvays,Folk
Alternative R&B R&B R&B R&B R&B R&B,Always Never,R&B
Pop,Aly & AJ,Pop
Blues,Alysha Brilla,Blues
Alternative R&B R&B R&B,Ama Lou,R&B
R&B,Amaal,R&B
Folk Folk Folk,Amanda Palmer,Folk
Folk,Amanda Shires,Folk
Jazz,Amazonics,Jazz
Alternative Alternative Alternative R&B R&B R&B R&B R&B R&B R&B R&B,Amber Mark,R&B
Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Pop,Amber Run,Folk
Opera Opera Opera Opera Opera,Ambroise Thomas,Opera
Jazz Jazz,Ambrose Akinmusire,Jazz
Folk Folk Folk,Ambrosia,Folk
Opera,Ambrosian Opera Chorus,Opera
Folk,Amen Dunes,Folk
Folk Folk Folk Folk Folk,America,Folk
Pop,American Authors,Pop
Alternative,American Football,Alternative
Hip-Hop R&B R&B R&B,Amerie,R&B
Folk Folk Folk,Amigo the Devil,Folk
Classical Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Amilcare Ponchielli,Opera
R&B,Amilli,R&B
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,Aminé,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop R&B,Amir Obe,Hip-Hop
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,Amon Amarth,Alternative
Jazz Jazz,Amon Tobin,Jazz
Folk Folk Folk Folk Folk Folk,Amos Lee,Folk
Blues Blues,Amos Milburn,Blues
Alternative,Amy Grant,Alternative
Folk,Amy Liz,Folk
Folk,Amy Macdonald,Folk
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Amy Schumer,Comedy
Jazz Jazz,An Endless Sporadic,Jazz
Blues Blues Blues Blues,Ana Popovic,Blues
Jazz,Analogik,Jazz
Pop,Anarbor,Pop
Classical,Anat Cohen,Classical
Folk,Anaïs Mitchell,Folk
Alternative,Anberlin,Alternative
Jazz Jazz,Ancient Astronauts,Jazz
Classical,Ancient Bards,Classical
Classical,Anders Miolin,Classical
Blues Blues Blues Blues Blues Blues Blues Blues Blues,Anders Osborne,Blues
Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Blues Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk,Anderson East,Blues
Classical,Anderson and Roe,Classical
Comedy Comedy Comedy Comedy Comedy,Andi Smith,Comedy
R&B R&B,Andra Day,R&B
R&B,Andrae Crouch,R&B
Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical,Andrea Bocelli,Classical
Folk Folk,Andrea von Kampen,Folk
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Andreas Scholl,Opera
Classical Classical Classical Classical Classical Classical Classical,Andrei Krylov,Classical
Pop,Andrelli,Pop
Blues,"Andrew ""Jr Boy"" Jones",Blues
Folk Folk Folk Folk Folk Folk Folk Folk Pop,Andrew Belle,Folk
Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk,Andrew Bird,Folk
Jazz,Andrew Cyrille,Jazz
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Andrew Dice Clay,Comedy
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Andrew Norelli,Comedy
Alternative,Andrew Peterson,Alternative
Classical Classical Classical,Andrew York,Classical
Classical Classical,André Laplante,Classical
Opera Opera Opera Opera,André Messager,Opera
Classical Classical Classical Classical Classical Classical Classical Classical,André Previn,Classical
Opera Opera Opera,André-Ernest-Modeste Grétry,Opera
Alternative Jazz,Andrés Calamaro,Alternative
Classical,Andrés Segovia,Classical
Pop,Andy Black,Pop
Blues Blues,Andy Frasco & the U.N.,Blues
Pop Pop Pop Pop,Andy Grammer,Pop
Comedy Comedy Comedy Comedy,Andy Hendrickson,Comedy
Classical Classical Classical Classical Classical Classical,Andy James,Classical
Folk,Andy Kong,Folk
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop,Andy Mineo,Hip-Hop
Jazz,Andy Montañez,Jazz
Comedy Comedy Comedy Comedy,Andy Ritchie,Comedy
Folk Folk Folk Folk,Andy Shauf,Folk
Jazz,Andy Snitzer,Jazz
Classical Classical,Andy Timmons,Classical
Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz,Andy Williams,Jazz
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Andy Woodhull,Comedy
Folk,Ane Brun,Folk
Hip-Hop Hip-Hop,Anfa Rose,Hip-Hop
Jazz,Angel Canales,Jazz
Alternative Alternative Folk Folk Folk Folk Folk,Angel Olsen,Folk
Alternative,Angel Snow,Alternative
Classical,"Angele Dubeau, Ensemble Amati, Raymond Dessaints",Classical
Jazz Jazz Jazz Jazz,Angelo Badalamenti,Jazz
Folk Folk Folk,Angelo De Augustine,Folk
Classical Classical,Angra,Classical
Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Pop,Angus & Julia Stone,Folk
Classical,Angélica Negrón,Classical
Folk Folk Folk,Ani DiFranco,Folk
Folk,Anika,Folk
Folk Folk Pop,Animal Collective,Folk
Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz,Animals As Leaders,Jazz
Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz R&B R&B R&B R&B R&B R&B R&B,Anita Baker,Jazz
Jazz Jazz,Anita O'Day,Jazz
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Anjelah Johnson,Comedy
Jazz,Ann Hampton Callaway,Jazz
Blues,Ann Peebles,Blues
Pop Pop Pop,Anna Clendening,Pop
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Anna Moffo,Opera
Folk Folk Pop,Anna Nalick,Folk
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Anna Netrebko,Opera
Pop,Anna Of The North,Pop
Folk,Anne Murray,Folk
Classical Opera Opera Opera Opera Opera Opera Opera Opera,Anne Sofie von Otter,Opera
Pop Pop,Anne-Marie,Pop
Jazz Jazz Jazz Jazz,Annella,Jazz
Blues,Anni Piper,Blues
Folk Folk Folk Folk Folk Folk Folk,Annie Lennox,Folk
Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,Annmarie,R&B
R&B R&B,Anomalie,R&B
Jazz,Anomaly,Jazz
Folk Jazz Jazz,Anouar Brahem,Jazz
Pop Pop,Ansel Elgort,Pop
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,Anthem Lights,Alternative
R&B R&B,Anthony Evans,R&B
Blues Blues,Anthony Gomes,Blues
R&B R&B R&B,Anthony Hamilton,R&B
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,Anthony Jeselnik,Comedy
Pop,Anthony Russo,Pop
Alternative,Anthrax,Alternative
Jazz,Anti-Lilly & Phoniks,Jazz
Classical,Anton Batagov,Classical
Classical Classical Classical Classical Classical,Anton Bruckner,Classical
Classical Classical,Anton Rubinstein,Classical
Classical,Anton Webern,Classical
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Antonio Caldara,Opera
Opera,Antonio Cesti,Opera
Opera Opera,Antonio Maria Bononcini,Opera
Classical,Antonio Salieri,Classical
Opera Opera,Antonio Sartorio,Opera
Classical,Antonio Soler,Classical
