artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Joji,I'LL SEE YOU IN 40,0U40CRPV139EmYTcpyc2c5,108696,61,0.347,0.411,253781,0.377,0.765,D#,0.222,-9.553,Major,0.0296,132.331,04/4,0.0321,Alternative
DPR LIVE,To Myself,4cFKbjskKKIPLyLq3bIPdW,131576,54,0.153,0.772,213447,0.836,0.0131455,B,0.767,-6.075,Major,0.186,119.974,04/4,0.708,R&B
Ministry,Just One Fix,6t7lMFHSifu9j8NPMNCv9T,166668,46,1.42e-05,0.539,310293,0.982,0.462,C,0.371,-4.495,Major,0.0592,132.984,04/4,0.145,Alternative
Jazmine Sullivan,Forever Don't Last,46BvlI9vSxQ0dVdJhNBT3K,180131,46,0.741,0.638,224843,0.429,0.0399552,F#,0.0872,-7.199,Minor,0.0723,124.33,04/4,0.416,R&B
Drake,Redemption,2fjEqI5psk4oz5H4TzWFUM,26205,67,0.618,0.635,333947,0.319,1.69e-06,C,0.117,-8.727,Major,0.118,118.844,04/4,0.327,Pop
Shay Lia,Voodoo,2iAy8pc1c5qEyHBETuiVP4,97478,47,0.341,0.714,196950,0.585,8.12e-06,F#,0.133,-6.916,Minor,0.0891,105.024,04/4,0.317,Alternative
empty_field,Cold World,18r0Dzee1Fmiz1v2lMfIvW,63824,49,0.0964,0.724,331000,0.803,3.04e-05,D,0.349,-5.555,Major,0.296,90.88,04/4,0.53,Hip-Hop
Kodak Black,You Do That Shit,61EmOrJeSjn3bY9cJlvEFf,170419,50,0.0957,0.803,147663,0.594,0.0271977,C#,0.0965,-7.304,Major,0.542,161.047,04/4,0.145,Hip-Hop
empty_field,Selfish,3m9641nehhPSAIEODgBqaW,53819,51,0.221,0.71,215118,0.597,0.0670279,G,0.432,-6.468,Major,0.239,95.769,04/4,0.49,Alternative
Marshmello,Rooftops,0gySxCMjGVeeYQl5PXW7Tv,77931,69,0.0292,0.704,177465,0.907,0.0133959,A#,0.195,-3.95,Minor,0.0672,141.988,04/4,0.657,Pop
Grizfolk,Hurricane,0vpEg6cBXfG0PZXRSKZ4bE,91367,46,0.00291,0.544,174027,0.618,0.00544,C,0.0951,-9.34,Major,0.0359,144.938,04/4,0.285,Alternative
YG,You Broke,1fZhHANKVFNZ9W8iSh76gF,211886,57,0.00227,0.911,209787,0.493,0.0234238,C#,0.137,-9.409,Major,0.197,92.516,04/4,0.512,Hip-Hop
Monica,Angel of Mine - Radio Mix,5XwzVOkfTKRV3KzHkXCxaA,159040,66,0.00373,0.592,250173,0.562,3.23e-05,A#,0.223,-6.869,Minor,0.0239,90.16,04/4,0.208,R&B
Alice In Chains,Angry Chair,78IhjYBQlvwSj7BzFs5PML,31010,47,0.0443,0.325,287800,0.937,0.0611591,G#,0.0442,-6.295,Major,0.085,134.485,04/4,0.158,Alternative
Fifth Harmony,Angel,4dleg31Q4yCr3tmFPeQiFp,57607,60,0.00339,0.738,189440,0.525,0.0162575,C#,0.351,-6.298,Minor,0.0371,124.008,04/4,0.13,R&B
Young the Giant,Anagram,2AfENfEbIncnXBMourPWPk,85230,46,0.0312,0.504,294240,0.718,1.76e-05,G,0.0946,-5.871,Major,0.0277,90.05,01/4,0.357,Alternative
Three Days Grace,Pain,6AyI8UGx8Y4peb7pLOy2pf,123377,68,0.00804,0.416,256016,0.741,0.0141842,G,0.273,-4.001,Major,0.0335,160.515,04/4,0.286,Pop
Ciara,Oh,6eMeqiSoQYtM8u3vvfth21,109162,66,0.000298,0.8,256347,0.496,0.0263009,G,0.0697,-7.135,Major,0.0506,128.29,04/4,0.357,Hip-Hop
Wiz Khalifa,You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign),2wXbVH6oQtUPMcZrlUqnPs,38254,60,0.126,0.783,186373,0.662,0.0128629,G,0.101,-6.124,Major,0.0415,118.53,04/4,0.523,Pop
YG,Bicken Back Being Bool,5qUYknlVr82kXrJN2JisET,106583,55,0.291,0.56,243773,0.664,0.00696768,D,0.688,-7.86,Major,0.567,190.024,04/4,0.655,Hip-Hop
Jay Electronica,Exhibit C,37vqpVS6sQFhLdNZhHo1zu,216590,49,0.0279,0.508,331440,0.811,0.0112075,F,0.388,-11.966,Minor,0.19,82.01,04/4,0.382,Hip-Hop
Kendrick Lamar,Ignorance Is Bliss,5yy2nNYZvjKqeboDTW8p8W,97763,52,0.511,0.644,210495,0.801,8.59e-06,G,0.614,-4.55,Major,0.387,82.156,04/4,0.764,Hip-Hop
empty_field,Ella Y Yo - Featuring Don Omar,5RaxZxCWy3WVuZgMWTwDVm,63682,74,0.534,0.732,267787,0.708,0.00897777,A,0.237,-7.905,Minor,0.262,118.482,04/4,0.717,Pop
Jonathan McReynolds,Make Room,1ruMZWNVpNd7uhl6cSvNm1,80607,51,0.172,0.271,340344,0.381,0.000137885,F#,0.161,-8.33,Major,0.0349,72.175,04/4,0.245,R&B
Seether,Nobody Praying For Me,0AHtRtFc0bZvnijTuKhfoX,111117,60,0.00326,0.541,213745,0.916,2.04e-06,G,0.0967,-5.964,Minor,0.0612,156.015,04/4,0.627,Alternative
Kyle Dion,Timed Out,1sr1NnVTSUZL2xGzlkiq1G,216377,47,0.176,0.73,208813,0.61,6.96e-05,G#,0.093,-6.99,Minor,0.073,122.999,04/4,0.638,R&B
M.O.P.,Ante Up (Robbin Hoodz Theory),4XbZuXFhpVFkAOpmxhxE7K,192601,64,0.00514,0.699,248693,0.793,2.75e-06,C#,0.7,-4.856,Major,0.268,94.138,04/4,0.929,Hip-Hop
empty_field,Astronauts,3RTDqBKNPNwCwbxXiTldtJ,187901,70,0.0402,0.732,169920,0.586,2.66e-06,C#,0.121,-7.868,Major,0.232,76.48,04/4,0.73,Pop
James Fortune,I Forgive Me,1JxNWpK9xTWKRPoYTIX4Qk,158942,49,0.0265,0.484,275581,0.73,0.0483391,F,0.362,-5.854,Major,0.0997,84.86,04/4,0.387,R&B
Boogie,Self Destruction,6IOZnXzsVyqcORJoWijFJL,136204,63,0.105,0.967,160067,0.59,0.0108921,G#,0.1,-6.046,Major,0.0874,120.028,04/4,0.797,Hip-Hop
Two Door Cinema Club,Next Year,7HKxTNVlkHsfMLhigmhC0I,162703,48,0.00232,0.562,251453,0.809,0.000629,D,0.0732,-4.976,Major,0.0693,127.453,04/4,0.476,Alternative
Disturbed,Stupify,6VD93g1xStRLk5TWJk4eAj,92760,57,0.00108,0.597,226799,0.939,9.77e-05,C#,0.201,-3.001,Major,0.0446,98,04/4,0.422,Alternative
Sam Smith,HIM,41QWKQjT6riBhHAGYHU9Xu,33826,60,0.575,0.574,190087,0.254,2.14e-05,F,0.32,-10.962,Minor,0.0301,85.056,04/4,0.293,Pop
Tory Lanez,KeeP IN tOUcH (feat. Bryson Tiller),67TdZ2V6Pa6xwCgkcVJySs,88005,68,0.305,0.539,251058,0.886,0.0183298,B,0.0955,-4.332,Minor,0.493,109.016,05/4,0.562,Hip-Hop
Slayer,Raining Blood,52KWcCUs0ajbMQk8U1H2zx,98338,59,0.00052,0.295,254400,0.995,0.36,C#,0.127,-4.423,Minor,0.2,161.539,03/4,0.0376,Alternative
Astrid S,Hurts So Good,2Mrlu04wZNOvfExqtkfyh9,42952,72,0.084,0.675,208729,0.609,0.00646037,G,0.0957,-5.027,Minor,0.0586,120.039,04/4,0.378,Pop
empty_field,Take the Blame so I Don't Have To,3TyuAx33gprRUAKMgJsVzz,102754,42,0.559,0.539,226056,0.309,0.702,E,0.109,-13.597,Major,0.0326,119.991,04/4,0.0735,Alternative
Keyshia Cole,Fallin' Out,1JHNzBRU9lDZjtNA3vuBEf,165203,46,0.12,0.455,266960,0.634,0.0483391,B,0.89,-3.755,Minor,0.0466,197.714,03/4,0.41,R&B
Alanis Morissette,Hand in My Pocket - 2015 Remaster,08aFb1Mn5v3neJbpXtcy6b,44211,64,0.135,0.657,225166,0.655,0.00303,C,0.102,-8.3,Major,0.0248,92.259,04/4,0.668,Alternative
Phoebe Ryan,Middle Finger,5c7yH6ivcTqyHcMkHWTiFY,135576,69,0.141,0.704,241893,0.664,0.00897777,A,0.107,-3.209,Minor,0.0468,118.75,04/4,0.533,Pop
Drake,Own It,3in25oVyJTXmkYF7XjWqfl,123356,58,0.0487,0.654,230705,0.342,3.37e-05,G#,0.313,-11.305,Minor,0.101,126.727,04/4,0.294,Hip-Hop
empty_field,So High,5uJRHtqrFGVTO9pfmXCm6p,152102,56,0.12,0.621,199747,0.585,1.91e-06,A#,0.05,-5.632,Minor,0.0457,132.004,04/4,0.668,Alternative
empty_field,Hi-Lo (Hollow),6yqThFsiJG2jUEA6jdhruE,161427,53,0.202,0.653,251987,0.328,0.003,A#,0.103,-8.378,Minor,0.0323,143.909,04/4,0.0871,Alternative
Vicente Garcia,Carmesí,1WvGWCDuj0dfRpuBuYecXp,83487,59,0.654,0.809,230272,0.508,0.000224,C#,0.105,-9.182,Major,0.0328,119.006,04/4,0.732,Alternative
Iyaz,Solo,5267gVdYWrLoz6ClOhlqmE,98531,57,0.197,0.73,203130,0.728,0.0165465,B,0.197,-3.113,Major,0.0291,130.061,04/4,0.68,Pop
dvsn,Don't Choose,3bqsj5y8S1T0E2NJZ33AkA,124807,49,0.271,0.603,221947,0.335,0.0089,G,0.0478,-9.815,Minor,0.325,116.769,04/4,0.199,Alternative
Choker,Starfruit NYC,5pHJv0bgNsT9nPoK2BjNBn,74060,38,0.279,0.495,185524,0.886,0.014,A#,0.602,-5.658,Minor,0.293,124.93,04/4,0.152,R&B
empty_field,Turn The Light,2U7GPxcF67GYVJ1XWLNSMV,55522,56,0.0454,0.752,199320,0.462,0.000954,E,0.091,-10.538,Minor,0.0519,101.999,04/4,0.845,Alternative
P!nk,A Million Dreams,6lD9nDl7jBUSIPDMAMZjuD,161408,77,0.272,0.312,273640,0.499,0.00694222,G,0.0901,-6.282,Major,0.0397,148.173,04/4,0.191,Pop
empty_field,Me vs. Me,7mUR9hqvGLG5XicfVl7gTm,169876,45,0.693,0.799,247619,0.778,0.0101,C#,0.118,-7.852,Minor,0.105,125.996,04/4,0.806,R&B
empty_field,Change (feat. Da$h),4equkWkj4HbZD3OXHhpdnH,61010,47,0.00089,0.686,232389,0.534,0.00476,G#,0.296,-9.762,Major,0.222,172.351,04/4,0.264,Hip-Hop
Pink Sweat$,Honesty,3ldFVPFlnrroJonBeWqGJ8,194131,77,0.919,0.616,223136,0.204,0.0417584,F#,0.106,-11.421,Minor,0.0331,111.812,04/4,0.419,R&B
Mac Ayres,Slow Down,5dpxVXiKhjGehNkEvII5vS,34398,62,0.892,0.729,246230,0.338,0.000295,F,0.118,-12.816,Major,0.116,119.345,04/4,0.184,Alternative
Erykah Badu,I'll Call U Back,3TgMcrV32NUKjEG2ujn9eh,184199,49,0.803,0.907,117976,0.449,5e-05,B,0.0826,-8.873,Major,0.0447,135.002,04/4,0.712,R&B
empty_field,Castaway (feat. Rome & Dirty Heads),0BaH5qI87Zc6pEFc2ngqtv,68427,41,0.0571,0.622,190600,0.728,0.0636307,F,0.184,-4.88,Major,0.0888,80.003,04/4,0.77,Alternative
Christina Aguilera,Twice,1yJiE307EBIzOB9kqH1deb,141858,53,0.919,0.588,197619,0.313,0.0396974,F#,0.0845,-5.496,Minor,0.043,74.947,04/4,0.318,R&B
Ella Mai,Cheap Shot,7H6ev70Weq6DdpZyyTmUXk,113726,61,0.0356,0.769,241296,0.589,1.54e-05,B,0.115,-5.955,Major,0.0531,97.923,04/4,0.294,Pop
Erykah Badu,Ye Yo - Live Version,74APFNcKFtknQTBhx0U50T,33768,44,0.389,0.492,299093,0.381,3.45e-06,C#,0.672,-8.947,Major,0.0594,108.788,04/4,0.297,R&B
VICTOR!,Tinder Song,02gdUiSCcHDbTtqkPDHOs5,115149,64,0.517,0.618,120375,0.459,2.4e-05,B,0.0978,-7.34,Major,0.0239,133.101,04/4,0.548,Pop
Microwave,Dull,3bcVpuuWgAUQZri3FgpfNX,47261,46,0.0287,0.58,208107,0.574,3.87e-05,G#,0.187,-6.667,Major,0.0326,147.073,04/4,0.414,Alternative
G Herbo,Focused,5lEGPwQYMmzyJ2JGyR5ILV,105120,54,0.274,0.846,179272,0.752,0.0179686,D,0.11,-4.942,Minor,0.449,140.018,04/4,0.575,Hip-Hop
$uicideBoy$,122 Days,3phwC9mMlIwLuTuhReiYia,147276,70,0.395,0.763,184324,0.381,7.97e-06,F#,0.568,-13.211,Major,0.279,141.757,04/4,0.0976,Hip-Hop
Atmosphere,Sound Is Vibration,790MhTXPFrYkrqCKvpg4t1,77913,52,0.0315,0.779,237200,0.712,0.0168159,G,0.353,-9.162,Major,0.357,114.645,04/4,0.495,Hip-Hop
Kodak Black,Built My Legacy (feat. Offset),3ym8RPF4EQPqtW0v8G44BT,113169,58,0.255,0.858,184271,0.598,0.0179686,C#,0.0869,-4.961,Major,0.311,147.945,04/4,0.696,Hip-Hop
Merkules,Moment,4CHGyhVoq5AVpG47klsVrL,214105,51,0.347,0.71,201728,0.679,0.0179686,C,0.104,-9.318,Major,0.356,138.016,04/4,0.305,Hip-Hop
Kelly Clarkson,Heat - BYNON Remix,24lORMRGMv9sXpZJdN1PVm,185461,49,0.118,0.761,212210,0.739,0.0283613,G,0.104,-5.34,Major,0.375,152.963,04/4,0.742,R&B
FKA twigs,Give Up,1Rm9HY2oV8hRECzb8FypF0,83264,40,0.032,0.665,257560,0.55,0.00183,A,0.185,-9.321,Minor,0.0498,110.024,04/4,0.471,R&B
Little Mix,Love Me or Leave Me,3e7Y6sfFlIdBMJhX7wpqVO,111673,65,0.6,0.483,206493,0.368,0.037836,F#,0.0882,-5.72,Minor,0.03,66.943,03/4,0.367,R&B
Raveena,Johnny It's the Last Time,7gavDfA7n1kvZYkGpsJmXf,37423,50,0.0691,0.752,208041,0.437,0.00213,A,0.14,-7.594,Major,0.0466,98.541,04/4,0.366,Alternative
Crossfade,Death Trend Setta,3KZFUsxMwGnB22me1SKmDn,175309,43,3.27e-05,0.553,214787,0.963,0.0108,B,0.0357,-5.286,Major,0.117,95.015,04/4,0.523,Alternative
Meek Mill,Bad for You (feat. Nicki Minaj),3HPNw8KrCZQWJ0fG7ZaRB5,59715,58,0.378,0.68,203573,0.571,0.0179686,G#,0.103,-7.054,Major,0.222,145.021,04/4,0.0911,Hip-Hop
Wifisfuneral,Like Me,5783FVFtXJMM094CCdHPC5,107717,49,0.437,0.944,147187,0.703,0.00752491,F,0.111,-6.569,Minor,0.128,127.916,04/4,0.517,Hip-Hop
Go Radio,Goodnight Moon,3nV1Sy2qjdZW8Wo7Q0PCpE,175971,59,0.0356,0.521,306187,0.673,0.0560864,C,0.197,-5.842,Major,0.0281,141.996,04/4,0.449,Pop
Rexx Life Raj,Level Up,6Th6ND8RQPywiyelecP5Lf,164212,47,0.0734,0.603,161787,0.639,0.0196579,F#,0.131,-9.848,Major,0.351,91.865,04/4,0.708,R&B
empty_field,If U Seek Amy,1dObJGQUgJ7tWxJ0byON6W,138415,64,0.0192,0.717,216520,0.587,0.0487848,E,0.0523,-7.296,Minor,0.0339,129.954,04/4,0.544,R&B
Olivia O'Brien,hate u love u,6LUOMjoORvAkdhBYvESO46,125639,80,0.71,0.401,229162,0.398,0.040996,F#,0.0962,-8.993,Minor,0.183,180.293,04/4,0.265,R&B
Tank,Relationship Goals,1r5J7J5agKQSdgp6JUD9tp,185710,41,0.612,0.583,281440,0.611,5.38e-06,E,0.119,-7.427,Minor,0.167,102.032,04/4,0.186,R&B
Danzig,Mother,3ao3OVxHlb3C08vAaApUlm,196135,63,0.01,0.364,321626,0.755,0.000366,B,0.0856,-9.308,Minor,0.0689,148.83,04/4,0.454,Alternative
Megan Thee Stallion,Tina Montana,6pm3SR1vvrV54AOJWsN7y7,43523,48,0.0971,0.947,171377,0.784,0.053256,C#,0.122,-5.442,Major,0.271,120.027,04/4,0.29,R&B
HONNE,Someone That Loves You,2PBKUZevFUCGNmhND6do2p,71093,55,0.0416,0.531,244959,0.728,7.19e-06,F#,0.135,-4.985,Minor,0.063,104.978,04/4,0.418,R&B
empty_field,Me Without You,67n1mEvmgiDkaYRfC2LDFa,182953,55,0.00247,0.775,247085,0.785,0.061889,G,0.0669,-3.503,Minor,0.0411,130.029,04/4,0.963,Hip-Hop
Passion Pit,Constant Conversations,34LTPimLjIG8Cumg0ZeScS,180617,49,0.174,0.56,217469,0.799,0.0679,F,0.304,-4.466,Minor,0.0675,69.972,04/4,0.304,Alternative
empty_field,I Know What You Want,6xrvubhznLOcEO3AM6XBN2,71228,67,0.0142,0.648,324307,0.759,0.00944398,F#,0.648,-4.315,Major,0.306,85.996,04/4,0.518,Hip-Hop
Future,Unicorn Purp (feat. Young Thug & Gunna),2N5IgGEhfRGAFScGu4Iy99,170417,70,0.0158,0.833,246916,0.761,1.41e-06,B,0.161,-4.905,Major,0.195,134.047,04/4,0.377,Pop
Ariana Grande,They Don't Know,1pdo9xjhKIfw5YxyVGILWz,202021,68,0.00388,0.671,211631,0.71,1.58e-06,G,0.14,-6.749,Major,0.276,98.074,04/4,0.711,Pop
Britney Spears,Circus,2RQvdhnvPxxLBHkCPd1dnw,41066,69,0.147,0.791,192360,0.733,0.000381,F#,0.0713,-5.215,Minor,0.052,114.98,04/4,0.761,Pop
Denzel Curry,SWITCH IT UP | ZWITCH 1T UP,0tw4GLi5c36owjRA26mJf2,48385,65,0.0121,0.567,175907,0.723,0.00752491,A,0.264,-5.33,Minor,0.29,128.463,04/4,0.272,Hip-Hop
Death Grips,Get Got,72iYfBDEF6dNVeekA8ppyB,155884,53,0.00628,0.57,171867,0.993,0.00796,G,0.0876,-3.757,Major,0.337,87,04/4,0.405,Alternative
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz),0QUDUBYh8bxrme0U7iZggj,176059,74,0.0285,0.549,212441,0.853,0.000296,G,0.618,-4.293,Major,0.188,94.695,04/4,0.346,Hip-Hop
Ali Gatie,Can't Lie,6gVSZnQNzZueXRDyOQfHsN,126798,65,0.872,0.802,198974,0.414,0.0160973,G,0.0863,-10.635,Major,0.0776,131.952,04/4,0.377,Hip-Hop
Ella Mai,Anymore,2Dh3rr3VLuzpBTHm1jQrZF,114755,63,0.0355,0.619,235673,0.575,0.0358318,F,0.0996,-7.24,Minor,0.0531,106.702,04/4,0.138,R&B
Red Hot Chili Peppers,Quixoticelixer - 2006 Remaster,52IkG0BbNmrz4zUcnsN7Uf,161791,47,0.016,0.535,235266,0.831,0.000312,F#,0.0676,-4.869,Minor,0.069,119.006,04/4,0.834,Alternative
De La Ghetto,Ojalá (feat. Darell),33zNcTmLUNitJntITrKsAO,24641,59,0.372,0.64,304733,0.529,0.00752491,C,0.0782,-6.785,Minor,0.0893,128.101,04/4,0.177,Hip-Hop
Jaheim,Remarkable (feat. Terry Dexter),5xlS6jtblfgmMjPWN0acPt,135354,42,0.227,0.682,290427,0.398,0.0483391,G#,0.0684,-8.716,Major,0.0399,99.743,04/4,0.259,R&B
Jungle,Casio,6JS7gLuqIg5uPELAYBwxEq,69499,66,0.431,0.816,234370,0.492,0.0899,A#,0.0995,-7.464,Minor,0.0752,110.554,04/4,0.766,R&B
Air,The Vagabond,0yUYxPdVRKEOvu0HEu9f7h,210714,48,0.23,0.608,337533,0.514,0.226,G#,0.052,-4.782,Major,0.0451,139.647,04/4,0.313,Alternative
Phora,Faithful,28euH5Ny1JXxZAt2KjWp62,200733,62,0.695,0.532,180016,0.537,0.0183298,B,0.129,-10.869,Major,0.386,117.266,04/4,0.338,Hip-Hop
Earl Sweatshirt,Veins,2qESkHBZ2VThboOnosYFBk,103200,57,0.0308,0.354,119587,0.897,2.13e-05,A#,0.629,-2.262,Minor,0.249,77.871,03/4,0.771,Hip-Hop
Townes Van Zandt,Poncho & Lefty,7GEVycpZ2LW75YzedjQAEt,153147,49,0.753,0.637,220573,0.279,0.0650684,C#,0.256,-14.22,Major,0.031,133.369,04/4,0.715,Alternative
The All-American Rejects,It Ends Tonight,5eosij7UzMFxOiR5NbWUYv,94281,61,0.00275,0.335,244827,0.676,0.0560864,C,0.141,-4.68,Major,0.0301,175.845,04/4,0.341,Pop
Mom Jeans.,*Sobs Quietly*,2inT9cJqkNyfYJF5LIe3si,23732,48,0.00599,0.421,118465,0.785,1.5e-06,D,0.0941,-9.461,Major,0.095,101.916,03/4,0.396,Alternative
21 Savage,Mad High,2GqVlrQzyZ4DNUyrf7cW3W,94069,54,0.0189,0.772,180707,0.737,9.39e-05,A#,0.206,-7.648,Minor,0.2,149.951,04/4,0.533,Hip-Hop
Statik Selektah,82 92 (feat. Mac Miller),1AuRUFMDXSzjZjs9jG3Ieg,85085,55,0.194,0.526,217367,0.919,0.0650684,B,0.037,-4.702,Minor,0.32,116.739,04/4,0.704,Alternative
LIZ LOKRE,Stop Runnin',7dZAPeA3Of5j5Vaef0DQ6M,107910,48,0.128,0.341,207042,0.447,0.000253,B,0.103,-6.551,Major,0.0311,141.732,04/4,0.0715,R&B
Cuca,El Son del Dolor,4NE3oWyUQI2b2NjyMyC8Bi,115569,60,0.00922,0.43,202982,0.842,2.51e-06,C#,0.383,-5.641,Major,0.047,145.988,04/4,0.378,Alternative
The Internet,Bravo,0ibG3XCJ32Qq9maUY4AViR,137676,49,0.737,0.808,206347,0.305,0.00108,F,0.116,-7.565,Minor,0.0404,84.98,04/4,0.832,R&B
empty_field,TOMBOY,4cA6e3U7mtJfAOq3dWNAUZ,56385,52,0.0961,0.3,241692,0.431,1.15e-05,D#,0.114,-5.314,Major,0.0299,148.317,04/4,0.221,R&B
Demi Lovato,Confident,1sxDDXvKuGpK1wVKwu5Rm7,141016,76,0.00182,0.606,205746,0.763,0.000159,A#,0.116,-6.197,Minor,0.0669,130.018,04/4,0.309,Pop
empty_field,I Will Not Bow,3dZ6ZgbnULNpPFjfr4bHxa,176431,67,0.000192,0.543,216733,0.952,7.8e-06,G#,0.38,-3.65,Major,0.0668,107.942,04/4,0.591,Alternative
Nine Inch Nails,Less Than,6jKcmgac1pj1iaqBPsF3rF,139221,47,0.0456,0.521,214401,0.934,0.886,D#,0.204,-3.735,Major,0.0793,135.345,04/4,0.238,Alternative
Pouya,Trick or Treat,7AbvvetUXOiLPiibxKWtu7,69110,53,0.0192,0.818,148000,0.761,0.000926,C#,0.0789,-6.73,Major,0.148,159.995,04/4,0.335,Hip-Hop
Chris Brown,Sensei,2CBReP4Ox7OnBzhJsb2VNk,144097,51,0.00131,0.771,156298,0.614,0.0440377,C#,0.0995,-4.729,Minor,0.0399,122.65,04/4,0.35,R&B
Seether,Against The Wall - Acoustic Version,5BSclXJTa9B0iURhUjZo50,123569,56,0.255,0.58,284777,0.488,2.63e-05,C#,0.108,-10.585,Major,0.0262,131.998,04/4,0.13,Alternative
Vedo,Hennyting,6sPD8oX10cadQwoQQNOiw0,135492,48,0.125,0.808,221784,0.562,0.0401457,B,0.0916,-7.377,Major,0.25,98.005,04/4,0.447,R&B
empty_field,Hayaan Mo Sila,0NBaQcjwg7ROSc8qosY5Fj,185601,62,0.71,0.708,367229,0.704,0.0707491,F,0.066,-4.747,Major,0.0624,80.018,04/4,0.71,Hip-Hop
