Selected,genre,instance_id,track_name,artist_name,NLRNG (Alternative),NLRNG (Blues),NLRNG (Classical),NLRNG (Comedy),NLRNG (Folk),NLRNG (Hip-Hop),NLRNG (Jazz),NLRNG (Opera),NLRNG (Pop),NLRNG (R&B)
No,Opera,12.0,"Macbeth, Act I: Al cader della sera",empty_field,0.000955355,0.00392392,0.0472705,0.00375287,0.00095679,0.000825288,0.00146484,0.938828,0.000670575,0.00135203
No,Classical,13.0,Darn That Dream,Bill Evans,0.000846629,0.00268297,0.934275,0.000400469,0.0045266,0.000454707,0.0226487,0.0320728,0.00137433,0.000717888
No,Jazz,14.0,Dracula,Gorillaz,0.0991474,0.0672328,0.0196115,0.00277957,0.129041,0.0135949,0.559389,0.00275902,0.00706599,0.0993791
No,Hip-Hop,15.0,Mind Playing Tricks on Me,empty_field,0.0330848,0.00172176,0.000681538,0.00106032,0.00394139,0.645117,0.0145415,0.000786417,0.198924,0.100141
No,Blues,16.0,Wildflower,Hank Crawford,0.0109648,0.76453,0.018858,0.0168163,0.0270331,0.00155037,0.148804,0.00301326,0.00104073,0.00738996
No,Alternative,17.0,Tu Aire,Guaco,0.333367,0.238572,0.0363796,0.00698703,0.240827,0.0101853,0.0705416,0.00275173,0.00840946,0.0519793
No,Blues,18.0,This Life Makes Me Wonder,Delroy Wilson,0.00678613,0.86571,0.0134949,0.0220334,0.0149828,0.000928244,0.0689079,0.00250273,0.000584504,0.00406943
No,Opera,19.0,Porpora: Cello Concerto in G Major: II. Largo,Nicola Porpora,0.00100593,0.00298557,0.0848855,0.00164224,0.00165297,0.000777445,0.00284002,0.901853,0.00102959,0.00132726
No,Comedy,20.0,Discman,Gary Gulman,0.000907082,0.00218793,0.000562258,0.991455,0.000679103,0.000717925,0.00125513,0.000748742,0.000488004,0.000998868
No,Comedy,21.0,Supreme Court Justice / Humbling Escort,Greg Giraldo,0.000872233,0.00213557,0.000544116,0.991747,0.000658307,0.000688297,0.00120319,0.000730299,0.000467333,0.000954007
No,Blues,22.0,Fanatica Fiel,Papi Wilo,0.00630086,0.905197,0.00856577,0.0200715,0.0136,0.000855952,0.0396172,0.00168574,0.000657011,0.00344911
No,R&B,23.0,Stolen Moments,Cautious Clay,0.116735,0.0276278,0.00811993,0.0034601,0.230425,0.0263308,0.0914675,0.00384541,0.0370979,0.454891
No,Comedy,24.0,Quitting Smoking - Remastered,Bill Engvall,0.000863017,0.00212107,0.000541903,0.991813,0.000653831,0.000681036,0.00119051,0.000728444,0.000462748,0.000944721
No,Folk,25.0,Lead On,George Strait,0.0763037,0.250659,0.0184613,0.00564153,0.400446,0.00803804,0.166766,0.00341904,0.0158912,0.0543742
No,Folk,26.0,Nugget,empty_field,0.223483,0.163375,0.0194942,0.00387052,0.443258,0.00851469,0.0742587,0.00217039,0.0141258,0.0474497
No,Classical,27.0,Five Variants of ‘Dives and Lazarus’,empty_field,0.00128234,0.00416656,0.900366,0.000549947,0.00722157,0.000639759,0.0442693,0.0385209,0.00182631,0.00115723
No,Comedy,28.0,Come Fly With Me,Cherry Poppin' Daddies,0.0206296,0.152788,0.015263,0.709787,0.0278971,0.00227123,0.0444654,0.00683351,0.00103749,0.0190283
No,Jazz,29.0,Hey Baby (New Rising Sun),Jimi Hendrix,0.0211486,0.239794,0.0276259,0.00514783,0.0639935,0.00331895,0.610573,0.00329535,0.00152478,0.0235778
No,Hip-Hop,30.0,Todo Cambio,Becky G,0.204141,0.0134708,0.00346397,0.00220195,0.0387956,0.319749,0.0242705,0.00170212,0.137404,0.254801
No,Blues,31.0,Friday Tonight,empty_field,0.0378216,0.739228,0.0798282,0.00814497,0.0480334,0.00564242,0.0640368,0.00257263,0.0039691,0.0107227
No,Pop,32.0,You Are Not Alone,Michael Jackson,0.0745408,0.016767,0.00354806,0.00191033,0.180164,0.0415034,0.0223198,0.00196502,0.498641,0.158641
No,Hip-Hop,33.0,Blowin' Swishers Pt. 2 (feat. Starrah),Kid Ink,0.0581697,0.00122258,0.00064824,0.0010223,0.00262543,0.67234,0.0193022,0.000665558,0.0575358,0.186468
No,Blues,34.0,Modern Drugs,Strung Out,0.0175176,0.861339,0.0392484,0.00753709,0.0226286,0.00307322,0.0410025,0.00137055,0.00166123,0.00462131
No,Alternative,35.0,Instead of My Room,Charlie Burg,0.361895,0.026256,0.0106252,0.00261348,0.0852465,0.101993,0.0363468,0.00166136,0.0266922,0.346671
No,R&B,36.0,The Lion of Judah,Mad Professor,0.108187,0.015424,0.00374379,0.00295971,0.0335723,0.0879972,0.352924,0.00175843,0.00927444,0.384159
No,Comedy,37.0,Funny,Josh Blue,0.000877944,0.00219239,0.00057589,0.991554,0.000672518,0.000693333,0.00121507,0.000778743,0.000473584,0.000966948
No,Folk,38.0,Radio,Darius Rucker,0.213735,0.108592,0.0126938,0.00383667,0.470975,0.0171286,0.0750374,0.00212047,0.0156653,0.0802161
No,Pop,39.0,Gente VIP,Larry Hernández,0.0602709,0.00942835,0.00185048,0.00181033,0.0268009,0.33134,0.0115806,0.00151508,0.407929,0.147474
No,Blues,40.0,California Open Invitation,The Damn Quails,0.0182934,0.829903,0.0193646,0.0105408,0.0425793,0.00283715,0.0624763,0.00205782,0.00339457,0.00855317
No,Blues,41.0,Poquito a Poquito,Sonny & Vaech,0.00668666,0.890413,0.00921358,0.0326723,0.0145464,0.000826404,0.0392382,0.00208672,0.000566058,0.00375106
No,Classical,42.0,Os justi,Anton Bruckner,0.000808806,0.00283409,0.926865,0.000491325,0.00353402,0.000470831,0.0172987,0.0456286,0.00135384,0.000715186
No,Blues,43.0,Expecting,The White Stripes,0.0208795,0.820076,0.0398794,0.0104985,0.0282725,0.00374225,0.0641032,0.00237761,0.00284275,0.00732861
No,Blues,44.0,Breakin' Up,All,0.00844786,0.870839,0.0134615,0.0458459,0.0145571,0.00113403,0.0384798,0.00274352,0.000836947,0.00365408
No,Hip-Hop,45.0,Say My Name,Lil Yachty,0.0235111,0.000940317,0.000467031,0.000718008,0.00172999,0.7498,0.0102436,0.000540128,0.143536,0.0685137
No,R&B,46.0,Métele Sazón,empty_field,0.128367,0.0208025,0.00318201,0.00307467,0.0567957,0.178075,0.0643698,0.00208028,0.0678329,0.47542
No,Comedy,47.0,Stupid & Stupider,empty_field,0.000893099,0.00219039,0.000563726,0.991512,0.000676727,0.000705581,0.00124097,0.000752476,0.000480673,0.000984509
No,R&B,48.0,Or Nah (feat. Marcus Moody),Eric Bellinger,0.176941,0.00399676,0.00135925,0.00146506,0.021032,0.114892,0.0282337,0.000743373,0.014039,0.637298
No,Blues,49.0,Light It Up,The Hip Abduction,0.0082704,0.876218,0.011534,0.0370126,0.0160202,0.000993694,0.0424252,0.00232148,0.000741331,0.00446257
No,Blues,50.0,Up All Night,Suburban Legends,0.00604328,0.905541,0.00974969,0.0271224,0.0119478,0.000711376,0.0338705,0.001814,0.000479842,0.00271979
No,Blues,51.0,Hard Luck Kid,Street Dogs,0.00746472,0.909941,0.0140544,0.0179599,0.0123244,0.000797818,0.0323245,0.00171198,0.00062814,0.00279344
No,R&B,52.0,U Don't Know,Justine Skye,0.17433,0.00692551,0.00155552,0.00148987,0.0385116,0.0842356,0.0262046,0.00084145,0.0139685,0.651937
No,Blues,53.0,"Part Time Lover, Full Time Fool",Peggy Scott-Adams,0.00488015,0.906241,0.00791738,0.0291008,0.0121125,0.000600693,0.0342994,0.00180888,0.000397808,0.002641
No,Hip-Hop,54.0,I'm Done.,$uicideBoy$,0.0819464,0.00551018,0.00179456,0.00145802,0.0158031,0.408863,0.0143674,0.001198,0.314412,0.154647
No,Hip-Hop,55.0,Get Mine,Bryson Tiller,0.0499387,0.00165045,0.000676414,0.00108641,0.00416636,0.619213,0.0137332,0.000736784,0.11779,0.191009
No,Jazz,56.0,Just to Say I Love You,Michael Franti & Spearhead,0.0761981,0.323354,0.0250309,0.0137958,0.0901026,0.0144031,0.344517,0.00480366,0.00390507,0.103889
No,R&B,57.0,Good For Each Other,J. Holiday,0.0986391,0.00532139,0.00129883,0.00158318,0.019117,0.333973,0.0143652,0.00112984,0.144589,0.379984
No,Opera,58.0,Bésame Muché : Bésame Mucho,Joseph Calleja,0.00271343,0.0155878,0.386545,0.00443483,0.00378112,0.00173479,0.0103796,0.570307,0.00158505,0.00293114
No,Comedy,59.0,Mom's Religion,Maria Bamford,0.00090518,0.00221247,0.000562557,0.991476,0.000682968,0.000690051,0.00124876,0.000753649,0.000472931,0.000995803
No,Classical,60.0,Betrayed,Avenged Sevenfold,0.301009,0.119987,0.3464,0.00315355,0.0945359,0.0198863,0.0613497,0.00399334,0.0127658,0.0369191
No,Alternative,61.0,Fire,The Heavy,0.731919,0.0673173,0.029852,0.00208416,0.10136,0.00844698,0.0197001,0.00122828,0.00710398,0.0309883
No,Hip-Hop,62.0,moodz (feat. 24hrs),blackbear,0.0696946,0.00394492,0.000987041,0.00149551,0.0141606,0.464791,0.0167111,0.00103877,0.154293,0.272883
No,Blues,63.0,Shame In Dem Game,empty_field,0.00454152,0.923031,0.0075454,0.0207266,0.00997219,0.000490459,0.0298206,0.00145911,0.000357342,0.00205615
No,R&B,64.0,X.X.,Col3trane,0.202984,0.0680315,0.0124785,0.0069187,0.0989563,0.0343218,0.223908,0.00330865,0.00770748,0.341386
No,Opera,65.0,"Variations on an Original Theme, Op. 36, Enigma: Theme Andante",Edward Elgar,0.00118793,0.00292136,0.115786,0.00166057,0.0022687,0.000870251,0.00378956,0.868624,0.0013861,0.001506
No,Blues,66.0,Policías No,Los Rude Boys,0.0147613,0.870003,0.0198339,0.00863152,0.024598,0.00243222,0.0514536,0.00140129,0.00144439,0.0054412
No,Comedy,67.0,Nurses Aren't Hot,Andy Woodhull,0.000865746,0.00213364,0.000543924,0.991781,0.000657005,0.000681653,0.00119569,0.000730697,0.000463206,0.000947742
No,Alternative,68.0,Pine,Basement,0.707114,0.0627718,0.0295461,0.00238883,0.113662,0.00831047,0.0248621,0.00151891,0.00827354,0.0415516
No,R&B,69.0,My Apology,Donell Jones,0.112382,0.0101265,0.00203119,0.00241483,0.0321588,0.252556,0.0397875,0.00139995,0.02149,0.525654
No,Hip-Hop,70.0,Say It to My Face,Madison Beer,0.0502083,0.0018419,0.000745091,0.00121384,0.00518627,0.449104,0.0152989,0.00088804,0.319404,0.156109
No,R&B,71.0,I Wish I Wasn't,Heather Headley,0.10617,0.0144634,0.00258146,0.00294395,0.0688542,0.0414239,0.0623964,0.00160925,0.00851855,0.691039
No,R&B,72.0,The Truth,India.Arie,0.128505,0.00588474,0.00120885,0.00169362,0.0262409,0.167947,0.034242,0.000920904,0.0152002,0.618156
No,Pop,73.0,Waves - Robin Schulz Radio Edit,Mr. Probz,0.0337885,0.00478388,0.000827553,0.00110213,0.0237738,0.175526,0.00570175,0.000903242,0.592101,0.161492
No,Folk,74.0,Room 205,Chase Rice,0.277508,0.130568,0.0242334,0.00566403,0.314273,0.0177333,0.0818791,0.00341051,0.0145993,0.130131
No,Alternative,75.0,Lo eres todo,Guaco,0.320935,0.0866667,0.0157623,0.00476112,0.188824,0.0404035,0.107444,0.00269097,0.0176825,0.21483
No,Pop,76.0,King Kunta,Kendrick Lamar,0.0197562,0.00230284,0.000523704,0.000720835,0.00706479,0.329645,0.00371697,0.000630126,0.555993,0.0796461
No,Folk,77.0,Off I Go - 2010 Mix,empty_field,0.144189,0.0372612,0.00789887,0.00138702,0.683306,0.00617747,0.0405085,0.00151822,0.0298427,0.0479114
No,Blues,78.0,Mr. Right or Mr. Wrong,Peggy Scott-Adams,0.0136114,0.722692,0.0152446,0.138116,0.0271071,0.00280007,0.0642259,0.00451239,0.00162425,0.010066
No,Comedy,79.0,Disneyland,empty_field,0.00087712,0.0021808,0.000571896,0.991593,0.000669884,0.000690132,0.00120928,0.000773839,0.000470348,0.00096389
No,Blues,80.0,Black Muddy River,Gregg Allman,0.00831073,0.864671,0.0123055,0.0432301,0.0175935,0.00101237,0.0445516,0.00259847,0.000801609,0.00492511
No,Pop,81.0,Kush - Main,empty_field,0.215777,0.0234124,0.0103632,0.00154885,0.0896203,0.112059,0.0122849,0.00156452,0.427792,0.105577
No,Alternative,82.0,take me on,joan,0.4059,0.0455965,0.00933379,0.00394421,0.173854,0.031497,0.0578084,0.00213493,0.0146889,0.255242
No,Classical,83.0,Appalachian Spring: II. Allegro,Aaron Copland,0.00243766,0.00778321,0.87811,0.00089699,0.0134396,0.00103949,0.0577125,0.0336405,0.00249799,0.00244183
No,Alternative,84.0,Red Hot Moon,empty_field,0.615706,0.0244753,0.0134579,0.00182668,0.0596433,0.0957298,0.0235493,0.00140363,0.0315876,0.132621
No,Blues,85.0,That Boy,JJ Grey & Mofro,0.00987595,0.827146,0.0139371,0.0215296,0.0197581,0.00157118,0.0951124,0.00251462,0.000916998,0.00763814
No,Alternative,86.0,Shoots and Ladders,Korn,0.627934,0.0629392,0.0436961,0.00149277,0.139547,0.0186113,0.0359052,0.00144739,0.0144473,0.05398
No,R&B,87.0,Cheapskate,Oliver Tree,0.0871964,0.0092184,0.00169898,0.0020331,0.0402825,0.251521,0.0168812,0.00151979,0.179432,0.410216
No,Hip-Hop,88.0,Jugg King,Young Scooter,0.035765,0.00200525,0.000720888,0.00103282,0.00461146,0.600949,0.0106617,0.00079639,0.228134,0.115323
No,R&B,89.0,Birthmark,empty_field,0.197776,0.0481272,0.0126252,0.0102373,0.0918298,0.0379082,0.0889418,0.00315273,0.00909443,0.500308
No,Classical,90.0,Carnival of the Animals: XIII. Le Cygne (The Swan),empty_field,0.0007887,0.00256604,0.936649,0.000393016,0.00405076,0.00043085,0.0190249,0.0341408,0.00129174,0.000664054
No,R&B,91.0,No Way No (En Vivo),empty_field,0.247255,0.018209,0.00533691,0.00358489,0.0500961,0.270031,0.043135,0.00206172,0.0452494,0.315041
No,Hip-Hop,92.0,Bonjour,Nas,0.0657823,0.00370746,0.00213803,0.00116007,0.00726299,0.69442,0.0149176,0.000872329,0.0629382,0.146801
No,Folk,93.0,Into the Sun,Mandolin Orange,0.081743,0.0368218,0.00504604,0.00151063,0.69746,0.00459333,0.0745188,0.0016085,0.0371454,0.0595526
No,Opera,94.0,Siegfried / Dritter Aufzug: Selige Öde auf wonniger Höh'!,Richard Wagner,0.000912985,0.00395235,0.147397,0.00191012,0.00108591,0.00077147,0.00235763,0.83965,0.000783175,0.00117985
No,Comedy,95.0,Cars and Driving,George Carlin,0.000871105,0.00214126,0.000551287,0.991723,0.000661393,0.000687075,0.00120394,0.000738315,0.000467636,0.000954543
No,Blues,96.0,Psycho,The Sonics,0.0433865,0.483461,0.0231543,0.0198861,0.20326,0.00323249,0.187109,0.00539173,0.00438761,0.0267322
No,Blues,97.0,Promised Land,empty_field,0.00592905,0.915327,0.00943217,0.0192053,0.0121527,0.000742597,0.0323138,0.00158745,0.000531193,0.00277822
No,Pop,98.0,Make You Feel My Love,Adele,0.0231296,0.0073439,0.00162816,0.000923732,0.067909,0.0300904,0.00617834,0.00108382,0.790503,0.0712104
No,Blues,99.0,Movin' and a'Groovin',empty_field,0.0900471,0.310096,0.022017,0.0199488,0.197014,0.0118764,0.222568,0.00592872,0.00665585,0.113847
No,Jazz,100.0,highway one,Bugseed,0.00676105,0.0504464,0.01279,0.00276785,0.00974979,0.000964099,0.906384,0.0016695,0.0002469,0.00822033
No,R&B,101.0,New Black,GoldLink,0.304456,0.00388479,0.00163289,0.00215938,0.0111494,0.253168,0.0611766,0.00123252,0.0470077,0.314132
No,Blues,102.0,You Could've Heard A Heart Break,Johnny Lee,0.0099687,0.833648,0.0152885,0.0105386,0.0392984,0.00220873,0.0768765,0.0023231,0.00195893,0.00789067
No,Pop,103.0,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,0.0254386,0.00624358,0.00119401,0.000815193,0.0297713,0.0722866,0.00316949,0.000779027,0.786645,0.0736574
No,Alternative,104.0,Bulletproof,Citizen Way,0.454889,0.0177828,0.0123579,0.00163029,0.0577264,0.124958,0.0258137,0.00123236,0.02905,0.274559
No,Pop,105.0,Heartbeat Song,empty_field,0.0571588,0.00980891,0.00300911,0.000860382,0.0437841,0.0815653,0.00439292,0.000893854,0.717879,0.0806475
No,R&B,106.0,Welcome 2 Jawga (feat. Dez & Demun Jones),Jawga Boyz,0.137861,0.0177413,0.00478668,0.00272853,0.0538622,0.0470761,0.0342779,0.00131884,0.00753064,0.692817
No,Jazz,107.0,Dengue Woman Blues,Jimmie Vaughan,0.0297538,0.146882,0.0209845,0.00435748,0.0655571,0.00449474,0.684421,0.00288501,0.00156083,0.0391032
No,R&B,108.0,Alone (feat. Tru),Hollyn,0.119049,0.00823249,0.00215832,0.00165546,0.0370972,0.10292,0.0241865,0.000967823,0.0172072,0.686527
No,Hip-Hop,109.0,1(773) Vulture,Lil Durk,0.0450762,0.00251124,0.000807506,0.00102146,0.00655647,0.684469,0.0149013,0.000695374,0.0388415,0.20512
No,Pop,110.0,Emotions,Mariah Carey,0.208556,0.0288431,0.00485873,0.00243629,0.128569,0.106702,0.0218789,0.00200256,0.316059,0.180095
No,R&B,111.0,Closing Time,Jaya The Cat,0.254933,0.0658894,0.0103121,0.00673491,0.126617,0.0451159,0.136424,0.00297581,0.0101416,0.340857
No,Comedy,112.0,Interracial Mating,W. Kamau Bell,0.000856358,0.00211689,0.000539858,0.991862,0.000651176,0.000673036,0.00118027,0.000727059,0.000457499,0.000936194
No,Hip-Hop,113.0,Lo Que Yo Diga (Dema Ga Ge Gi Go Gu Remix),El Alfa,0.0467656,0.00432794,0.00138056,0.00112249,0.00887527,0.637206,0.00917214,0.000942618,0.185955,0.104253
No,Hip-Hop,114.0,Type of Way,Rich Homie Quan,0.0235527,0.000968877,0.000433456,0.000719239,0.00178774,0.807336,0.0110615,0.000499964,0.0674974,0.0861428
No,Blues,115.0,Solo Por Ti (feat. Guaco),Nelson Arrrieta,0.00885876,0.863425,0.0124485,0.0189984,0.0203627,0.00140076,0.0667338,0.00190661,0.000736323,0.00512972
No,Folk,116.0,Sunday Roast,Courtney Barnett,0.208876,0.0736704,0.0125848,0.00440603,0.420256,0.0133583,0.0821373,0.00290031,0.0243021,0.157509
No,Jazz,117.0,Odyssey,Scale The Summit,0.0671544,0.168294,0.177474,0.00451027,0.0794172,0.00829954,0.450998,0.00725661,0.00588882,0.0307073
No,R&B,118.0,Tragic,Jillian Jacqueline,0.0907284,0.00515218,0.00104746,0.00142149,0.0222167,0.0628267,0.0221258,0.000688461,0.0063905,0.787402
No,Classical,119.0,"Madama Butterfly / Act 1: ""Vogliatemi bene""",Giacomo Puccini,0.00228435,0.0108278,0.797133,0.00173077,0.00753703,0.00125326,0.0307033,0.143776,0.00244352,0.00231139
No,Folk,120.0,One,empty_field,0.121503,0.050477,0.00768848,0.00254573,0.552898,0.00905821,0.0922733,0.00250531,0.0439355,0.117115
No,Alternative,121.0,Easy Rider,Action Bronson,0.377949,0.0606307,0.0147358,0.00210725,0.217981,0.0458417,0.0190441,0.00195653,0.164683,0.0950702
No,Jazz,122.0,"Vivaldi: Violin Concerto in G Minor, RV 315 ""L'estate"" (No. 2 from ""Il cimento dell'armonia e dell'inventione"", Op. 8): III. Presto",Antonio Vivaldi,0.0291146,0.0861729,0.333906,0.00465288,0.143206,0.00660381,0.338953,0.0213295,0.00681996,0.0292418
No,R&B,123.0,Wipe the Slate Clean,Rittz,0.110179,0.00695845,0.00152421,0.00239826,0.0274729,0.0736251,0.0498337,0.00111561,0.00725273,0.71964
No,Blues,124.0,Serious Man,Slightly Stoopid,0.250389,0.387279,0.0373853,0.0131623,0.139102,0.0133021,0.0870856,0.00365094,0.00752401,0.0611198
No,Blues,125.0,Hola Que Tal,Cosculluela,0.0366982,0.643312,0.0196457,0.00939015,0.0540627,0.00977908,0.194942,0.00229976,0.00346075,0.0264095
No,Comedy,126.0,Tortured Old Man,Cheech & Chong,0.000912409,0.00227321,0.000602088,0.99121,0.000700255,0.000718454,0.00127654,0.000802192,0.00049323,0.00101128
No,R&B,127.0,Can't Slow Down,Jake Hope,0.150532,0.00880199,0.00256992,0.00184415,0.0560252,0.0395839,0.0343992,0.00123134,0.0110016,0.694011
No,Blues,128.0,After Awhile,Patrick Sweany,0.00537553,0.898977,0.0110088,0.0243442,0.0130721,0.00067269,0.0408985,0.00229087,0.000502595,0.00285757
No,R&B,129.0,Don't Take Your Love Away,Avant,0.141186,0.0348033,0.00678314,0.00657612,0.103346,0.0306632,0.0737283,0.00285962,0.00882771,0.591226
No,Pop,130.0,Shawty (feat. T Pain),Plies,0.104735,0.0129139,0.00398451,0.00156504,0.0434167,0.24935,0.00988854,0.00141587,0.358184,0.214546
No,Blues,131.0,(If Loving You Is Wrong) I Don't Want To Be Right,Millie Jackson,0.0163003,0.808815,0.0206774,0.0145512,0.038692,0.00373568,0.0807929,0.00256254,0.00233053,0.0115426
No,Pop,132.0,Take It From Me,Jordan Davis,0.0130571,0.00317471,0.000553261,0.000402358,0.0146121,0.0528415,0.00127138,0.000416464,0.882587,0.0310838
No,Alternative,133.0,I Want You to Want Me,Letters To Cleo,0.545675,0.0602917,0.0223539,0.00175775,0.207942,0.0251133,0.0312386,0.00132109,0.0188787,0.0854273
No,Folk,134.0,Who Loves The Sun - 2015 Remastered,The Velvet Underground,0.111226,0.0946635,0.00752907,0.00275827,0.667729,0.00460534,0.0485391,0.00188319,0.0261236,0.0349426
No,Classical,135.0,"Laudate pueri Dominum, RV 600: Sit nomen Domini benedictum",empty_field,0.00187014,0.00825935,0.861626,0.00110792,0.00776947,0.000974242,0.030591,0.0838104,0.00225383,0.00173801
No,Classical,136.0,"Così fan tutte, K. 588: Act 2: Rondo ""Per Pietà, Ben Mio, Perdona""",Wolfgang Amadeus Mozart,0.00156671,0.00655419,0.88015,0.000902881,0.00690302,0.000838131,0.0271071,0.0722124,0.002311,0.00145447
No,Blues,137.0,My Morning Song,The Black Crowes,0.0175532,0.808377,0.0691265,0.0122402,0.0233218,0.00231585,0.0567938,0.00288841,0.00171454,0.00566828
No,Opera,138.0,"Tosca / Act 1: ""Tre sbirri... Una carozza... Presto"" - Te Deum",Giacomo Puccini,0.000960141,0.00272866,0.0776488,0.00157546,0.00151943,0.000739728,0.00244412,0.910178,0.000946756,0.00125929
No,Pop,139.0,"It's On Us (Benefiting the ""It's On Us"" Campaign)",empty_field,0.260059,0.0327364,0.00753895,0.00204879,0.142325,0.0793071,0.0161097,0.00190105,0.302991,0.154983
No,Comedy,140.0,"My Dad, My Mom, And Even Once",empty_field,0.000893778,0.00216525,0.000554956,0.991562,0.000670919,0.000709355,0.00123846,0.000741682,0.000481101,0.000982979
No,Jazz,141.0,Detroit,empty_field,0.0224906,0.0484428,0.0137174,0.00138925,0.0446645,0.00479985,0.820893,0.00152711,0.00103224,0.0410427
No,Pop,142.0,Easy,Ella Mai,0.146675,0.0199345,0.00442771,0.00211048,0.145132,0.0643276,0.0196101,0.00201059,0.362446,0.233326
No,R&B,143.0,Cosmic Freeway,Yeek,0.134176,0.0380254,0.0129133,0.00405147,0.10051,0.0383696,0.201392,0.00357727,0.0061746,0.460811
No,Comedy,144.0,Are White People Psyched All The Time?,Aziz Ansari,0.00173228,0.0037538,0.000856204,0.984473,0.00138754,0.00129056,0.00244718,0.00116941,0.000767333,0.00212308
No,Alternative,145.0,Lampshades on Fire,Modest Mouse,0.317724,0.0487327,0.00755178,0.00296208,0.150281,0.106267,0.0247027,0.0023391,0.178951,0.160489
No,Alternative,146.0,The Only One,Transit,0.686138,0.064012,0.0251108,0.00287127,0.100647,0.0151542,0.0283566,0.00155873,0.00986457,0.0662865
No,Comedy,147.0,Day Off from School,Robert Kelly,0.000880016,0.00217341,0.000553913,0.991638,0.000668973,0.000690691,0.00122148,0.000741784,0.000469102,0.000962926
No,Pop,148.0,Down,Jay Sean,0.0390154,0.00574392,0.000966896,0.000867428,0.0277939,0.0976152,0.0034392,0.000785795,0.71153,0.112243
No,Opera,149.0,"Tristan und Isolde, WWV 90: Einleitung",Richard Wagner,0.00123316,0.00315989,0.107475,0.00156847,0.00250748,0.00088365,0.00377024,0.876658,0.00120882,0.00153598
No,Blues,150.0,Impressions - Take 1,empty_field,0.00732159,0.869027,0.0142989,0.0162475,0.0192451,0.00102124,0.0656926,0.00231841,0.000775893,0.00405183
No,R&B,151.0,Good Times,Christian Hudson,0.133,0.0487747,0.00982066,0.00501801,0.12395,0.0269729,0.251688,0.0032209,0.00750696,0.390048
No,Jazz,152.0,Three to Get Ready,The Dave Brubeck Quartet,0.0148353,0.115349,0.0883759,0.00362692,0.107325,0.00307425,0.634717,0.0114357,0.00329032,0.0179703
No,Blues,153.0,Let Her Cry - The Voice Performance,James Dupre,0.269011,0.288646,0.054328,0.00589375,0.229477,0.0136028,0.0725231,0.00275504,0.0111269,0.0526358
No,Comedy,154.0,Sex Poll Continued,empty_field,0.000870691,0.00216355,0.000560275,0.99167,0.000664472,0.000686655,0.00120564,0.000752781,0.000468371,0.000957535
No,R&B,155.0,HMU (feat. Childish Major),Arin Ray,0.188405,0.00957674,0.00199078,0.0017463,0.0445717,0.0678887,0.042847,0.000954658,0.0106048,0.631414
No,Pop,156.0,Fantasy,Alina Baraz,0.0324178,0.0044577,0.000882371,0.00090426,0.0170139,0.178587,0.00431916,0.000812719,0.657782,0.102823
No,Jazz,157.0,Black Frost,"Grover Washington, Jr.",0.00896607,0.0773648,0.0116037,0.00181331,0.0202866,0.00175809,0.862619,0.00121498,0.000261371,0.0141117
