artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Caroline Shaw,Partita for 8 Singers: No. 1. Allemande,5nr9S1hI8LHEh6jCkgtxLi,51892,29,0.893,0.222,353467,0.292,0.00899,F#,0.136,-11.035,Minor,0.0345,137.676,03-Apr,0.047,Classical,CL3,-34.5709,-26.7802,1
empty_field,Flos florum,1wKbemG5DPIVxtTQ1pmlOD,160228,27,0.993,0.11,233147,0.142,0.000466,G#,0.0962,-19.657,Major,0.0521,77.558,03-Apr,0.0721,Classical,CL5,79.7539,-2.62662,1
Erik Satie,Gnossienne No. 3,6xQjMHk4BKVKKiaavbyiyR,117600,31,0.996,0.308,160000,0.0107,0.918,A,0.0852,-32.693,Minor,0.0712,79.675,04-Apr,0.0601,Classical,CL1,-37.768,32.3218,1
empty_field,"Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto",5aK019ld6aJZVjAXaoNxfa,198178,25,0.995,0.38,220040,0.181,0.777,G,0.177,-21.9,Minor,0.0498,104.518,03-Apr,0.764,Classical,CL1,43.3929,20.0916,1
Igor Stravinsky,The Rite of Spring: Part Two: The Sacrifice: Introduction,4anDvIFynk3VXwwKNgE4Yu,153431,27,0.851,0.138,276693,0.00249,0.143,D,0.163,-38.759,Minor,0.0405,140.794,03-Apr,0.0329,Classical,CL1,-15.0834,-4.60153,1
Aaron Copland,Appalachian Spring: VI. Meno mosso,5hbttdGGhvN9PUZDwgCk67,33049,23,0.918,0.135,307601,0.0179,0.687,G#,0.11,-34.134,Major,0.0447,143.091,03-Apr,0.0349,Classical,CL5,83.4168,-2.46542,1
empty_field,"Schubert: Piano Trio in E-Flat Major, D. 929: II. Andante con moto",7079nY1EuvdfIxaMYaTjR9,125550,41,0.966,0.232,558720,0.0529,0.361,C,0.0978,-18.353,Minor,0.041,87.996,04-Apr,0.0863,Classical,CL1,-3.19772,60.5306,1
Luca Turilli,Demonheart,7iF9B5dbSOfEeznArGFHhn,77023,40,0.000595,0.463,308653,0.944,4.3e-06,A,0.106,-6.508,Major,0.19,179.981,04-Apr,0.465,Classical,CL1,-25.3936,21.7957,1
Rhapsody,Dawn of Victory,5WzdX4iArSQZELuxI0Oq5Q,20517,51,0.00524,0.464,287027,0.955,1.12e-05,C,0.161,-3.778,Minor,0.0387,104.518,04-Apr,0.451,Classical,CL1,-16.5411,26.4255,1
Nick Johnston,A Sick and Injured Brain,6ioeN8jQ8Qc3tS8dhpoAVi,86503,31,0.702,0.286,571013,0.44,0.753,E,0.172,-8.98,Minor,0.0302,50.611,04-Apr,0.0394,Classical,CL1,-70.9357,-4.28914,1
Igor Stravinsky,The Firebird Suite *: Introduction,3hJLKtTpgct9Y9wKww0BiR,84761,24,0.973,0.135,178600,0.00257,0.869,F,0.159,-39.28,Major,0.0375,89.063,04-Apr,0.0307,Classical,CL1,18.5325,-47.4617,1
Béla Bartók,"Concerto for Orchestra, BB 123: I. Introduzione: Andante non troppo - Allegro vivace",5i5UL20KkFVROq3WMFV2RL,114310,30,0.94,0.157,307601,0.0231,0.709,C#,0.104,-25.31,Major,0.0432,89.027,04-Apr,0.0366,Classical,CL1,-33.0128,-46.7487,1
empty_field,Desire (Chilling Chambers),4X54KaM10Ajx7n5LdlQIkq,123696,32.7529,0.382,0.575,265500,0.712,0.214,D,0.0995,-9.205,Minor,0.0672,173.997,04-Apr,0.23,Classical,CL1,-18.4754,10.8787,1
Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K. 384, Act I: Ach ich liebte, war so glücklich",0cSdWJzO18liElNMCAYCig,106709,18,0.975,0.377,328667,0.0969,0.000466,A#,0.68,-23.737,Major,0.0735,117.68,04-Apr,0.159,Classical,CL1,34.0328,-5.10454,1
Darius Milhaud,"Milhaud: La création du monde, Op. 81b: I. Prelude (Live)",1xZ9lD5FhqiyJtPmf0AIle,23304,29,0.982,0.165,299627,0.102,0.896,D,0.2,-17.65,Minor,0.0399,104.518,04-Apr,0.0628,Classical,CL1,-7.97487,-17.3329,1
Thomas Tallis,Mass For Four Voices: 1. Gloria,0VmBlp1AM3B8IxQnuBLQJ6,142320,33,0.993,0.0876,309197,0.205,0.145,C,0.105,-22.133,Major,0.0485,63.989,04-Apr,0.0699,Classical,CL1,1.7158,35.145,1
empty_field,Una Pàgina per Chopin,4nZ3CyKxICt9TMBzSVMavf,54547,35,0.985,0.4,139280,0.0141,0.881,G#,0.147,-26.638,Major,0.0407,136.232,03-Apr,0.147,Classical,CL5,82.6389,0.412813,1
Jeffrey McFadden,The Rider,1CKtxKqyFsFITCH4SpDrWj,38418,35,0.994,0.493,183413,0.178,0.93,G,0.119,-18.259,Minor,0.0632,114.7,04-Apr,0.381,Classical,CL1,33.811,20.4661,1
Pyotr Ilyich Tchaikovsky,"Variations On A Rococo Theme, Op.33, TH.57: Variazione III: Andante sostenuto",1R9EHsvzpXwOvlGkgDmE55,162139,29,0.966,0.162,238005,0.128,0.849,C,0.116,-23.574,Major,0.0402,101.758,04-Apr,0.0512,Classical,CL1,-2.00595,35.3993,1
empty_field,Gavota al estilo antiguo,74n1o99L9vL35BGztesx1O,68444,32.7529,0.994,0.518,126667,0.0403,0.9,B,0.1,-30.929,Minor,0.0491,77.556,04-Apr,0.46,Classical,CL6,-37.439,54.9173,1
empty_field,Symphony No. 5 in C-Sharp Minor (arr. J. Gribben for piano),7mKJEzvBy4PfuDrUzAlfcv,21049,32,0.994,0.45,599453,0.0031,0.934,F,0.0787,-24.947,Major,0.0586,70.53,04-Apr,0.0582,Classical,CL1,19.2667,-50.9627,1
Erik Satie,Gnossiennes: No. 5,2GryLec2PG5oj1vlihxJqx,41931,22,0.973,0.436,307601,0.0278,0.898,G,0.0724,-25.561,Major,0.0723,169.727,04-Apr,0.196,Classical,CL1,36.7382,41.7988,1
Johann Sebastian Bach,"Unaccompanied Cello Suite No. 6 in D Major, BWV 1012: Prélude",1Ru7VA3GY5LqFgUkAIMdN4,98517,25,0.988,0.321,278693,0.134,0.811,C#,0.119,-18.973,Major,0.0848,99.831,04-Apr,0.488,Classical,CL1,-34.8097,-52.3729,1
Franz Schubert,"Schubert: Symphony No. 9 in C Major, D. 944, ""Great"": I. Andante - Allegro ma non troppo (Live)",7gEGhEb1VcCeC6lJWnjI9Z,184373,29,0.95,0.277,1.107e+06,0.0919,0.908,C,0.0589,-20.73,Major,0.0343,105.059,04-Apr,0.116,Classical,CL1,-8.51748,40.226,1
Franz Liszt,"Consolations, S. 172: No. 3 in D-Flat Major. Lento placido",0Vxtc6GsFXlhRiJZ2IRG06,198237,49,0.992,0.291,275000,0.00493,0.849,C#,0.099,-35.839,Major,0.0358,65.859,04-Apr,0.0775,Classical,CL1,-28.93,-47.8024,1
empty_field,The Paths Of The Dead,6nTeQGE4xXarl892zLDSuq,119610,36,0.619,0.0607,382213,0.148,0.942,E,0.105,-21.983,Minor,0.0384,60.144,03-Apr,0.0343,Classical,CL1,-77.0135,-15.8217,1
Ludwig van Beethoven,"11 Bagatelles, Op. 119: No. 3 in D Major",65DaM9LL4Zmoj04wcwbzzR,35281,23,0.988,0.41,118733,0.0563,0.875,A,0.159,-25.574,Major,0.0362,103.542,03-Apr,0.39,Classical,CL1,-59.7276,29.1906,1
Leoš Janáček,1. Uvod,7LBdv0ek7Tj2s0bgxmlrC6,25647,29,0.951,0.219,307601,0.138,0.905,G#,0.0994,-17.772,Minor,0.0387,109.626,04-Apr,0.0511,Classical,CL5,67.5741,11.8603,1
Percy Grainger,Shepherds Hey,3ahie4ODQWY8r4gMSnLpM6,35744,31,0.96,0.549,123053,0.218,0.643,D#,0.131,-22.073,Major,0.0374,101.414,04-Apr,0.886,Classical,CL1,63.8665,-27.7602,1
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène IV - ""Sans regrets j'ai quitté les riantes campagnes""",0U3u0HdRQjD8mAMYBak4Ok,62531,32.7529,0.957,0.168,307601,0.0484,0.000731,F#,0.568,-28.327,Minor,0.0485,81.153,04-Apr,0.0419,Classical,CL3,-29.0713,-21.4555,1
empty_field,Intermission* - Instrumental,4TyCnstYu6LGrjka5WW6ft,107474,26,0.909,0.263,88693,0.114,0.426,G,0.336,-16.946,Major,0.0392,53.969,05-Apr,0.15,Classical,CL2,13.9163,-21.7728,1
Erik Satie,Petite ouverture à danser (Ed. Caby),0eAwn9zXRqaDxcf6j77Xqz,168328,32,0.996,0.483,307601,0.00585,0.925,C,0.092,-30.275,Minor,0.0576,99.204,04-Apr,0.116,Classical,CL1,-6.91829,59.7819,1
Johann Sebastian Bach,"St. John Passion, BWV 245, Pt. 2: No. 20, Erwäge, wie sein blutgefärbter Rücken",18cMxAuSTWkljxRYk1Fma1,173591,17,0.965,0.276,470983,0.0326,0.000117,B,0.0756,-26.634,Minor,0.0416,101.331,03-Apr,0.205,Classical,CL6,-37.8039,63.0249,1
Eric Whitacre,Sainte-Chapelle,68SUyukX7v1vRHiTAqP3tz,60868,32,0.979,0.0701,416455,0.0325,6.49e-05,G,0.155,-26.965,Minor,0.0446,76.898,04-Apr,0.0336,Classical,CL1,33.0544,13.8971,1
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 7. Aquarium",5KG4OVGxSrFmNHGZBezJJn,124964,31,0.983,0.195,151173,0.0346,0.944,A,0.131,-35.279,Minor,0.0388,136.832,03-Apr,0.139,Classical,CL1,-53.748,35.4891,1
Wolfgang Amadeus Mozart,"Piano Concerto In D Minor, K. 466; 1st Movement",1at2b42OcAN90gQNXwxVKU,101745,19,0.972,0.331,736027,0.114,0.866,D,0.134,-19.837,Minor,0.0395,139.12,04-Apr,0.184,Classical,CL1,-4.96541,-12.8873,1
empty_field,"Rimsky Korsakov: Scheherazade, Op. 35: II. The Story of the Kalender Prince (Opening)",5fi2bhWaJMj7I3DmoQAF0x,24840,38,0.974,0.176,233067,0.0317,0.718,B,0.353,-24.978,Minor,0.0448,145.834,03-Apr,0.0387,Classical,CL6,-39.2807,61.8697,1
Howard Shore,Very Old Friends,6iKg6wFS8lHedRb2Pg2ONG,148325,39,0.934,0.119,192813,0.00363,0.236,G,0.205,-34.548,Major,0.0425,76.089,04-Apr,0.0367,Classical,CL1,33.5939,49.2577,1
empty_field,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",3LUv3LsFPaU6fiFdds8O5c,166437,32,0.975,0.467,307601,0.169,0.243,A,0.0571,-16.437,Minor,0.0491,112.867,04-Apr,0.473,Classical,CL1,-42.7762,26.8731,1
Franz Joseph Haydn,"Piano Concerto in G Major, Hob XVIII:3: Finale - rondo",5SvLM9axjoRUtXtNspvTOc,150399,43,0.987,0.522,307601,0.162,0.875,G,0.13,-24.103,Major,0.0472,82.018,04-Apr,0.368,Classical,CL1,37.3309,37.6714,1
Andrea Bocelli,"Alas de Libertad - ""Ali di Libertà"" Spanish Version",55kn1i0n1mUWiEB6LZrTYe,134808,42,0.731,0.343,307601,0.303,6.16e-06,C#,0.115,-10.89,Major,0.032,134.513,04-Apr,0.111,Classical,CL1,-38.476,-49.6611,1
Antonio Vivaldi,"The Four Seasons - Summer in G Minor, RV. 315: II. Adagio – Presto",3BoPOp7YNORLqMUjE5XAh9,181344,34,0.834,0.149,307601,0.0523,0.00805,A#,0.253,-28.538,Major,0.0644,170.088,04-Apr,0.0525,Classical,CL1,38.847,-8.9681,1
Johann Sebastian Bach,"Cantata ""Ich habe genug"", BWV 82: I. Aria ""Ich habe genug""",6EHJcbjjFtukS3aIwnynqM,97761,32.7529,0.942,0.204,307601,0.157,0.739,B,0.198,-16.56,Minor,0.037,94.521,03-Apr,0.12,Classical,CL6,-38.419,62.0117,1
empty_field,"Sleeping Beauty: Valse, Act I, No. 7",45vlODqHQXuL5bIlhCj0Ua,72697,30,0.947,0.235,307601,0.115,0.891,A#,0.335,-17.849,Major,0.0343,91.241,01-Apr,0.314,Classical,CL4,-3.07611,-38.5194,1
Avantasia,Sign of the Cross,5ZXe0DLYjofbtOOk2BAiOn,87228,44,9.31e-05,0.537,386333,0.917,1.02e-06,F#,0.351,-5.171,Major,0.0322,101.23,04-Apr,0.432,Classical,CL3,-30.0809,-4.37442,1
Jacques Offenbach,"Les contes d'Hoffmann, Act III: Belle nuit, ô nuit d'amour ""Barcarolle"" (Instrumental Version)",4mtIIpksLr41WmzNHyUtKy,73317,33,0.947,0.192,213587,0.141,0.527,D,0.267,-19.693,Major,0.0336,79.892,03-Apr,0.0676,Classical,CL1,-4.19864,1.14328,1
Richard Strauss,"Idomeneo, TrV 262, Act II (After W.A. Mozart): Würgend verbreitet Tod das Untier in der Stadt! - Es fehlen mir die Worte [Live]",7qEe9EJ0uVn3xuJSDzsx9d,30657,1,0.977,0.277,307601,0.0651,0.62427,A,0.115,-23.515,Major,0.0833,182.117,03-Apr,0.133,Classical,CL1,-62.1191,25.8097,1
Guillaume Dufay,Missa L'homme arme: Kyrie,3yxQsWjGCT2D0HIbdGFlWT,48335,30,0.989,0.21,296867,0.111,0.188,C#,0.0919,-21.968,Minor,0.0372,58.424,04-Apr,0.0397,Classical,CL1,-42.2338,-59.2292,1
Erik Satie,Six Gnossiennes: No. 1,7FMedJPiag48GjON0tp2PO,28461,27,0.995,0.367,201600,0.00271,0.912,F,0.0816,-35.563,Minor,0.0429,135.16,05-Apr,0.0681,Classical,CL2,17.0453,-27.8875,1
Ola Gjeilo,The Ground,5buf0tUN7uBXaITiNkjqAb,68591,37,0.982,0.138,218893,0.124,0.943,D#,0.103,-18.018,Major,0.0326,81.325,03-Apr,0.0394,Classical,CL1,52.0332,-45.3672,1
Maurice Ravel,"Ma Mère l'oye, cinq pièces enfantines: V. Le jardin féerique",4ggH0r1IdAyfjQqC0CHHse,181612,33,0.963,0.127,225773,0.0425,0.776,C,0.0804,-21.933,Major,0.0375,89.379,04-Apr,0.036,Classical,CL1,-2.25818,34.9171,1
Zbigniew Preisner,Lacrimosa,7sWMnODlhbNtzbd4twi3Fs,132146,40,0.758,0.245,202573,0.385,0.372,D,0.0833,-12.949,Minor,0.0526,104.518,03-Apr,0.039,Classical,CL1,-13.6382,-4.60512,1
Wolfgang Amadeus Mozart,"Piano Sonata No. 5 in G Major, K. 283: I. Allegro",2HmpP4f48ptsSQVufmiW1m,133972,37,0.993,0.451,286960,0.0992,0.913,D,0.0966,-22.819,Major,0.0433,114.751,03-Apr,0.531,Classical,CL1,-7.56086,5.36048,1
Richard Strauss,"Idomeneo, TrV 262, Act II (After W.A. Mozart): Nun weißt du das Geheimnis! [Live]",4hLS1e3mrL0gbm8BqX1VvN,204163,2,0.954,0.347,168067,0.0562,7.25e-06,A#,0.359,-23.537,Major,0.0426,127.293,03-Apr,0.0845,Classical,CL1,33.6413,-26.6638,1
Edvard Grieg,"Lyric Pieces, Op. 12: I. Arietta - Poco andante e sostenuto",3DiCcOpGyqBzd2MDoUnD6K,208335,33,0.995,0.426,85907,0.00278,0.909,A#,0.105,-38.817,Major,0.0593,71.524,01-Apr,0.197,Classical,CL4,-3.73315,-39.068,1
Avantasia,Draconian Love,77dxnwTUhbIhnHZmPucWNV,138402,43,0.0314,0.578,299253,0.815,0.000114,G,0.114,-6.491,Major,0.0372,123.023,04-Apr,0.529,Classical,CL1,-11.2469,19.8845,1
empty_field,"Franck / Arr. Kenner: Mass in A Major, Op. 12, FWV 61: V. Panis Angelicus",4IGVwhevPXhdGIvmfH9OST,25164,50,0.979,0.19,262367,0.0399,0.504,G,0.0912,-26.843,Major,0.0461,83.33,04-Apr,0.102,Classical,CL1,40.709,48.939,1
empty_field,"Requiem, Op. 48: III. Offertoire",3WW63E8a8JLIAHMiatELLb,198990,36,0.967,0.0884,443360,0.025,0.517,D,0.086,-30.84,Major,0.0453,77.899,04-Apr,0.0361,Classical,CL1,11.3234,-0.601871,1
Freedom Call,Freedom Call,3eze1OsZ1rqeXkKStNfTmi,96108,40,0.00905,0.443,307601,0.979,6.48e-06,F#,0.178,-6.682,Major,0.0801,144.995,04-Apr,0.177,Classical,CL3,-30.0313,-4.47105,1
Georg Philipp Telemann,"Ouverture in G Major, TWV 32:13: I. Ouverture",73fvoyPvAypMfZS3v91D9J,211394,8,0.658,0.306,238560,0.286,0.356,F#,0.194,-20.75,Major,0.0314,106.293,04-Apr,0.717,Classical,CL3,-38.362,-14.9276,1
empty_field,"Mattinata, Op. 5",78QR3Wp35dqAhFEc2qAGjE,71265,37,0.919,0.37,117600,0.257,0.000957,E,0.274,-15.982,Major,0.0418,71.521,03-Apr,0.216,Classical,CL1,-68.5223,-20.3544,1
empty_field,"Piano Concerto No. 14 in E-Flat Major, K. 449: II. Andantino (Live)",2KdT8BSu7sViL2G5vQiWB6,118683,32.7529,0.989,0.274,307601,0.0363,0.922,A#,0.286,-25.909,Major,0.0355,80.816,04-Apr,0.107,Classical,CL1,41.8319,-11.1173,1
George Frideric Handel,"Suite in D Minor, HWV 447: Allemande",3TdxXMf1fNPouKUNeLjkCQ,212960,36,0.995,0.499,307601,0.051,0.916,D,0.0949,-32.684,Minor,0.0509,73.782,04-Apr,0.56,Classical,CL1,-7.52811,-13.0593,1
Robert Schumann,"Symphony No. 2 in C Major, Op. 61: I. Sostenuto assai (Live)",4MhDgRe3bs8uELJsuX2TX8,156904,6,0.928,0.209,721853,0.148,0.775,C,0.0733,-19.197,Major,0.0395,143.654,03-Apr,0.0899,Classical,CL1,14.0357,60.5046,1
John Adams,Century Rolls: II. Manny's Gym,4PgtB6Sul8WDTRZCe5e8St,154276,32,0.898,0.134,307601,0.0386,0.882,E,0.114,-34.923,Minor,0.0402,64.144,03-Apr,0.0786,Classical,CL1,-76.2858,-14.6379,1
Frederick Delius,"Two Aquarelles (1987 Remaster): II. Gaily, but not quick",5ka2ajep9OAvU5Sgduhiex,113950,37,0.978,0.194,124027,0.132,0.9,D,0.0993,-20.037,Major,0.0362,77.6,04-Apr,0.0639,Classical,CL1,13.1417,1.47931,1
Sonata Arctica,My Selene,2zKoA5gp5Xaw3mrp45XIrR,25576,39,1.75e-05,0.415,326427,0.889,3.61e-05,A#,0.287,-4.914,Minor,0.0405,149.999,04-Apr,0.448,Classical,CL1,-20.3805,17.6913,1
Johannes Brahms,"Brahms: Seven Fantasies, Op. 116; No. 2: Intermezzo in A minor",5lI7gZ9nRUGyDD9LJhnOtc,65523,32,0.992,0.395,215067,0.00866,0.936,A,0.0908,-31.289,Minor,0.0538,136.976,01-Apr,0.115,Classical,CL4,-12.7259,-40.9257,1
Wolfgang Amadeus Mozart,"Die Zauberflöte, KV620 / Act 2: Der Hölle Rache kocht in meinem Herzen",6TirNklsMyUxc7tucOVJSc,23570,28,0.973,0.494,185307,0.207,0.264,F,0.0794,-14.091,Major,0.0807,145.3,04-Apr,0.323,Classical,CL1,14.7094,-53.6216,1
empty_field,"Adagio & Rondo in C Minor, K. 617: Adagio - Allegretto",3seqZSBT8ZMijMY9sZd26M,89015,32.7529,0.988,0.239,307601,0.0507,0.951,C,0.102,-25.351,Minor,0.0526,71.638,04-Apr,0.141,Classical,CL1,-6.65975,62.87,1
John Cage,Dream,67e7sjTnaFwo3C4HKZveNd,171590,35,0.993,0.266,508707,0.00154,0.862,C,0.071,-44.135,Minor,0.0498,104.518,05-Apr,0.0922,Classical,CL2,9.47824,-25.4091,1
Frédéric Chopin,"Études, Op. 25: No. 1 in A-Flat Major",0c25MThCkA3eGk78oi3vhe,136171,30,0.99,0.278,174267,0.0269,0.917,G#,0.0705,-28.283,Major,0.0388,70.018,03-Apr,0.0343,Classical,CL5,81.6068,-0.297859,1
Giuseppe Verdi,"Macbeth, Act II: Studia il passo, o mio figlio (Live)",1sPZt3bydlvvvbnJCWMxRg,53226,32.7529,0.962,0.205,290533,0.132,0.0162,E,0.676,-20.979,Minor,0.0483,80.574,04-Apr,0.174,Classical,CL1,-68.8646,-9.2744,1
Wolfgang Amadeus Mozart,"Die Zauberflöte, K. 620, Act I: O zitt're nicht, mein lieber Sohn! (Live)",2eD05M0sROqhQpkQJ9ze8x,56470,32.7529,0.948,0.276,299800,0.095,3.77e-05,A#,0.45,-22.435,Major,0.0575,94.842,04-Apr,0.0999,Classical,CL1,34.9271,-6.49817,1
George Frideric Handel,Concerto grosso Op. 3 No. 6 in D major / D minor: Concerto grosso Op. 3 No. 6 in D major / D minor: I,3Ro1Hj1Kdv6fjX7bfTS4eH,98444,32,0.958,0.523,173640,0.235,0.911,C#,0.149,-17.206,Major,0.0342,108.828,04-Apr,0.723,Classical,CL1,-36.928,-53.5182,1
Aaron Copland,Billy the Kid: VIa. Celebration,5j0McHPthKpOXRr3fBq8M0,211264,32.7529,0.738,0.486,180480,0.276,0.742,G#,0.151,-16.882,Major,0.0553,83.663,04-Apr,0.227,Classical,CL5,73.4598,8.4457,1
Franz Schubert,"Die Forelle, Op. 32, D. 550",5zH710lFSLtkHbMkslLDjR,216396,23,0.985,0.367,122000,0.0902,0.00395,B,0.0821,-21.136,Major,0.0557,176.348,04-Apr,0.565,Classical,CL6,-25.8205,60.3033,1
