artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster
Andrea Bocelli,Fall On Me - English Version,4aF0PPxFBKdK6AG72CP0qZ,58879,47,0.677,0.361,258816,0.155,0.116373,F#,0.11,-11.435,Major,0.0341,84.292,03-Apr,0.219,Classical,Class3
Erik Satie,Gymnopédie No. 2,7AyebpN2kre7LbB2aV3oRh,177985,27,0.992,0.489,194893,0.00243,0.963,D,0.0804,-35.804,Minor,0.0896,67.452,03-Apr,0.35,Classical,Class1
Ludwig van Beethoven,"Sonata No. 14 in C-Sharp Minor for Piano, Op. 27:2, ""Moonlight Sonata"": Adagio sostenuto",3uqWy9F8MvIKLcff60aF4P,82822,30,0.996,0.332,406227,0.008,0.902,C#,0.108,-37.226,Minor,0.055,130.707,03-Apr,0.177,Classical,Class1
Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto",1npaDLPr19R0gwlxJXXWbb,140605,49,0.973,0.138,625680,0.0967,0.919,E,0.0605,-22.356,Major,0.0386,65.605,04-Apr,0.0384,Classical,Class6
Sergei Prokofiev,"Peter and the Wolf, Op. 67: The Wolf",2QRh45dg75Yyz5P9uGeTcC,157474,26,0.886,0.351,122000,0.202,0.0771,D,0.239,-19.204,Minor,0.0789,85.443,04-Apr,0.197,Classical,Class3
Sergei Rachmaninoff,"Vocalise, Op.34, No.14",5qAfDOvkgl0hxfBi7ygLDQ,145137,40,0.943,0.152,327600,0.0749,0.846,E,0.293,-25.909,Minor,0.0382,87.731,04-Apr,0.0378,Classical,Class1
Caroline Shaw,Partita for 8 Singers: No. 1. Allemande,5nr9S1hI8LHEh6jCkgtxLi,51892,29,0.893,0.222,353467,0.292,0.00899,F#,0.136,-11.035,Minor,0.0345,137.676,03-Apr,0.047,Classical,Class3
empty_field,Flos florum,1wKbemG5DPIVxtTQ1pmlOD,160228,27,0.993,0.11,233147,0.142,0.000466,G#,0.0962,-19.657,Major,0.0521,77.558,03-Apr,0.0721,Classical,Class3
Erik Satie,Gnossienne No. 3,6xQjMHk4BKVKKiaavbyiyR,117600,31,0.996,0.308,160000,0.0107,0.918,A,0.0852,-32.693,Minor,0.0712,79.675,04-Apr,0.0601,Classical,Class1
empty_field,"Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto",5aK019ld6aJZVjAXaoNxfa,198178,25,0.995,0.38,220040,0.181,0.777,G,0.177,-21.9,Minor,0.0498,117.239,03-Apr,0.764,Classical,Class7
Igor Stravinsky,The Rite of Spring: Part Two: The Sacrifice: Introduction,4anDvIFynk3VXwwKNgE4Yu,153431,27,0.851,0.138,276693,0.00249,0.143,D,0.163,-38.759,Minor,0.0405,140.794,03-Apr,0.0329,Classical,Class3
Aaron Copland,Appalachian Spring: VI. Meno mosso,5hbttdGGhvN9PUZDwgCk67,33049,23,0.918,0.135,191622,0.0179,0.687,G#,0.11,-34.134,Major,0.0447,143.091,03-Apr,0.0349,Classical,Class1
empty_field,"Schubert: Piano Trio in E-Flat Major, D. 929: II. Andante con moto",7079nY1EuvdfIxaMYaTjR9,125550,41,0.966,0.232,558720,0.0529,0.361,C,0.0978,-18.353,Minor,0.041,87.996,04-Apr,0.0863,Classical,Class6
Luca Turilli,Demonheart,7iF9B5dbSOfEeznArGFHhn,77023,40,0.000595,0.463,308653,0.944,4.3e-06,A,0.106,-6.508,Major,0.19,179.981,04-Apr,0.465,Classical,Class4
Nick Johnston,A Sick and Injured Brain,6ioeN8jQ8Qc3tS8dhpoAVi,86503,31,0.702,0.286,571013,0.44,0.753,E,0.172,-8.98,Minor,0.0302,50.611,04-Apr,0.0394,Classical,Class6
Igor Stravinsky,The Firebird Suite *: Introduction,3hJLKtTpgct9Y9wKww0BiR,84761,24,0.973,0.135,178600,0.00257,0.869,F,0.159,-39.28,Major,0.0375,89.063,04-Apr,0.0307,Classical,Class1
Béla Bartók,"Concerto for Orchestra, BB 123: I. Introduzione: Andante non troppo - Allegro vivace",5i5UL20KkFVROq3WMFV2RL,114310,30,0.94,0.157,369482,0.0231,0.709,C#,0.104,-25.31,Major,0.0432,89.027,04-Apr,0.0366,Classical,Class1
empty_field,Desire (Chilling Chambers),4X54KaM10Ajx7n5LdlQIkq,123696,38.252,0.382,0.575,265500,0.712,0.214,D,0.0995,-9.205,Minor,0.0672,173.997,04-Apr,0.23,Classical,Class4
Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K. 384, Act I: Ach ich liebte, war so glücklich",0cSdWJzO18liElNMCAYCig,106709,18,0.975,0.377,328667,0.0969,0.000466,A#,0.68,-23.737,Major,0.0735,117.68,04-Apr,0.159,Classical,Class2
empty_field,Una Pàgina per Chopin,4nZ3CyKxICt9TMBzSVMavf,54547,35,0.985,0.4,139280,0.0141,0.881,G#,0.147,-26.638,Major,0.0407,136.232,03-Apr,0.147,Classical,Class1
Jeffrey McFadden,The Rider,1CKtxKqyFsFITCH4SpDrWj,38418,35,0.994,0.493,183413,0.178,0.93,G,0.119,-18.259,Minor,0.0632,114.7,04-Apr,0.381,Classical,Class7
Pyotr Ilyich Tchaikovsky,"Variations On A Rococo Theme, Op.33, TH.57: Variazione III: Andante sostenuto",1R9EHsvzpXwOvlGkgDmE55,162139,29,0.966,0.162,238005,0.128,0.849,C,0.116,-23.574,Major,0.0402,101.758,04-Apr,0.0512,Classical,Class1
empty_field,Gavota al estilo antiguo,74n1o99L9vL35BGztesx1O,68444,33.8388,0.994,0.518,126667,0.0403,0.9,B,0.1,-30.929,Minor,0.0491,77.556,04-Apr,0.46,Classical,Class7
Erik Satie,Gnossiennes: No. 5,2GryLec2PG5oj1vlihxJqx,41931,22,0.973,0.436,315216,0.0278,0.898,G,0.0724,-25.561,Major,0.0723,169.727,04-Apr,0.196,Classical,Class7
Johann Sebastian Bach,"Unaccompanied Cello Suite No. 6 in D Major, BWV 1012: Prélude",1Ru7VA3GY5LqFgUkAIMdN4,98517,25,0.988,0.321,278693,0.134,0.811,C#,0.119,-18.973,Major,0.0848,99.831,04-Apr,0.488,Classical,Class7
Franz Liszt,"Consolations, S. 172: No. 3 in D-Flat Major. Lento placido",0Vxtc6GsFXlhRiJZ2IRG06,198237,49,0.992,0.291,275000,0.00493,0.849,C#,0.099,-35.839,Major,0.0358,65.859,04-Apr,0.0775,Classical,Class1
empty_field,The Paths Of The Dead,6nTeQGE4xXarl892zLDSuq,119610,36,0.619,0.0607,382213,0.148,0.942,E,0.105,-21.983,Minor,0.0384,60.144,03-Apr,0.0343,Classical,Class1
Ludwig van Beethoven,"11 Bagatelles, Op. 119: No. 3 in D Major",65DaM9LL4Zmoj04wcwbzzR,35281,23,0.988,0.41,118733,0.0563,0.875,A,0.159,-25.574,Major,0.0362,103.542,03-Apr,0.39,Classical,Class7
Percy Grainger,Shepherds Hey,3ahie4ODQWY8r4gMSnLpM6,35744,31,0.96,0.549,123053,0.218,0.643,D#,0.131,-22.073,Major,0.0374,101.414,04-Apr,0.886,Classical,Class7
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène IV - ""Sans regrets j'ai quitté les riantes campagnes""",0U3u0HdRQjD8mAMYBak4Ok,62531,31.086,0.957,0.168,369482,0.0484,0.000731,F#,0.568,-28.327,Minor,0.0485,81.153,04-Apr,0.0419,Classical,Class2
empty_field,Intermission* - Instrumental,4TyCnstYu6LGrjka5WW6ft,107474,26,0.909,0.263,88693,0.114,0.426,G,0.336,-16.946,Major,0.0392,53.969,05-Apr,0.15,Classical,Class3
Erik Satie,Petite ouverture à danser (Ed. Caby),0eAwn9zXRqaDxcf6j77Xqz,168328,32,0.996,0.483,268902,0.00585,0.925,C,0.092,-30.275,Minor,0.0576,99.204,04-Apr,0.116,Classical,Class1
Johann Sebastian Bach,"St. John Passion, BWV 245, Pt. 2: No. 20, Erwäge, wie sein blutgefärbter Rücken",18cMxAuSTWkljxRYk1Fma1,173591,17,0.965,0.276,470983,0.0326,0.000117,B,0.0756,-26.634,Minor,0.0416,101.331,03-Apr,0.205,Classical,Class3
Eric Whitacre,Sainte-Chapelle,68SUyukX7v1vRHiTAqP3tz,60868,32,0.979,0.0701,416455,0.0325,6.49e-05,G,0.155,-26.965,Minor,0.0446,76.898,04-Apr,0.0336,Classical,Class3
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 7. Aquarium",5KG4OVGxSrFmNHGZBezJJn,124964,31,0.983,0.195,151173,0.0346,0.944,A,0.131,-35.279,Minor,0.0388,136.832,03-Apr,0.139,Classical,Class1
Wolfgang Amadeus Mozart,"Piano Concerto In D Minor, K. 466; 1st Movement",1at2b42OcAN90gQNXwxVKU,101745,19,0.972,0.331,736027,0.114,0.866,D,0.134,-19.837,Minor,0.0395,139.12,04-Apr,0.184,Classical,Class6
Howard Shore,Very Old Friends,6iKg6wFS8lHedRb2Pg2ONG,148325,39,0.934,0.119,192813,0.00363,0.236,G,0.205,-34.548,Major,0.0425,76.089,04-Apr,0.0367,Classical,Class1
empty_field,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",3LUv3LsFPaU6fiFdds8O5c,166437,32,0.975,0.467,218915,0.169,0.243,A,0.0571,-16.437,Minor,0.0491,112.867,04-Apr,0.473,Classical,Class7
Franz Joseph Haydn,"Piano Concerto in G Major, Hob XVIII:3: Finale - rondo",5SvLM9axjoRUtXtNspvTOc,150399,43,0.987,0.522,265996,0.162,0.875,G,0.13,-24.103,Major,0.0472,82.018,04-Apr,0.368,Classical,Class7
Andrea Bocelli,"Alas de Libertad - ""Ali di Libertà"" Spanish Version",55kn1i0n1mUWiEB6LZrTYe,134808,42,0.731,0.343,451782,0.303,6.16e-06,C#,0.115,-10.89,Major,0.032,134.513,04-Apr,0.111,Classical,Class3
Antonio Vivaldi,"The Four Seasons - Summer in G Minor, RV. 315: II. Adagio – Presto",3BoPOp7YNORLqMUjE5XAh9,181344,34,0.834,0.149,235532,0.0523,0.00805,A#,0.253,-28.538,Major,0.0644,170.088,04-Apr,0.0525,Classical,Class3
Johann Sebastian Bach,"Cantata ""Ich habe genug"", BWV 82: I. Aria ""Ich habe genug""",6EHJcbjjFtukS3aIwnynqM,97761,31.2061,0.942,0.204,329192,0.157,0.739,B,0.198,-16.56,Minor,0.037,94.521,03-Apr,0.12,Classical,Class6
Avantasia,Sign of the Cross,5ZXe0DLYjofbtOOk2BAiOn,87228,44,9.31e-05,0.537,386333,0.917,1.02e-06,F#,0.351,-5.171,Major,0.0322,101.23,04-Apr,0.432,Classical,Class4
Jacques Offenbach,"Les contes d'Hoffmann, Act III: Belle nuit, ô nuit d'amour ""Barcarolle"" (Instrumental Version)",4mtIIpksLr41WmzNHyUtKy,73317,33,0.947,0.192,213587,0.141,0.527,D,0.267,-19.693,Major,0.0336,79.892,03-Apr,0.0676,Classical,Class3
Richard Strauss,"Idomeneo, TrV 262, Act II (After W.A. Mozart): Würgend verbreitet Tod das Untier in der Stadt! - Es fehlen mir die Worte [Live]",7qEe9EJ0uVn3xuJSDzsx9d,30657,1,0.977,0.277,247392,0.0651,0.350809,A,0.115,-23.515,Major,0.0833,182.117,03-Apr,0.133,Classical,Class3
Erik Satie,Six Gnossiennes: No. 1,7FMedJPiag48GjON0tp2PO,28461,27,0.995,0.367,201600,0.00271,0.912,F,0.0816,-35.563,Minor,0.0429,135.16,05-Apr,0.0681,Classical,Class1
Ola Gjeilo,The Ground,5buf0tUN7uBXaITiNkjqAb,68591,37,0.982,0.138,218893,0.124,0.943,D#,0.103,-18.018,Major,0.0326,81.325,03-Apr,0.0394,Classical,Class1
Maurice Ravel,"Ma Mère l'oye, cinq pièces enfantines: V. Le jardin féerique",4ggH0r1IdAyfjQqC0CHHse,181612,33,0.963,0.127,225773,0.0425,0.776,C,0.0804,-21.933,Major,0.0375,89.379,04-Apr,0.036,Classical,Class1
Zbigniew Preisner,Lacrimosa,7sWMnODlhbNtzbd4twi3Fs,132146,40,0.758,0.245,202573,0.385,0.372,D,0.0833,-12.949,Minor,0.0526,126.656,03-Apr,0.039,Classical,Class3
Wolfgang Amadeus Mozart,"Piano Sonata No. 5 in G Major, K. 283: I. Allegro",2HmpP4f48ptsSQVufmiW1m,133972,37,0.993,0.451,286960,0.0992,0.913,D,0.0966,-22.819,Major,0.0433,114.751,03-Apr,0.531,Classical,Class7
Richard Strauss,"Idomeneo, TrV 262, Act II (After W.A. Mozart): Nun weißt du das Geheimnis! [Live]",4hLS1e3mrL0gbm8BqX1VvN,204163,2,0.954,0.347,168067,0.0562,7.25e-06,A#,0.359,-23.537,Major,0.0426,127.293,03-Apr,0.0845,Classical,Class3
Edvard Grieg,"Lyric Pieces, Op. 12: I. Arietta - Poco andante e sostenuto",3DiCcOpGyqBzd2MDoUnD6K,208335,33,0.995,0.426,85907,0.00278,0.909,A#,0.105,-38.817,Major,0.0593,71.524,01-Apr,0.197,Classical,Class1
empty_field,"Franck / Arr. Kenner: Mass in A Major, Op. 12, FWV 61: V. Panis Angelicus",4IGVwhevPXhdGIvmfH9OST,25164,50,0.979,0.19,262367,0.0399,0.504,G,0.0912,-26.843,Major,0.0461,83.33,04-Apr,0.102,Classical,Class1
empty_field,"Requiem, Op. 48: III. Offertoire",3WW63E8a8JLIAHMiatELLb,198990,36,0.967,0.0884,443360,0.025,0.517,D,0.086,-30.84,Major,0.0453,77.899,04-Apr,0.0361,Classical,Class1
Freedom Call,Freedom Call,3eze1OsZ1rqeXkKStNfTmi,96108,40,0.00905,0.443,571350,0.979,6.48e-06,F#,0.178,-6.682,Major,0.0801,144.995,04-Apr,0.177,Classical,Class4
Georg Philipp Telemann,"Ouverture in G Major, TWV 32:13: I. Ouverture",73fvoyPvAypMfZS3v91D9J,211394,8,0.658,0.306,238560,0.286,0.356,F#,0.194,-20.75,Major,0.0314,106.293,04-Apr,0.717,Classical,Class7
empty_field,"Mattinata, Op. 5",78QR3Wp35dqAhFEc2qAGjE,71265,37,0.919,0.37,117600,0.257,0.000957,E,0.274,-15.982,Major,0.0418,71.521,03-Apr,0.216,Classical,Class3
empty_field,"Piano Concerto No. 14 in E-Flat Major, K. 449: II. Andantino (Live)",2KdT8BSu7sViL2G5vQiWB6,118683,31.3842,0.989,0.274,428952,0.0363,0.922,A#,0.286,-25.909,Major,0.0355,80.816,04-Apr,0.107,Classical,Class6
George Frideric Handel,"Suite in D Minor, HWV 447: Allemande",3TdxXMf1fNPouKUNeLjkCQ,212960,36,0.995,0.499,149677,0.051,0.916,D,0.0949,-32.684,Minor,0.0509,73.782,04-Apr,0.56,Classical,Class7
Robert Schumann,"Symphony No. 2 in C Major, Op. 61: I. Sostenuto assai (Live)",4MhDgRe3bs8uELJsuX2TX8,156904,6,0.928,0.209,721853,0.148,0.775,C,0.0733,-19.197,Major,0.0395,143.654,03-Apr,0.0899,Classical,Class6
John Adams,Century Rolls: II. Manny's Gym,4PgtB6Sul8WDTRZCe5e8St,154276,32,0.898,0.134,247731,0.0386,0.882,E,0.114,-34.923,Minor,0.0402,64.144,03-Apr,0.0786,Classical,Class1
Frederick Delius,"Two Aquarelles (1987 Remaster): II. Gaily, but not quick",5ka2ajep9OAvU5Sgduhiex,113950,37,0.978,0.194,124027,0.132,0.9,D,0.0993,-20.037,Major,0.0362,77.6,04-Apr,0.0639,Classical,Class1
Johannes Brahms,"Brahms: Seven Fantasies, Op. 116; No. 2: Intermezzo in A minor",5lI7gZ9nRUGyDD9LJhnOtc,65523,32,0.992,0.395,215067,0.00866,0.936,A,0.0908,-31.289,Minor,0.0538,136.976,01-Apr,0.115,Classical,Class1
Wolfgang Amadeus Mozart,"Die Zauberflöte, KV620 / Act 2: Der Hölle Rache kocht in meinem Herzen",6TirNklsMyUxc7tucOVJSc,23570,28,0.973,0.494,185307,0.207,0.264,F,0.0794,-14.091,Major,0.0807,145.3,04-Apr,0.323,Classical,Class7
empty_field,"Adagio & Rondo in C Minor, K. 617: Adagio - Allegretto",3seqZSBT8ZMijMY9sZd26M,89015,36.6131,0.988,0.239,428952,0.0507,0.951,C,0.102,-25.351,Minor,0.0526,71.638,04-Apr,0.141,Classical,Class1
John Cage,Dream,67e7sjTnaFwo3C4HKZveNd,171590,35,0.993,0.266,508707,0.00154,0.862,C,0.071,-44.135,Minor,0.0498,78.3713,05-Apr,0.0922,Classical,Class1
Frédéric Chopin,"Études, Op. 25: No. 1 in A-Flat Major",0c25MThCkA3eGk78oi3vhe,136171,30,0.99,0.278,174267,0.0269,0.917,G#,0.0705,-28.283,Major,0.0388,70.018,03-Apr,0.0343,Classical,Class1
Giuseppe Verdi,"Macbeth, Act II: Studia il passo, o mio figlio (Live)",1sPZt3bydlvvvbnJCWMxRg,53226,36.4435,0.962,0.205,290533,0.132,0.0162,E,0.676,-20.979,Minor,0.0483,80.574,04-Apr,0.174,Classical,Class2
George Frideric Handel,Concerto grosso Op. 3 No. 6 in D major / D minor: Concerto grosso Op. 3 No. 6 in D major / D minor: I,3Ro1Hj1Kdv6fjX7bfTS4eH,98444,32,0.958,0.523,173640,0.235,0.911,C#,0.149,-17.206,Major,0.0342,108.828,04-Apr,0.723,Classical,Class7
Aaron Copland,Billy the Kid: VIa. Celebration,5j0McHPthKpOXRr3fBq8M0,211264,31.0279,0.738,0.486,180480,0.276,0.742,G#,0.151,-16.882,Major,0.0553,83.663,04-Apr,0.227,Classical,Class7
Franz Schubert,"Die Forelle, Op. 32, D. 550",5zH710lFSLtkHbMkslLDjR,216396,23,0.985,0.367,122000,0.0902,0.00395,B,0.0821,-21.136,Major,0.0557,176.348,04-Apr,0.565,Classical,Class7
Rhapsody Of Fire,March Against the Tyrant,2GATPLRMzHNwUmkxGgCoEP,176280,47,0.00438,0.434,562693,0.884,0.000676,G,0.27,-6.342,Major,0.0687,134.557,04-Apr,0.216,Classical,Class4
Ludwig van Beethoven,"チェロ・ソナタ 第 1番 ヘ長調, 作品 5-1: 2. Allegro vivace",6SkoBaMd0lzoQjID5aV2d9,188287,30,0.983,0.38,416173,0.197,0.916,F,0.096,-22.179,Major,0.0374,141.291,03-Apr,0.314,Classical,Class7
Wolfgang Amadeus Mozart,"Die Zauberflöte, K. 620, Act I: Overture (Live)",5tE2kEW1Jom3Qc93UPBT79,45447,30.9605,0.899,0.293,369482,0.143,0.646,A#,0.218,-20.706,Major,0.0441,84.134,04-Apr,0.224,Classical,Class6
empty_field,"Piano Trio No. 7 in B-Flat Major, Op. 97 ""Archduke"": III. Andante cantabile ma pero con moto",3t3CpReqAorp7aHnmQlKRl,73390,28.5632,0.98,0.154,844893,0.0468,0.427,D,0.139,-27.463,Major,0.0424,85.241,04-Apr,0.0783,Classical,Class6
Jóhann Jóhannsson,A Sparrow Alighted Upon Our Shoulder,2CvcVMkyBhXHD9d0QIpw4X,120731,45,0.938,0.187,147093,0.109,0.867,F#,0.124,-21.143,Minor,0.048,139.128,05-Apr,0.0501,Classical,Class1
Colin Matthews,"Preludes arranged for Orchestra, Book II L. 123: No. 11 Les tierces alternées (Arr. Colin Matthews)",4eJrG6NadU3D1lNjRyrWAE,42038,31,0.975,0.207,198120,0.0531,0.941,F,0.293,-33.367,Major,0.04,103.031,04-Apr,0.0775,Classical,Class1
Jóhann Jóhannsson,Soccer Game,51HZV2Mlzp6kVd9cJKvZI6,45211,31,0.266,0.112,260853,0.208,0.919,E,0.0765,-19.128,Minor,0.0378,89.694,04-Apr,0.0392,Classical,Class1
Claude Debussy,"Préludes, Book 1, L. 117: No. 10, La cathédrale engloutie",2anlBk9t97DA1ocXhTLmce,109370,32.4924,0.982,0.342,367267,0.0124,0.893,D,0.0541,-17.544,Minor,0.0509,72.924,04-Apr,0.0488,Classical,Class1
Wolfgang Amadeus Mozart,"String Quartet No. 23 in F Major, K. 590 ""Prussian No. 3"": III. Minuetto. Allegretto",7iNxiDewq2psrTgoBmWFmS,129449,47,0.926,0.44,246120,0.119,0.367,F,0.181,-15.344,Major,0.0456,147.308,03-Apr,0.567,Classical,Class7
Wolfgang Amadeus Mozart,"Cassation in B-Flat Major, K. 99: VII. Allegro - Marcia da capo",3HiG9NwmfBVTOVIcuARUq0,161625,10,0.934,0.31,349533,0.127,0.387,A#,0.109,-23.284,Major,0.0498,135.423,04-Apr,0.298,Classical,Class3
empty_field,String Quartet No.2 in D: 3. Notturno,1DOK4imxjjUaPWxUQUqHL1,96146,42,0.916,0.169,491706,0.0913,0.454,A,0.174,-22.681,Major,0.0499,86.565,04-Apr,0.124,Classical,Class6
empty_field,"Flute Sonata in D Minor, TWV 42:d10: I. Allegro",4gv9eyEf7cXViNTBXS2g5C,197165,7,0.872,0.416,156000,0.477,0.00259,C#,0.117,-15.716,Minor,0.0377,113.891,04-Apr,0.897,Classical,Class7
Blues Saraceno,Heroes Dress in Black,40CqhkH6VMC8qOxjEdrPTX,182928,40,0.000341,0.529,238293,0.825,0.000889,C#,0.121,-8.233,Minor,0.0433,142.964,04-Apr,0.434,Classical,Class4
Arthur Rubinstein,Mazurka Op. 67 No. 2 For Piano,1wNILW0TFHykGcQ5JHTD6U,112028,29,0.994,0.402,84573,0.186,0.952,A#,0.147,-16.62,Major,0.0414,51.157,04-Apr,0.255,Classical,Class1
Peter Wiegold,Rambling Boys,6xwak2gJxMwbLBEJVier7X,161672,29,0.968,0.29,425056,0.128,0.0371,E,0.0981,-12.92,Minor,0.0334,90.728,04-Apr,0.182,Classical,Class3
Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op.71 : No.14 Pas de deux: Intrada - Variation I/II - Coda",7zGu2TyT6Qqromnx7zbYdd,185608,30,0.939,0.146,552813,0.127,0.853,E,0.0775,-19.291,Minor,0.0405,74.023,04-Apr,0.0906,Classical,Class6
Ludwig van Beethoven,"Piano Concerto No. 1 in C Major, Op. 15: I. Allegro con brio",3Yh0UKUflS0LTuJjUJgKNI,64270,22,0.985,0.354,829800,0.0787,0.878,C,0.0656,-21.065,Major,0.0357,78.65,04-Apr,0.221,Classical,Class6
Frédéric Chopin,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,22PaknY5TtehuwrQPSnDnz,188018,66,0.99,0.387,268427,0.0451,0.913,D#,0.112,-24.698,Major,0.0364,61.494,04-Apr,0.071,Classical,Class1
Ludwig van Beethoven,"Piano Sonata No. 2 In A Major, Op. 2, No. 2: 2. Largo appassionato",7wA4XiTQOWByeF6DGWoxkt,121154,28,0.995,0.41,400198,0.0038,0.914,D,0.0879,-34.841,Major,0.0466,73.883,04-Apr,0.331,Classical,Class1
Michael Haydn,"Divertimento in D Major, MH 68: IX. Finale: Presto",6FGzixx1Nv4diuwDMYPWRe,120214,31,0.986,0.433,233871,0.202,0.822,D,0.0978,-15.631,Major,0.0384,118.265,03-Apr,0.556,Classical,Class7
empty_field,"Symphony No. 9 in D Minor, Op. 125 - ""Choral"": 4g. Allegro ma non tanto - Live",54MfpKIghljr13BWsJcBlf,153656,31,0.99,0.224,148720,0.27,0.00469,D,0.301,-15.215,Major,0.0439,90.6571,01-Apr,0.176,Classical,Class3
empty_field,"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009: Prélude",51cd3bzVmLAjlnsSZn4ecW,62814,34,0.983,0.344,198853,0.172,0.828,B,0.16,-21.778,Minor,0.0459,96.526,04-Apr,0.315,Classical,Class7
Michael Haydn,Concertino in D Major: I. Larghetto,1ksayCHVLH4eKFm43GFokU,97502,30,0.974,0.268,415326,0.0445,0.709,D,0.103,-22.186,Major,0.0403,128.238,04-Apr,0.133,Classical,Class6
Ludwig van Beethoven,"Symphony No. 6 in F Major, Op. 68, ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo",1c5aSqdUt4RWNssSQsLqTV,127754,41,0.961,0.361,639973,0.06,0.677,C,0.0873,-19.814,Major,0.0383,124.598,04-Apr,0.203,Classical,Class6
Paul Mealor,Now Sleeps The Crimson Petal (Four Madrigals On Rose Texts): Now Sleeps The Crimson Petal,1N59F6CT2jcTD3rVG18m1l,41488,36,0.986,0.0867,197400,0.02,0.388,F#,0.0828,-30.572,Major,0.0397,73.5946,01-Apr,0.0335,Classical,Class1
