artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Giuseppe Verdi,"Verdi: Il trovatore, Act 1 Scene 2: ""Tacea la notte placida"" (Leonora, Ines)",3X414ZlCf5U7pcpIaIcUkT,opera5,135957,7,0.983,0.198,203933,0.0482,0.00195,D#,0.0752,-19.738,Major,0.0458,166.347,03-Apr,0.0484,Opera
empty_field,Petite Symphonie: I. Adagio - Allegretto,0LE0OnLC3t9YlyzHoFmKqu,opera3,162445,7,0.995,0.331,135840,0.0599,0.897,F,0.13,-25.261,Major,0.036,132.351,04-Apr,0.19,Opera
Engelbert Humperdinck,"Hänsel und Gretel, EHWV 93.3, Act I: Vorspiel (Live)",6zeDYmP3ARpURvpK29Q09P,opera3,104518,9,0.933,0.101,491213,0.0546,0.903,C,0.0939,-25.857,Major,0.0353,83.896,03-Apr,0.0439,Opera
empty_field,"Die Walküre, WWV 86B, Act III (Highlights): Zu uns floh die Verfolgte",7GKABAst46Jhl8nWyYaDTt,opera7,111185,20,0.922,0.308,75053,0.405,1.09e-05,A,0.107,-15.24,Minor,0.0557,99.794,03-Apr,0.0711,Opera
Johann Adolf Hasse,Toccata & Fugue in G Minor: I. Toccata,5ztPU1zgUniWfJ7Uhhcym5,opera8,186754,13.3853,0.962,0.257,205687,0.434,0.778,F#,0.0668,-12.8,Minor,0.0345,118.008,04-Apr,0.542,Opera
Karina Gauvin,Menuet BWV Anh 121 (J.S. Bach),1olRCCqs3T72iRbCFCmRov,opera8,154234,10,0.863,0.397,74240,0.049,0.00253,B,0.058,-37.31,Minor,0.045,132.873,03-Apr,0.717,Opera
empty_field,"Norma / Act 1: Eccola! va, mi lascia, ragion non odo",0fZdccDUvNmR2GCUuVvR26,opera8,168365,10,0.974,0.483,84800,0.137,0.0195263,F,0.291,-19.313,Major,0.109,131.818,04-Apr,0.338,Opera
Dame Joan Sutherland,Handel: Rodelinda: Mio caro bene,5lGTCv4PiLcEdyesQqcvkY,opera4,26871,11,0.97,0.442,277573,0.256,0.00422,G,0.69,-13.017,Major,0.0507,109.089,04-Apr,0.417,Opera
Florilegium,In Hac Mensa Novi Regis,4ZXfOf3algtK5VfCzcyvSi,opera5,140643,12,0.987,0.277,440760,0.0878,0.00102,F#,0.0945,-20.41,Major,0.0677,169.744,03-Apr,0.282,Opera
Georges Bizet,"Carmen, WD 31 / Act 1: Entr'acte",6OtjKr7zn85Krff67wJuxJ,opera8,29104,8,0.96,0.602,108617,0.0252,0.478,G,0.0624,-32.587,Major,0.0506,110.408,04-Apr,0.397,Opera
Gioachino Rossini,"William Tell - Edition by: Fondazione Rossini, in coop. with G. Ricordi & Cie/ Ed. by M.E.C. Bartlet/Reconstr. of the Italian: P. Cattelan: Overture - Finale",6X6qsmKcsMk2VAMT2BS5Yy,opera8,41207,3,0.938,0.291,193133,0.471,0.903,E,0.158,-12.961,Major,0.0361,165.584,04-Apr,0.608,Opera
Vincenzo Righini,Oboe Concerto in C Major: Idomeneus Concerto,4jD8NK5zYi5ejf3krMkYfP,opera3,27593,10,0.971,0.309,228867,0.0148,0.843,C,0.123,-28.669,Major,0.0475,139.809,04-Apr,0.475,Opera
empty_field,"Rinaldo, HWV 7a, Act II (Ed. G. Sechi): Già sento che al core [Live]",6LQcvI4mUM0o3exRVzVKAh,opera8,97300,6,0.984,0.397,209749,0.0707,0.0811625,E,0.146,-16.906,Major,0.112,80.365,04-Apr,0.317,Opera
Giuseppe Verdi,La traviata: Act II: Noi siamo zingarelle,1diH47vlrWIEwlpS0pXXkE,opera8,195107,8,0.956,0.446,164867,0.0719,0.773189,E,0.423,-26.679,Major,0.0482,63.368,04-Apr,0.451,Opera
Gaetano Donizetti,"Don Pasquale / Act 1: ""Quel guardo il cavaliere""",6cbVp9abjjESjHgqjM1bWm,opera2,30656,7,0.972,0.385,344493,0.0917,0.00165,A#,0.106,-20.037,Major,0.064,91.003,04-Apr,0.0648,Opera
empty_field,"Les pêcheurs de perles, WD 13, Act I: Au fond du temple saint",0WNGPpmWqzPnk0psUhJ3SX,opera2,100402,17,0.964,0.203,447106,0.13,8.29e-05,A#,0.0972,-24.549,Major,0.0565,65.826,04-Apr,0.124,Opera
"Orchestra Del Teatro Alla Scala, Milano","Tosca (2002 Digital Remaster), Act III: Senti, l'ora è vicina (Tosca)",2W4yTO3qHdqyvbz2UxfIPh,opera5,91112,15,0.985,0.432,90533,0.0597,0.10708,E,0.168,-19.897,Major,0.0521,120.64,05-Apr,0.163,Opera
Georges Bizet,Carmen Suite No. 2 (Arr. E. Guiraud): V. La garde montante,1T3tP6HvCgDF8ewpRqwM1e,opera8,59105,12,0.886,0.634,219613,0.0677,0.71,D,0.122,-29.199,Minor,0.0454,121.113,04-Apr,0.154,Opera
Léo Delibes,"Lakmé / Act 1: Viens, Mallika, ... Dôme épais (Flower Duet)",4j8SIEQwxT7I4o6quMIpaa,opera4,63035,35,0.973,0.227,403333,0.152,0.000117,B,0.899,-20.499,Major,0.0699,85.377,04-Apr,0.0395,Opera
Barbara Hendricks,"Take My Hand, Precious Lord",5w4MaPqhmDxhk7B2jygb16,opera2,168325,5,0.983,0.22,196947,0.163,0.0163,A,0.0948,-16.345,Major,0.0415,81.498,03-Apr,0.0682,Opera
Giacomo Puccini,"Manon Lescaut : ""Ah! Non v'avvicinate!...No! no! Pazzo son!""",4T9Jpft8jvZAP57aE3VdCt,opera7,21511,12,0.954,0.294,220748,0.313,0.00179,E,0.146,-14.066,Minor,0.0406,90.478,03-Apr,0.304,Opera
empty_field,"The Barber of Seville, Act I Scene 2: Ah, disgraziato Figaro! (Bartolo, Rosina, Berta, Ambrogio)",3jjQHULAVn71k40mKwGMiV,opera6,117770,12,0.939,0.562,109040,0.189,0.0825636,F,0.14,-25.027,Major,0.537,112.365,04-Apr,0.237,Opera
Alfredo Kraus,"Sadko: ""Canto Indio"" (De ""El Vagabundo y la Estrella"")",3odqT6FRAUAFCeOmNFmLrb,opera5,191592,7,0.994,0.224,279842,0.12,0.00034,G,0.0838,-14.164,Major,0.0411,169.164,01-Apr,0.111,Opera
empty_field,"Norma - Critical Edition by Maurizio Biondi and Riccardo Minasi / Act 2 Scene 1: Scena – Introduzione - ""Dormono entrambi""",5HLjMiuz6uh1M2OKDVyCMg,opera2,81622,2,0.976,0.222,520227,0.0386,0.0178,D,0.122,-22.229,Major,0.0455,77.5954,04-Apr,0.0349,Opera
Gustave Charpentier,"Charpentier: Louise, Act 3: ""Depuis le jour où je me suis donnée"" ( Louise)",3cRZD2Kih52tEI1YuFPgKv,opera2,100103,9,0.971,0.232,287200,0.14,0.00446,G,0.109,-15.093,Major,0.0408,86.985,04-Apr,0.0373,Opera
Giacomo Puccini,"Madama Butterfly, Atto I: ""Viene la sera""",3ZOXXyAjMXvOvjUaMqtShT,opera2,80750,21,0.971,0.16,864520,0.181,0.00113,A,0.0975,-16.8,Major,0.0485,77.164,03-Apr,0.0368,Opera
Gioachino Rossini,"The Barber of Seville, Act I Scene 1: Gente indiscreta! (Count, Fiorello, Figaro)",1AnNNZspExK2PwVFbhw7G1,opera6,156956,14,0.967,0.538,102611,0.163,0.0580663,D#,0.802,-27.655,Major,0.297,99.865,04-Apr,0.429,Opera
empty_field,"Lakmé : ""Sous le dôme épais"" (Flower Duet)",1C2QJNTmsTxCDBuIgai8QV,opera3,36101,25,0.975,0.179,296373,0.159,0.847,B,0.11,-17.773,Major,0.0395,73.942,03-Apr,0.0398,Opera
Giuseppe Verdi,"""Ciel! mio padre!""",2TICVNw8Uo3UxEJzGftIhk,opera7,183808,16,0.976,0.333,469491,0.264,0.00282,C#,0.0918,-14.224,Major,0.0631,98.1455,03-Apr,0.0669,Opera
Richard Wagner,Wagner : Die Walküre : Act 3 The Ride of the Valkyries,6FSIS98qmaxHKSIxdB679L,opera7,72186,12,0.916,0.401,279842,0.475,0.936,G,0.379,-11.563,Major,0.041,116.636,03-Apr,0.155,Opera
Giacomo Puccini,"Tosca, S. 69, Act I: Dammi i colori...Recondita armonia",5STjChsirox5CTMvvxNMlO,opera7,37156,16,0.967,0.164,226467,0.166,0.00417,F,0.328,-17.157,Major,0.0446,74.403,03-Apr,0.11,Opera
Riccardo Muti,"Symphony No. 3 in A minor, 'Scottish' Op. 56 (1998 Digital Remaster): II. Vivace non troppo",0hOOo6B7LuJ8sjAMjgmuMU,opera8,138528,10,0.97,0.294,201359,0.235,0.875,F,0.26,-17.242,Major,0.0419,125.825,04-Apr,0.365,Opera
empty_field,"Die Lustige Witwe (complete), ACT 2: Heia, Mädel, aufgeschaut...Dummer, dummer Reitersmann (Hanna, Danilo)",7ImkjvM1OKWhJ5HIPOHcHE,opera8,193304,3,0.933,0.424,196267,0.097,1.24e-05,E,0.17,-22.966,Major,0.0938,85.358,04-Apr,0.497,Opera
empty_field,"Falstaff, Act II Scene 2: ""C'e. C'e""",1L4NadMj3Jj7YgGaikyhfr,opera4,81640,7,0.874,0.441,120701,0.0731,0.314232,A,0.475,-28.112,Major,0.118,94.407,01-Apr,0.253,Opera
Léo Delibes,"Delibes: Lakmé, Act 1 Scene 4: No. 2, Duetto, ""Viens, Mallika, les lianes en fleurs … Dôme épais, le jasmin"" (Lakmé, Mallika)",5JtOjk5smrCjVoSnBOCdp3,opera2,23390,13,0.964,0.209,356200,0.0701,0.313,B,0.102,-23.859,Major,0.0494,86.667,04-Apr,0.0366,Opera
empty_field,"Wagner: Turandot, SC 91: Act I: Signore, ascolta!",6vnJBhQHIG3kV45YCAwLAK,opera4,78291,12,0.99,0.281,179973,0.421,0.00811,F#,0.686,-16.089,Major,0.18,85.3689,04-Apr,0.175,Opera
Tomaso Albinoni,"12 Trio Sonatas, Op. 1, Sonata VII in G Major, Talm I, 7: II. Allegro",1SphwtRn4YYVffKnTWaugH,opera8,67790,9,0.92,0.484,96280,0.261,0.0788,G,0.199,-15.597,Major,0.0407,121.474,04-Apr,0.701,Opera
Plácido Domingo,"Hosanna - From ""Requiem""",3Z2UkH6vhqA3T3jDNRem0l,opera1,87471,16,0.706,0.266,221907,0.39,3.45e-05,F#,0.367,-9.529,Major,0.0445,149.029,04-Apr,0.113,Opera
Giacomo Puccini,Madama Butterfly / Act 2: Ora a noi. Sedete qui.,0K5I2KFWXUIrcy4G95fxRc,opera5,36785,12,0.967,0.223,174475,0.0232,1.19e-05,A#,0.219,-30.197,Major,0.0589,168.466,03-Apr,0.0445,Opera
Giacomo Puccini,In un coupé?....Con pariglia e livree (Marcello/Rodolfo) - 1997 Remastered Version,6TSprP0kW10OcOogX4Ex1Z,opera8,110644,17,0.979,0.576,76800,0.175,0.00157,G,0.345,-16.432,Minor,0.0775,108.781,04-Apr,0.652,Opera
Gioachino Rossini,"The Barber of Seville: ""Largo al factotum"" - Instrumental",1OYjATyA5kqLK3CfYfvg3y,opera8,187624,6,0.971,0.353,290067,0.494,0.912,C,0.293,-11.324,Major,0.0409,134.678,03-Apr,0.354,Opera
Robert Stolz,Two Hearts In Three-Quarter Time,49jxn2Mdde8QZUx0AlbD0l,opera5,215874,6,0.958,0.252,177067,0.155,0.772,G,0.106,-15.221,Major,0.0401,135.492,04-Apr,0.0726,Opera
empty_field,Trio Sonata In D Minor RV 63,5x8bbYnic7BuFfgaiVNHfW,opera1,154975,33,0.595,0.302,550400,0.133,0.0421,C#,0.106,-20.93,Minor,0.0426,150.896,03-Apr,0.207,Opera
Gioachino Rossini,Guillaume Tell (William Tell): Overture (arr. F. Wrede for 2 pianos 8 hands): Allegro vivace,2u6yq03ibYtomWxiIIvIA5,opera8,47068,11,0.984,0.432,214333,0.164,0.9,E,0.0966,-22.344,Major,0.0389,147.442,04-Apr,0.546,Opera
Gaetano Donizetti,"La Favorita: ""Una vergine""",5Afy3y3HgzeKnviIcWzEbZ,opera5,74227,8,0.991,0.196,144227,0.0923,0.00233,A,0.127,-15.274,Major,0.0391,167.394,05-Apr,0.0772,Opera
Richard Wagner,"Die Walküre / Erster Aufzug: ""Ein Schwert verhieß mir der Vater""",4oRw9shF2Nj1vHndtuEcvj,opera5,33884,5,0.955,0.202,331784,0.136,0.303,C,0.0972,-19.824,Major,0.0423,169.835,04-Apr,0.0444,Opera
Giuseppe Verdi,"Overture to ""La forza del destino""",3Ys7dWbSN5UXzhl9d24VL6,opera3,36255,9,0.936,0.198,461600,0.0885,0.724,E,0.11,-19.446,Minor,0.0406,75.07,04-Apr,0.0704,Opera
Richard Wagner,"Tannhäuser - Paris version / Act 1: ""Naht euch dem Strande"" (Venusberg Music)",5mcRpSdxgM0bTup7uRqI3Y,opera3,72409,11,0.938,0.0708,464746,0.145,0.886,C#,0.268,-18.021,Minor,0.042,72.737,04-Apr,0.0316,Opera
Georges Bizet,Bizet: Carmen: Carmen! Sur tes pas nous nous pressons tous! - Act One,3zPfxkz3ZGHNHQcfefg6e4,opera7,204850,23,0.98,0.236,279842,0.24,0.233,A,0.375,-20.461,Minor,0.0516,100.364,05-Apr,0.078,Opera
Gioachino Rossini,Rossini: Guillaume Tell: Overture,60nVtAzsr4sWd7fuLMzo4b,opera5,32141,16,0.911,0.244,211402,0.136,0.255,G,0.13,-19.869,Major,0.0633,164.071,04-Apr,0.228,Opera
empty_field,"Falstaff, Act I Scene 2: ""Pst, pst, Nannetta""",1shulSNYJKAmUft9azXNJW,opera5,106876,11,0.954,0.418,193187,0.0515,1.47e-05,G#,0.517,-25.556,Minor,0.0513,132.917,04-Apr,0.188,Opera
Richard Wagner,"Das Rheingold - Vorabend des Bühnenfestspiels ""Der Ring des Nibelungen"" / Dritte Szene: ""Hehe! hehe! hieher! hieher! Tückischer Zwerg!""",2jU1iCodmfJGguiM5oUiBG,opera2,189354,3,0.944,0.42,172867,0.142,1.92e-06,F#,0.175,-22.44,Major,0.0941,81.7938,05-Apr,0.22,Opera
Richard Wagner,"Götterdämmerung, Vorspiel/Prologue: Vorspiel (Orchester)",4Bog73bcyElF5K36hpo1P2,opera3,179655,9,0.968,0.189,114427,0.00271,0.949,C#,0.0813,-28.493,Minor,0.0409,69.793,03-Apr,0.0321,Opera
Adolphe Adam,Giselle / Act 1: No.7a Variation de Giselle,4UPR9dSw2YcvJQAGJKPwCk,opera3,50336,22,0.96,0.287,128639,0.0371,0.898,E,0.332,-28.351,Major,0.0485,107.556,03-Apr,0.0754,Opera
Richard Wagner,"Die Walkure, Act III Scene 3: Feuerzauber",0AQquaENerGps8BQmbPw14,opera3,161187,14,0.985,0.173,273049,0.0542,0.909,A,0.141,-23.84,Major,0.0352,77.525,04-Apr,0.0376,Opera
Georges Bizet,"Bizet: Carmen, WD 31: Overture",3FygJnwLJbaU5xe4E87h8e,opera1,170313,10,0.668,0.35,128867,0.267,0.241,E,0.371,-20.239,Minor,0.0487,131.193,04-Apr,0.591,Opera
empty_field,"Tristan und Isolde / Act 1: ""Westwärts schweift der Blick""",4C80ymqeLTdTUPIECwBVZT,opera7,22892,13,0.928,0.232,326160,0.198,1.81e-06,C#,0.351,-16.566,Major,0.0777,70.129,05-Apr,0.0651,Opera
Giacomo Puccini,Suor Angelica: Laudata Maria! E sempre sia!,69gubiWawGe46tKg6DpIyG,opera2,43030,8,0.95,0.278,224467,0.136,0.00268,A#,0.282,-21.502,Major,0.0642,81.364,05-Apr,0.0854,Opera
Richard Wagner,"Wagner : Götterdämmerung : Act 3 ""Zurück vom Ring!"" [Hagen]",24htghNv3AoeeC2oVoTknC,opera1,54481,5,0.805,0.149,202427,0.33,0.869,C#,0.279,-16.272,Major,0.0384,136.876,05-Apr,0.0474,Opera
Engelbert Humperdinck,Hansel und Gretel (Sung in English): Overture,0WyKjxptG1bOK8FCNfWCZ2,opera3,198596,9,0.975,0.095,460240,0.074,0.865,C,0.096,-22.301,Major,0.0396,73.495,04-Apr,0.0382,Opera
Gaetano Donizetti,"Lucrezia Borgia, Prologue: Com'e bello! Quale incanto",063P9fza0DJ5V4odLnVUcv,opera7,153101,19,0.987,0.317,545840,0.262,0.00426,A#,0.121,-9.225,Major,0.0429,106.385,04-Apr,0.0527,Opera
Luciano Pavarotti,"Così fan tutte ossia La scuola degli amanti, K.588 / Act 1: ""Un'aura amorosa""",7l3fV3C32Gev2fd5f0D1oI,opera7,89756,3,0.983,0.252,233532,0.378,0.001,A,0.0775,-12.853,Major,0.0418,101.877,04-Apr,0.183,Opera
Giacomo Puccini,"Manon Lescaut / Act 3: ""All'armi! All'armi!""",7uH02vUXGDVvV7rqNXVFBV,opera8,43809,5,0.89,0.35,143868,0.385,0.323,G,0.323,-13.141,Major,0.0775,140.819,05-Apr,0.241,Opera
Gaetano Donizetti,"Don Pasquale, Act I Seconda Scena: Bella siccome un angelo (Malatesta/Pasquale)",0R7KP4GlUebdefGw2Sw9eh,opera4,135987,9,0.976,0.326,195493,0.154,0.00496,C#,0.61,-23.147,Major,0.0535,126.437,04-Apr,0.231,Opera
Adolphe Adam,Giselle / Act 1: Introduction,44FZFa3s3rqHH6LgCuG32Z,opera3,36322,18,0.877,0.163,143707,0.00693,0.927,D,0.211,-23.645,Major,0.0396,72.829,04-Apr,0.0798,Opera
