Selected,artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,Tiësto,Carry You Home (feat. StarGate & Aloe Blacc),2KufM8PiQY4i52XhRL96Fd,Pop_Cluster2,58825,67.000,0.0308,0.518,192731.000,0.724,0.0128629,G#,0.116,-6.327,Major,0.0839,121.884,04/4,0.334,Pop
No,empty_field,Pump It,0eBsXzjKNBcAGbos3r73Xv,Pop_Cluster3,91871,68.000,0.0109,0.646,296358.000,0.923,0.419371,A,0.746,-3.108,Major,0.169,153.659,04/4,0.74,Pop
No,empty_field,P.Y.T. (Pretty Young Thing),2ZpHnMgKEdeM3OVLgRDCwT,Pop_Cluster6,114190,72.000,0.23,0.888,223346.000,0.815,0.000424,B,0.127,-4.909,Minor,0.0404,127.273,04/4,0.961,Pop
No,Beach House,Lemon Glow,0jG92AlXau21qgCQRxGLic,Pop_Cluster4,79912,59.000,0.447,0.466,236908.000,0.83,0.972,C,0.232,-7.504,Major,0.0296,148.467,04/4,0.51,Pop
No,Zion & Lennox,La Player (Bandolera),731Pa6Gt7GAdADATMSEL0N,Pop_Cluster6,125494,83.000,0.16,0.769,249609.000,0.838,0.00788375,D,0.0935,-5.238,Major,0.0633,93.996,04/4,0.602,Pop
No,blackbear,playboy shit (feat. lil aaron),4D2TZDz36KBqD5FeC5c8wT,Pop_Cluster6,123250,65.000,0.0847,0.656,204472.000,0.741,0.0113178,B,0.111,-4.998,Minor,0.18,154.933,04/4,0.882,Pop
No,Offset,Wild Wild West (feat. Gunna),2uLx3Gka9TGCz9Zgu7Uwav,Pop_Cluster6,107440,77.000,0.0841,0.902,223346.000,0.621,0.0120173,A,0.138,-5.315,Major,0.199,114.007,04/4,0.497,Pop
No,Sam Hunt,Come Over - Acoustic Mixtape,08GbwiHXQ7BrJl9Oe5m8uY,Pop_Cluster7,208139,57.000,0.809,0.36,241867.000,0.442,0.0520821,D,0.0864,-7.882,Major,0.0288,83.958,04/4,0.23,Pop
No,Avicii,You Make Me,7F0dwqgKzlaIRrngChBRAc,Pop_Cluster2,145193,70.000,0.00219,0.582,233347.000,0.738,0.0083,F#,0.149,-4.82,Major,0.0408,125.008,04/4,0.525,Pop
No,empty_field,Body Party,1wXWuZgVO52kWbiQNTaBb1,Pop_Cluster3,130178,66.000,0.0143,0.577,234040.000,0.576,0.00515753,D,0.602,-6.299,Major,0.0563,133.973,04/4,0.12,Pop
No,blackbear,Girls Like U,3lwt8x1q1Yij4Y2gpiXOqD,Pop_Cluster5,112715,60.000,0.31,0.758,189494.000,0.427,0.0120993,A#,0.115,-9.835,Minor,0.113,139.911,04/4,0.489,Pop
No,Alesso,PROGRESSO,1vzWvhVHEO4qqkYxBxfJbe,Pop_Cluster2,202197,47.000,0.000375,0.666,299520.000,0.942,0.133,A#,0.105,-3.017,Minor,0.031,125.011,04/4,0.0796,Pop
No,Don Henley,The Boys Of Summer,7B3reKSxaoE1fP4TTfYrhg,Pop_Cluster7,44708,75.000,0.546,0.522,288733.000,0.559,0.00565,F#,0.188,-13.641,Major,0.0387,176.894,04/4,0.908,Pop
No,Avicii,Waiting For Love,6WiFofaC8EdLpYMJvYl5U9,Pop_Cluster6,83124,80.000,0.31,0.579,230613.000,0.736,0.0106211,F#,0.198,-3.863,Minor,0.0527,118.673,04/4,0.613,Pop
No,empty_field,House of Wolves,5vqFmPlAxz9cBwtcqgyoem,Pop_Cluster2,216836,61.000,0.000347,0.445,184000.000,0.977,0.0235,C,0.126,-2.674,Major,0.0995,105.825,04/4,0.239,Pop
No,Halsey,Now Or Never - R3hab Remix,6kBWtOJPBW8It5WX6NHZhM,Pop_Cluster5,175171,58.000,0.00517,0.628,208260.000,0.712,1.57e-06,A,0.177,-4.742,Major,0.044,104.978,04/4,0.264,Pop
No,Avicii,The Nights,6APTEV2EIRpBEvuTrS5XTv,Pop_Cluster6,29652,80.000,0.0166,0.527,176658.000,0.835,0.0140721,F#,0.249,-5.298,Major,0.0433,125.983,04/4,0.654,Pop
No,empty_field,I Love You,2wS1PObRyCywHdmog5eOWW,Pop_Cluster7,142366,67.000,0.658,0.525,229640.000,0.439,0.0106211,C,0.0636,-6.596,Major,0.0259,84.956,04/4,0.238,Pop
No,Zedd,365,03v70ZBxmcPX3RWAZMzqaW,Pop_Cluster6,176764,88.000,0.339,0.745,181900.000,0.693,0.00714132,D,0.123,-5.479,Minor,0.034,98.039,04/4,0.248,Pop
No,R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),0oF3DPMcjAw9P4vlyp0reZ,Pop_Cluster2,172705,66.000,0.026,0.383,246933.000,0.893,0.000131277,G,0.0251,-8.638,Major,0.037,205.544,04/4,0.803,Pop
No,empty_field,Broken-Hearted Girl,4971i3mX1RV6uP0iLhotBT,Pop_Cluster7,103467,63.000,0.503,0.336,210804.000,0.424,0.0165465,F,0.273,-7.203,Major,0.0353,82.149,04/4,0.159,Pop
No,Blondie,One Way Or Another,71OLqupTYTlJTuNGmUitIJ,Pop_Cluster2,176393,57.000,0.0649,0.449,202049.000,0.92,7.44e-06,D,0.0785,-5.008,Major,0.0634,104.951,04/4,0.85,Pop
No,empty_field,I Don't Fuck With You,0DcBU93zLXGRdPPbUnP1iS,Pop_Cluster3,196266,76.000,0.0372,0.822,284387.000,0.734,0.00788375,C#,0.325,-5.48,Major,0.0738,97.998,04/4,0.425,Pop
No,Russ,Me You,57fci3Tq1GRzXNaSwelQKp,Pop_Cluster5,171933,70.000,0.00196,0.702,234913.000,0.762,0.000451,G#,0.142,-2.733,Major,0.0328,95.019,04/4,0.233,Pop
No,Ross Lynch,"Cruisin' for a Bruisin' - From ""Teen Beach Movie""",5gzPsDe9PFWlWucRPOJzeD,Pop_Cluster2,20188,61.000,0.0263,0.585,195733.000,0.911,0.000147762,B,0.112,-4.623,Major,0.119,163.933,04/4,0.781,Pop
No,empty_field,Collide,36YNa8joLwu9yor2TkZbIY,Pop_Cluster2,135758,62.000,0.0688,0.572,205787.000,0.689,8.64e-05,F#,0.0718,-3.971,Minor,0.0824,131.799,04/4,0.399,Pop
No,LOOΠΔ,Hi High,6SC8nVtQbOylK81aEPh9MP,Pop_Cluster6,49765,63.000,0.0363,0.67,196864.000,0.916,5.35e-06,A,0.221,-2.261,Minor,0.0751,97.004,04/4,0.531,Pop
No,Clairo,Bubble Gum,0LkelFnnzJPC8dtZSZ9Og8,Pop_Cluster7,151514,60.000,0.979,0.509,175961.000,0.0167,2.72e-05,A,0.387,-24.639,Major,0.115,115.802,03/4,0.229,Pop
No,Jennifer Lopez,Jenny from the Block - Track Masters Remix,1h59F6KsDeoJ68qm2yCgCy,Pop_Cluster6,150543,68.000,0.00833,0.844,187840.000,0.754,3.42e-06,F#,0.0575,-5.46,Major,0.207,100.002,04/4,0.961,Pop
No,Birdy,Tee Shirt,5vv6IyUsvPVNkpe2l8vDTs,Pop_Cluster7,181176,65.000,0.837,0.684,159507.000,0.341,2.69e-05,A,0.0883,-9.497,Major,0.0272,114.887,04/4,0.557,Pop
No,Niykee Heaton,Bad Intentions,3KH5aME71gFcHvReW54ew4,Pop_Cluster6,24315,72.000,0.248,0.743,223346.000,0.72,0.0134858,B,0.096,-5.175,Minor,0.0865,123.994,04/4,0.431,Pop
No,empty_field,Push It,64YdyHBlXNlNP9wtoGiEKb,Pop_Cluster6,31789,67.000,0.00684,0.926,223346.000,0.6,0.00187,G,0.0901,-12.485,Major,0.0883,127.247,04/4,0.97,Pop
No,Famous Dex,JAPAN,4dmKOAbvlZQR1AUESw8Zv8,Pop_Cluster1,78799,81.000,0.121,0.733,142000.000,0.678,0.0140721,F#,0.344,-7.771,Major,0.438,175.985,04/4,0.841,Pop
No,The Gregory Brothers,The Muffin Song (asdfmovie),11SQnfm9cxgIjRREQWgbsP,Pop_Cluster6,122177,69.000,0.205,0.911,187046.000,0.842,1.48e-05,A#,0.115,-4.845,Major,0.0922,108.902,04/4,0.578,Pop
No,empty_field,Valerie - Glee Cast Version,3wUX7HpXS382s1DHTRouVk,Pop_Cluster3,86960,61.000,0.00308,0.651,213413.000,0.889,0.401188,F,0.417,-5.236,Major,0.0694,107.009,04/4,0.813,Pop
No,Gwen Stefani,Rich Girl,1DWCfz6WAwoESRO1NYXlqr,Pop_Cluster6,21598,61.000,0.0276,0.855,236213.000,0.747,3.45e-05,G,0.182,-2.713,Minor,0.0424,98.018,04/4,0.76,Pop
No,Quinn XCII,Abel & Cain,5sQGo3fB2NoFalyy4uZjiu,Pop_Cluster1,196241,63.000,0.0568,0.556,215495.000,0.589,0.0120173,B,0.0713,-5.722,Minor,0.313,96.026,04/4,0.564,Pop
No,Galantis,Bones (feat. OneRepublic),7EXvDZtzfs7JrpFMEzZ8E8,Pop_Cluster6,73004,85.000,0.00464,0.66,205793.000,0.788,0.0140136,C,0.179,-5.844,Major,0.0374,120.048,04/4,0.494,Pop
No,Bebe Rexha,No Broken Hearts (feat. Nicki Minaj),2wc4wFgsQUDD79jItn4cHs,Pop_Cluster6,209791,64.000,0.0522,0.704,239991.000,0.722,0.0351314,C,0.0645,-3.524,Major,0.045,122.094,04/4,0.675,Pop
No,Backstreet Boys,As Long as You Love Me,4hab3fgJBmHFTCNvfIbO7W,Pop_Cluster6,114770,61.000,0.164,0.775,214333.000,0.816,0.00497783,C,0.126,-5.534,Major,0.0281,98.219,04/4,0.753,Pop
No,Taylor Swift,Fifteen,40Cck5doYRRMAbFirn7VoH,Pop_Cluster5,126410,61.000,0.067,0.556,294333.000,0.651,0.0560864,G,0.145,-4.396,Major,0.0266,118.687,04/4,0.203,Pop
No,The Head and the Heart,Lost in My Mind,0g7vK213kGcSal4tQE40rs,Pop_Cluster7,84211,67.000,0.451,0.375,259120.000,0.546,0.000312,D,0.278,-8.16,Major,0.0294,95.361,04/4,0.37,Pop
No,empty_field,Teacher,50jH0tHnKIgllKYkBjkXrF,Pop_Cluster3,207693,65.000,0.0238,0.515,194921.000,0.631,0.0296268,G,0.357,-4.7,Major,0.126,121.429,04/4,0.386,Pop
No,Ansel Elgort,Thief,7BgUcOjSOlKJXASLgJ6bx1,Pop_Cluster6,217645,75.000,0.0239,0.665,220680.000,0.75,0.00619403,C#,0.111,-3.769,Minor,0.0633,89.996,04/4,0.365,Pop
No,Manuel Turizo,Una Lady Como Tú,1YuEtYGrBRv6zFnBzRzQs7,Pop_Cluster6,32267,79.000,0.549,0.788,213027.000,0.477,0.00497783,E,0.349,-7.348,Major,0.0434,94.983,04/4,0.86,Pop
No,Drake,Crew Love,4qGwoTBvRhJ7YGeoQGytJV,Pop_Cluster1,153734,70.000,0.227,0.418,208813.000,0.546,0.00646037,C,0.229,-9.057,Minor,0.238,118.777,04/4,0.294,Pop
No,Bazzi,Fantasy,6sCXazRVvw5orFGwi3Pq3j,Pop_Cluster3,202610,62.000,0.154,0.699,148230.000,0.668,3.2e-06,F,0.362,-4.272,Minor,0.0336,144.105,04/4,0.314,Pop
No,Maroon 5,Lucky Strike,39tAZz4QquO3nlMP2AEOmL,Pop_Cluster2,90933,56.000,0.000637,0.674,185280.000,0.74,0.00714132,B,0.111,-4.517,Minor,0.0419,143.998,04/4,0.431,Pop
No,Drake,Hotline Bling,2VqrqJrDBmoY8vcwCqECGH,Pop_Cluster6,147147,78.000,0.00302,0.903,223346.000,0.621,0.000186,D,0.0504,-8.132,Major,0.0578,134.969,04/4,0.553,Pop
No,empty_field,Wanna Be Missed,6OyDjQiFgIX4JnnfQ9zYf8,Pop_Cluster3,78236,60.000,0.127,0.588,195773.000,0.653,0.0342012,A,0.423,-5.645,Minor,0.0373,104.897,03/4,0.18,Pop
No,My Chemical Romance,Helena (So Long & Goodnight),5mIe6UMcv1iqGMnoEYYWf9,Pop_Cluster2,111803,72.000,0.0142,0.356,204733.000,0.96,0.0270766,E,0.209,-3.487,Major,0.104,125.158,04/4,0.0857,Pop
No,Meghan Trainor,AFTER YOU,1SZwOBeptblAID4ZFnZoEm,Pop_Cluster7,183230,61.000,0.76,0.53,206355.000,0.343,0.0076367,E,0.154,-6.897,Major,0.0248,86.019,04/4,0.173,Pop
No,empty_field,F***in Wit Me,5B81bIrMqPol3QOQsWFos0,Pop_Cluster2,179042,55.000,0.298,0.364,197680.000,0.537,0.0121781,F#,0.191,-5.912,Minor,0.164,185.53,03/4,0.119,Pop
No,ILLENIUM,Fractures,767ei02vXjg4iRqQnrY4Be,Pop_Cluster2,41489,59.000,0.373,0.41,245250.000,0.711,0.00179,E,0.139,-3.064,Major,0.0432,159.837,04/4,0.266,Pop
No,Joey Montana,Suena El Dembow,5GKVcvTgnFYtfh25qKQtRg,Pop_Cluster6,160149,75.000,0.174,0.695,195813.000,0.856,0.0296268,C,0.116,-4.446,Major,0.0547,118.971,04/4,0.728,Pop
No,Halsey,Without Me (with Juice WRLD),5y7IfSDhBHFVnlGj1UrlA1,Pop_Cluster6,150735,81.000,0.351,0.742,228816.000,0.515,0.0106211,F#,0.184,-6.103,Major,0.0747,118.377,04/4,0.452,Pop
No,Rihanna,Love On The Brain,0j1bpDEg44YsqDtvqBBJul,Pop_Cluster2,156473,74.000,0.0717,0.509,234638.000,0.637,1.08e-05,E,0.0789,-4.83,Minor,0.0471,172.006,03/4,0.378,Pop
No,Jon Bellion,Blu,72K0cF9xlknRAX3hj5HzTq,Pop_Cluster7,180646,68.000,0.29,0.384,183344.000,0.465,2.22e-05,C,0.359,-8.554,Major,0.0341,131.604,04/4,0.636,Pop
No,Mt. Joy,Julia,43DeSV93pJPT4lCZaWZ6b1,Pop_Cluster7,72010,60.000,0.681,0.566,212505.000,0.412,0.017,F,0.0741,-6.994,Major,0.0267,81.879,04/4,0.47,Pop
No,Sia,The Greatest,4dTtYVQzlwBMpVyQ4h3wy2,Pop_Cluster1,69608,77.000,0.0102,0.668,208441.000,0.725,0.000479,C#,0.0561,-6.127,Major,0.266,191.944,04/4,0.729,Pop
No,Hootie & The Blowfish,Only Wanna Be with You,3ssTEKJaW7po2GOjXltXyF,Pop_Cluster2,56032,70.000,0.107,0.49,229587.000,0.873,5.19e-06,F#,0.118,-5.861,Major,0.0355,103.272,04/4,0.513,Pop
No,empty_field,MIC Drop (feat. Desiigner) [Steve Aoki Remix],0ThFHrhs9YpJQnbg6ZEqGE,Pop_Cluster6,68740,75.000,0.0157,0.613,238726.000,0.842,0.0105768,A#,0.23,-4.332,Minor,0.219,118.93,04/4,0.645,Pop
No,empty_field,Should’ve Been Us,5FATW0nb0iDeCy31BcIDBr,Pop_Cluster5,182552,60.000,0.00367,0.647,186467.000,0.759,1.13e-05,F#,0.0704,-5.468,Minor,0.12,89.944,04/4,0.424,Pop
No,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,0V0vGzZ6tt7dq75aYrR6wS,Pop_Cluster6,34341,85.000,0.0945,0.601,212344.000,0.724,1.68e-06,F#,0.12,-4.856,Major,0.0486,102.061,04/4,0.508,Pop
No,BTS,Stigma,5lPfatdUeawa9pPoqo3u0X,Pop_Cluster5,46365,65.000,0.148,0.583,231513.000,0.475,0.0120993,C,0.139,-5.556,Minor,0.0846,136.034,04/4,0.332,Pop
No,One Direction,Don't Forget Where You Belong,3oeGxIryjohvxb8V6khHca,Pop_Cluster5,81286,62.000,0.103,0.54,256016.000,0.711,0.0150792,G,0.0827,-5.717,Major,0.0255,92.014,04/4,0.292,Pop
No,Khalid,Love Lies - Snakehips Remix,5EzvEty2nn7vef95D9Y4cX,Pop_Cluster2,43190,62.000,0.0229,0.388,220395.000,0.837,1.53e-06,F#,0.149,-3.022,Major,0.107,119.567,04/4,0.378,Pop
No,Loud Luxury,Love No More - Fedde Le Grand Remix,7b9xle5oNPcP8RhKAigodn,Pop_Cluster2,82723,47.000,0.00351,0.693,165952.000,0.857,0.0641,A,0.21,-4.376,Minor,0.103,126.049,04/4,0.383,Pop
No,Rihanna,Unfaithful,0NdpU57eP5x3TbTOxOCpLB,Pop_Cluster7,55754,73.000,0.839,0.588,226973.000,0.391,0.00481143,C,0.227,-8.607,Minor,0.0334,144.069,04/4,0.349,Pop
No,empty_field,Too Young,59P5oqYavkT923C3aQlGow,Pop_Cluster5,32230,58.000,0.29,0.648,203027.000,0.433,0.0108369,F#,0.0542,-9.192,Major,0.0435,93.973,04/4,0.57,Pop
No,Becky G,Sin Pijama,4RPilUg9WofA2cIZAzOlhh,Pop_Cluster6,211066,86.000,0.354,0.791,188560.000,0.745,2.93e-05,B,0.104,-3.695,Minor,0.0464,94.014,04/4,0.82,Pop
No,Ella Mai,Sauce,5GGGht6vOsveoUfRjZe3kC,Pop_Cluster1,139268,66.000,0.211,0.642,184959.000,0.614,0.00714132,E,0.123,-5.335,Minor,0.394,99.572,04/4,0.43,Pop
No,BTS,Begin,5Wcw2hbK2bXYlNpEb07gL5,Pop_Cluster2,213279,64.000,0.00361,0.566,274106.000,0.844,0.000257,A,0.141,-5.222,Minor,0.0444,131.049,04/4,0.291,Pop
No,empty_field,Painkiller,0kCl6Aw5ikVtyQIvF4PwdO,Pop_Cluster2,179697,67.000,0.00021,0.376,179160.000,0.95,8.65656e-05,A,0.0377,-4.067,Major,0.0641,125.107,04/4,0.438,Pop
No,empty_field,I Miss You,0prF3F4FoKvxBObaeXLVHv,Pop_Cluster3,86263,62.000,0.00936,0.381,348627.000,0.581,1.43e-05,G,0.455,-4.273,Minor,0.0481,113.218,04/4,0.154,Pop
No,Lil Yachty,MICKEY,4wMZXHd1NGlxqJexmXF9ge,Pop_Cluster1,73702,68.000,0.0295,0.971,160518.000,0.466,0.0140721,C#,0.097,-5.655,Major,0.23,118.761,04/4,0.131,Pop
No,Kali Uchis,Tomorrow,0hbrkT5HjLAaNu1FtisAiz,Pop_Cluster5,22467,58.000,0.116,0.644,190375.000,0.591,3.5e-05,D,0.141,-7.218,Minor,0.0296,107.034,04/4,0.494,Pop
No,empty_field,Ghostface Killers,1hi0P1Y2he1p09xnUccuAN,Pop_Cluster5,82801,76.000,0.331,0.782,268933.000,0.436,1.3e-05,D,0.342,-7.033,Major,0.155,82.994,04/4,0.243,Pop
No,empty_field,I'll Be Missing You (feat. Faith Evans & 112),5GCbm2xKMJkkofDD7odKgC,Pop_Cluster6,132615,68.000,0.111,0.833,306560.000,0.619,2.13e-05,G,0.159,-5.595,Major,0.0538,109.92,04/4,0.901,Pop
No,Gavin James,Nervous - The Ooh Song/Mark McCabe Remix,0SAjbTQDGIzklofjpFx8Ep,Pop_Cluster5,135267,59.000,0.239,0.644,195414.000,0.819,0.000435,G,0.253,-7.562,Major,0.0392,105.036,04/4,0.275,Pop
No,Paramore,Brick By Boring Brick,3wypUp96RVJAIiza1QeT1m,Pop_Cluster2,32519,64.000,9.56e-05,0.436,253947.000,0.942,0.000438,A,0.209,-2.206,Major,0.0496,164.975,04/4,0.5,Pop
No,empty_field,Be Your Friend‬‬,2XG9u0s7VtszmS0mSCfEn2,Pop_Cluster6,121119,75.000,0.0688,0.6,180820.000,0.754,0.00714132,C,0.151,-4.204,Major,0.0488,118.855,04/4,0.641,Pop
No,empty_field,Starry Night,4u0XPm834TLSPBKbl9rWP3,Pop_Cluster6,118199,68.000,0.656,0.58,211237.000,0.773,0.00646037,A,0.112,-3.302,Minor,0.05,124.148,04/4,0.506,Pop
No,Lil Uzi Vert,Team Rocket,1QBwk6GTCxVdC2hoSw9tlM,Pop_Cluster5,62132,63.000,0.0907,0.691,206106.000,0.54,0.0140136,E,0.175,-8.818,Minor,0.0532,132.02,04/4,0.23,Pop
No,Shwayze,Corona And Lime,7chhNItCBXinSAsRmzrBzj,Pop_Cluster6,173664,54.000,0.168,0.863,236000.000,0.755,1.27e-06,G,0.147,-4.847,Major,0.0904,100.005,04/4,0.883,Pop
No,Labrinth,Same Team (feat. Stefflon Don),0jp1YFgWn67BtAVDZRaSqM,Pop_Cluster5,154057,63.000,0.0235,0.567,223285.000,0.544,0.00215,F#,0.0934,-8.476,Minor,0.107,126.366,05/4,0.526,Pop
No,Joji,Will He,1FOC5ffOapx07qV4Eshhju,Pop_Cluster7,178817,75.000,0.837,0.618,202103.000,0.217,0.000163,A#,0.538,-15.372,Major,0.0515,116.013,04/4,0.0872,Pop
No,Sleeping With Sirens,Scene Two - Roger Rabbit,4qdbCACEpbFWIpKSMa2fZC,Pop_Cluster5,87086,61.000,0.195,0.693,234798.000,0.562,0.0165465,C,0.123,-7.323,Major,0.0379,123.979,04/4,0.183,Pop
No,empty_field,b song,0Ta0MoGnmPAjbOIhLhH9Ug,Pop_Cluster4,122904,57.000,0.00427,0.571,205514.000,0.788,0.645,F#,0.389,-5.161,Minor,0.153,177.45,04/4,0.0722,Pop
No,The xx,Islands,3Ime7bLYqZ7pCWtTKp38Cv,Pop_Cluster7,195304,55.000,0.74,0.871,160720.000,0.472,0.286,E,0.145,-11.077,Major,0.0756,124.04,04/4,0.707,Pop
No,Kevin Gates,I Don't Get Tired (#IDGT) (feat. August Alsina),7xyAdNFmDjUgKv7U5dOZtl,Pop_Cluster3,27785,66.000,0.0524,0.492,226196.000,0.698,0.0120993,C#,0.428,-5.606,Major,0.171,139.953,04/4,0.288,Pop
No,YFN Lucci,Heartless (feat. Rick Ross & Bigga Rankin),3DIqOukIhN6BbXzdvC5iZW,Pop_Cluster3,196184,60.000,0.0821,0.686,199002.000,0.72,0.0120993,G#,0.414,-6.084,Major,0.225,146.026,04/4,0.326,Pop
No,Young the Giant,My Body,0BPWY79wNehGVARtwJawYV,Pop_Cluster3,154320,65.000,0.0011,0.488,244400.000,0.909,1.02e-05,A#,0.456,-6.591,Major,0.0929,143.587,04/4,0.643,Pop
No,empty_field,Most Girls,5kWbU1l9Dy3P9F1yCA6P7s,Pop_Cluster5,141832,79.000,0.0485,0.76,204400.000,0.588,0.0108369,A,0.0847,-7.082,Major,0.0775,102.974,04/4,0.384,Pop
No,blackbear,juicy sweatsuits (feat. Juicy J),43HggSmKEUHDXbaVWp55wH,Pop_Cluster1,38363,59.000,0.206,0.631,183944.000,0.509,0.00714132,C#,0.0656,-8.046,Major,0.381,102.575,04/4,0.629,Pop
No,Sam Hunt,Ex To See,3o3ckP1I1Zqrdg9nn0p1P5,Pop_Cluster2,91786,60.000,0.021,0.615,223885.000,0.824,0.0113178,A#,0.342,-4.903,Minor,0.107,149.986,04/4,0.637,Pop
No,empty_field,Feel Something,2Nzh0LjKLJ4rzxvwkKy8SP,Pop_Cluster7,172868,63.000,0.782,0.553,178432.000,0.325,3.39e-05,D#,0.147,-10.018,Major,0.0507,132.087,04/4,0.199,Pop
No,Our Last Night,HUMBLE.,517J2zLpm5phAmFs4GFktv,Pop_Cluster2,183087,62.000,9.81e-05,0.539,195566.000,0.903,0.176,D,0.149,-6.038,Major,0.0389,150.028,04/4,0.445,Pop
No,empty_field,1942,3u7hnWd4UTrNb4CtJsaH5a,Pop_Cluster6,141215,76.000,0.0152,0.817,213080.000,0.646,0.00497783,E,0.125,-5.12,Minor,0.249,162.898,04/4,0.835,Pop
No,David Guetta,Play Hard (feat. Ne-Yo & Akon),5s0AxcVJJD2YYPstMb61ro,Pop_Cluster6,89443,57.000,0.167,0.7,201000.000,0.925,0.00872375,G#,0.28,-1.648,Minor,0.0524,130.036,04/4,0.79,Pop
