Random Forest (1),instance_id
Folk,344
Folk,345
Jazz,346
Jazz,347
Jazz,348
Jazz,349
Folk,350
Folk,351
Blues,352
Blues,353
Jazz,354
Opera,355
Blues,356
Opera,357
Jazz,358
Classical,359
Jazz,360
Folk,361
Jazz,362
Jazz,363
Folk,364
Classical,365
Comedy,366
Classical,367
Blues,368
Blues,369
Classical,370
Comedy,371
Blues,372
Folk,373
Blues,374
Jazz,375
Jazz,376
Opera,377
Jazz,378
Jazz,379
Blues,380
Opera,381
Blues,382
Folk,383
Jazz,384
Opera,385
Folk,386
Comedy,387
Jazz,388
Folk,389
Jazz,390
Folk,391
Jazz,392
Comedy,393
Jazz,394
Jazz,395
Opera,396
Folk,397
Jazz,398
Folk,399
Folk,400
Jazz,401
Folk,402
Folk,403
Classical,404
Folk,405
Blues,406
Jazz,407
Comedy,408
Folk,409
Jazz,410
Jazz,411
Classical,412
Jazz,413
Blues,414
Jazz,415
Classical,416
Jazz,417
Classical,418
Jazz,419
Jazz,420
Classical,421
Jazz,422
Blues,423
Jazz,424
Opera,425
Blues,426
Jazz,427
Comedy,428
Jazz,429
Comedy,430
Classical,431
Folk,432
Classical,433
Blues,434
Blues,435
Comedy,436
Jazz,437
Jazz,438
Comedy,439
Classical,440
Comedy,441
Opera,442
Jazz,443
Jazz,444
Jazz,445
Jazz,446
Comedy,447
Opera,448
Classical,449
Jazz,450
Classical,451
Jazz,452
Jazz,453
Folk,454
Jazz,455
Blues,456
Jazz,457
Jazz,458
Blues,459
Folk,460
Jazz,461
Jazz,462
Comedy,463
Jazz,464
Jazz,465
Jazz,466
Jazz,467
Jazz,468
Jazz,469
Jazz,470
Comedy,471
Jazz,472
Folk,473
Blues,474
Blues,475
Opera,476
Folk,477
Blues,478
Jazz,479
Jazz,480
Opera,481
Comedy,482
Blues,483
Opera,484
Jazz,485
Jazz,486
Opera,487
Jazz,488
Jazz,489
Blues,490
Folk,491
Jazz,492
Folk,493
Comedy,494
Blues,495
Blues,496
Jazz,497
Opera,498
Jazz,499
Classical,500
Jazz,501
Jazz,502
Jazz,503
Folk,504
Jazz,505
Jazz,506
Jazz,507
Jazz,508
Blues,509
Folk,510
Folk,511
Jazz,512
Jazz,513
Classical,514
Jazz,515
Jazz,516
Jazz,517
Jazz,518
Folk,519
Folk,520
Jazz,521
Blues,522
Classical,523
Jazz,524
Folk,525
Folk,526
Blues,527
Jazz,528
Jazz,529
Blues,530
Jazz,531
Blues,532
Folk,533
Jazz,534
Folk,535
Jazz,536
Jazz,537
Jazz,538
Folk,539
Jazz,540
Folk,541
Blues,542
Jazz,543
Folk,544
Jazz,545
Classical,546
Folk,547
Folk,548
Folk,549
Jazz,550
Jazz,551
Jazz,552
Jazz,553
Blues,554
Folk,555
Folk,556
Jazz,557
Folk,558
Folk,559
Jazz,560
Jazz,561
Jazz,562
Folk,563
Jazz,564
Jazz,565
Comedy,566
Blues,567
Comedy,568
Folk,569
Jazz,570
Jazz,571
Folk,572
Comedy,573
Blues,574
Opera,575
Opera,576
Jazz,577
Jazz,578
Comedy,579
Jazz,580
Jazz,581
Folk,582
Folk,583
Jazz,584
Blues,585
Jazz,586
Jazz,587
Folk,588
Jazz,589
Opera,590
Folk,591
Jazz,592
Folk,593
Classical,594
Blues,595
Jazz,596
Jazz,597
Jazz,598
Classical,599
Jazz,600
Jazz,601
Folk,602
Folk,603
Folk,604
Jazz,605
Blues,606
Folk,607
Classical,608
Opera,609
Blues,610
Comedy,611
Jazz,612
Opera,613
Blues,614
Folk,615
Folk,616
Blues,617
Blues,618
Comedy,619
Blues,620
Blues,621
Jazz,622
Folk,623
Blues,624
Folk,625
Jazz,626
Jazz,627
Folk,628
Jazz,629
Jazz,630
Comedy,631
Folk,632
Blues,633
Jazz,634
Jazz,635
Jazz,636
Comedy,637
Jazz,638
Blues,639
Jazz,640
Opera,641
Jazz,642
Classical,643
Jazz,644
Folk,645
Jazz,646
Jazz,647
Opera,648
Jazz,649
Jazz,650
Folk,651
Classical,652
Jazz,653
Classical,654
Jazz,655
Jazz,656
Folk,657
Blues,658
Jazz,659
Folk,660
Blues,661
Jazz,662
Classical,663
Jazz,664
Folk,665
Jazz,666
Folk,667
Blues,668
Folk,669
Classical,670
Blues,671
Jazz,672
Jazz,673
Jazz,674
Comedy,675
Opera,676
Folk,677
Jazz,678
Jazz,679
Blues,680
Folk,681
Blues,682
Jazz,683
Jazz,684
Folk,685
Folk,686
Jazz,687
Comedy,688
Jazz,689
Jazz,690
Jazz,691
Jazz,692
Folk,693
Folk,694
Folk,695
Blues,696
Blues,697
Blues,698
Opera,699
Jazz,700
Jazz,701
Jazz,702
Jazz,703
Folk,704
Jazz,705
Folk,706
Comedy,707
Blues,708
Jazz,709
Classical,710
Folk,711
Jazz,712
Classical,713
Comedy,714
Jazz,715
Jazz,716
Comedy,717
Jazz,718
Opera,719
Blues,720
Jazz,721
Opera,722
Folk,723
Blues,724
Folk,725
Folk,726
Jazz,727
Jazz,728
Classical,729
Jazz,730
Jazz,731
Comedy,732
Folk,733
Jazz,734
Jazz,735
Jazz,736
Jazz,737
Blues,738
Folk,739
Jazz,740
Jazz,741
Opera,742
Folk,743
Folk,744
Folk,745
Jazz,746
Classical,747
Folk,748
Jazz,749
Jazz,750
Blues,751
Jazz,752
Jazz,753
Folk,754
Classical,755
Comedy,756
Folk,757
Jazz,758
Folk,759
Folk,760
Folk,761
Comedy,762
Jazz,763
Folk,764
Folk,765
Comedy,766
Jazz,767
Blues,768
Blues,769
Blues,770
Jazz,771
Comedy,772
Folk,773
Comedy,774
Jazz,775
Jazz,776
Jazz,777
Blues,778
Opera,779
Folk,780
Blues,781
Jazz,782
Folk,783
Folk,784
Jazz,785
Jazz,786
Comedy,787
Jazz,788
Jazz,789
Jazz,790
Jazz,791
Jazz,792
Jazz,793
Jazz,794
Jazz,795
Classical,796
Jazz,797
Folk,798
Jazz,799
Jazz,800
Jazz,801
Blues,802
Jazz,803
Jazz,804
Jazz,805
Opera,806
Blues,807
Classical,808
Comedy,809
Jazz,810
Jazz,811
Jazz,812
Opera,813
Blues,814
Folk,815
Classical,816
Jazz,817
Folk,818
Folk,819
Jazz,820
Folk,821
Folk,822
Comedy,823
Blues,824
Jazz,825
Folk,826
Comedy,827
Jazz,828
Jazz,829
Jazz,830
Jazz,831
Opera,832
Folk,833
Blues,834
Jazz,835
Blues,836
Classical,837
Folk,838
Comedy,839
Opera,840
Folk,841
Jazz,842
Jazz,843
Jazz,844
Folk,845
Comedy,846
Opera,847
Blues,848
Blues,849
Folk,850
Jazz,851
Blues,852
Jazz,853
Jazz,854
Folk,855
Jazz,856
Jazz,857
Blues,858
Blues,859
Jazz,860
Opera,861
Opera,862
Jazz,863
Folk,864
Jazz,865
Comedy,866
Blues,867
Jazz,868
Folk,869
Folk,870
Jazz,871
Folk,872
Comedy,873
Folk,874
Jazz,875
Jazz,876
Jazz,877
Blues,878
Blues,879
Jazz,880
Classical,881
Jazz,882
Jazz,883
Jazz,884
Jazz,885
Blues,886
Folk,887
Folk,888
Comedy,889
Opera,890
Folk,891
Classical,892
Jazz,893
Comedy,894
Comedy,895
Blues,896
Jazz,897
Folk,898
Blues,899
Jazz,900
Folk,901
Blues,902
Folk,903
Blues,904
Folk,905
Jazz,906
Jazz,907
Jazz,908
Jazz,909
Blues,910
Jazz,911
Jazz,912
Folk,913
Jazz,914
Folk,915
Folk,916
Blues,917
Comedy,918
Jazz,919
Jazz,920
Folk,921
Blues,922
Jazz,923
Opera,924
Folk,925
Opera,926
Folk,927
Folk,928
Folk,929
Comedy,930
Opera,931
Folk,932
Jazz,933
Jazz,934
Jazz,935
Blues,936
Jazz,937
Jazz,938
Jazz,939
Jazz,940
Jazz,941
Jazz,942
Jazz,943
Jazz,944
Blues,945
Comedy,946
Jazz,947
Folk,948
Jazz,949
Jazz,950
Jazz,951
Classical,952
Jazz,953
Jazz,954
Folk,955
Jazz,956
Folk,957
Jazz,958
Folk,959
Folk,960
Comedy,961
Folk,962
Jazz,963
Opera,964
Comedy,965
Folk,966
Folk,967
Classical,968
Jazz,969
Jazz,970
Opera,971
Comedy,972
Jazz,973
Classical,974
Opera,975
Folk,976
Folk,977
Jazz,978
Blues,979
Folk,980
Jazz,981
Jazz,982
Hip-Hop,983
Jazz,984
Folk,985
Folk,986
Jazz,987
Jazz,988
Jazz,989
Classical,990
Folk,991
Jazz,992
Jazz,993
Jazz,994
Jazz,995
Blues,996
Jazz,997
Jazz,998
Jazz,999
Folk,1000
Opera,1001
Opera,1002
Blues,1003
Folk,1004
Jazz,1005
Folk,1006
Jazz,1007
Blues,1008
Folk,1009
Blues,1010
Jazz,1011
Opera,1012
Folk,1013
Folk,1014
Jazz,1015
Folk,1016
Comedy,1017
Jazz,1018
Pop,1019
Jazz,1020
Folk,1021
Blues,1022
Jazz,1023
Folk,1024
Jazz,1025
Jazz,1026
Jazz,1027
Folk,1028
Classical,1029
Opera,1030
Comedy,1031
Opera,1032
Comedy,1033
Jazz,1034
Jazz,1035
Jazz,1036
Comedy,1037
Folk,1038
Jazz,1039
Jazz,1040
Blues,1041
Folk,1042
Folk,1043
Blues,1044
Folk,1045
Jazz,1046
Jazz,1047
Jazz,1048
Jazz,1049
Jazz,1050
Jazz,1051
Jazz,1052
Jazz,1053
Folk,1054
Jazz,1055
Folk,1056
Folk,1057
Folk,1058
Jazz,1059
Jazz,1060
Jazz,1061
Jazz,1062
Folk,1063
Jazz,1064
Jazz,1065
Blues,1066
Folk,1067
Folk,1068
Jazz,1069
Jazz,1070
Folk,1071
Blues,1072
Comedy,1073
Blues,1074
Jazz,1075
Blues,1076
Folk,1077
Jazz,1078
Opera,1079
Jazz,1080
Jazz,1081
Folk,1082
Comedy,1083
Jazz,1084
Jazz,1085
Jazz,1086
Jazz,1087
Jazz,1088
Jazz,1089
Classical,1090
Jazz,1091
Comedy,1092
Folk,1093
Folk,1094
Jazz,1095
Jazz,1096
Jazz,1097
Jazz,1098
Jazz,1099
Blues,1100
Jazz,1101
Jazz,1102
Jazz,1103
Folk,1104
Folk,1105
Opera,1106
Jazz,1107
Jazz,1108
Jazz,1109
Folk,1110
Blues,1111
Classical,1112
Classical,1113
Comedy,1114
Jazz,1115
Folk,1116
Blues,1117
Comedy,1118
Opera,1119
Blues,1120
Jazz,1121
Comedy,1122
Blues,1123
Folk,1124
Blues,1125
Opera,1126
Jazz,1127
Blues,1128
Jazz,1129
Jazz,1130
Jazz,1131
Folk,1132
Jazz,1133
Jazz,1134
Folk,1135
Jazz,1136
Classical,1137
Blues,1138
Folk,1139
Comedy,1140
Jazz,1141
Blues,1142
Jazz,1143
Jazz,1144
Comedy,1145
Folk,1146
Jazz,1147
Jazz,1148
Blues,1149
Comedy,1150
Jazz,1151
Jazz,1152
Jazz,1153
Jazz,1154
Blues,1155
Jazz,1156
Folk,1157
Jazz,1158
Jazz,1159
Opera,1160
Folk,1161
Jazz,1162
Jazz,1163
Jazz,1164
Blues,1165
Opera,1166
Jazz,1167
Jazz,1168
Folk,1169
Comedy,1170
Jazz,1171
Jazz,1172
Jazz,1173
Folk,1174
Folk,1175
Classical,1176
Blues,1177
Opera,1178
Blues,1179
Jazz,1180
Opera,1181
Folk,1182
Hip-Hop,1183
Folk,1184
Jazz,1185
Jazz,1186
Jazz,1187
Jazz,1188
Folk,1189
Folk,1190
Jazz,1191
Jazz,1192
Jazz,1193
Comedy,1194
Jazz,1195
Folk,1196
Folk,1197
Jazz,1198
Folk,1199
Jazz,1200
Folk,1201
Jazz,1202
Jazz,1203
Blues,1204
Jazz,1205
Folk,1206
Folk,1207
Classical,1208
Folk,1209
Jazz,1210
Opera,1211
Jazz,1212
Folk,1213
Jazz,1214
Jazz,1215
Jazz,1216
Blues,1217
Folk,1218
Opera,1219
Comedy,1220
Folk,1221
Folk,1222
Jazz,1223
Folk,1224
Pop,1225
Jazz,1226
Jazz,1227
Jazz,1228
Blues,1229
Jazz,1230
Jazz,1231
Opera,1232
Opera,1233
Jazz,1234
Folk,1235
Jazz,1236
Jazz,1237
Jazz,1238
Jazz,1239
Jazz,1240
Opera,1241
Opera,1242
Blues,1243
Folk,1244
Jazz,1245
Blues,1246
Classical,1247
Classical,1248
Jazz,1249
Jazz,1250
Folk,1251
Comedy,1252
Blues,1253
Jazz,1254
Jazz,1255
Blues,1256
Jazz,1257
Comedy,1258
Comedy,1259
Folk,1260
Comedy,1261
Jazz,1262
Blues,1263
Jazz,1264
Blues,1265
Folk,1266
Folk,1267
Folk,1268
Opera,1269
Blues,1270
Folk,1271
Jazz,1272
Folk,1273
Jazz,1274
Folk,1275
Blues,1276
Jazz,1277
Folk,1278
Folk,1279
Blues,1280
Jazz,1281
Jazz,1282
Jazz,1283
Jazz,1284
Jazz,1285
Jazz,1286
Jazz,1287
Jazz,1288
Classical,1289
Blues,1290
Jazz,1291
Jazz,1292
Blues,1293
Jazz,1294
Blues,1295
Opera,1296
Jazz,1297
Folk,1298
Jazz,1299
Jazz,1300
Blues,1301
Jazz,1302
Comedy,1303
Jazz,1304
Folk,1305
Classical,1306
Folk,1307
Classical,1308
Jazz,1309
Jazz,1310
Jazz,1311
Jazz,1312
Jazz,1313
Jazz,1314
Opera,1315
Folk,1316
Jazz,1317
Jazz,1318
R&B,1319
Opera,1320
Comedy,1321
Folk,1322
Comedy,1323
Jazz,1324
Blues,1325
Folk,1326
Blues,1327
Classical,1328
Folk,1329
Opera,1330
Opera,1331
Folk,1332
Folk,1333
Blues,1334
Jazz,1335
Opera,1336
Folk,1337
Folk,1338
Jazz,1339
Jazz,1340
Folk,1341
Jazz,1342
Folk,1343
Jazz,1344
Folk,1345
Jazz,1346
Jazz,1347
Blues,1348
Jazz,1349
Jazz,1350
Jazz,1351
Opera,1352
Jazz,1353
Jazz,1354
Comedy,1355
Jazz,1356
Jazz,1357
Classical,1358
Jazz,1359
Jazz,1360
Opera,1361
Classical,1362
Opera,1363
Opera,1364
Jazz,1365
Blues,1366
Blues,1367
Jazz,1368
Jazz,1369
Jazz,1370
Opera,1371
Opera,1372
Jazz,1373
Jazz,1374
Jazz,1375
Folk,1376
Folk,1377
Folk,1378
Comedy,1379
Jazz,1380
Jazz,1381
Jazz,1382
Folk,1383
Blues,1384
Comedy,1385
Comedy,1386
Folk,1387
Blues,1388
Folk,1389
Folk,1390
Jazz,1391
Jazz,1392
Opera,1393
Jazz,1394
Jazz,1395
Classical,1396
Jazz,1397
Folk,1398
Jazz,1399
Folk,1400
Folk,1401
Folk,1402
Jazz,1403
Pop,1404
Folk,1405
Opera,1406
Jazz,1407
Jazz,1408
Jazz,1409
Folk,1410
Jazz,1411
Folk,1412
Folk,1413
Jazz,1414
Folk,1415
Opera,1416
Jazz,1417
Jazz,1418
Blues,1419
Blues,1420
Jazz,1421
Jazz,1422
Opera,1423
Comedy,1424
Opera,1425
Jazz,1426
Opera,1427
Folk,1428
Folk,1429
Jazz,1430
Folk,1431
Folk,1432
Jazz,1433
Jazz,1434
Comedy,1435
Comedy,1436
Jazz,1437
Jazz,1438
Classical,1439
Jazz,1440
Jazz,1441
Jazz,1442
Folk,1443
Blues,1444
Blues,1445
Classical,1446
Opera,1447
Folk,1448
Jazz,1449
Folk,1450
Jazz,1451
Folk,1452
Jazz,1453
Folk,1454
Jazz,1455
Jazz,1456
Hip-Hop,1457
Blues,1458
Folk,1459
Hip-Hop,1460
Jazz,1461
Jazz,1462
Folk,1463
Jazz,1464
Jazz,1465
Jazz,1466
Jazz,1467
Blues,1468
Folk,1469
Blues,1470
Jazz,1471
Jazz,1472
Classical,1473
Jazz,1474
Blues,1475
Folk,1476
Folk,1477
Jazz,1478
Comedy,1479
Folk,1480
Folk,1481
Jazz,1482
Opera,1483
Jazz,1484
Jazz,1485
Folk,1486
Classical,1487
Jazz,1488
Comedy,1489
Folk,1490
Jazz,1491
Blues,1492
Jazz,1493
Jazz,1494
Folk,1495
Jazz,1496
Jazz,1497
Folk,1498
Blues,1499
Jazz,1500
Jazz,1501
Blues,1502
Blues,1503
Blues,1504
Opera,1505
Jazz,1506
Blues,1507
Jazz,1508
Jazz,1509
Folk,1510
Jazz,1511
Opera,1512
Opera,1513
Jazz,1514
Opera,1515
Folk,1516
Classical,1517
Folk,1518
Jazz,1519
Jazz,1520
Jazz,1521
Comedy,1522
Jazz,1523
Jazz,1524
Jazz,1525
Classical,1526
Folk,1527
Folk,1528
Jazz,1529
Jazz,1530
Jazz,1531
Folk,1532
Classical,1533
Opera,1534
Comedy,1535
Folk,1536
Folk,1537
Opera,1538
Jazz,1539
Classical,1540
Folk,1541
Folk,1542
Jazz,1543
Comedy,1544
Folk,1545
Folk,1546
Blues,1547
Jazz,1548
Jazz,1549
Jazz,1550
Opera,1551
Jazz,1552
Jazz,1553
Opera,1554
Jazz,1555
Jazz,1556
Folk,1557
Jazz,1558
Jazz,1559
Jazz,1560
Comedy,1561
Jazz,1562
Jazz,1563
Jazz,1564
Jazz,1565
Jazz,1566
Jazz,1567
Jazz,1568
Jazz,1569
Jazz,1570
Opera,1571
Jazz,1572
Folk,1573
Jazz,1574
Jazz,1575
Jazz,1576
Jazz,1577
Folk,1578
Folk,1579
Blues,1580
Opera,1581
Classical,1582
Jazz,1583
Folk,1584
Jazz,1585
Folk,1586
Jazz,1587
Comedy,1588
Jazz,1589
Jazz,1590
Folk,1591
Jazz,1592
Comedy,1593
Jazz,1594
Jazz,1595
Blues,1596
Jazz,1597
Opera,1598
Jazz,1599
Jazz,1600
Jazz,1601
Blues,1602
Jazz,1603
Jazz,1604
Jazz,1605
Opera,1606
Folk,1607
Jazz,1608
Jazz,1609
Opera,1610
Folk,1611
Blues,1612
Jazz,1613
Jazz,1614
Blues,1615
Blues,1616
Folk,1617
Jazz,1618
Blues,1619
Classical,1620
Folk,1621
Jazz,1622
Folk,1623
Jazz,1624
Folk,1625
Jazz,1626
Jazz,1627
Blues,1628
Comedy,1629
Jazz,1630
Jazz,1631
Opera,1632
Jazz,1633
Comedy,1634
Folk,1635
Jazz,1636
Jazz,1637
Alternative,1638
Opera,1639
Folk,1640
Folk,1641
Classical,1642
Comedy,1643
Jazz,1644
Opera,1645
Classical,1646
Opera,1647
Opera,1648
Jazz,1649
Blues,1650
Folk,1651
Opera,1652
Blues,1653
Folk,1654
Folk,1655
Jazz,1656
Folk,1657
Opera,1658
Hip-Hop,1659
Jazz,1660
Blues,1661
Blues,1662
Jazz,1663
Folk,1664
Jazz,1665
Jazz,1666
Folk,1667
Jazz,1668
Jazz,1669
Comedy,1670
Jazz,1671
Jazz,1672
Classical,1673
Jazz,1674
Jazz,1675
Opera,1676
Jazz,1677
Classical,1678
Folk,1679
Jazz,1680
Jazz,1681
Folk,1682
Blues,1683
Jazz,1684
Jazz,1685
Jazz,1686
Jazz,1687
Jazz,1688
Jazz,1689
Blues,1690
Comedy,1691
Classical,1692
Classical,1693
Jazz,1694
Blues,1695
Blues,1696
Jazz,1697
Jazz,1698
Jazz,1699
Jazz,1700
Folk,1701
Hip-Hop,1702
Jazz,1703
Jazz,1704
Folk,1705
Jazz,1706
Jazz,1707
Jazz,1708
Comedy,1709
Jazz,1710
Jazz,1711
Jazz,1712
Folk,1713
Jazz,1714
Jazz,1715
Opera,1716
Blues,1717
Jazz,1718
Folk,1719
Blues,1720
Jazz,1721
Jazz,1722
Opera,1723
Folk,1724
Jazz,1725
Folk,1726
Jazz,1727
Folk,1728
Jazz,1729
Jazz,1730
Jazz,1731
Jazz,1732
Jazz,1733
Folk,1734
Jazz,1735
Folk,1736
Jazz,1737
Folk,1738
Jazz,1739
Opera,1740
Folk,1741
Folk,1742
Folk,1743
Comedy,1744
Blues,1745
Blues,1746
Jazz,1747
Blues,1748
Folk,1749
Jazz,1750
Folk,1751
Folk,1752
Folk,1753
Blues,1754
Jazz,1755
Opera,1756
Jazz,1757
Blues,1758
Folk,1759
Jazz,1760
Jazz,1761
Jazz,1762
Jazz,1763
Jazz,1764
Blues,1765
Folk,1766
Blues,1767
Blues,1768
Folk,1769
Folk,1770
Folk,1771
Jazz,1772
Jazz,1773
Folk,1774
Blues,1775
Comedy,1776
Jazz,1777
Folk,1778
Jazz,1779
Jazz,1780
Jazz,1781
Jazz,1782
Jazz,1783
Jazz,1784
Folk,1785
Blues,1786
Jazz,1787
Jazz,1788
Opera,1789
Comedy,1790
Jazz,1791
Folk,1792
Jazz,1793
Folk,1794
Folk,1795
Comedy,1796
Folk,1797
Opera,1798
Comedy,1799
Folk,1800
Jazz,1801
Jazz,1802
Folk,1803
Jazz,1804
Folk,1805
Jazz,1806
Jazz,1807
Opera,1808
Comedy,1809
Jazz,1810
Folk,1811
Jazz,1812
Comedy,1813
Folk,1814
Folk,1815
Opera,1816
Jazz,1817
Opera,1818
Folk,1819
Folk,1820
Jazz,1821
Jazz,1822
Jazz,1823
Jazz,1824
Folk,1825
Blues,1826
Jazz,1827
Folk,1828
Comedy,1829
Folk,1830
Folk,1831
Opera,1832
Folk,1833
Opera,1834
Jazz,1835
Jazz,1836
Jazz,1837
Jazz,1838
Jazz,1839
Folk,1840
Blues,1841
Jazz,1842
Blues,1843
Jazz,1844
Jazz,1845
Blues,1846
Jazz,1847
Jazz,1848
Jazz,1849
Jazz,1850
Jazz,1851
Blues,1852
Folk,1853
Blues,1854
Classical,1855
Jazz,1856
Jazz,1857
Jazz,1858
Classical,1859
Jazz,1860
Blues,1861
Jazz,1862
Jazz,1863
Jazz,1864
Folk,1865
Folk,1866
Jazz,1867
Jazz,1868
Jazz,1869
Jazz,1870
Jazz,1871
Classical,1872
Jazz,1873
Comedy,1874
Folk,1875
Comedy,1876
Folk,1877
Comedy,1878
Jazz,1879
Folk,1880
Folk,1881
Jazz,1882
Folk,1883
Folk,1884
Jazz,1885
Folk,1886
Folk,1887
Jazz,1888
Opera,1889
Folk,1890
Jazz,1891
Jazz,1892
Comedy,1893
Jazz,1894
Jazz,1895
Jazz,1896
Folk,1897
Folk,1898
Folk,1899
Comedy,1900
Comedy,1901
Jazz,1902
Comedy,1903
Folk,1904
Folk,1905
Folk,1906
Opera,1907
Blues,1908
Jazz,1909
Jazz,1910
Blues,1911
Jazz,1912
Comedy,1913
Blues,1914
Folk,1915
Jazz,1916
Folk,1917
Jazz,1918
Jazz,1919
Blues,1920
Blues,1921
Jazz,1922
Jazz,1923
Jazz,1924
Folk,1925
Blues,1926
Folk,1927
Folk,1928
Blues,1929
Jazz,1930
Jazz,1931
Comedy,1932
Opera,1933
Jazz,1934
Folk,1935
Folk,1936
Folk,1937
Folk,1938
Jazz,1939
Comedy,1940
Jazz,1941
Jazz,1942
Jazz,1943
Folk,1944
Folk,1945
Classical,1946
Blues,1947
Opera,1948
Jazz,1949
Jazz,1950
Jazz,1951
Folk,1952
Jazz,1953
Jazz,1954
Blues,1955
Jazz,1956
Jazz,1957
Blues,1958
Jazz,1959
Jazz,1960
Jazz,1961
Jazz,1962
Jazz,1963
Folk,1964
Folk,1965
Classical,1966
Comedy,1967
Folk,1968
Jazz,1969
Blues,1970
Opera,1971
Jazz,1972
Jazz,1973
Opera,1974
Folk,1975
Jazz,1976
Folk,1977
Classical,1978
Opera,1979
Jazz,1980
Comedy,1981
Jazz,1982
Folk,1983
Folk,1984
Folk,1985
Blues,1986
