artist_name,genre,instance_id
Fall Out Boy,Pop,270
Ryuichi Sakamoto,Classical,276
Smino,R&B,277
The Black Angels,Blues,280
Carrie Underwood,Pop,281
DJ Nelson,Hip-Hop,282
Reik,Pop,283
Trey Songz,R&B,284
zack villere,Alternative,285
Alanis Morissette,Alternative,286
Ne-Yo,R&B,287
Steve Byrne,Comedy,288
Giuseppe Verdi,Opera,289
"Grover Washington, Jr.",Jazz,290
2 Chainz,Hip-Hop,291
DMX,Hip-Hop,293
The Electric Swing Circus,Jazz,295
Five Finger Death Punch,Alternative,297
Vicetone,Pop,298
Al Green,Blues,299
Noname,R&B,301
Leon Bridges,Blues,303
Mitch Hedberg,Comedy,305
Hanging Valleys,Folk,306
RINI,Alternative,309
Justin Quiles,Hip-Hop,310
Moneybagg Yo,Hip-Hop,312
Aretha Franklin,Blues,313
Mike Posner,Pop,317
Gioachino Rossini,Opera,318
Nine Inch Nails,Alternative,319
K CAMP,R&B,324
Eartha Kitt,Jazz,325
Richard Wagner,Opera,328
Iliza Shlesinger,Comedy,334
Slipknot,Alternative,337
Matt Braunger,Comedy,338
Jon Langston,Pop,340
Little River Band,Folk,341
The Japanese House,Folk,343
Theory of a Deadman,Alternative,345
Kem,R&B,346
tobi lou,Alternative,349
Chuck Berry,Blues,350
BJ The Chicago Kid,Alternative,351
Ivy Queen,Hip-Hop,352
Louis Prima,Blues,353
Montserrat Caballé,Opera,355
Giuseppe Di Stefano,Opera,357
London Symphony Orchestra,Classical,359
Leonard Bernstein,Classical,360
Alice In Chains,Alternative,361
The Wood Brothers,Blues,362
Pretenders,Folk,364
Luigi Boccherini,Classical,365
John Pinette,Comedy,366
Giacomo Puccini,Opera,367
Wilson Meadows,Blues,369
Christopher Titus,Comedy,371
Georges Bizet,Opera,377
Quinn XCII,Pop,378
Two Door Cinema Club,Alternative,379
Tedeschi Trucks Band,Blues,380
The Intruders,Blues,381
The Lawrence Arms,Folk,382
Of Monsters and Men,Folk,383
Charles Gounod,Opera,385
Foxygen,Folk,386
George Carlin,Comedy,387
Daniel Caesar,R&B,388
The Weeknd,R&B,389
12 Stones,Alternative,391
Mo Mandel,Comedy,393
Jordan Rakei,Jazz,394
Crywank,Folk,395
Phoenix,Alternative,397
The Pussycat Dolls,Pop,399
The Japanese House,Folk,400
Madvillain,Alternative,402
Badfinger,Blues,403
Sergei Prokofiev,Classical,404
"Tyler, The Creator",Hip-Hop,405
The Black Crowes,Blues,406
Zero 7,Jazz,409
Grateful Dead,Folk,410
Nobuo Uematsu,Classical,412
A Tribe Called Quest,Jazz,413
Kenny G,Jazz,419
Wolfgang Amadeus Mozart,Classical,421
Welshly Arms,Blues,422
Richard Wagner,Opera,425
Pete Holmes,Comedy,428
Emily King,R&B,429
Doug Stanhope,Comedy,430
Seether,Alternative,432
Gustav Mahler,Classical,433
Dan Cummins,Comedy,436
L.T.D.,Jazz,437
Jermaine Dupri,Hip-Hop,438
Chris Hardwick,Comedy,439
Thomas Tallis,Classical,440
Pete Holmes,Comedy,441
Vincenzo Bellini,Opera,442
24hrs,R&B,444
Roosevelt,Alternative,445
The Toilet Bowl Cleaners,Comedy,447
Giacomo Puccini,Opera,448
Henry Purcell,Classical,449
Daddy Yankee,Hip-Hop,457
Sunni Colon,Alternative,462
Pablo Francisco,Comedy,463
Slum Village,Alternative,464
Lorde,Pop,467
Jack Harlow,Hip-Hop,468
$uicideBoy$,Hip-Hop,470
Iliza Shlesinger,Comedy,471
Rejjie Snow,R&B,472
Shinedown,Alternative,473
little hurricane,Blues,475
Pietro Mascagni,Opera,476
Mac Miller,Hip-Hop,477
Ollie,Hip-Hop,479
Jay Critch,Hip-Hop,480
Jorma Kaukonen,Blues,481
Bill Hicks,Comedy,482
J Alvarez,Hip-Hop,483
Dietrich Buxtehude,Classical,484
Mo' Horizons,Jazz,485
Franz Lehár,Opera,487
Aretha Franklin,Blues,488
In This Moment,Alternative,490
Steve Byrne,Comedy,494
ZZ Top,Blues,495
Marty Robbins,Folk,499
Luigi Boccherini,Classical,500
Damien Rice,Folk,501
Vedo,R&B,502
The Elgins,Blues,503
Link Wray,Blues,506
Yung Bleu,R&B,508
Herbie Mann,Jazz,512
Frédéric Chopin,Classical,514
Otis Redding,Blues,517
Cage The Elephant,Blues,519
Santana,Blues,520
Queens of the Stone Age,Blues,521
Lynyrd Skynyrd,Blues,522
Erykah Badu,R&B,524
Nicky Jam,Hip-Hop,526
Langhorne Slim,Folk,528
Jhene Aiko,R&B,529
Saliva,Alternative,533
J Balvin,Pop,534
Fetty Wap,Hip-Hop,535
Dawes,Folk,536
Phosphorescent,Folk,537
Tone Stith,R&B,539
Marilyn Manson,Alternative,540
Young Scooter,Hip-Hop,543
Panteon Rococo,Alternative,544
De La Ghetto,Hip-Hop,545
Camille Saint-Saëns,Classical,546
G-Eazy,Hip-Hop,548
The National,Folk,551
Justin Quiles,Hip-Hop,552
Joyner Lucas,Hip-Hop,553
Little Feat,Blues,555
Badflower,Alternative,558
Passion Pit,Folk,559
ScHoolboy Q,Hip-Hop,561
Jon Bellion,Pop,562
Lil Wayne,Hip-Hop,563
BluntOne,Jazz,564
Al Madrigal,Comedy,566
The Correspondents,Jazz,571
3 Doors Down,Alternative,572
Phish,Blues,574
Leo Nucci,Opera,575
Giuseppe Verdi,Opera,576
pH-1,R&B,577
Phyllis Hyman,Jazz,578
Sarah Silverman,Comedy,579
Allman Brown,Folk,582
D'Angelo,R&B,587
Halsey,Pop,591
Johann Sebastian Bach,Classical,594
Fantasia,R&B,596
Jhene Aiko,R&B,600
Puddle Of Mudd,Alternative,603
Queens of the Stone Age,Blues,604
Charles Lloyd & The Marvels,Jazz,608
Tomaso Albinoni,Opera,609
Dan Cummins,Comedy,611
Giacomo Puccini,Opera,613
Dr. John,Blues,614
Meek Mill,Hip-Hop,615
Todd Barry,Comedy,619
Black Joe Lewis & The Honeybears,Blues,621
Thirdstory,R&B,623
Demi Lovato,R&B,625
ELHAE,R&B,626
Travis Scott,Pop,628
Whitney Cummings,Comedy,631
Eminem,Hip-Hop,632
Troy Ave,Hip-Hop,634
Andi Smith,Comedy,637
Wisin & Yandel,Hip-Hop,638
6LACK,Hip-Hop,640
Chris Knight,Alternative,645
The Cleftones,Blues,646
Fourplay,Jazz,647
Joe Sample,Jazz,648
Tony Bennett,Jazz,649
City and Colour,Folk,652
D'Angelo,R&B,653
Lil Wayne,Hip-Hop,660
Sammie,R&B,662
Johannes Brahms,Classical,663
G-Eazy,Hip-Hop,664
BANKS,R&B,667
Niccolò Paganini,Classical,670
Gregg Karukas,Jazz,671
De La Ghetto,Hip-Hop,674
Mike Baldwin,Comedy,675
Jorja Smith,R&B,677
Derez De’Shon,R&B,681
Black Star,Alternative,683
Shy Girls,R&B,684
Brad Williams,Comedy,688
Bell Biv DeVoe,Hip-Hop,689
The Menzingers,Folk,693
The Raconteurs,Blues,694
Soda Stereo,Alternative,695
Ivan Ave,Jazz,696
Ben Webster,Jazz,699
Trey Songz,R&B,700
DJ Khaled,R&B,701
Scarlxrd,Hip-Hop,704
Battle Beast,Classical,705
Vance Joy,Folk,706
George Carlin,Comedy,707
Jimi Hendrix,Blues,708
Gustav Holst,Classical,710
Thelonious Monk,Jazz,713
Steve Martin,Comedy,714
Tink,R&B,715
Denis Leary,Comedy,717
Dean Martin,Jazz,718
Sir Charles Jones,Blues,719
Dispatch,Pop,724
Zayde Wølf,Alternative,725
Drake,Hip-Hop,726
Paul Hardcastle,Jazz,730
Kyle Kinane,Comedy,732
Rihanna,R&B,733
YG,Hip-Hop,734
Animal Collective,Folk,735
Future,Hip-Hop,736
Animals As Leaders,Jazz,737
Levon Helm,Blues,738
NF,Hip-Hop,739
The Sweeplings,Folk,743
Chris Tomlin,Alternative,744
Ravi Shankar,Classical,747
Broods,Pop,748
DeBarge,R&B,749
Charles Mingus,Jazz,751
Puscifer,Alternative,752
Drake,Hip-Hop,753
Julian Lage,Jazz,755
Robert Schimmel,Comedy,756
Jazmine Sullivan,R&B,757
Faith No More,Alternative,758
Linkin Park,Alternative,761
Eagles Of Death Metal,Blues,763
Arin Ray,R&B,764
DJ Khaled,R&B,765
Bazanji,Hip-Hop,767
Olivia O'Brien,R&B,773
Andrew Dice Clay,Comedy,774
Janelle Monáe,R&B,776
Freddie King,Blues,778
Richard Wagner,Opera,779
Ski Mask The Slump God,Hip-Hop,780
The Derek Trucks Band,Blues,781
Arin Ray,R&B,782
Loudon Wainwright III,Alternative,784
Berner,Hip-Hop,785
Sam Morril,Comedy,787
DaBaby,Hip-Hop,788
Charles Mingus,Jazz,793
Nobuo Uematsu,Classical,796
anders,R&B,799
Wardruna,Folk,800
Linkin Park,Alternative,802
Kid Rock,Alternative,803
Anita Baker,Jazz,805
Gustav Mahler,Classical,806
Wolfgang Amadeus Mozart,Classical,808
Coco Celis,Comedy,809
Gregory Porter,Jazz,810
Melody Gardot,Jazz,812
Giuseppe Verdi,Opera,813
The Who,Blues,815
Jean-Philippe Rameau,Opera,816
Charli XCX,R&B,817
Andrew Belle,Folk,818
Arin Ray,R&B,820
Eric Bellinger,R&B,821
Tom Papa,Comedy,823
Little Walter,Blues,825
Andrew Dice Clay,Comedy,827
Drake,Hip-Hop,828
Giacomo Puccini,Opera,832
LION BABE,R&B,833
Black Pistol Fire,Blues,834
Ray Charles,Blues,835
Nicki Minaj,Pop,838
Dennis Miller,Comedy,839
Gioachino Rossini,Opera,840
Doris Day,Jazz,842
Fuel,Pop,845
Jim Gaffigan,Comedy,846
City and Colour,Folk,847
T Bird and the Breaks,Blues,849
Patti LaBelle,R&B,850
Mario,R&B,853
Nazareth,Blues,854
$uicideBoy$,Hip-Hop,855
Anderson East,Blues,857
Clutch,Blues,858
The Front Bottoms,Alternative,859
Prince Royce,Pop,860
Charles Gounod,Opera,862
Beyoncé,R&B,863
Tech N9ne,Hip-Hop,865
DJ Khaled,R&B,872
George Lopez,Comedy,873
Weezer,Alternative,874
Morcheeba,Jazz,875
Dispatch,Pop,876
"Blood, Sweat & Tears",Blues,878
Justin Timberlake,Pop,880
Trombone Shorty,Jazz,881
Joe Goddard,Alternative,882
The Cinematic Orchestra,Jazz,883
Kllo,R&B,884
Black Veil Brides,Alternative,885
Bas,Hip-Hop,887
Richard Wagner,Opera,890
Rascal Flatts,Pop,891
Mocky,Jazz,893
Kurt Metzger,Comedy,894
The Black Crowes,Blues,896
Q-Tip,Hip-Hop,897
Icy Narco,Hip-Hop,900
The Flatliners,Folk,902
Bruno Mars,Pop,903
Jessie J,R&B,905
Ski Mask The Slump God,Hip-Hop,906
Buffalo Springfield,Blues,911
Kanye West,Pop,913
Hollywood Undead,Alternative,915
Lil Wayne,Hip-Hop,916
Andy Williams,Jazz,917
Steve Harvey,Comedy,918
Lukas Nelson and Promise of the Real,Blues,920
Liquid Tension Experiment,Classical,922
Wale,R&B,923
Giacomo Puccini,Opera,924
One Direction,Pop,925
Mariah Carey,R&B,927
YG,Hip-Hop,928
Logic,Hip-Hop,929
Kari Jobe,Alternative,932
Future,Hip-Hop,934
Lil Durk,Hip-Hop,935
Alicia Keys,R&B,936
Axian,Jazz,937
Hoodie Allen,Pop,938
Sam Evian,Folk,940
Fuego,Hip-Hop,941
Russ,Hip-Hop,942
Gotan Project,Jazz,943
Aretha Franklin,Blues,945
John Pinette,Comedy,946
The Zombies,Folk,948
The White Stripes,Blues,949
Kodak Black,Hip-Hop,950
Peggy Lee,Jazz,952
Rich Brian,Hip-Hop,953
Kurt Vile,Folk,954
Ghostemane,Hip-Hop,957
Alvin Lee,Blues,958
Mariah Carey,R&B,960
Christopher Titus,Comedy,961
Quinn XCII,Pop,962
Tommy Genesis,R&B,963
Baron Vaughn,Comedy,965
Jacob Lee,Folk,966
George Frideric Handel,Classical,968
Marc E. Bassy,R&B,969
Hurray For The Riff Raff,Folk,970
Count Basie,Jazz,971
Ludwig van Beethoven,Classical,974
Lil Uzi Vert,Pop,976
A R I Z O N A,Pop,977
Canned Heat,Blues,979
The Avett Brothers,Folk,980
Smokepurpp,Hip-Hop,981
Drake,Hip-Hop,983
Johnnyswim,Folk,985
KB,Hip-Hop,986
"Harry Connick, Jr.",Jazz,992
Kota the Friend,R&B,994
Nengo Flow,Hip-Hop,995
Keb' Mo',Blues,996
Desmond Cheese,Jazz,999
Trey Songz,R&B,1000
Carl Philipp Emanuel Bach,Classical,1001
Richard Wagner,Opera,1002
J.J. Cale,Blues,1004
Anthony Evans,R&B,1006
K-Ci & JoJo,R&B,1009
Roberto Alagna,Opera,1012
Alina Baraz,R&B,1013
Kurupt,Hip-Hop,1015
Belly,Hip-Hop,1016
Margaret Cho,Comedy,1017
Elley Duhé,R&B,1024
Drake,Hip-Hop,1025
Sage The Gemini,Hip-Hop,1026
George Lopez,Comedy,1031
Umberto Giordano,Opera,1032
Ruben Gonzalez,Jazz,1039
Caamp,Folk,1040
AJJ,Folk,1041
Billy Lemos,R&B,1042
ZZ Top,Blues,1044
Jethro Tull,Blues,1046
Jessie Ware,R&B,1047
Eminem,Hip-Hop,1048
Billie Eilish,Pop,1050
Luther Vandross,R&B,1052
Eric Bellinger,R&B,1053
"Tyler, The Creator",Hip-Hop,1054
Aretha Franklin,Blues,1055
Seth Ennis,Pop,1061
Jethro Tull,Blues,1062
G Herbo,Hip-Hop,1063
Lionel Hampton,Jazz,1064
Mat Kearney,Folk,1068
Jimmy Durante,Jazz,1073
Quicksilver Messenger Service,Blues,1078
Andrea Bocelli,Classical,1079
J Balvin,Pop,1080
Sonic Youth,Blues,1081
The Weeknd,R&B,1082
Jay Mohr,Comedy,1083
Natalia Lafourcade,Alternative,1085
Sik-K,R&B,1087
Keyshia Cole,R&B,1089
Franz Liszt,Classical,1090
Iamsu!,Hip-Hop,1091
Bryce Vine,Pop,1093
Kehlani,R&B,1094
Drake,Hip-Hop,1096
Tucka,Blues,1098
Rihanna,R&B,1099
Widespread Panic,Blues,1100
Mahalia,R&B,1103
BADBADNOTGOOD,Jazz,1105
Johann Sebastian Bach,Classical,1106
John Maus,Folk,1109
Ludwig van Beethoven,Classical,1112
John Mulaney,Comedy,1114
Dane Cook,Comedy,1118
Giuseppe Verdi,Opera,1119
Anjelah Johnson,Comedy,1122
Halestorm,Alternative,1124
Giacomo Puccini,Opera,1126
Robert Plant,Blues,1127
Phish,Blues,1128
Edie Brickell & New Bohemians,Folk,1133
François Couperin,Classical,1137
Gavin DeGraw,Pop,1139
Chad Daniels,Comedy,1140
Ravyn Lenae,R&B,1141
Cultura Profética,Alternative,1143
Fattburger,Jazz,1144
Pablo Francisco,Comedy,1150
Billy Stewart,Blues,1151
Soda Stereo,Alternative,1152
Floetry,R&B,1153
Mac Ayres,R&B,1154
The Japanese House,Folk,1157
Little Mix,R&B,1161
tusken.,Jazz,1162
Jerry Garcia,Blues,1163
Teddy Pendergrass,R&B,1164
"Orchestra Del Teatro Alla Scala, Milano",Opera,1166
Norman Brown,Jazz,1168
Katt Williams,Comedy,1170
Joe Hertz,R&B,1171
St. Vincent,Folk,1172
Benjamin Francis Leftwich,Folk,1173
Ludwig van Beethoven,Classical,1176
Vincenzo Bellini,Opera,1178
Soul Coughing,Alternative,1180
Soda Stereo,Alternative,1182
Busta Rhymes,Hip-Hop,1183
Dr. Dre,Pop,1184
Dexter Gordon,Jazz,1185
Joshua Hyslop,Folk,1186
Avant,Hip-Hop,1187
PARTYNEXTDOOR,R&B,1189
Tyler Farr,Pop,1190
Freddie Jackson,R&B,1191
Thievery Corporation,Jazz,1192
MadeinTYO,Hip-Hop,1193
Bill Hicks,Comedy,1194
Jhay Cortez,Hip-Hop,1196
Flyleaf,Alternative,1201
Ibeyi,Alternative,1203
Pete Molinari,Blues,1204
August Alsina,R&B,1206
Tove Lo,R&B,1207
Bill Evans Trio,Jazz,1208
Elley Duhé,R&B,1209
Nicky Jam,Hip-Hop,1210
Richard Wagner,Opera,1211
Ariana Grande,Pop,1212
Justin Townes Earle,Blues,1213
Erykah Badu,R&B,1214
Robben Ford,Blues,1215
2 Chainz,Hip-Hop,1216
Brothers Osborne,Pop,1218
Giacomo Puccini,Opera,1219
Doug Stanhope,Comedy,1220
Styx,Folk,1221
Jacquees,R&B,1222
Cherish,Hip-Hop,1223
Meek Mill,Hip-Hop,1224
B.o.B,R&B,1226
Vince Staples,Hip-Hop,1227
Archie Bell & The Drells,Blues,1229
Brian Culbertson,Jazz,1231
Richard Wagner,Opera,1232
Gioachino Rossini,Opera,1233
Nicki Minaj,Pop,1234
Stan Forebee,Jazz,1236
Mariah Carey,R&B,1237
Nobuo Uematsu,Classical,1238
Local Natives,Folk,1239
Nick Drake,Folk,1240
Georges Bizet,Opera,1241
The Band,Blues,1243
Death Grips,Hip-Hop,1244
Frédéric Chopin,Classical,1247
Anton Rubinstein,Classical,1248
Ivy Queen,Hip-Hop,1249
Emmylou Harris,Folk,1251
Pete Holmes,Comedy,1252
Kelsey Lu,R&B,1255
Phish,Blues,1256
Jay Prince,R&B,1257
Steve Hofstetter,Comedy,1258
Patton Oswalt,Comedy,1259
Duckwrth,Alternative,1261
B.o.B,R&B,1266
Rise Against,Alternative,1268
Vincenzo Bellini,Opera,1269
Kenny Wayne Shepherd,Blues,1270
Travis Scott,Pop,1273
The Dead Weather,Blues,1276
Jeff Bernat,R&B,1277
New Order,Alternative,1281
Metro Boomin,Hip-Hop,1283
Sharon Jones & The Dap-Kings,Jazz,1284
Katchafire,Hip-Hop,1288
Bo Diddley,Blues,1291
Luther Vandross,R&B,1292
Drake,Hip-Hop,1294
Giuseppe Verdi,Opera,1296
Ray Charles,Blues,1297
Langhorne Slim,Folk,1298
Fat Freddy's Drop,Jazz,1300
T.K. Soul,Blues,1301
Lil Yachty,Hip-Hop,1302
Hal Sparks,Comedy,1303
SG Lewis,R&B,1304
Lil Yachty,Hip-Hop,1305
Gustav Mahler,Classical,1306
The Marshall Tucker Band,Blues,1307
Future,Hip-Hop,1309
Ollie,Hip-Hop,1311
Col3trane,R&B,1312
Loco,R&B,1313
Engelbert Humperdinck,Opera,1315
Breaking Benjamin,Alternative,1316
Fruit Bats,Folk,1318
Hue,R&B,1319
Renata Tebaldi,Opera,1320
Joe Rogan,Comedy,1321
The Offspring,Alternative,1322
Hannibal Buress,Comedy,1323
Nat King Cole,Jazz,1324
Matthew Sweet,Alternative,1326
The Supremes,Folk,1327
Arturo Márquez,Classical,1328
Georges Bizet,Opera,1330
Jean-Baptiste Lully,Opera,1331
Frank Ocean,Alternative,1333
Giacomo Puccini,Opera,1336
Eagles Of Death Metal,Blues,1337
Belle & Sebastian,Folk,1339
Smino,R&B,1340
DMX,Hip-Hop,1342
Lemaitre,Alternative,1343
Maldy,Hip-Hop,1346
The Goo Goo Dolls,Alternative,1349
Hollywood Undead,Alternative,1350
Summer Walker,Alternative,1351
G-Eazy,Hip-Hop,1353
Mongo Santamaria,Jazz,1354
Nick Wilson,Folk,1356
André Laplante,Classical,1358
Sergei Rachmaninoff,Classical,1362
Giacomo Puccini,Opera,1363
John Philip Sousa,Classical,1364
Tony Dize,Hip-Hop,1365
Bass Santana,Hip-Hop,1368
Duckwrth,Alternative,1369
Vince Staples,Hip-Hop,1370
Richard Wagner,Opera,1371
Niccolò Paganini,Classical,1372
Imaginary Future,Folk,1373
Toro y Moi,R&B,1374
Korn,Alternative,1376
Mike Bahía,Pop,1377
Christopher Titus,Comedy,1379
Tory Lanez,Hip-Hop,1380
Flitz&Suppe,Jazz,1382
Taj Mahal,Blues,1384
Jim Breuer,Comedy,1386
Cassadee Pope,Pop,1387
Jorja Smith,R&B,1389
AFI,Alternative,1390
HAIM,Folk,1392
Anna Netrebko,Opera,1393
Mary J. Blige,R&B,1394
Don Omar,Hip-Hop,1395
Gioachino Rossini,Opera,1396
Busta Rhymes,Hip-Hop,1399
Kendrick Lamar,Hip-Hop,1400
Michael Jackson,Pop,1402
Meek Mill,Hip-Hop,1404
REO Speedwagon,Folk,1405
Steve Martin,Comedy,1406
Mac Miller,Hip-Hop,1409
Maxwell,Pop,1410
Lil Wayne,Hip-Hop,1413
The War On Drugs,Folk,1415
Chuck Mangione,Jazz,1417
YBN Cordae,Hip-Hop,1418
Nicola Porpora,Opera,1423
Bo Burnham,Comedy,1424
"Earth, Wind & Fire",Jazz,1426
Marilyn Horne,Opera,1427
Brent Faiyaz,R&B,1429
Joe Walsh,Blues,1430
Steve Miller Band,Blues,1431
Xzibit,Hip-Hop,1433
Radiohead,Alternative,1434
Darryl Lenox,Comedy,1436
Calle 13,Alternative,1437
The Skatalites,Jazz,1438
Wolfgang Amadeus Mozart,Classical,1439
De La Ghetto,Hip-Hop,1440
Elmore James,Blues,1441
Ratatat,Alternative,1442
Isaac Albéniz,Classical,1446
José Carreras,Opera,1447
Majid Jordan,R&B,1451
Cage The Elephant,Blues,1452
JAHKOY,R&B,1453
Meghan Trainor,R&B,1454
Chevelle,Alternative,1458
Meghan Trainor,R&B,1459
Akon,R&B,1460
Gary Burton,Jazz,1461
Gorillaz,Alternative,1462
Jeremih,R&B,1463
Jeezy,Hip-Hop,1464
Logic,Hip-Hop,1467
Lil Xan,Hip-Hop,1469
Future,Hip-Hop,1471
Tenth Avenue North,Alternative,1472
Antonio Vivaldi,Classical,1473
Kygo,Pop,1476
The Internet,R&B,1477
Nat King Cole,Jazz,1478
Matt Braunger,Comedy,1479
Alejandro Escovedo,Folk,1480
Ellie Goulding,R&B,1481
Mike Jones,Hip-Hop,1482
Stephen Lynch,Comedy,1483
Daddy Yankee,Hip-Hop,1485
Ludwig van Beethoven,Classical,1487
Brandy,R&B,1488
Redd Foxx,Comedy,1489
Jennifer Hudson,R&B,1490
Warren Hill,Jazz,1492
Lady Gaga,Pop,1495
Aer,Pop,1496
Default,Pop,1498
Artifacts,Alternative,1500
Jacques Offenbach,Opera,1505
Eminem,Hip-Hop,1506
Jeremih,R&B,1508
Shakewell,Hip-Hop,1509
Drake,Hip-Hop,1511
Georges Bizet,Opera,1512
Georges Bizet,Opera,1513
Teyana Taylor,R&B,1514
Léo Delibes,Opera,1515
Wilco,Folk,1519
Myq Kaplan,Comedy,1522
Nina Simone,Blues,1525
Aretha Franklin,Blues,1527
Jeezy,Hip-Hop,1529
Don Omar,Hip-Hop,1530
John Legend,R&B,1531
Eric Clapton,Blues,1532
Pyotr Ilyich Tchaikovsky,Classical,1533
Kathleen Madigan,Comedy,1535
Wolfgang Amadeus Mozart,Classical,1538
El Gran Combo De Puerto Rico,Jazz,1539
Madison Beer,R&B,1542
Josh Sneed,Comedy,1544
Taylor Swift,Pop,1546
Tank,R&B,1549
Acoustic Alchemy,Jazz,1550
Jean-Philippe Rameau,Opera,1551
Olivia O'Brien,R&B,1552
50 Cent,Hip-Hop,1553
Billy Joel,Folk,1556
Joyner Lucas,Hip-Hop,1558
Merl Saunders,Blues,1560
Eddie Griffin,Comedy,1561
Machine Gun Kelly,Hip-Hop,1565
blackbear,Pop,1566
