instance_id,Neural Network
616,Folk
617,Alternative
618,Blues
619,Comedy
620,Blues
621,Blues
622,R&B
623,Alternative
624,Blues
625,Folk
626,Folk
627,Blues
628,Pop
629,Pop
630,Jazz
631,Comedy
632,Pop
633,Blues
634,Hip-Hop
635,Hip-Hop
636,Alternative
637,Comedy
638,Blues
639,Blues
640,Hip-Hop
641,Opera
642,Hip-Hop
643,Classical
644,Alternative
645,Blues
646,Blues
647,Blues
648,Opera
649,R&B
650,Folk
651,Blues
652,Classical
653,Alternative
654,Classical
655,Folk
656,Folk
657,Folk
658,Blues
659,Alternative
660,Pop
661,Blues
662,Blues
663,Classical
664,Hip-Hop
665,Folk
666,Hip-Hop
667,Pop
668,Blues
669,Alternative
670,Folk
671,Blues
672,Blues
673,Blues
674,Alternative
675,Comedy
676,Opera
677,Pop
678,Hip-Hop
679,Hip-Hop
680,Classical
681,Alternative
682,Blues
683,Hip-Hop
684,R&B
685,Alternative
686,Pop
687,Folk
688,Comedy
689,Alternative
690,Blues
691,Blues
692,Jazz
693,Alternative
694,Alternative
695,Alternative
696,Blues
697,Blues
698,Blues
699,Opera
700,Pop
701,Hip-Hop
702,Blues
703,Blues
704,Hip-Hop
705,Alternative
706,Pop
707,Comedy
708,Blues
709,Jazz
710,Classical
711,Folk
712,Jazz
713,Jazz
714,Comedy
715,Folk
716,Folk
717,Comedy
718,Folk
719,Blues
720,Blues
721,Folk
722,Opera
723,Alternative
724,Blues
725,Alternative
726,Hip-Hop
727,R&B
728,Blues
729,Folk
730,Jazz
731,Blues
732,Comedy
733,Pop
734,Hip-Hop
735,Folk
736,Pop
737,Alternative
738,Blues
739,Pop
740,Jazz
741,Folk
742,Opera
743,Pop
744,Folk
745,Pop
746,Jazz
747,Jazz
748,Alternative
749,Alternative
750,Pop
751,Blues
752,Folk
753,Hip-Hop
754,Folk
755,Classical
756,Comedy
757,Hip-Hop
758,Alternative
759,R&B
760,Folk
761,Pop
762,Comedy
763,Alternative
764,Alternative
765,Pop
766,Comedy
767,Pop
768,Blues
769,Blues
770,Blues
771,R&B
772,Blues
773,Pop
774,Comedy
775,Jazz
776,Hip-Hop
777,Blues
778,Blues
779,Classical
780,Pop
781,Blues
782,R&B
783,Alternative
784,Folk
785,R&B
786,Blues
787,Comedy
788,Hip-Hop
789,Comedy
790,R&B
791,Hip-Hop
792,R&B
793,Jazz
794,Jazz
795,Hip-Hop
796,Classical
797,Blues
798,Blues
799,Folk
800,Jazz
801,Hip-Hop
802,Alternative
803,Pop
804,Folk
805,Folk
806,Opera
807,Comedy
808,Classical
809,Comedy
810,Blues
811,Comedy
812,Folk
813,Opera
814,Blues
815,Pop
816,Classical
817,Hip-Hop
818,Folk
819,Pop
820,R&B
821,Folk
822,Pop
823,Comedy
824,Blues
825,Blues
826,Hip-Hop
827,Comedy
828,Hip-Hop
829,Folk
830,Folk
831,Opera
832,Opera
833,R&B
834,Blues
835,Folk
836,Blues
837,Classical
838,Pop
839,Comedy
840,Opera
841,Folk
842,Folk
843,Hip-Hop
844,Jazz
845,Alternative
846,Comedy
847,Opera
848,Blues
849,Blues
850,Folk
851,R&B
852,Blues
853,R&B
854,Blues
855,Pop
856,Pop
857,Blues
858,Blues
859,Alternative
860,Folk
861,Opera
862,Opera
863,R&B
864,Alternative
865,Hip-Hop
866,Comedy
867,Blues
868,Hip-Hop
869,Hip-Hop
870,Alternative
871,Blues
872,Pop
873,Comedy
874,Pop
875,Jazz
876,Blues
877,Pop
878,Blues
879,Blues
880,Hip-Hop
881,Classical
882,Folk
883,Jazz
884,Jazz
885,Alternative
886,Blues
887,Hip-Hop
888,Alternative
889,Comedy
890,Classical
891,Pop
892,Classical
893,R&B
894,Comedy
895,Comedy
896,Blues
897,Hip-Hop
898,Alternative
899,Classical
900,R&B
901,Alternative
902,Blues
903,Pop
904,Blues
905,Pop
906,Hip-Hop
907,Jazz
908,R&B
909,Blues
910,Blues
911,Blues
912,R&B
913,Pop
914,Folk
915,Alternative
916,Pop
917,Blues
918,Comedy
919,Blues
920,Jazz
921,Alternative
922,Blues
923,R&B
924,Opera
925,Pop
926,Opera
927,Alternative
928,Hip-Hop
929,Pop
930,Comedy
931,Classical
932,Alternative
933,Jazz
934,Hip-Hop
935,Hip-Hop
936,R&B
937,Jazz
938,Hip-Hop
939,Folk
940,Folk
941,Comedy
942,Hip-Hop
943,Jazz
944,Alternative
945,Opera
946,Comedy
947,Alternative
948,Pop
949,Classical
950,Pop
951,Blues
952,Jazz
953,R&B
954,Folk
955,Alternative
956,R&B
957,Hip-Hop
958,Jazz
959,Alternative
960,Folk
961,Comedy
962,Pop
963,Hip-Hop
964,Opera
965,Comedy
966,R&B
967,Pop
968,Jazz
969,Hip-Hop
970,Folk
971,Opera
972,Comedy
973,Pop
974,Jazz
975,Opera
976,Pop
977,Hip-Hop
978,Folk
979,Blues
980,Folk
981,Hip-Hop
982,Jazz
983,Hip-Hop
984,Folk
985,Folk
986,Hip-Hop
987,Classical
988,Folk
989,Blues
990,Classical
991,Folk
992,Blues
993,Folk
994,Hip-Hop
995,Blues
996,Blues
997,Hip-Hop
998,Blues
999,Jazz
1000,Hip-Hop
1001,Opera
1002,Opera
1003,Blues
1004,Blues
1005,Pop
1006,Folk
1007,Jazz
1008,Blues
1009,R&B
1010,Blues
1011,Blues
1012,Opera
1013,R&B
1014,Hip-Hop
1015,Hip-Hop
1016,Hip-Hop
1017,Comedy
1018,Blues
1019,Pop
1020,Jazz
1021,Alternative
1022,Blues
1023,Alternative
1024,Hip-Hop
1025,Hip-Hop
1026,Pop
1027,Alternative
1028,Alternative
1029,Classical
1030,Opera
1031,Comedy
1032,Opera
1033,Comedy
1034,Alternative
1035,Blues
1036,Alternative
1037,Blues
1038,Folk
1039,Jazz
1040,Folk
1041,Blues
1042,Folk
1043,Folk
1044,Blues
1045,Alternative
1046,Blues
1047,R&B
1048,Hip-Hop
1049,Alternative
1050,Pop
1051,Jazz
1052,Folk
1053,R&B
1054,Hip-Hop
1055,Folk
1056,R&B
1057,Alternative
1058,Alternative
1059,Hip-Hop
1060,R&B
1061,Blues
1062,Blues
1063,Hip-Hop
1064,Blues
1065,Folk
1066,Blues
1067,Pop
1068,Folk
1069,Blues
1070,R&B
1071,Pop
1072,Blues
1073,Comedy
1074,Blues
1075,Blues
1076,Blues
1077,Pop
1078,Jazz
1079,Opera
1080,Alternative
1081,Folk
1082,Pop
1083,Comedy
1084,Blues
1085,R&B
1086,Hip-Hop
1087,Blues
1088,Blues
1089,Blues
1090,Classical
1091,R&B
1092,Comedy
1093,Alternative
1094,Hip-Hop
1095,Jazz
1096,Alternative
1097,Blues
1098,Blues
1099,Pop
1100,Classical
1101,Blues
1102,Blues
1103,R&B
1104,Alternative
1105,Folk
1106,Opera
1107,Blues
1108,Alternative
1109,Blues
1110,Pop
1111,Blues
1112,Classical
1113,Classical
1114,Comedy
1115,Blues
1116,R&B
1117,Blues
1118,Comedy
1119,Opera
1120,Blues
1121,Alternative
1122,Comedy
1123,Blues
1124,Alternative
1125,Blues
1126,Opera
1127,Blues
1128,Blues
1129,Blues
1130,Blues
1131,R&B
1132,Alternative
1133,Folk
1134,Blues
1135,Folk
1136,Blues
1137,Classical
1138,Blues
1139,Alternative
1140,Comedy
1141,Folk
1142,Blues
1143,R&B
1144,Jazz
1145,Hip-Hop
1146,R&B
1147,R&B
1148,Folk
1149,Blues
1150,Comedy
1151,Folk
1152,Alternative
1153,Blues
1154,Pop
1155,Blues
1156,Jazz
1157,Folk
1158,Jazz
1159,R&B
1160,Opera
1161,Hip-Hop
1162,Jazz
1163,Blues
1164,Folk
1165,Blues
1166,Classical
1167,Jazz
1168,Jazz
1169,Folk
1170,Comedy
1171,Hip-Hop
1172,Folk
1173,Folk
1174,R&B
1175,Alternative
1176,Classical
1177,Blues
1178,Opera
1179,Blues
1180,Folk
1181,Opera
1182,Alternative
1183,Hip-Hop
1184,Pop
1185,Folk
1186,Pop
1187,R&B
1188,Alternative
1189,Hip-Hop
1190,Alternative
1191,Folk
1192,Alternative
1193,Hip-Hop
1194,Comedy
1195,R&B
1196,Hip-Hop
1197,Alternative
1198,Blues
1199,Pop
1200,Jazz
1201,Alternative
1202,Folk
1203,Folk
1204,Blues
1205,Folk
1206,Alternative
1207,Hip-Hop
1208,Jazz
1209,Hip-Hop
1210,Pop
1211,Opera
1212,Pop
1213,Alternative
1214,R&B
1215,Blues
1216,Hip-Hop
1217,Blues
1218,Alternative
1219,Opera
1220,Comedy
1221,Folk
1222,Pop
1223,R&B
1224,Hip-Hop
1225,Pop
1226,R&B
1227,Hip-Hop
1228,R&B
1229,Blues
1230,Blues
1231,Jazz
1232,Opera
1233,Opera
1234,R&B
1235,Alternative
1236,Jazz
1237,Folk
1238,Classical
1239,Alternative
1240,Jazz
1241,Classical
1242,Opera
1243,Blues
1244,Hip-Hop
1245,Blues
1246,Blues
1247,Classical
1248,Classical
1249,Blues
1250,Folk
1251,Folk
1252,Comedy
1253,Blues
1254,R&B
1255,Folk
1256,Blues
1257,Hip-Hop
1258,Comedy
1259,Comedy
1260,R&B
1261,Hip-Hop
1262,Hip-Hop
1263,Blues
1264,R&B
1265,Blues
1266,Pop
1267,Pop
1268,Alternative
1269,Opera
1270,Blues
1271,Alternative
1272,R&B
1273,Pop
1274,Hip-Hop
1275,Pop
1276,Blues
1277,R&B
1278,Folk
1279,Pop
1280,Comedy
1281,Alternative
1282,R&B
1283,Pop
1284,Blues
1285,Hip-Hop
1286,Pop
1287,R&B
1288,Blues
1289,Classical
1290,Blues
1291,Folk
1292,Jazz
1293,Blues
1294,Pop
1295,Blues
1296,Opera
1297,Jazz
1298,Folk
1299,Alternative
1300,Jazz
1301,Blues
1302,Hip-Hop
1303,Comedy
1304,Hip-Hop
1305,Pop
1306,Classical
1307,Blues
1308,Classical
1309,Hip-Hop
1310,Classical
1311,R&B
1312,R&B
1313,R&B
1314,Blues
1315,Opera
1316,Pop
1317,R&B
1318,Blues
1319,R&B
1320,Opera
1321,Comedy
1322,Pop
1323,Comedy
1324,Opera
1325,Blues
1326,Alternative
1327,Blues
1328,Classical
1329,Alternative
1330,Classical
1331,Opera
1332,Alternative
1333,R&B
1334,Blues
1335,Hip-Hop
1336,Opera
1337,Alternative
1338,R&B
1339,Alternative
1340,Hip-Hop
1341,Alternative
1342,Hip-Hop
1343,Pop
1344,Alternative
1345,R&B
1346,Hip-Hop
1347,Jazz
1348,Blues
1349,Alternative
1350,Hip-Hop
1351,Pop
1352,Opera
1353,Hip-Hop
1354,Jazz
1355,Comedy
1356,Folk
1357,R&B
1358,Classical
1359,Blues
1360,Blues
1361,Opera
1362,Classical
1363,Opera
1364,Opera
1365,Blues
1366,Blues
1367,Blues
1368,R&B
1369,Hip-Hop
1370,Alternative
1371,Opera
1372,Opera
1373,R&B
1374,Hip-Hop
1375,R&B
1376,Alternative
1377,Pop
1378,Alternative
1379,Comedy
1380,Hip-Hop
1381,Alternative
1382,R&B
1383,Pop
1384,Blues
1385,Comedy
1386,Comedy
1387,Alternative
1388,Blues
1389,Pop
1390,Alternative
1391,R&B
1392,R&B
1393,Opera
1394,Pop
1395,R&B
1396,Classical
1397,Hip-Hop
1398,Alternative
1399,Hip-Hop
1400,Alternative
1401,Folk
1402,Pop
1403,Jazz
1404,Pop
1405,Folk
1406,Opera
1407,Blues
1408,Hip-Hop
1409,Alternative
1410,Folk
1411,Hip-Hop
1412,Alternative
1413,Hip-Hop
1414,Alternative
1415,Folk
1416,Classical
1417,Jazz
1418,Hip-Hop
1419,Blues
1420,Jazz
1421,Blues
1422,Blues
1423,Opera
1424,Comedy
1425,Opera
1426,Folk
1427,Opera
1428,Pop
1429,Pop
1430,Jazz
1431,Blues
1432,Alternative
1433,Hip-Hop
1434,Jazz
1435,Comedy
1436,Comedy
1437,Hip-Hop
1438,Jazz
1439,Classical
1440,Blues
1441,Blues
1442,R&B
1443,Pop
1444,Blues
1445,Comedy
1446,Classical
1447,Opera
1448,Folk
1449,Hip-Hop
1450,R&B
1451,Hip-Hop
1452,Alternative
1453,R&B
1454,Hip-Hop
1455,R&B
1456,Hip-Hop
1457,Alternative
1458,Alternative
1459,Pop
1460,Hip-Hop
1461,Classical
1462,Hip-Hop
1463,Pop
1464,Hip-Hop
1465,R&B
1466,Blues
1467,Pop
1468,Comedy
1469,Hip-Hop
1470,Blues
1471,Hip-Hop
1472,Alternative
1473,Classical
1474,Jazz
1475,Blues
1476,Pop
1477,Alternative
1478,Classical
1479,Comedy
1480,Alternative
1481,Folk
1482,Hip-Hop
1483,Blues
1484,Hip-Hop
1485,R&B
1486,Folk
1487,Classical
1488,R&B
1489,Comedy
1490,Alternative
1491,Alternative
1492,Blues
1493,R&B
1494,Jazz
1495,Folk
1496,Blues
1497,Blues
1498,Alternative
1499,Blues
1500,Hip-Hop
1501,R&B
1502,Comedy
1503,Blues
1504,Alternative
1505,Opera
1506,Hip-Hop
1507,Blues
1508,Hip-Hop
1509,Pop
1510,Folk
1511,Pop
1512,Opera
1513,Opera
1514,R&B
1515,Opera
1516,Alternative
1517,Classical
1518,Folk
1519,Folk
1520,Blues
1521,Alternative
1522,Comedy
1523,Jazz
1524,Alternative
1525,Folk
1526,Classical
1527,Folk
1528,Pop
1529,Hip-Hop
1530,Blues
1531,Alternative
1532,Jazz
1533,Classical
1534,Opera
1535,Comedy
1536,Alternative
1537,Hip-Hop
1538,Classical
1539,Blues
1540,Classical
1541,Pop
1542,Pop
1543,Blues
1544,Comedy
1545,Folk
1546,Pop
1547,Blues
1548,R&B
1549,Alternative
1550,Jazz
1551,Classical
1552,R&B
1553,Hip-Hop
1554,Classical
1555,Folk
1556,Alternative
1557,Folk
1558,Hip-Hop
1559,Blues
1560,Jazz
1561,Comedy
1562,Pop
1563,R&B
1564,Hip-Hop
1565,R&B
1566,R&B
1567,Pop
1568,Jazz
1569,Comedy
1570,R&B
1571,Opera
1572,Jazz
1573,Alternative
1574,Hip-Hop
1575,Hip-Hop
1576,Pop
1577,R&B
1578,Pop
1579,Alternative
1580,Blues
1581,Opera
1582,Classical
1583,Hip-Hop
1584,Pop
1585,Blues
1586,Pop
1587,Folk
1588,Comedy
1589,R&B
1590,Blues
1591,Folk
1592,Jazz
1593,Comedy
1594,Alternative
1595,Blues
1596,Comedy
1597,Blues
1598,Classical
1599,Blues
1600,R&B
1601,Jazz
1602,Blues
1603,Blues
1604,Blues
1605,Folk
1606,Opera
1607,Hip-Hop
1608,Pop
1609,Jazz
1610,Opera
1611,Blues
1612,Blues
1613,R&B
1614,Pop
1615,Blues
1616,Blues
1617,Pop
1618,Pop
1619,Blues
1620,Opera
1621,Pop
1622,R&B
1623,Folk
1624,Hip-Hop
1625,Alternative
1626,R&B
1627,Alternative
1628,Alternative
1629,Comedy
1630,Pop
1631,Blues
1632,Opera
1633,Jazz
1634,Comedy
1635,Pop
1636,Jazz
1637,R&B
1638,Alternative
1639,Opera
1640,Hip-Hop
1641,Alternative
1642,Jazz
1643,Comedy
1644,Alternative
1645,Opera
1646,Classical
1647,Opera
1648,Opera
1649,Folk
1650,Blues
1651,Pop
1652,Opera
1653,Blues
1654,Hip-Hop
1655,R&B
1656,Folk
1657,Pop
1658,Opera
1659,Hip-Hop
1660,Pop
1661,Blues
1662,Blues
1663,Folk
1664,Hip-Hop
1665,Folk
1666,Blues
1667,Pop
1668,Jazz
1669,Jazz
1670,Comedy
1671,Folk
1672,Hip-Hop
1673,Classical
1674,Hip-Hop
1675,Folk
1676,Opera
1677,R&B
1678,Classical
1679,Pop
1680,Hip-Hop
1681,Jazz
1682,Pop
1683,Blues
1684,R&B
1685,Alternative
1686,Blues
1687,Blues
1688,Folk
1689,Jazz
1690,Blues
1691,Comedy
1692,Classical
1693,Classical
1694,Blues
1695,Blues
1696,Blues
1697,R&B
1698,Pop
1699,Pop
1700,R&B
1701,R&B
1702,Alternative
1703,Jazz
1704,Comedy
1705,Alternative
1706,Blues
1707,Alternative
1708,Blues
1709,Comedy
1710,Hip-Hop
1711,R&B
1712,Jazz
1713,Alternative
1714,Jazz
1715,Folk
1716,Opera
1717,Blues
1718,Alternative
1719,Pop
1720,Blues
1721,Blues
1722,R&B
1723,Opera
1724,Blues
1725,Jazz
1726,Alternative
1727,Blues
1728,Alternative
1729,Jazz
1730,R&B
1731,Comedy
1732,Pop
1733,Folk
1734,Pop
1735,R&B
1736,Alternative
1737,Hip-Hop
1738,Hip-Hop
1739,Hip-Hop
1740,Opera
1741,Hip-Hop
1742,Pop
1743,Hip-Hop
1744,Comedy
1745,Classical
1746,Blues
1747,Jazz
1748,Blues
1749,Hip-Hop
1750,Blues
1751,Blues
1752,Folk
1753,Alternative
1754,Blues
1755,Jazz
1756,Opera
1757,Jazz
1758,Blues
1759,R&B
1760,Alternative
1761,Blues
1762,Jazz
1763,Blues
1764,R&B
1765,Blues
1766,R&B
1767,Blues
1768,Blues
1769,R&B
1770,Hip-Hop
1771,Alternative
1772,Hip-Hop
1773,Alternative
1774,Pop
1775,Blues
1776,Comedy
1777,Blues
1778,Alternative
1779,Blues
1780,Pop
1781,Blues
1782,Alternative
1783,Blues
1784,Blues
1785,Pop
1786,Alternative
1787,Jazz
1788,Hip-Hop
1789,Opera
1790,Comedy
1791,Alternative
1792,Alternative
1793,Alternative
1794,Hip-Hop
1795,Alternative
1796,Comedy
1797,Alternative
1798,Opera
1799,Comedy
1800,Pop
1801,Jazz
1802,Hip-Hop
1803,Hip-Hop
1804,Folk
1805,Alternative
1806,Pop
1807,Folk
1808,Opera
1809,Comedy
1810,Alternative
1811,R&B
1812,Hip-Hop
1813,Comedy
1814,R&B
1815,Folk
1816,Opera
1817,Pop
1818,Opera
1819,Hip-Hop
1820,Pop
1821,Classical
1822,Jazz
1823,Folk
1824,Hip-Hop
1825,Hip-Hop
1826,Blues
1827,Hip-Hop
1828,Pop
1829,Comedy
1830,Folk
1831,Pop
1832,Opera
1833,Folk
1834,Classical
1835,Classical
1836,Pop
1837,Alternative
1838,Jazz
1839,Jazz
1840,Folk
1841,Blues
1842,Hip-Hop
1843,Blues
1844,Alternative
1845,Jazz
1846,Alternative
1847,Blues
1848,Folk
1849,Folk
1850,Jazz
1851,Alternative
1852,Blues
1853,Hip-Hop
1854,Blues
1855,Classical
1856,R&B
1857,R&B
1858,Folk
1859,Classical
1860,Hip-Hop
1861,Blues
1862,Folk
1863,Alternative
1864,Blues
1865,Folk
1866,Folk
1867,Jazz
1868,Blues
1869,Comedy
1870,Blues
1871,Jazz
1872,Classical
1873,Hip-Hop
1874,Comedy
1875,Alternative
1876,Comedy
1877,Pop
1878,Comedy
1879,Folk
1880,Folk
1881,Alternative
1882,R&B
1883,Folk
1884,Folk
1885,Hip-Hop
1886,Pop
1887,Folk
1888,Folk
1889,Opera
1890,Alternative
1891,Pop
1892,Jazz
1893,Comedy
1894,R&B
1895,Hip-Hop
1896,Hip-Hop
1897,Alternative
1898,Pop
1899,Alternative
1900,Comedy
1901,Comedy
1902,Blues
1903,Comedy
1904,Blues
1905,Pop
1906,Pop
1907,Opera
1908,Blues
1909,Hip-Hop
1910,Folk
1911,Blues
1912,Folk
1913,Comedy
1914,Blues
1915,Alternative
1916,R&B
1917,Pop
1918,Jazz
1919,Alternative
1920,Blues
1921,Blues
1922,Folk
1923,Folk
1924,R&B
1925,Alternative
1926,Blues
1927,Pop
1928,R&B
1929,Blues
1930,Blues
1931,Alternative
1932,Comedy
1933,Opera
1934,Alternative
1935,Folk
1936,Pop
1937,Alternative
1938,Folk
1939,Jazz
1940,Comedy
1941,Hip-Hop
1942,Blues
