artist_name,genre_summary
Akira Kosemura,Classical 12
Akon,"Pop 2, R&B 15"
Akua Naru,Jazz 1
Al B. Sure!,R&B 3
Al Di Meola,Classical 1
Al Green,Blues 23
Al Hirt,Jazz 1
Al James,Alternative 1
Al Jarreau,Jazz 5
Al Kooper,Blues 1
Al Madrigal,Comedy 14
Al Stewart,Folk 2
Alabama Shakes,"Folk 5, Pop 2"
Alan Saldaña,Comedy 17
Alanis Morissette,"Alternative 10, Folk 4"
Alastair Greene,Blues 1
Alban Berg,"Classical 1, Opera 15"
Albert Ayler,Jazz 1
Albert Collins,Blues 5
Albert Cummings,Blues 6
"Albert Hammond, Jr.",Blues 13
Albert King,Blues 11
Alberta Cross,Alternative 1
Alcatrazz,Classical 1
Aldo Romano,Jazz 1
Aldo Trujillo,Pop 1
Aldous Harding,Folk 1
Alec Benjamin,Pop 6
Alejandro Escovedo,Folk 1
Alejandro Fernandez,Pop 2
Alejandro Sanz,Pop 1
Aleks Syntek,Alternative 3
Alela Diane,Folk 1
Aleman,Hip-Hop 1
Alessandro De Marchi,Opera 3
Alessandro Scarlatti,"Classical 1, Opera 19"
Alessia Cara,"Pop 4, R&B 17"
Alesso,Pop 3
Alestorm,Folk 2
Alex Bugnon,Jazz 1
Alex Cameron,Alternative 2
Alex Chilton,Blues 1
Alex Clare,Alternative 1
Alex Ebert,Alternative 1
Alex Isley,"Alternative 1, R&B 1"
Alex Wiley,Hip-Hop 2
Alexander Borodin,Classical 6
Alexander Scriabin,Classical 7
Alexandra Stan,Pop 1
Alexi Murdoch,"Folk 3, Pop 1"
Alexis Weissenberg,Classical 1
Alexis y Fido,Hip-Hop 5
Alextbh,R&B 5
Alfa Mist,Jazz 5
Alfred Brendel,Classical 3
Alfred Schnittke,Classical 1
Alfredo Catalani,Opera 13
Alfredo Kraus,Opera 20
Alfredo Olivas,Pop 3
AlgoRythmik,Jazz 1
Ali Akbar Khan,Classical 1
Ali Farka Touré,Blues 3
Ali Gatie,Hip-Hop 4
Ali LeRoi,Comedy 2
Alice Coltrane,Jazz 4
Alice Cooper,Blues 19
Alice Francis,Jazz 1
Alice In Chains,Alternative 25
Alice Pisano,Alternative 1
Alice Russell,Jazz 2
Alicia Keys,"Pop 2, R&B 18"
Alien Ant Farm,"Alternative 1, Pop 1"
Alina Baraz,"Alternative 12, Pop 3, R&B 18"
Aliocha,Folk 1
Alisa Weilerstein,Classical 1
Alison Balsom,Classical 1
Alison Krauss,Folk 3
Alison Krauss & Union Station,Folk 1
All That Jazz,Jazz 1
All That Remains,Alternative 7
All Them Witches,Blues 11
All Time Low,Pop 6
All-4-One,R&B 2
Allah-Las,Folk 3
Allan Kingdom,Hip-Hop 1
Allen Toussaint,Blues 9
Allman Brown,Folk 2
Aloe Blacc,R&B 5
Alonzo Bodden,Comedy 38
Alta Consigna,Pop 2
Altan,Folk 1
Alter Bridge,Alternative 7
AlunaGeorge,R&B 5
Alvaro Soler,Pop 2
Alvin Lee,Blues 1
Alvin Youngblood Hart,Blues 1
Alvvays,Folk 6
Always Never,"Alternative 1, R&B 6"
Aly & AJ,Pop 1
Alysha Brilla,Blues 1
Ama Lou,"Alternative 1, R&B 3"
Amaal,R&B 1
Amanda Palmer,Folk 3
Amanda Shires,Folk 1
Amazonics,Jazz 1
Amber Mark,"Alternative 3, R&B 8"
Amber Run,"Folk 10, Pop 1"
Ambroise Thomas,Opera 5
Ambrose Akinmusire,Jazz 2
Ambrosia,Folk 3
Ambrosian Opera Chorus,Opera 1
Amen Dunes,Folk 1
America,Folk 5
American Authors,Pop 1
American Football,Alternative 1
Amerie,"Hip-Hop 1, R&B 3"
Amigo the Devil,Folk 3
Amilcare Ponchielli,"Classical 1, Opera 15"
Amilli,R&B 1
Aminé,"Hip-Hop 15, Pop 11"
Amir Obe,"Hip-Hop 4, R&B 1"
Amon Amarth,Alternative 8
Amon Tobin,Jazz 2
Amos Lee,Folk 6
Amos Milburn,Blues 2
Amy Grant,Alternative 1
Amy Liz,Folk 1
Amy Macdonald,Folk 1
Amy Schumer,Comedy 17
An Endless Sporadic,Jazz 2
Ana Popovic,Blues 4
Analogik,Jazz 1
Anarbor,Pop 1
Anat Cohen,Classical 1
Anaïs Mitchell,Folk 1
Anberlin,Alternative 1
Ancient Astronauts,Jazz 2
Ancient Bards,Classical 1
Anders Miolin,Classical 1
Anders Osborne,Blues 9
Anderson East,"Blues 13, Folk 10"
Anderson and Roe,Classical 1
Andi Smith,Comedy 5
Andra Day,R&B 2
Andrae Crouch,R&B 1
Andrea Bocelli,Classical 53
Andrea von Kampen,Folk 2
Andreas Scholl,Opera 10
Andrei Krylov,Classical 7
Andrelli,Pop 1
"Andrew ""Jr Boy"" Jones",Blues 1
Andrew Belle,"Folk 8, Pop 1"
Andrew Bird,Folk 18
Andrew Cyrille,Jazz 1
Andrew Dice Clay,Comedy 60
Andrew Norelli,Comedy 23
Andrew Peterson,Alternative 1
Andrew York,Classical 3
André Laplante,Classical 2
André Messager,Opera 4
André Previn,Classical 8
André-Ernest-Modeste Grétry,Opera 3
Andrés Calamaro,"Alternative 1, Jazz 1"
Andrés Segovia,Classical 1
Andy Black,Pop 1
Andy Frasco & the U.N.,Blues 2
Andy Grammer,Pop 4
Andy Hendrickson,Comedy 4
Andy James,Classical 6
Andy Kong,Folk 1
Andy Mineo,Hip-Hop 9
Andy Montañez,Jazz 1
Andy Ritchie,Comedy 4
Andy Shauf,Folk 4
Andy Snitzer,Jazz 1
Andy Timmons,Classical 2
Andy Williams,Jazz 9
Andy Woodhull,Comedy 10
Ane Brun,Folk 1
Anfa Rose,Hip-Hop 2
Angel Canales,Jazz 1
Angel Olsen,"Alternative 2, Folk 5"
Angel Snow,Alternative 1
"Angele Dubeau, Ensemble Amati, Raymond Dessaints",Classical 1
Angelo Badalamenti,Jazz 4
Angelo De Augustine,Folk 3
Angra,Classical 2
Angus & Julia Stone,"Folk 12, Pop 1"
Angélica Negrón,Classical 1
Ani DiFranco,Folk 3
Anika,Folk 1
Animal Collective,"Folk 2, Pop 1"
Animals As Leaders,Jazz 17
Anita Baker,"Jazz 11, R&B 7"
Anita O'Day,Jazz 2
Anjelah Johnson,Comedy 25
Ann Hampton Callaway,Jazz 1
Ann Peebles,Blues 1
Anna Clendening,Pop 3
Anna Moffo,Opera 10
Anna Nalick,"Folk 2, Pop 1"
Anna Netrebko,Opera 11
Anna Of The North,Pop 1
Anne Murray,Folk 1
Anne Sofie von Otter,"Classical 1, Opera 8"
Anne-Marie,Pop 2
Annella,Jazz 4
Anni Piper,Blues 1
Annie Lennox,Folk 7
Annmarie,"Pop 1, R&B 12"
Anomalie,R&B 2
Anomaly,Jazz 1
Anouar Brahem,"Folk 1, Jazz 2"
Ansel Elgort,Pop 2
Anthem Lights,Alternative 9
Anthony Evans,R&B 2
Anthony Gomes,Blues 2
Anthony Hamilton,R&B 3
Anthony Jeselnik,Comedy 19
Anthony Russo,Pop 1
Anthrax,Alternative 1
Anti-Lilly & Phoniks,Jazz 1
Anton Batagov,Classical 1
Anton Bruckner,Classical 5
Anton Rubinstein,Classical 2
Anton Webern,Classical 1
Antonio Caldara,Opera 15
Antonio Cesti,Opera 1
Antonio Maria Bononcini,Opera 2
Antonio Salieri,Classical 1
Antonio Sartorio,Opera 2
Antonio Soler,Classical 1
Antonio Vivaldi,Classical 68
Antonín Dvořák,Classical 62
Antônio Carlos Jobim,Classical 14
Anya Marina,Folk 1
Aníbal El Muerto,Comedy 4
Anúna,Folk 1
Aoife O'Donovan,Folk 2
Aolani,R&B 1
Apes of the State,Folk 1
Apocalypse Orchestra,Folk 1
Apocalyptica,Alternative 1
Apollo Brown,Alternative 1
Appleby,"Alternative 1, R&B 2"
April + Vista,R&B 1
Aqua,Pop 1
Aquilo,"Folk 9, Pop 1"
Ar'mon & Trey,"Pop 2, R&B 5"
Aram Khachaturian,Classical 3
Aranda,Alternative 1
Arcade Fire,"Alternative 11, Folk 8"
Arcangelo Corelli,Classical 7
Arch Echo,Jazz 2
Arch Enemy,Alternative 1
Archie Bell & The Drells,Blues 1
Archie Shepp,Jazz 1
Archspire,Jazz 2
Arctic Lake,Folk 2
Aretha Franklin,"Blues 17, Jazz 11"
Argonaut & Wasp,Alternative 1
Ari Lennox,"Alternative 17, R&B 6"
Ariana Grande,Pop 24
Ariel Camacho y Los Plebes Del Rancho,Pop 2
Ariel Pink,"Alternative 2, Folk 5"
Arima Ederra,R&B 1
Arin Ray,"Alternative 2, R&B 6"
Arizona Zervas,"Hip-Hop 3, Pop 1"
Arj Barker,Comedy 1
Arleen Auger,Opera 1
Arlo Guthrie,Folk 2
Arlo Parks,"Alternative 1, R&B 2"
Arne Domnérus,Jazz 1
Arnold Bax,Classical 1
Arnold Schoenberg,Classical 9
Aron Burton,Blues 1
AronChupa,Pop 1
Arrested Youth,Alternative 2
Arrigo Boito,Opera 8
Art Blakey,Jazz 3
Art Blakey & The Jazz Messengers,Jazz 3
Art Feynman,Jazz 1
Art Garfunkel,Folk 1
Art Of Dying,Alternative 2
Art Pepper,Jazz 3
Art Tatum,Jazz 3
Artemis Quartet,Classical 1
Arthur Conley,Blues 2
Arthur Grumiaux,Classical 1
Arthur Lourié,Classical 1
Arthur Lyman,Jazz 2
Arthur Rubinstein,Classical 9
Arthur Verocai,Jazz 2
Artie Lange,Comedy 21
Artie Shaw,Jazz 4
Artifacts,"Alternative 1, Jazz 1"
Arturo Márquez,Classical 1
Arturo Sandoval,Jazz 3
Arvo Pärt,Classical 14
As I Lay Dying,Alternative 6
Ash Grunwald,Blues 1
Ash Walker,Jazz 1
Ashanti,"Hip-Hop 4, Pop 1, R&B 5"
Ashes Remain,Alternative 1
Ashley Tisdale,Pop 1
Asiahn,"Alternative 1, R&B 5"
Asian Doll,R&B 1
Astor Piazzolla,Classical 6
Astrid S,Pop 2
Astrud Gilberto,Jazz 3
Aterciopelados,Alternative 1
Atlanta Rhythm Section,"Blues 7, Folk 1"
Atlantic Five Jazz Band,Jazz 4
Atlantic Starr,R&B 4
Atlas Genius,Pop 1
Atmosphere,"Alternative 8, Hip-Hop 10"
Atomic Kitten,Pop 1
Atreyu,Alternative 8
Audio Adrenaline,Alternative 1
Audioslave,Alternative 8
Aug-08,R&B 2
August Alsina,"Hip-Hop 4, Pop 2, R&B 13"
Austin Burke,Pop 2
Austin French,Pop 1
Austin Mahone,Pop 1
Ava Max,Pop 9
Avail Hollywood,Blues 3
Avant,"Hip-Hop 2, Pop 1, R&B 2"
Avantasia,Classical 12
Avatar,Alternative 4
Avenged Sevenfold,Alternative 26
Aventura,"Hip-Hop 11, Pop 2"
Average White Band,Jazz 8
Avery Wilson,R&B 2
Avicii,Pop 9
Avril Lavigne,Pop 4
Awon,Jazz 1
Axel Flovent,Folk 1
Axian,Jazz 7
Axwell /\ Ingrosso,Pop 1
Ayelle,"Alternative 1, R&B 1"
Aynsley Lister,Blues 2
Ayreon,Classical 1
Azealia Banks,"Hip-Hop 2, R&B 1"
Aziz Ansari,Comedy 29
Azizi Gibson,Hip-Hop 4
Azymuth,Jazz 2
B Smyth,R&B 1
B-Side,Jazz 14
B.B. King,"Blues 28, Jazz 3"
B.o.B,"Hip-Hop 8, Pop 5, R&B 11"
B0nds,Jazz 9
B2K,"Hip-Hop 2, Pop 2, R&B 3"
BADBADNOTGOOD,"Hip-Hop 1, Jazz 16"
BANKS,"Alternative 8, R&B 13"
BANNERS,"Folk 5, Pop 1"
BAYNK,Alternative 1
BEXEY,Hip-Hop 2
BIGBANG,Pop 3
BJ The Chicago Kid,"Alternative 5, Hip-Hop 1, R&B 1"
BLACKPINK,Pop 2
BLAISE MOORE,R&B 1
BLESSED,Alternative 1
BONES,Hip-Hop 5
BRIDGE,"Alternative 1, R&B 4"
BROCKHAMPTON,"Hip-Hop 23, Pop 11"
BTS,Pop 32
BWB,Jazz 1
Baaba Maal,"Blues 1, Pop 1"
Baby Bash,"Hip-Hop 1, Pop 1, R&B 5"
Baby Boy Da Prince,Hip-Hop 1
Babyface,R&B 3
Bachman-Turner Overdrive,"Blues 4, Folk 1"
Bacilos,Pop 1
Backstreet Boys,Pop 3
Bad Brains,Alternative 1
Bad Company,"Blues 19, Folk 4"
Bad Meets Evil,"Hip-Hop 3, Pop 1"
Bad Wolves,Alternative 6
Badfinger,"Blues 7, Folk 4"
Badflower,Alternative 11
Badshah,Hip-Hop 1
Baeza,R&B 1
Bahamas,"Folk 7, Pop 2"
Bajka,Jazz 1
Bakar,Alternative 1
Baltazar Benítez,Classical 1
Bananarama,Pop 1
Band Of Skulls,"Alternative 1, Blues 10"
Band of Horses,Folk 18
Band of Rascals,Blues 1
Banda Los Recoditos,Pop 2
Banda Los Sebastianes,Pop 1
Bando Jonez,R&B 1
Barbara Bonney,Opera 1
Barbara Hendricks,Opera 3
Barbara Jean,Jazz 1
Barbara Lewis,Blues 2
Barbara Lynn,Blues 1
Barefoot Surrender,Folk 1
BarlowGirl,Alternative 1
Barns Courtney,Alternative 5
Baro,R&B 1
Baron Vaughn,Comedy 10
Baroness,Alternative 1
Bas,"Hip-Hop 12, Pop 1"
Basement,Alternative 2
Basement Jaxx,Alternative 1
Basia,Jazz 1
Bass Santana,Hip-Hop 4
Bassjackers,Pop 1
Bastien Keb,Jazz 1
Bastille,Pop 1
Baths,Folk 1
Battle Beast,Classical 4
Battleme,Alternative 1
Bay City Rollers,Pop 1
Bay Faction,Alternative 1
Bazanji,"Hip-Hop 4, Pop 1"
Bazzi,Pop 7
BbyMutha,R&B 2
Bea Miller,Pop 2
Beach House,"Folk 22, Pop 4"
Beanie Sigel,Hip-Hop 1
Beans & Fatback,Blues 2
Bear's Den,Folk 4
Beastie Boys,"Alternative 6, Hip-Hop 10"
Bebe,Alternative 1
Bebe Rexha,Pop 10
Bebo Valdés,Jazz 1
Beck,"Alternative 12, Folk 19, Pop 1"
"Beck, Bogert, Appice",Blues 1
Becky Donohue,Comedy 2
Becky G,Pop 3
Bedouine,Folk 5
Bedřich Smetana,Classical 5
Beirut,"Folk 15, Pop 1"
Belinda Carlisle,Pop 1
Bell Biv DeVoe,"Hip-Hop 1, Pop 1"
Belle & Sebastian,"Alternative 1, Folk 4"
Belleruche,Jazz 1
Bellhound Choir,Blues 1
Belly,"Alternative 1, Hip-Hop 6, Pop 1"
Ben Abraham,Folk 1
Ben Bailey,Comedy 8
Ben E. King,Pop 1
Ben Folds,Folk 1
Ben Folds Five,Folk 1
Ben Frost,Jazz 1
Ben Howard,"Folk 16, Pop 1"
Ben Kweller,Folk 2
Ben Lee,Alternative 1
Ben Rector,Pop 3
Ben Tankard,Jazz 2
Ben Webster,Jazz 3
Benjamin Booker,Blues 8
Benjamin Britten,Classical 8
Benjamin Francis Leftwich,Folk 3
Benny,Alternative 1
Benny Benni,Hip-Hop 1
Benny Goodman,Jazz 11
Benny Goodman Sextet,Jazz 1
Benny Hill,Comedy 1
Benny Sings,Jazz 10
Benny The Butcher,"Alternative 4, Hip-Hop 1"
Bent,Jazz 4
Beny Moré,Jazz 1
Beret,Hip-Hop 1
Berhana,"Alternative 4, R&B 2"
"Bernard ""Pretty"" Purdie",Jazz 1
Bernard Allison,Blues 1
Bernard Cribbins,Comedy 1
Bernard Fanning,Alternative 1
Bernard Wright,Jazz 1
Bernardo Pasquini,Opera 1
Berner,Hip-Hop 7
Bessie Smith,Blues 2
Best Coast,Folk 3
Beta Radio,"Folk 5, Pop 2"
Beth Hart,Blues 15
Beth Orton,Folk 1
Better Oblivion Community Center,"Folk 5, Pop 3"
Better Than Ezra,"Alternative 1, Pop 1"
Betty Carter,Jazz 2
Betty Harris,Blues 1
Betty Who,Pop 1
Between The Buried And Me,Jazz 15
Beyoncé,"Pop 16, R&B 30"
Bhad Bhabie,Pop 5
Bibi Bourelly,Alternative 1
Bibio,"Folk 2, Pop 1"
Big Bad Voodoo Daddy,Jazz 4
Big Bill Broonzy,Blues 2
Big Boi,Hip-Hop 2
Big Brother & The Holding Company,"Blues 10, Folk 3"
Big Daddy Kane,Hip-Hop 1
Big Daddy Weave,Alternative 2
Big Jay McNeely,"Blues 1, Jazz 1"
Big Jay Oakerson,Comedy 34
Big Joe Williams,Blues 1
Big John Patton,Jazz 1
Big K.R.I.T.,"Alternative 12, Hip-Hop 7"
Big L,Hip-Hop 2
Big Mama Thornton,Blues 3
Big Maybelle,Blues 1
Big Pun,"Hip-Hop 2, Pop 1"
Big Red Machine,"Folk 3, Pop 1"
Big Sean,"Hip-Hop 23, Pop 6, R&B 24"
Big Spring,Alternative 1
Big Thief,"Folk 10, Pop 2"
Big Time Rush,Pop 4
Big Tymers,Hip-Hop 1
Big Words,R&B 1
Bigg Robb,Blues 4
Biig Piig,Alternative 2
Bilal,R&B 1
Bill Burr,Comedy 9
Bill Callahan,Folk 3
Bill Charlap,Jazz 1
Bill Charlap Trio,Jazz 2
Bill Engvall,Comedy 24
Bill Evans,Jazz 23
Bill Evans Trio,Jazz 11
Bill Frisell,Jazz 4
Bill Hicks,Comedy 41
Bill Squire,Comedy 9
Billie Eilish,Pop 8
Billie Holiday,"Blues 31, Jazz 29"
Billie Marten,"Folk 5, Pop 2"
Billy Bragg,"Alternative 1, Folk 4"
Billy Cobham,Jazz 1
Billy Connolly,Comedy 1
Billy Davis,R&B 1
Billy Eckstine,Jazz 1
Billy Idol,Pop 2
Billy Joe Shaver,Folk 1
Billy Joel,Folk 14
Billy Lemos,"Alternative 2, R&B 3"
Billy Lockett,Folk 2
Billy Raffoul,Folk 3
Billy Soul Bonds,Blues 1
Billy Stewart,Blues 1
Billy Talent,Alternative 1
Biosphere,Jazz 3
Birdman,Hip-Hop 5
Birds Of Tokyo,Alternative 1
Birdtalker,Folk 5
Birdy,Pop 2
Birgit Nilsson,Opera 6
Birocratic,Jazz 5
Biréli Lagrène,Jazz 1
Bishop Briggs,"Alternative 6, Pop 2"
Bishop Nehru,Alternative 1
Biz Markie,Hip-Hop 1
Björk,"Alternative 2, Folk 1"
Blac Youngsta,"Hip-Hop 4, Pop 1"
Black Country Communion,Blues 1
Black Diamond Heavies,Blues 1
Black Flag,Alternative 3
Black Grapefruit,Alternative 1
Black Joe Lewis & The Honeybears,Blues 5
Black Label Society,Alternative 1
Black Lips,Blues 7
Black Moon,"Alternative 1, Hip-Hop 1"
Black Mountain,Blues 3
Black Oak Arkansas,Blues 1
Black Pistol Fire,"Alternative 1, Blues 21"
Black Rebel Motorcycle Club,"Alternative 1, Blues 16"
Black Rob,Hip-Hop 1
Black Star,"Alternative 2, Hip-Hop 2"
Black Stone Cherry,Alternative 5
Black Veil Brides,"Alternative 7, Pop 1"
Blackalicious,"Alternative 1, Hip-Hop 2"
Blackfoot,Blues 4
Blackfoot Gypsies,Blues 2
Blackstreet,R&B 3
Blaggards,Folk 1
Blake Aaron,Jazz 1
Blake Mills,Folk 1
Blanco White,Folk 5
Blaze Foley,Folk 3
Bleachers,Pop 2
Blind Boy Fuller,Blues 1
Blind Faith,"Blues 4, Folk 1"
Blind Guardian,Classical 7
Blind Lemon Jefferson,Blues 1
Blind Melon,"Alternative 5, Pop 1"
Blind Pilot,"Folk 7, Pop 2"
Blind Willie Johnson,"Blues 2, Folk 1"
Blind Willie McTell,"Blues 4, Folk 1"
Blindside,Alternative 1
Bliss n Eso,Hip-Hop 1
Blitzen Trapper,"Alternative 2, Folk 1"
Bloc Party,Alternative 1
BlocBoy JB,"Hip-Hop 6, Pop 1"
Block B,R&B 4
Blockhead,Jazz 15
Blodwyn Pig,Blues 1
Blonde Redhead,Pop 1
Blondie,Pop 1
Blood Orange,"Alternative 7, R&B 11"
"Blood, Sweat & Tears",Blues 3
Bloodbound,Classical 2
Bloodhound Gang,Alternative 1
Blossom Dearie,Jazz 9
Blu,"Alternative 1, Hip-Hop 1"
Blu & Exile,Jazz 6
Blu Cantrell,R&B 2
Blue Lab Beats,"Jazz 1, R&B 1"
Blue October,"Alternative 3, Pop 1"
Blue States,Jazz 2
Blue Swede,Pop 1
Blue Öyster Cult,Blues 19
Blues Saraceno,"Blues 13, Classical 5"
Blues Traveler,"Alternative 2, Blues 18"
Blundetto,Jazz 1
BluntOne,Jazz 12
Blur,"Alternative 2, Pop 1"
Bmike,Hip-Hop 1
Bo Burnham,Comedy 16
Bo Diddley,Blues 9
Bob Baldwin,Jazz 4
Bob Berg,Jazz 1
Bob Curnow's L.A. Big Band,Jazz 1
Bob Dylan,Folk 41
Bob James,Jazz 5
Bob Schneider,Alternative 2
Bob Seger,Folk 13
Bob Weir,"Blues 7, Folk 1"
Bobaflex,Alternative 1
Bobbi Humphrey,Jazz 1
"Bobby ""Blue"" Bland",Blues 8
Bobby Brown,"Hip-Hop 1, R&B 7"
Bobby Darin,Jazz 3
Bobby Day,Blues 2
Bobby Freeman,Blues 1
Bobby Goldsboro,Folk 1
Bobby Hutcherson,Jazz 2
Bobby Lyle,Jazz 2
Bobby Timmons,Jazz 1
Bobby V.,"Hip-Hop 1, R&B 1"
Bobby Vinton,Folk 3
Bobcat Goldthwait,Comedy 12
Bohren & Der Club Of Gore,Jazz 3
Bomba Estéreo,Alternative 3
Bombay Bicycle Club,"Alternative 1, Folk 2"
Bombay Jayashri,Classical 2
Bombino,Blues 1
Bon Iver,"Folk 19, Pop 4"
Bone Crusher,Hip-Hop 1
Bone Thugs-N-Harmony,Hip-Hop 7
Bones & Bridges,R&B 1
Bones Owens,Blues 2
Boney James,Jazz 29
"Bonnie ""Prince"" Billy",Folk 1
Bonnie Lee,Blues 1
Bonnie Raitt,"Blues 17, Folk 2"
Bonnie Tyler,Pop 1
Bonny Doon,Folk 2
Bonobo,Jazz 26
Bonus Points,Jazz 7
Boogie,"Hip-Hop 12, Pop 1"
Booker T. & the M.G.'s,Blues 4
Boosie Badazz,Hip-Hop 4
Boozoo Bajou,Jazz 4
Born Ruffians,Folk 2
Born Without Bones,Alternative 1
Borodin Quartet,Classical 2
Boston,Folk 3
Bow Wow,"Hip-Hop 4, Pop 1, R&B 3"
Bowling For Soup,Pop 1
Boy & Bear,Folk 2
Boy Harsher,Alternative 1
Boyce Avenue,Pop 1
Boyinaband,Pop 1
Boys Like Girls,Pop 1
Boyz II Men,R&B 2
Boyz N Da Hood,Hip-Hop 1
Boz Scaggs,Folk 5
Brad Mehldau,Jazz 4
Brad Mehldau Trio,Jazz 7
Brad Williams,Comedy 31
Brand New,Pop 1
Brand Nubian,"Alternative 1, Hip-Hop 1"
Brandi Carlile,"Folk 21, Pop 3"
Brandon Coleman,Jazz 1
Brandon Heath,Alternative 2
Brandon Jenner,"Folk 2, Pop 1"
Brandon Ratcliff,Pop 1
Brandy,"Hip-Hop 2, Pop 2, R&B 7"
Brant Bjork,Blues 1
Brass Construction,Jazz 1
Brasstracks,R&B 6
Braxton Brothers,Jazz 2
Braxton Cook,"Jazz 3, R&B 4"
Bread,Folk 5
Breakbot,Alternative 1
Breakestra,Jazz 2
Breakfast n Vegas,R&B 1
Breaking Benjamin,Alternative 19
Bremer/McCoy,Jazz 1
