instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,subgenre
49554,Brent Faiyaz,So Far Gone / Fast Life Bluez,2x5Frs6ts14U4MSLrQQlXg,46,0.841,0.511,331018,0.439,3.12E-05,A,0.225,-11.79,Minor,0.218,159.815,04-Apr,0.124,Alternative,R&B music
66163,empty_field,Liar,67hMSEb3LyrmgEo9fPNrDU,48,0.266,0.537,311347,0.755,0.0901,C,0.262,-8.187,Major,0.0269,134.879,04-Apr,0.538,Alternative,
189311,PREP,Who's Got You Singing Again,090yW5nfZqCi8jVtf9WxvP,55,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,?,04-Apr,0.481,Alternative,
68463,Noah Slee,DGAF,6LPnHQr7o95lezO5Y6qJVE,57,0.227,0.804,196640,0.522,0.000171,A,0.077,-7.319,Minor,0.0485,134.168,04-Apr,0.243,Alternative,
150133,Amon Amarth,Raise Your Horns,0hvi6FQl4h3zVGC2DVpohG,50,6.05E-05,0.458,263760,0.873,0.737,F,0.0664,-5.336,Major,0.0439,164.984,03-Apr,0.551,Alternative,Melodic death metal
109520,Deftones,Elite,7o2M1H5G247OQs98gIo10z,44,0.000638,0.46,241800,0.992,0.866,F,0.321,-3.298,Minor,0.0818,?,04-Apr,0.206,Alternative,"Alternative metal, art rock, experimental rock, nu metal"
123290,The 1975,The Sound,1xYrVZWJLihIMTqdSA34TS,61,0.096,0.643,248880,0.945,7.71E-06,C,0.495,-4.66,Major,0.0779,120.723,04-Apr,0.526,Alternative,"Pop rock, alternative pop, art pop, synth-pop, New wave music, indie rock"
216193,Marilyn Manson,This Is The New S**t,0Zr8z1TgQl27P3qYqQltG2,53,0.00106,0.573,259667,0.865,0.00469,D,0.116,-6.097,Major,0.104,178.115,04-Apr,0.616,Alternative,"Industrial metal, industrial rock, alternative metal, hard rock, gothic rock, shock rock"
119972,Aranda,Don't Wake Me,1ReFDhIzzlYecxK2vkkDz7,41,3.87E-05,0.511,-1,0.886,2.09E-05,F#,0.126,-4.993,Minor,0.0507,?,04-Apr,0.335,Alternative,
23678,Eve 6,Here's to the Night,6OGdCwMZiXxZYwTEN2wMTp,54,0.0405,0.583,249840,0.652,0.000378,G,0.0781,-6.255,Major,0.0244,?,04-Apr,0.352,Alternative,"Alternative rock, post-grunge, AllMusic"
176103,Marco McKinnis,Deep,27u3Rh4IWYPdwVST20ALrt,44,0.0642,0.695,227493,0.474,0.000727,B,0.0923,-7.582,Major,0.0345,127.999,04-Apr,0.497,Alternative,
213743,Bryce Fox,SAD!,61cvDWMweVzJWlaj6sWwSl,45,0.377,0.509,172027,0.501,0,G#,0.0936,-7.503,Major,0.0556,?,04-Apr,0.5,Alternative,
157648,Oliver Tree,Hurt,5PHZJ8mnHDfioBfxSbff9h,71,0.0209,0.561,-1,0.782,0,C,0.315,-5.863,Major,0.04,94.004,04-Apr,0.486,Alternative,"Alternative rock, Daily Bruin, Hypebeast (website), indie pop, Hip hop music, alternative pop, The Austin Chronicle, Dance music, AllMusic"
93475,empty_field,Wonderful - Remastered,2ketlej3bAKtetsazG94rV,40,0.00513,0.471,-1,0.868,7.23E-06,G,0.22,-4.227,Major,0.0564,186.67,04-Apr,0.552,Alternative,
97096,ELHAE,Still Mine (feat. Wale),0NBAtDZ0ogUOJ4b3hU52Cd,51,0.337,0.568,271513,0.501,0,C#,0.105,-11.034,Minor,0.199,?,04-Apr,0.281,Alternative,
68545,Fozzy,Judas,6GyeeOjRJQEK7803yc2LO2,56,0.000101,0.418,250793,0.907,0.000433,C,0.346,-3.675,Major,0.0584,99.17,04-Apr,0.473,Alternative,"Heavy metal music, hard rock, alternative metal"
39278,anders,Problems,5Zx9VpLotu9aFYqq61NAip,49,0.688,0.797,197938,0.365,0.0117,D,0.102,-9.219,Minor,0.0738,96.973,04-Apr,0.586,Alternative,
39525,Pinegrove,Rings,4wrjIq1lskP8tZuQBEdcux,47,0.423,0.643,-1,0.41,2.57E-05,B,0.232,-12.907,Major,0.0371,116.037,04-Apr,0.304,Alternative,
156037,Nothing More,Mr. MTV,1C3QbnFgC1yozcrQFRehE9,44,0.000311,0.196,239907,0.871,0.00103,D,0.0714,-5.889,Minor,0.0693,70.124,04-Apr,0.361,Alternative,"Alternative rock, alternative metal, hard rock, progressive rock, progressive metal"
211153,BJ The Chicago Kid,Turnin' Me Up,1y4wfSe5L3afercd7sYE1K,65,0.0406,0.734,269173,0.776,0.193,D,0.0547,-4.193,Major,0.0826,?,04-Apr,0.843,Alternative,
85835,Good Charlotte,Little Things,3twdfJBORkXYf1JqH976YT,58,0.0601,0.686,203027,0.84,5.38E-06,C#,0.164,-5.142,Major,0.159,105,04-Apr,0.704,Alternative,"Pop-punk, alternative rock, punk rock, emo, pop rock"
58071,Statik Selektah,21 & Over,2aEo5sPcclxVbA2vXFBi9M,44,0.0354,0.632,167134,0.746,0.000895,F#,0.115,-6.257,Minor,0.288,?,04-Apr,0.381,Alternative,Hip hop music
97118,3 Doors Down,Away From The Sun,01Vfx2Jna7YYXb645Auid1,53,0.0273,0.532,231787,0.686,0,C,0.0903,-6.238,Major,0.0254,?,04-Apr,0.304,Alternative,"Post-grunge, LA Weekly, hard rock, AllMusic, alternative rock, USA Today"
111055,Toad The Wet Sprocket,Fall Down,5l8oNQsDDPNFUIV5M4lzRJ,42,0.115,0.444,202385,0.886,0.000688,C,0.164,-5.705,Major,0.0335,?,04-Apr,0.736,Alternative,
61956,empty_field,Amen,1yfxcMA8noLrtOrn5d6KnQ,51,0.0567,0.555,-1,0.974,0,E,0.202,-3.691,Minor,0.152,159.943,04-Apr,0.369,Alternative,
60861,THEY.,Motley Crew,3coMPj3ul3CDTPEzjPgdva,43,0.0436,0.725,208784,0.936,1.40E-05,F#,0.771,-5.323,Minor,0.0626,105.029,04-Apr,0.25,Alternative,
83951,The Story So Far,Stalemate,3lPCJhsnLUwZOiNglGdAEy,40,0.000366,0.377,194760,0.987,2.65E-06,G#,0.166,-2.95,Major,0.104,171.101,03-Apr,0.405,Alternative,
195090,Avenged Sevenfold,Scream,5zmGr8hRQ6W9arZy9e07GL,54,3.74E-05,0.549,288240,0.941,1.45E-06,F#,0.213,-4.802,Minor,0.0521,130.009,04-Apr,0.581,Alternative,"Heavy metal music, progressive metal, alternative metal, hard rock, metalcore"
149104,KALEO,Vor í Vaglaskógi,1VBr5bV7PyDAVeOrB4aLLT,55,0.744,0.336,277267,0.345,6.01E-06,F,0.182,-6.456,Minor,0.029,92.502,04-Apr,0.0756,Alternative,
91133,Citizen Way,WaveWalker,196bjfNXvEDkODWVjq2RRN,45,0.00532,0.673,193293,0.798,0,G#,0.123,-5.123,Minor,0.0337,119.976,04-Apr,0.63,Alternative,"Contemporary Christian music, Christian rock, Contemporary worship music"
206621,Chevelle,Clones,3agtg0x11wPvLIWkYR39nZ,43,0.000119,0.467,207800,0.873,0.00433,G#,0.073,-4.941,Major,0.0404,96.004,04-Apr,0.339,Alternative,
165642,Puddle Of Mudd,She Hates Me,5HwnezK198pJCEj1l2Adjy,66,0.00935,0.58,-1,0.748,0,E,0.753,-5.433,Major,0.0323,109.781,04-Apr,0.584,Alternative,
84076,Doja Cat,Roll With Us,1Mb187X5w3OUQNH6P5M28Y,49,0.00434,0.664,180907,0.637,5.00E-06,D,0.199,-5.593,Major,0.0283,?,04-Apr,0.125,Alternative,"Hip hop music, Pop music, Contemporary R&B, pop rap"
209249,Three Days Grace,Right Left Wrong,4SNqnx2WC60CpuowwebSeB,61,0.0036,0.489,236693,0.833,1.33E-06,A,0.111,-5.348,Major,0.054,135.431,04-Apr,0.307,Alternative,"Post-grunge, hard rock, alternative rock, alternative metal, nu metal"
191207,Two Door Cinema Club,Nice to See You,3O3U0jRJR7HpKLhx2t35IW,48,0.0338,0.702,373309,0.723,0.00176,C#,0.0923,-6.023,Major,0.0393,110.016,04-Apr,0.846,Alternative,"Indie pop, indie rock, dance-punk, Consequence of sound, synth-pop, post-punk revival"
119344,Rawayana,#Sádico,2kNalcTCdlyt1AGWxOE8dC,52,0.274,0.805,344947,0.622,0.000838,C#,0.102,-10.902,Major,0.141,122.006,04-Apr,0.716,Alternative,"Reggae, Funk music, Alternative rock"
40162,Dr. Dog,Abandoned Mansion,6wvEQaHAz2FA6ismjpx5xR,51,0.456,0.481,322646,0.523,0.00456,A,0.0602,-7.921,Major,0.0279,123.676,04-Apr,0.285,Alternative,"Indie Rock, psychedelic rock, baroque pop, indie folk, Americana (music), Neo-psychedelia, Lo-fi music"
28025,Steve Lacy,Guide,4qCgKKXa3CF6CzEDLW6vTt,51,0.0412,0.815,141531,0.731,0.000263,F,0.215,-7.615,Minor,0.0795,128.968,04-Apr,0.497,Alternative,"Alternative R&B, neo soul, funk, jazz, indie rock, lo-fi, psychedelic soul, Stereogum"
73510,Incubus,Undefeated,2wcOAWdnv22pYwRHscYfz2,44,5.76E-05,0.364,236120,0.864,0.000562,C#,0.0806,-3.388,Major,0.0444,165.884,04-Apr,0.325,Alternative,
209090,Ratatat,Supreme,4Eqh2NL7uzRl243GnU735O,41,0.611,0.495,180911,0.415,0.818,D#,0.9,-10.202,Major,0.037,62.071,04-Apr,0.275,Alternative,Electronic rock
161427,empty_field,Hi-Lo (Hollow),6yqThFsiJG2jUEA6jdhruE,53,0.202,0.653,251987,0.328,0.003,A#,0.103,-8.378,Minor,0.0323,143.909,04-Apr,0.0871,Alternative,
106855,The Internet,Missing You,36qzw2hfFpbR8sOoooERPt,44,0.513,0.791,136907,0.129,0.11,D,0.114,-12.51,Major,0.149,140.014,04-Apr,0.248,Alternative,
115964,The Black Keys,Your Touch,7nJZ9LplJ3ZAyhQyJCJk0K,48,0.8,0.532,-1,0.768,2.01E-05,E,0.377,-8.698,Minor,0.0551,116.026,04-Apr,0.698,Alternative,"Garage rock, blues rock, punk blues, indie rock"
51908,Theory of a Deadman,Not Meant to Be,6VAdhSylvAQMdVahyyCVMr,54,0.00401,0.415,215400,0.781,0,C#,0.126,-6.947,Major,0.0357,142.966,04-Apr,0.261,Alternative,
164648,Xavier Omär,Change On Me (feat. Leuca),3BQHpFgAp4l80e1XslIjNI,43,0.26,0.695,225441,0.485,0,B,0.111,-8.671,Minor,0.134,137.974,04-Apr,0.352,Alternative,
113176,Blind Melon,Mouthful Of Cavities,5TidpShGz6Jxsbx8fzKDlC,45,0.165,0.338,214800,0.529,0.0162,E,0.344,-9.864,Minor,0.0492,98.098,04-Apr,0.445,Alternative,Alternative rock
136739,Rammstein,OHNE DICH,1KRCcV4qP8tuvPrY3MdbPq,48,0.00409,0.404,271173,0.599,0.000252,D,0.113,-5.565,Minor,0.0289,136.045,04-Apr,0.195,Alternative,"Neue Deutsche Härte, industrial metal"
209078,Stone Sour,Rose Red Violent Blue (This Song Is Dumb & So Am I),2nU4VND7sfHwzweYzCSMoI,46,0.00413,0.458,-1,0.988,0,C#,0.295,-4.687,Minor,0.123,161.952,04-Apr,0.296,Alternative,"Alternative metal, hard rock, post-grunge"
171596,Them Crooked Vultures,Gunman,4L2D6eUEQOdvAyjc0khFAW,41,7.46E-05,0.357,285333,0.877,0.000155,A,0.273,-3.861,Major,0.0403,112.742,04-Apr,0.391,Alternative,"Hard rock, alternative rock"
81767,Pixies,Wave of Mutilation,49oBt8WDX2lpUGNzDUrPdY,53,0.000285,0.592,124773,0.774,0.336,F,0.0751,-12.187,Major,0.0346,132.569,04-Apr,0.774,Alternative,
143175,311,Good Feeling,2U52Hp8zYnG2kvt2de0M2L,50,0.00127,0.687,203913,0.898,0.000444,E,0.0743,-3.926,Minor,0.0464,100.014,04-Apr,0.436,Alternative,
35215,KONGOS,Take It From Me,3zxiTHxE4MxwuYf8aLQ9ax,50,0.0555,0.555,190771,0.74,7.08E-06,B,0.306,-7.016,Minor,0.175,?,04-Apr,0.761,Alternative,
122507,Pavement,Range Life,6MCYY4i1zrRIbVj9YlVUdF,51,0.0445,0.555,294933,0.724,1.40E-05,A,0.186,-9.429,Major,0.0288,112.812,04-Apr,0.724,Alternative,
190835,Mazzy Star,Flowers In December,79Ri3SefpPjDQXFMYfGghm,44,0.116,0.59,297893,0.229,0.00168,G,0.0854,-13.174,Major,0.0301,96.856,04-Apr,0.168,Alternative,"Alternative pop, AllMusic, alternative rock, dream pop, Billboard (magazine), Prometheus Global Media"
34955,3 Doors Down,Kryptonite,2mX2iJ6rw3ja90OPzHrmHT,75,0.00664,0.545,233933,0.865,1.12E-05,B,0.168,-5.708,Minor,0.0286,99.01,04-Apr,0.543,Alternative,"Post-grunge, LA Weekly, hard rock, AllMusic, alternative rock, USA Today"
37362,Raveena,Mama,6gJhXogJiEETVQ0V4wyj79,43,0.627,0.594,-1,0.421,0.0193,B,0.079,-9.699,Major,0.0741,72.992,04-Apr,0.287,Alternative,
108820,Rise Against,Audience Of One,0xDnpKimvzfy8BdWBpcuyU,46,0.000449,0.387,245480,0.925,3.12E-05,C#,0.269,-3.804,Major,0.0413,161.791,04-Apr,0.704,Alternative,"Melodic hardcore, punk rock, hardcore punk"
157955,empty_field,On the Other Side,4meZLCBqYoSFDLDEjpJGU6,43,0.00367,0.605,276507,0.811,0.000116,A#,0.135,-2.341,Major,0.0316,108.992,04-Apr,0.548,Alternative,
130932,Broken Bells,Vaporize,6OMO6WdRhSfjMPAiPT94wH,45,0.0236,0.557,-1,0.588,0.00155,C,0.523,-8.487,Major,0.0293,95.998,04-Apr,0.477,Alternative,"Indie rock, alternative rock, space rock, St. Louis Post-Dispatch"
61855,Raveena,Still Dreaming,6mW55jsmWapFREmli1SsIM,54,0.474,0.746,261238,0.318,0.0959,F#,0.113,-10.637,Major,0.0511,120.054,04-Apr,0.139,Alternative,
181367,Earl Sweatshirt,Chum,4xpjtAqc46tg04BzHTZnz2,62,0.0216,0.51,243773,0.503,0.002,A#,0.108,-8.756,Minor,0.242,153.582,04-Apr,0.193,Alternative,"West Coast hip hop, alternative hip hop, progressive rap, horrorcore"
83458,Crowder,Crushing Snakes,1iGY4uLhJJswG44dqyB8fK,40,0.198,0.343,301080,0.689,0,E,0.0869,-6.221,Minor,0.0416,145.359,04-Apr,0.124,Alternative,
118358,empty_field,Internacionales,5Az8KU81g2aLBbJN67F2CI,53,0.062,0.714,187932,0.959,4.50E-05,C#,0.0353,-1.503,Minor,0.0486,102.037,04-Apr,0.65,Alternative,
25741,Joywave,Like a Kennedy,7n4QHfbvTztbgrebAAX4a1,51,0.306,0.545,247880,0.549,0.000194,D,0.108,-5.868,Major,0.0255,137.946,04-Apr,0.273,Alternative,"Indie rock, indietronica, indie pop, alternative rock"
85046,6LACK,Been A While,1GonqVH4ptYKwPNZ9f3l49,55,0.36,0.442,176213,0.463,1.71E-05,C#,0.256,-10.93,Minor,0.247,?,01-Apr,0.229,Alternative,
176304,Passion Pit,Where I Come From,7AUWq8QNfxiDg6eCNyS90s,47,0.132,0.612,219680,0.74,0.416,E,0.0525,-8.414,Major,0.0316,105.045,04-Apr,0.254,Alternative,"Electropop, alternative dance, indietronica, synthpop, indie pop, neo-psychedelia, art pop"
134198,Decyfer Down,Fading,1bwQho4XOhfOAfXGqzfzWY,42,0.000112,0.478,251200,0.704,0,G,0.0957,-6.283,Major,0.0276,88.011,04-Apr,0.398,Alternative,"Christian rock, hard rock, post-grunge, alternative metal"
214229,White Zombie,Black Sunshine,45gfjPv3n6Bisve1FRL5aE,48,0.00195,0.531,289133,0.921,0.148,A,0.225,-10.934,Major,0.0799,166.634,04-Apr,0.355,Alternative,
117878,Sick Puppies,Riptide,1AYgCKvnLnILwyCG68qNAV,49,0.00169,0.505,-1,0.757,0,C,0.337,-5.443,Major,0.0829,83.212,04-Apr,0.556,Alternative,"Alternative rock, MLive, alternative metal, AllMusic, hard rock, post-grunge, The Seattle Times, nu metal, The Sydney Morning Herald"
79642,Rage Against The Machine,Snakecharmer,5OFtx7xsDriV5Q8qq8fzhL,44,0.00732,0.553,235400,0.883,0.0488,G,0.0599,-7.302,Major,0.0618,136.711,04-Apr,0.463,Alternative,
151635,Fenech-Soler,Last Forever,4IFh1uImEp02P7wQerkQ9y,43,0.00212,0.392,294107,0.849,0.000137,C,0.0848,-4.577,Major,0.0359,171.094,04-Apr,0.317,Alternative,"Synthpop, indie pop, indietronica"
208429,empty_field,"Killing in the Name - Live at the Grand Olympic Auditorium, Los Angeles, CA - September 2000",7AhqAjYc1F7x3yURlb0dkj,46,0.152,0.32,303760,0.978,3.97E-06,G,0.785,-2.278,Major,0.161,?,04-Apr,0.556,Alternative,
176979,311,Rolling Through,5mI1Sopbvu5PbSokfYzH5y,44,0.00202,0.444,173787,0.856,0,A,0.0708,-6.874,Major,0.189,179.37,04-Apr,0.699,Alternative,
34894,Andrés Calamaro,Donde manda marinero,7G456FHR3q9mnvQ3QWHmGc,1,0.366,0.499,242213,0.77,0,E,0.177,-5.457,Minor,0.0281,92.733,04-Apr,0.677,Alternative,"Rock and roll, Latin rock, alternative rock, pop rock, Funk music, Ska music, Reggae, Tango music, New wave music"
60795,empty_field,Everything Comes Alive,3F57PtOdqRpD6euFYqtKXX,43,0.182,0.683,201733,0.828,0,G#,0.101,-5.479,Major,0.0471,97.006,04-Apr,0.539,Alternative,
175584,empty_field,The Summer,383YEHt2S5u1cUkKfUbydD,45,0.000137,0.276,-1,0.835,0,D,0.186,-4.779,Minor,0.0508,?,04-Apr,0.28,Alternative,
94487,Everything Is Recorded,Close But Not Quite,1u0MOgWF1bbylVxpJG2ZjB,48,0.616,0.803,205614,0.618,0.00165,G,0.512,-9.513,Minor,0.113,145.992,04-Apr,0.563,Alternative,
180098,Omar Apollo,There For Me (Interlude),2NcgsjJGXUC04MK1Ly7eea,43,0.869,0.702,83187,0.415,6.50E-05,G,0.0987,-6.332,Minor,0.0373,75.004,04-Apr,0.446,Alternative,"Contemporary R&B, alternative R&B"
141498,Freddie Gibbs,Shitsville,4507W8oK5M3FgEFizDqyMm,46,0.161,0.588,211187,0.665,0,C#,0.652,-9.636,Major,0.42,?,04-Apr,0.419,Alternative,"Hip hop music, gangsta rap, The Guardian, Alternative Hip Hop"
62614,Alice In Chains,I Can't Remember,3KsatAMRt1a7iryhWt5I8U,41,0.00392,0.271,221800,0.702,8.53E-06,G#,0.203,-10.174,Major,0.0421,104.298,04-Apr,0.18,Alternative,
203693,Yuna,Lullabies,3pJfnBjO3kjudEchcPEDxS,45,0.472,0.712,245600,0.338,0.0259,F,0.0885,-9.01,Major,0.0388,?,04-Apr,0.324,Alternative,
56466,Kurt Vile,Loading Zones,4KaIJ1FWXUoAAnOts1YWjD,52,0.0268,0.524,203133,0.848,0.000739,E,0.0765,-4.242,Minor,0.0297,?,04-Apr,0.792,Alternative,"Indie rock, folk rock, Lo-fi music, psychedelic rock"
66087,Rawayana,Sin Ti,4zmzJgtsV1oPnp1a7Ryi6L,59,0.272,0.757,-1,0.413,0.000263,C,0.243,-9.107,Major,0.0599,144.933,04-Apr,0.618,Alternative,"Reggae, Funk music, Alternative rock"
104845,Kid Rock,"Jackson, Mississippi",7MOTvgsCBFM8TRGUWI9heK,42,0.000676,0.536,270107,0.785,0.00329,G,0.101,-4.857,Major,0.0337,128.773,04-Apr,0.356,Alternative,"Rock music, Country music, Hip hop music, Heavy metal music"
202077,Badflower,x ANA x,322E3pHVE4THhniKjNLTY9,47,0.00331,0.445,276160,0.958,1.55E-06,B,0.877,-4.096,Minor,0.123,165.973,04-Apr,0.455,Alternative,"Hard rock, AllMusic, alternative rock, post-grunge"
127506,Joy Division,Love Will Tear Us Apart - 2010 Remaster,3ltJphxXAd4NLvv8VkdxcH,61,0.000989,0.525,204621,0.902,0.691,D,0.137,-8.662,Major,0.0368,?,04-Apr,0.907,Alternative,Post-punk
156235,Harvey Danger,Flagpole Sitta,002QT7AS6h1LAF5dla8D92,60,0.00184,0.351,217267,0.899,0.000116,G,0.284,-4.119,Major,0.0432,145.015,04-Apr,0.508,Alternative,"Indie rock, alternative rock"
52898,Washed Out,Hard To Say Goodbye,6RRx0mcTHHop6jC8PY6oaB,51,0.114,0.709,252920,0.778,0.323,A#,0.218,-5.59,Minor,0.0361,113.993,04-Apr,0.723,Alternative,"Chillwave, The Pitch (newspaper), synth-pop, Billboard (magazine), dream pop, Spin (magazine), bedroom pop, Creative Loafing"
149348,Amon Amarth,"Mjölner, Hammer of Thor",454C7iNso3MSQvMrheX7lN,44,0.000368,0.349,283896,0.974,0.0465,G,0.387,-5.492,Minor,0.126,185.066,04-Apr,0.327,Alternative,Melodic death metal
182158,BJ The Chicago Kid,Time Today,20JcxdRw8gvqTY1EEpYxHb,52,0.102,0.524,199718,0.536,0,C,0.0334,-7.005,Minor,0.057,92.625,04-Apr,0.349,Alternative,
54647,Mahalia,I Wish I Missed My Ex,5kP3pL6xyHNYfCVeMjnMxD,66,0.319,0.68,205263,0.62,1.14E-06,C,0.158,-5.117,Major,0.0607,95.078,04-Apr,0.537,Alternative,
134432,Jurassic 5,Concrete Schoolyard,1Kia2D48zeRUfc9aDwzh7w,55,0.142,0.894,-1,0.625,0,A#,0.387,-7.339,Minor,0.354,90.121,04-Apr,0.809,Alternative,"West Coast hip hop, alternative hip hop"
162458,Justin Townes Earle,Harlem River Blues,5VZqM2V36q4pd3vrMacWYf,48,0.0325,0.475,-1,0.705,0,G,0.0693,-6.538,Major,0.0619,?,04-Apr,0.471,Alternative,"Americana (music), blues, Country music, Folk music, Soul music"
136939,Masego,I'm In Hollywood...,0e9OpMq9zWNwVlx5JeWsEs,42,0.711,0.824,153913,0.779,0,E,0.0781,-5.65,Minor,0.234,92.019,04-Apr,0.804,Alternative,
60697,Two Door Cinema Club,Bad Decisions,5mYLVplVjmd1GMe2oAhr9O,48,0.0494,0.62,297787,0.678,0.0123,A#,0.134,-9.111,Major,0.0353,105.99,04-Apr,0.391,Alternative,"Indie pop, indie rock, dance-punk, Consequence of sound, synth-pop, post-punk revival"
194892,MISSIO,Bottom Of The Deep Blue Sea,32bZwIZbRYe4ImC7PJ8s2A,59,0.0248,0.573,-1,0.754,0.00019,E,0.104,-4.788,Major,0.0329,132.964,04-Apr,0.241,Alternative,
104801,Chevelle,In Debt To The Earth,2cCRCSJvtSuzQIjQ0OBQoc,41,0.0231,0.538,251600,0.887,0.0047,E,0.313,-4.196,Major,0.048,134.955,03-Apr,0.653,Alternative,
124669,zack villere,Bloo,3eTccaI8Jl9Xs6NrU3liJg,56,0.571,0.622,191985,0.543,2.17E-05,F#,0.16,-6.291,Major,0.0832,80.027,04-Apr,0.537,Alternative,
176708,empty_field,On The Way,6UWSxk3ybIJToE4M0cQHHE,54,0.0808,0.584,203227,0.687,0,C#,0.2,-7.176,Minor,0.321,129.902,04-Apr,0.324,Alternative,
52540,Disturbed,Warrior,7y3MmRQ8IowzGMo18DD5oh,58,1.16E-05,0.549,204827,0.969,0.106,C#,0.104,-2.763,Major,0.049,101.055,04-Apr,0.348,Alternative,
73174,Freddie Gibbs,Death Row (feat. 03 Greedo),15JUnS7aTcsxwfaoEJYT7a,49,0.0901,0.902,142629,0.66,4.99E-06,G#,0.123,-5.939,Major,0.397,87.503,04-Apr,0.44,Alternative,"Hip hop music, gangsta rap, The Guardian, Alternative Hip Hop"
177298,Die Antwoord,Cookie Thumper!,1jMLe8tx2gPEM0LvSbKQE9,56,0.0891,0.784,200226,0.795,0,B,0.326,-4.159,Major,0.225,133.938,04-Apr,0.504,Alternative,"Alternative hip hop, Electronic dance music, rave music"
41190,6LACK,Never Know,3ob2NTmP0jI4vivRc9V9on,58,0.0947,0.645,249680,0.571,3.32E-06,F,0.185,-9.021,Minor,0.2,95.223,04-Apr,0.184,Alternative,
91040,Breaking Benjamin,Crawl,7f5QxL6CBzK5Zmm7Bqwd0g,54,1.17E-05,0.213,238907,0.91,1.32E-05,F,0.222,-3.346,Minor,0.0722,81.199,04-Apr,0.389,Alternative,"Talk:Breaking Benjamin#July 11, 2015, Hard rock, post-grunge, alternative metal"
20114,Bloodhound Gang,I Hope You Die,4EkL0olFX5NktxAEiV86pH,48,0.00148,0.546,219827,0.859,0.0564,C#,0.29,-5.899,Major,0.0372,159.95,04-Apr,0.975,Alternative,"Alternative rock, comedy rock, rap rock"
136846,Radiohead,Reckoner,0PIOavcZbXzgg4D8WqFCeL,59,0.511,0.518,290213,0.656,0.156,E,0.0679,-7.438,Minor,0.0264,104.282,04-Apr,0.203,Alternative,"Art rock, alternative rock, electronica, experimental rock, art pop"
197455,Natalia Lafourcade,Soledad y el Mar (feat. Los Macorinos),7MDCN64g4Ui1y7TSDn0cky,55,0.896,0.726,214547,0.177,2.14E-06,C#,0.116,-14.824,Minor,0.0353,92.934,04-Apr,0.618,Alternative,"Pop rock, Latin rock, folk music, bossa nova, alternative pop, free jazz, cumbia"
150320,empty_field,Cocoon,5j88egIxPmPOwOIiPKisWl,63,0.000263,0.452,236887,0.911,0.000123,G,0.0856,-4.414,Minor,0.0643,133.059,04-Apr,0.304,Alternative,
74142,We Are Scientists,"Nobody Move, Nobody Get Hurt",1PowbDfdB5NOXkCycX7lxb,51,0.000702,0.47,192311,0.969,0,F#,0.332,-4.739,Major,0.0968,144.012,04-Apr,0.593,Alternative,"Indie rock, post-punk revival, alternative rock"
